project,iso2,year,month,pageviews_ceil
be.wikipedia,BY,2022,1,492000
be.wikipedia,US,2022,1,297000
be.wikipedia,BR,2022,1,118000
be.wikipedia,ID,2022,1,113000
be.wikipedia,RU,2022,1,88000
be.wikipedia,DE,2022,1,87000
be.wikipedia,TW,2022,1,75000
be.wikipedia,SG,2022,1,74000
be.wikipedia,CA,2022,1,69000
be.wikipedia,FR,2022,1,63000
be.wikipedia,HK,2022,1,63000
be.wikipedia,MY,2022,1,51000
be.wikipedia,PL,2022,1,49000
be.wikipedia,UA,2022,1,36000
be.wikipedia,GB,2022,1,33000
be.wikipedia,IR,2022,1,32000
be.wikipedia,PH,2022,1,32000
be.wikipedia,NL,2022,1,31000
be.wikipedia,--,2022,1,24000
be.wikipedia,TH,2022,1,24000
be.wikipedia,BD,2022,1,22000
be.wikipedia,TR,2022,1,19000
be.wikipedia,JP,2022,1,18000
be.wikipedia,EC,2022,1,17000
be.wikipedia,AU,2022,1,17000
be.wikipedia,VN,2022,1,16000
be.wikipedia,FI,2022,1,12000
be.wikipedia,MX,2022,1,12000
be.wikipedia,ES,2022,1,11000
be.wikipedia,IT,2022,1,11000
be.wikipedia,IN,2022,1,10000
be.wikipedia,LU,2022,1,7000
be.wikipedia,LT,2022,1,7000
be.wikipedia,AR,2022,1,6000
be.wikipedia,BE,2022,1,6000
be.wikipedia,IQ,2022,1,6000
be.wikipedia,LV,2022,1,5000
be.wikipedia,CO,2022,1,5000
be.wikipedia,KR,2022,1,5000
be.wikipedia,DK,2022,1,5000
be.wikipedia,MO,2022,1,5000
be.wikipedia,CZ,2022,1,4000
be.wikipedia,PK,2022,1,4000
be.wikipedia,PT,2022,1,4000
be.wikipedia,IL,2022,1,4000
be.wikipedia,SE,2022,1,3000
be.wikipedia,ZA,2022,1,3000
be.wikipedia,RO,2022,1,3000
be.wikipedia,NP,2022,1,3000
be.wikipedia,NZ,2022,1,3000
be.wikipedia,DZ,2022,1,3000
be.wikipedia,BG,2022,1,3000
be.wikipedia,NO,2022,1,3000
be.wikipedia,CH,2022,1,3000
be.wikipedia,PE,2022,1,3000
be.wikipedia,KZ,2022,1,3000
be.wikipedia,UZ,2022,1,3000
be.wikipedia,AT,2022,1,3000
be.wikipedia,GR,2022,1,2000
be.wikipedia,HU,2022,1,2000
be.wikipedia,GE,2022,1,2000
be.wikipedia,PY,2022,1,2000
be.wikipedia,CL,2022,1,2000
be.wikipedia,EG,2022,1,2000
be.wikipedia,RS,2022,1,2000
be.wikipedia,SK,2022,1,2000
be.wikipedia,KH,2022,1,2000
be.wikipedia,IE,2022,1,2000
be.wikipedia,EE,2022,1,2000
be.wikipedia,MA,2022,1,2000
be.wikipedia,QA,2022,1,2000
