project,iso2,year,month,pageviews_ceil
bh.wikipedia,IN,2022,1,305000
bh.wikipedia,US,2022,1,71000
bh.wikipedia,SG,2022,1,17000
bh.wikipedia,FR,2022,1,17000
bh.wikipedia,DE,2022,1,14000
bh.wikipedia,NL,2022,1,14000
bh.wikipedia,CA,2022,1,11000
bh.wikipedia,IR,2022,1,6000
bh.wikipedia,RU,2022,1,5000
bh.wikipedia,JP,2022,1,4000
bh.wikipedia,GB,2022,1,4000
bh.wikipedia,PL,2022,1,2000
bh.wikipedia,FI,2022,1,2000
bh.wikipedia,BR,2022,1,2000
bh.wikipedia,--,2022,1,2000
bh.wikipedia,ID,2022,1,1000
bh.wikipedia,HK,2022,1,1000
bh.wikipedia,NP,2022,1,1000
bh.wikipedia,AU,2022,1,1000
bh.wikipedia,KR,2022,1,1000
bh.wikipedia,TW,2022,1,1000
bh.wikipedia,IT,2022,1,1000
bh.wikipedia,VN,2022,1,1000
bh.wikipedia,CN,2022,1,1000
bh.wikipedia,DK,2022,1,1000
bh.wikipedia,BE,2022,1,1000
bh.wikipedia,CH,2022,1,1000
bh.wikipedia,AE,2022,1,1000
bh.wikipedia,ES,2022,1,1000
bh.wikipedia,UA,2022,1,1000
bh.wikipedia,CZ,2022,1,1000
bh.wikipedia,PT,2022,1,1000
bh.wikipedia,SA,2022,1,1000
bh.wikipedia,IL,2022,1,1000
bh.wikipedia,AT,2022,1,1000
bh.wikipedia,PK,2022,1,1000
bh.wikipedia,TH,2022,1,1000
bh.wikipedia,MY,2022,1,1000
bh.wikipedia,BD,2022,1,1000
bh.wikipedia,LV,2022,1,1000
bh.wikipedia,QA,2022,1,1000
bh.wikipedia,TR,2022,1,1000
bh.wikipedia,ZA,2022,1,1000
bh.wikipedia,BG,2022,1,1000
bh.wikipedia,SC,2022,1,1000
bh.wikipedia,RO,2022,1,1000
bh.wikipedia,EG,2022,1,1000
bh.wikipedia,SE,2022,1,1000
bh.wikipedia,NG,2022,1,1000
bh.wikipedia,CY,2022,1,1000
bh.wikipedia,GH,2022,1,1000
bh.wikipedia,IN,2022,2,314000
bh.wikipedia,US,2022,2,91000
bh.wikipedia,RU,2022,2,19000
bh.wikipedia,NL,2022,2,16000
bh.wikipedia,FR,2022,2,15000
bh.wikipedia,SG,2022,2,15000
bh.wikipedia,DE,2022,2,11000
bh.wikipedia,CA,2022,2,7000
bh.wikipedia,GB,2022,2,7000
bh.wikipedia,IR,2022,2,6000
bh.wikipedia,UZ,2022,2,5000
bh.wikipedia,PK,2022,2,4000
bh.wikipedia,KZ,2022,2,4000
bh.wikipedia,UA,2022,2,4000
bh.wikipedia,IT,2022,2,3000
bh.wikipedia,BY,2022,2,3000
bh.wikipedia,JP,2022,2,3000
bh.wikipedia,AU,2022,2,2000
bh.wikipedia,--,2022,2,2000
bh.wikipedia,TJ,2022,2,2000
bh.wikipedia,ID,2022,2,2000
bh.wikipedia,PL,2022,2,1000
bh.wikipedia,BR,2022,2,1000
bh.wikipedia,HK,2022,2,1000
bh.wikipedia,VN,2022,2,1000
bh.wikipedia,GE,2022,2,1000
bh.wikipedia,MN,2022,2,1000
bh.wikipedia,NP,2022,2,1000
bh.wikipedia,ES,2022,2,1000
bh.wikipedia,KG,2022,2,1000
bh.wikipedia,PH,2022,2,1000
bh.wikipedia,FI,2022,2,1000
bh.wikipedia,DK,2022,2,1000
bh.wikipedia,CN,2022,2,1000
bh.wikipedia,TR,2022,2,1000
bh.wikipedia,GR,2022,2,1000
bh.wikipedia,AE,2022,2,1000
bh.wikipedia,CH,2022,2,1000
bh.wikipedia,AF,2022,2,1000
bh.wikipedia,BD,2022,2,1000
bh.wikipedia,SA,2022,2,1000
bh.wikipedia,LV,2022,2,1000
bh.wikipedia,SI,2022,2,1000
bh.wikipedia,RO,2022,2,1000
bh.wikipedia,KR,2022,2,1000
bh.wikipedia,MY,2022,2,1000
bh.wikipedia,MA,2022,2,1000
bh.wikipedia,SC,2022,2,1000
bh.wikipedia,TW,2022,2,1000
bh.wikipedia,ZA,2022,2,1000
bh.wikipedia,AZ,2022,2,1000
bh.wikipedia,LT,2022,2,1000
bh.wikipedia,PT,2022,2,1000
bh.wikipedia,LK,2022,2,1000
bh.wikipedia,NO,2022,2,1000
bh.wikipedia,IL,2022,2,1000
bh.wikipedia,QA,2022,2,1000
bh.wikipedia,EG,2022,2,1000
bh.wikipedia,SE,2022,2,1000
bh.wikipedia,KW,2022,2,1000
bh.wikipedia,AT,2022,2,1000
bh.wikipedia,IE,2022,2,1000
bh.wikipedia,MD,2022,2,1000
bh.wikipedia,CZ,2022,2,1000
bh.wikipedia,BH,2022,2,1000
bh.wikipedia,CO,2022,2,1000
bh.wikipedia,MM,2022,2,1000
bh.wikipedia,KE,2022,2,1000
bh.wikipedia,IN,2022,3,438000
bh.wikipedia,US,2022,3,67000
bh.wikipedia,RU,2022,3,21000
bh.wikipedia,DE,2022,3,18000
bh.wikipedia,NL,2022,3,15000
bh.wikipedia,CA,2022,3,13000
bh.wikipedia,SG,2022,3,12000
bh.wikipedia,FR,2022,3,11000
bh.wikipedia,UZ,2022,3,11000
bh.wikipedia,PK,2022,3,8000
bh.wikipedia,IR,2022,3,6000
bh.wikipedia,KZ,2022,3,6000
bh.wikipedia,GB,2022,3,4000
bh.wikipedia,TJ,2022,3,4000
bh.wikipedia,AT,2022,3,4000
bh.wikipedia,JP,2022,3,3000
bh.wikipedia,BY,2022,3,3000
bh.wikipedia,UA,2022,3,3000
bh.wikipedia,VN,2022,3,3000
bh.wikipedia,ID,2022,3,2000
bh.wikipedia,IE,2022,3,2000
bh.wikipedia,GE,2022,3,2000
bh.wikipedia,PL,2022,3,2000
bh.wikipedia,AF,2022,3,2000
bh.wikipedia,NP,2022,3,1000
bh.wikipedia,KG,2022,3,1000
bh.wikipedia,PH,2022,3,1000
bh.wikipedia,AU,2022,3,1000
bh.wikipedia,SE,2022,3,1000
bh.wikipedia,GR,2022,3,1000
bh.wikipedia,ES,2022,3,1000
bh.wikipedia,--,2022,3,1000
bh.wikipedia,MN,2022,3,1000
bh.wikipedia,TR,2022,3,1000
bh.wikipedia,HK,2022,3,1000
bh.wikipedia,MY,2022,3,1000
bh.wikipedia,LV,2022,3,1000
bh.wikipedia,IT,2022,3,1000
bh.wikipedia,DK,2022,3,1000
bh.wikipedia,SA,2022,3,1000
bh.wikipedia,BR,2022,3,1000
bh.wikipedia,KR,2022,3,1000
bh.wikipedia,AE,2022,3,1000
bh.wikipedia,BD,2022,3,1000
bh.wikipedia,CZ,2022,3,1000
bh.wikipedia,PT,2022,3,1000
bh.wikipedia,NG,2022,3,1000
bh.wikipedia,CO,2022,3,1000
bh.wikipedia,AZ,2022,3,1000
bh.wikipedia,RO,2022,3,1000
bh.wikipedia,NO,2022,3,1000
bh.wikipedia,TM,2022,3,1000
bh.wikipedia,CY,2022,3,1000
bh.wikipedia,ZA,2022,3,1000
bh.wikipedia,MX,2022,3,1000
bh.wikipedia,IQ,2022,3,1000
bh.wikipedia,CH,2022,3,1000
bh.wikipedia,SC,2022,3,1000
bh.wikipedia,IL,2022,3,1000
bh.wikipedia,FI,2022,3,1000
bh.wikipedia,TW,2022,3,1000
bh.wikipedia,KW,2022,3,1000
bh.wikipedia,MM,2022,3,1000
bh.wikipedia,CN,2022,3,1000
