project,iso2,year,month,pageviews_ceil
blk.wikipedia,MM,2022,7,4000
blk.wikipedia,US,2022,7,2000
blk.wikipedia,TH,2022,7,1000
blk.wikipedia,SG,2022,7,1000
blk.wikipedia,KR,2022,7,1000
blk.wikipedia,RU,2022,7,1000
blk.wikipedia,GB,2022,7,1000
blk.wikipedia,MO,2022,7,1000
blk.wikipedia,DE,2022,7,1000
blk.wikipedia,VN,2022,7,1000
blk.wikipedia,MM,2022,8,8000
blk.wikipedia,US,2022,8,7000
blk.wikipedia,SG,2022,8,1000
blk.wikipedia,TH,2022,8,1000
blk.wikipedia,HK,2022,8,1000
blk.wikipedia,RU,2022,8,1000
blk.wikipedia,AU,2022,8,1000
blk.wikipedia,DE,2022,8,1000
blk.wikipedia,VN,2022,8,1000
blk.wikipedia,US,2022,9,11000
blk.wikipedia,MM,2022,9,11000
blk.wikipedia,IR,2022,9,3000
blk.wikipedia,FR,2022,9,3000
blk.wikipedia,DE,2022,9,2000
blk.wikipedia,SE,2022,9,2000
blk.wikipedia,TH,2022,9,2000
blk.wikipedia,RU,2022,9,2000
blk.wikipedia,CA,2022,9,2000
blk.wikipedia,NL,2022,9,2000
blk.wikipedia,SG,2022,9,1000
blk.wikipedia,GB,2022,9,1000
blk.wikipedia,PL,2022,9,1000
blk.wikipedia,HK,2022,9,1000
blk.wikipedia,VN,2022,9,1000
blk.wikipedia,--,2022,9,1000
blk.wikipedia,MD,2022,9,1000
blk.wikipedia,FI,2022,9,1000
blk.wikipedia,DK,2022,9,1000
blk.wikipedia,UA,2022,9,1000
blk.wikipedia,JP,2022,9,1000
blk.wikipedia,PA,2022,9,1000
blk.wikipedia,IT,2022,9,1000
blk.wikipedia,ID,2022,9,1000
blk.wikipedia,IN,2022,9,1000
blk.wikipedia,BR,2022,9,1000
blk.wikipedia,NG,2022,9,1000
blk.wikipedia,ES,2022,9,1000
blk.wikipedia,US,2022,10,20000
blk.wikipedia,MM,2022,10,12000
blk.wikipedia,CA,2022,10,2000
blk.wikipedia,DE,2022,10,2000
blk.wikipedia,RU,2022,10,2000
blk.wikipedia,SG,2022,10,2000
blk.wikipedia,NL,2022,10,1000
blk.wikipedia,FR,2022,10,1000
blk.wikipedia,UA,2022,10,1000
blk.wikipedia,TH,2022,10,1000
blk.wikipedia,HK,2022,10,1000
blk.wikipedia,IE,2022,10,1000
blk.wikipedia,NG,2022,10,1000
blk.wikipedia,IN,2022,10,1000
blk.wikipedia,VN,2022,10,1000
blk.wikipedia,GB,2022,10,1000
blk.wikipedia,TW,2022,10,1000
blk.wikipedia,--,2022,10,1000
blk.wikipedia,IT,2022,10,1000
blk.wikipedia,NZ,2022,10,1000
blk.wikipedia,PL,2022,10,1000
blk.wikipedia,ID,2022,10,1000
blk.wikipedia,IR,2022,10,1000
blk.wikipedia,JP,2022,10,1000
blk.wikipedia,BH,2022,10,1000
blk.wikipedia,SE,2022,10,1000
blk.wikipedia,AU,2022,10,1000
blk.wikipedia,ES,2022,10,1000
blk.wikipedia,BR,2022,10,1000
blk.wikipedia,KR,2022,10,1000
blk.wikipedia,MA,2022,10,1000
blk.wikipedia,US,2022,11,16000
blk.wikipedia,MM,2022,11,4000
