project,date,pageviews
bn.wikipedia,2022-01-01,525960
bn.wikipedia,2022-01-02,597950
bn.wikipedia,2022-01-03,635906
bn.wikipedia,2022-01-04,637460
bn.wikipedia,2022-01-05,652457
bn.wikipedia,2022-01-06,665057
bn.wikipedia,2022-01-07,650213
bn.wikipedia,2022-01-08,667941
bn.wikipedia,2022-01-09,652512
bn.wikipedia,2022-01-10,679977
bn.wikipedia,2022-01-11,689643
bn.wikipedia,2022-01-12,674939
bn.wikipedia,2022-01-13,656583
bn.wikipedia,2022-01-14,639856
bn.wikipedia,2022-01-15,725331
bn.wikipedia,2022-01-16,663407
bn.wikipedia,2022-01-17,686307
bn.wikipedia,2022-01-18,713206
bn.wikipedia,2022-01-19,671759
bn.wikipedia,2022-01-20,704023
bn.wikipedia,2022-01-21,689841
bn.wikipedia,2022-01-22,633309
bn.wikipedia,2022-01-23,654594
bn.wikipedia,2022-01-24,661261
bn.wikipedia,2022-01-25,728968
bn.wikipedia,2022-01-26,663170
bn.wikipedia,2022-01-27,689138
bn.wikipedia,2022-01-28,630760
bn.wikipedia,2022-01-29,656079
bn.wikipedia,2022-01-30,606473
bn.wikipedia,2022-01-31,646585
bn.wikipedia,2022-02-01,679051
bn.wikipedia,2022-02-02,629286
bn.wikipedia,2022-02-03,620021
bn.wikipedia,2022-02-04,575022
bn.wikipedia,2022-02-05,551267
bn.wikipedia,2022-02-06,628498
bn.wikipedia,2022-02-07,631561
bn.wikipedia,2022-02-08,634529
bn.wikipedia,2022-02-09,657836
bn.wikipedia,2022-02-10,698553
bn.wikipedia,2022-02-11,653179
bn.wikipedia,2022-02-12,625694
bn.wikipedia,2022-02-13,618266
bn.wikipedia,2022-02-14,631966
bn.wikipedia,2022-02-15,685661
bn.wikipedia,2022-02-16,694477
bn.wikipedia,2022-02-17,741520
bn.wikipedia,2022-02-18,715585
bn.wikipedia,2022-02-19,735448
bn.wikipedia,2022-02-20,719546
bn.wikipedia,2022-02-21,875853
bn.wikipedia,2022-02-22,776827
bn.wikipedia,2022-02-23,748695
bn.wikipedia,2022-02-24,727124
bn.wikipedia,2022-02-25,735299
bn.wikipedia,2022-02-26,763661
bn.wikipedia,2022-02-27,741091
bn.wikipedia,2022-02-28,753290
bn.wikipedia,2022-03-01,692408
bn.wikipedia,2022-03-02,705203
bn.wikipedia,2022-03-03,726692
bn.wikipedia,2022-03-04,669928
bn.wikipedia,2022-03-05,672817
bn.wikipedia,2022-03-06,684610
bn.wikipedia,2022-03-07,702691
bn.wikipedia,2022-03-08,689574
bn.wikipedia,2022-03-09,682862
bn.wikipedia,2022-03-10,680284
bn.wikipedia,2022-03-11,656285
bn.wikipedia,2022-03-12,635787
bn.wikipedia,2022-03-13,609128
bn.wikipedia,2022-03-14,659248
bn.wikipedia,2022-03-15,665634
bn.wikipedia,2022-03-16,642841
bn.wikipedia,2022-03-17,610863
bn.wikipedia,2022-03-18,586976
bn.wikipedia,2022-03-19,600302
bn.wikipedia,2022-03-20,620147
bn.wikipedia,2022-03-21,718076
bn.wikipedia,2022-03-22,697584
bn.wikipedia,2022-03-23,681736
bn.wikipedia,2022-03-24,672436
bn.wikipedia,2022-03-25,677952
bn.wikipedia,2022-03-26,651833
bn.wikipedia,2022-03-27,617647
bn.wikipedia,2022-03-28,643692
bn.wikipedia,2022-03-29,656607
bn.wikipedia,2022-03-30,629503
bn.wikipedia,2022-03-31,611077
bn.wikipedia,2022-04-01,595446
bn.wikipedia,2022-04-02,568887
bn.wikipedia,2022-04-03,532133
bn.wikipedia,2022-04-04,539836
bn.wikipedia,2022-04-05,582685
bn.wikipedia,2022-04-06,596617
bn.wikipedia,2022-04-07,598978
bn.wikipedia,2022-04-08,594347
bn.wikipedia,2022-04-09,599941
bn.wikipedia,2022-04-10,584031
bn.wikipedia,2022-04-11,592206
bn.wikipedia,2022-04-12,597530
bn.wikipedia,2022-04-13,577219
bn.wikipedia,2022-04-14,578296
bn.wikipedia,2022-04-15,553248
bn.wikipedia,2022-04-16,620284
bn.wikipedia,2022-04-17,599632
bn.wikipedia,2022-04-18,624591
bn.wikipedia,2022-04-19,641366
bn.wikipedia,2022-04-20,575967
bn.wikipedia,2022-04-21,601329
bn.wikipedia,2022-04-22,622396
bn.wikipedia,2022-04-23,603422
bn.wikipedia,2022-04-24,556219
bn.wikipedia,2022-04-25,554698
bn.wikipedia,2022-04-26,596161
bn.wikipedia,2022-04-27,575432
bn.wikipedia,2022-04-28,521891
bn.wikipedia,2022-04-29,443609
bn.wikipedia,2022-04-30,424147
bn.wikipedia,2022-05-01,426470
bn.wikipedia,2022-05-02,385699
bn.wikipedia,2022-05-03,359758
bn.wikipedia,2022-05-04,414953
bn.wikipedia,2022-05-05,447343
