project,iso2,year,month,pageviews_ceil
bs.wikipedia,HR,2022,1,1226000
bs.wikipedia,BA,2022,1,1174000
bs.wikipedia,RS,2022,1,377000
bs.wikipedia,US,2022,1,210000
bs.wikipedia,DE,2022,1,181000
bs.wikipedia,AT,2022,1,68000
bs.wikipedia,SI,2022,1,65000
bs.wikipedia,NL,2022,1,56000
bs.wikipedia,ME,2022,1,44000
bs.wikipedia,CA,2022,1,39000
bs.wikipedia,FR,2022,1,39000
bs.wikipedia,SE,2022,1,33000
bs.wikipedia,SG,2022,1,31000
bs.wikipedia,MK,2022,1,30000
bs.wikipedia,CH,2022,1,27000
bs.wikipedia,IR,2022,1,25000
bs.wikipedia,TR,2022,1,22000
bs.wikipedia,GB,2022,1,18000
bs.wikipedia,--,2022,1,17000
bs.wikipedia,RU,2022,1,16000
bs.wikipedia,IT,2022,1,13000
bs.wikipedia,PL,2022,1,11000
bs.wikipedia,XK,2022,1,9000
bs.wikipedia,FI,2022,1,9000
bs.wikipedia,CZ,2022,1,9000
bs.wikipedia,DK,2022,1,9000
bs.wikipedia,AL,2022,1,8000
bs.wikipedia,NO,2022,1,8000
bs.wikipedia,AU,2022,1,8000
bs.wikipedia,JP,2022,1,7000
bs.wikipedia,BE,2022,1,6000
bs.wikipedia,ES,2022,1,5000
bs.wikipedia,IN,2022,1,5000
bs.wikipedia,IL,2022,1,5000
bs.wikipedia,HU,2022,1,4000
bs.wikipedia,BR,2022,1,4000
bs.wikipedia,LU,2022,1,3000
bs.wikipedia,IE,2022,1,3000
bs.wikipedia,SK,2022,1,3000
bs.wikipedia,ID,2022,1,3000
bs.wikipedia,BG,2022,1,3000
bs.wikipedia,RO,2022,1,3000
bs.wikipedia,UA,2022,1,3000
bs.wikipedia,HK,2022,1,2000
bs.wikipedia,KR,2022,1,2000
bs.wikipedia,LT,2022,1,2000
bs.wikipedia,GR,2022,1,2000
bs.wikipedia,VN,2022,1,2000
bs.wikipedia,SA,2022,1,2000
bs.wikipedia,AE,2022,1,2000
bs.wikipedia,PT,2022,1,2000
bs.wikipedia,CN,2022,1,2000
bs.wikipedia,TW,2022,1,2000
bs.wikipedia,ZA,2022,1,2000
