project,iso2,year,month,pageviews_ceil
cdo.wikipedia,US,2022,1,33000
cdo.wikipedia,NL,2022,1,15000
cdo.wikipedia,FR,2022,1,11000
cdo.wikipedia,SG,2022,1,9000
cdo.wikipedia,DE,2022,1,9000
cdo.wikipedia,CA,2022,1,8000
cdo.wikipedia,TW,2022,1,7000
cdo.wikipedia,IR,2022,1,6000
cdo.wikipedia,RU,2022,1,6000
cdo.wikipedia,AU,2022,1,5000
cdo.wikipedia,GB,2022,1,3000
cdo.wikipedia,FI,2022,1,2000
cdo.wikipedia,JP,2022,1,2000
cdo.wikipedia,PL,2022,1,2000
cdo.wikipedia,HK,2022,1,2000
cdo.wikipedia,--,2022,1,1000
cdo.wikipedia,CN,2022,1,1000
cdo.wikipedia,IT,2022,1,1000
cdo.wikipedia,BR,2022,1,1000
cdo.wikipedia,KR,2022,1,1000
cdo.wikipedia,SE,2022,1,1000
cdo.wikipedia,VN,2022,1,1000
cdo.wikipedia,BE,2022,1,1000
cdo.wikipedia,DK,2022,1,1000
cdo.wikipedia,IN,2022,1,1000
cdo.wikipedia,ID,2022,1,1000
cdo.wikipedia,ES,2022,1,1000
cdo.wikipedia,UA,2022,1,1000
cdo.wikipedia,PT,2022,1,1000
cdo.wikipedia,LV,2022,1,1000
cdo.wikipedia,CH,2022,1,1000
cdo.wikipedia,CZ,2022,1,1000
cdo.wikipedia,AT,2022,1,1000
cdo.wikipedia,MY,2022,1,1000
cdo.wikipedia,TR,2022,1,1000
cdo.wikipedia,DO,2022,1,1000
cdo.wikipedia,TH,2022,1,1000
cdo.wikipedia,BY,2022,1,1000
cdo.wikipedia,PK,2022,1,1000
cdo.wikipedia,SC,2022,1,1000
cdo.wikipedia,RO,2022,1,1000
cdo.wikipedia,IN,2022,2,61000
cdo.wikipedia,US,2022,2,36000
cdo.wikipedia,RU,2022,2,35000
cdo.wikipedia,NL,2022,2,16000
cdo.wikipedia,UZ,2022,2,12000
cdo.wikipedia,TW,2022,2,11000
cdo.wikipedia,FR,2022,2,10000
cdo.wikipedia,PK,2022,2,10000
cdo.wikipedia,KZ,2022,2,9000
cdo.wikipedia,IR,2022,2,8000
cdo.wikipedia,SG,2022,2,8000
cdo.wikipedia,DE,2022,2,8000
cdo.wikipedia,UA,2022,2,7000
cdo.wikipedia,CA,2022,2,6000
cdo.wikipedia,BY,2022,2,6000
cdo.wikipedia,GB,2022,2,5000
cdo.wikipedia,TJ,2022,2,4000
cdo.wikipedia,GE,2022,2,2000
cdo.wikipedia,--,2022,2,2000
cdo.wikipedia,AU,2022,2,2000
cdo.wikipedia,MN,2022,2,2000
cdo.wikipedia,ES,2022,2,2000
cdo.wikipedia,KG,2022,2,2000
cdo.wikipedia,VN,2022,2,2000
cdo.wikipedia,PH,2022,2,2000
cdo.wikipedia,JP,2022,2,2000
cdo.wikipedia,PL,2022,2,2000
cdo.wikipedia,ID,2022,2,2000
cdo.wikipedia,BR,2022,2,2000
cdo.wikipedia,HK,2022,2,2000
cdo.wikipedia,IT,2022,2,1000
cdo.wikipedia,AF,2022,2,1000
cdo.wikipedia,FI,2022,2,1000
cdo.wikipedia,CN,2022,2,1000
cdo.wikipedia,DK,2022,2,1000
cdo.wikipedia,TR,2022,2,1000
cdo.wikipedia,LK,2022,2,1000
cdo.wikipedia,KR,2022,2,1000
cdo.wikipedia,AZ,2022,2,1000
cdo.wikipedia,LV,2022,2,1000
cdo.wikipedia,MY,2022,2,1000
cdo.wikipedia,ZA,2022,2,1000
cdo.wikipedia,GR,2022,2,1000
cdo.wikipedia,MD,2022,2,1000
cdo.wikipedia,SE,2022,2,1000
cdo.wikipedia,EG,2022,2,1000
cdo.wikipedia,MM,2022,2,1000
cdo.wikipedia,PE,2022,2,1000
cdo.wikipedia,BD,2022,2,1000
cdo.wikipedia,IE,2022,2,1000
cdo.wikipedia,SC,2022,2,1000
cdo.wikipedia,CH,2022,2,1000
cdo.wikipedia,SA,2022,2,1000
cdo.wikipedia,BH,2022,2,1000
cdo.wikipedia,NO,2022,2,1000
cdo.wikipedia,AE,2022,2,1000
cdo.wikipedia,KW,2022,2,1000
cdo.wikipedia,IL,2022,2,1000
cdo.wikipedia,CZ,2022,2,1000
cdo.wikipedia,MA,2022,2,1000
cdo.wikipedia,TM,2022,2,1000
cdo.wikipedia,NE,2022,2,1000
cdo.wikipedia,TH,2022,2,1000
cdo.wikipedia,AM,2022,2,1000
cdo.wikipedia,RO,2022,2,1000
cdo.wikipedia,PT,2022,2,1000
cdo.wikipedia,AT,2022,2,1000
cdo.wikipedia,FM,2022,2,1000
cdo.wikipedia,IN,2022,3,98000
cdo.wikipedia,RU,2022,3,39000
cdo.wikipedia,US,2022,3,30000
cdo.wikipedia,UZ,2022,3,22000
cdo.wikipedia,PK,2022,3,19000
cdo.wikipedia,NL,2022,3,15000
cdo.wikipedia,KZ,2022,3,14000
cdo.wikipedia,DE,2022,3,13000
cdo.wikipedia,TJ,2022,3,11000
cdo.wikipedia,FR,2022,3,10000
cdo.wikipedia,CA,2022,3,9000
cdo.wikipedia,IR,2022,3,8000
cdo.wikipedia,BY,2022,3,6000
cdo.wikipedia,UA,2022,3,6000
cdo.wikipedia,AT,2022,3,4000
cdo.wikipedia,SG,2022,3,4000
cdo.wikipedia,VN,2022,3,4000
cdo.wikipedia,GB,2022,3,4000
cdo.wikipedia,GE,2022,3,4000
cdo.wikipedia,AF,2022,3,3000
cdo.wikipedia,PH,2022,3,3000
cdo.wikipedia,SE,2022,3,2000
cdo.wikipedia,KG,2022,3,2000
cdo.wikipedia,IE,2022,3,2000
cdo.wikipedia,MN,2022,3,2000
cdo.wikipedia,PL,2022,3,2000
cdo.wikipedia,TR,2022,3,2000
cdo.wikipedia,JP,2022,3,2000
cdo.wikipedia,ID,2022,3,2000
cdo.wikipedia,HK,2022,3,2000
cdo.wikipedia,MY,2022,3,1000
cdo.wikipedia,TW,2022,3,1000
cdo.wikipedia,KR,2022,3,1000
cdo.wikipedia,--,2022,3,1000
cdo.wikipedia,IT,2022,3,1000
cdo.wikipedia,GR,2022,3,1000
cdo.wikipedia,BD,2022,3,1000
cdo.wikipedia,LV,2022,3,1000
cdo.wikipedia,DK,2022,3,1000
cdo.wikipedia,TM,2022,3,1000
cdo.wikipedia,AZ,2022,3,1000
cdo.wikipedia,IQ,2022,3,1000
cdo.wikipedia,BR,2022,3,1000
cdo.wikipedia,ES,2022,3,1000
cdo.wikipedia,RO,2022,3,1000
cdo.wikipedia,CZ,2022,3,1000
cdo.wikipedia,NO,2022,3,1000
cdo.wikipedia,LK,2022,3,1000
cdo.wikipedia,CO,2022,3,1000
cdo.wikipedia,AE,2022,3,1000
cdo.wikipedia,ZA,2022,3,1000
cdo.wikipedia,FI,2022,3,1000
cdo.wikipedia,MX,2022,3,1000
cdo.wikipedia,MD,2022,3,1000
cdo.wikipedia,SA,2022,3,1000
cdo.wikipedia,PT,2022,3,1000
cdo.wikipedia,AU,2022,3,1000
cdo.wikipedia,MM,2022,3,1000
cdo.wikipedia,ET,2022,3,1000
cdo.wikipedia,KE,2022,3,1000
cdo.wikipedia,SC,2022,3,1000
cdo.wikipedia,CI,2022,3,1000
cdo.wikipedia,TH,2022,3,1000
cdo.wikipedia,NG,2022,3,1000
