project,iso2,year,month,pageviews_ceil
cs.wikipedia,CZ,2022,1,81112000
cs.wikipedia,SK,2022,1,4086000
cs.wikipedia,US,2022,1,1031000
cs.wikipedia,DE,2022,1,889000
cs.wikipedia,NL,2022,1,372000
cs.wikipedia,AT,2022,1,276000
cs.wikipedia,GB,2022,1,258000
cs.wikipedia,PL,2022,1,215000
cs.wikipedia,FR,2022,1,207000
cs.wikipedia,CA,2022,1,185000
cs.wikipedia,RU,2022,1,178000
cs.wikipedia,IR,2022,1,159000
cs.wikipedia,ID,2022,1,141000
cs.wikipedia,BR,2022,1,139000
cs.wikipedia,IT,2022,1,110000
cs.wikipedia,CH,2022,1,107000
cs.wikipedia,--,2022,1,103000
cs.wikipedia,SG,2022,1,101000
cs.wikipedia,TW,2022,1,96000
cs.wikipedia,ES,2022,1,82000
cs.wikipedia,HK,2022,1,78000
cs.wikipedia,TR,2022,1,74000
cs.wikipedia,HU,2022,1,68000
cs.wikipedia,UA,2022,1,67000
cs.wikipedia,MY,2022,1,60000
cs.wikipedia,BE,2022,1,57000
cs.wikipedia,JP,2022,1,47000
cs.wikipedia,SE,2022,1,46000
cs.wikipedia,FI,2022,1,46000
cs.wikipedia,TH,2022,1,40000
cs.wikipedia,PH,2022,1,40000
cs.wikipedia,AU,2022,1,38000
cs.wikipedia,IE,2022,1,38000
cs.wikipedia,MX,2022,1,37000
cs.wikipedia,DK,2022,1,32000
cs.wikipedia,BD,2022,1,26000
cs.wikipedia,VN,2022,1,26000
cs.wikipedia,NO,2022,1,25000
cs.wikipedia,IN,2022,1,24000
cs.wikipedia,IL,2022,1,20000
cs.wikipedia,EC,2022,1,20000
cs.wikipedia,RO,2022,1,20000
cs.wikipedia,GR,2022,1,20000
cs.wikipedia,HR,2022,1,19000
cs.wikipedia,LT,2022,1,19000
cs.wikipedia,RS,2022,1,18000
cs.wikipedia,LU,2022,1,18000
cs.wikipedia,BG,2022,1,17000
cs.wikipedia,PT,2022,1,17000
cs.wikipedia,SI,2022,1,15000
cs.wikipedia,AE,2022,1,15000
cs.wikipedia,NZ,2022,1,15000
cs.wikipedia,EG,2022,1,12000
cs.wikipedia,KR,2022,1,12000
cs.wikipedia,KZ,2022,1,11000
cs.wikipedia,AR,2022,1,11000
cs.wikipedia,BY,2022,1,11000
cs.wikipedia,CO,2022,1,10000
cs.wikipedia,DO,2022,1,9000
cs.wikipedia,IS,2022,1,9000
cs.wikipedia,ZA,2022,1,9000
cs.wikipedia,IQ,2022,1,8000
cs.wikipedia,LV,2022,1,7000
cs.wikipedia,LK,2022,1,7000
cs.wikipedia,MK,2022,1,6000
cs.wikipedia,EE,2022,1,6000
cs.wikipedia,PK,2022,1,6000
cs.wikipedia,BA,2022,1,6000
cs.wikipedia,TZ,2022,1,6000
