project,iso2,year,month,pageviews_ceil
cy.wikipedia,US,2022,1,147000
cy.wikipedia,GB,2022,1,104000
cy.wikipedia,DE,2022,1,69000
cy.wikipedia,CA,2022,1,32000
cy.wikipedia,FR,2022,1,30000
cy.wikipedia,--,2022,1,23000
cy.wikipedia,IR,2022,1,23000
cy.wikipedia,SG,2022,1,23000
cy.wikipedia,TR,2022,1,17000
cy.wikipedia,RU,2022,1,14000
cy.wikipedia,NL,2022,1,11000
cy.wikipedia,FI,2022,1,8000
cy.wikipedia,LU,2022,1,7000
cy.wikipedia,PL,2022,1,5000
cy.wikipedia,JP,2022,1,5000
cy.wikipedia,UA,2022,1,4000
cy.wikipedia,DK,2022,1,4000
cy.wikipedia,AU,2022,1,3000
cy.wikipedia,BE,2022,1,3000
cy.wikipedia,IT,2022,1,3000
cy.wikipedia,ES,2022,1,3000
cy.wikipedia,IN,2022,1,3000
cy.wikipedia,BR,2022,1,2000
cy.wikipedia,NO,2022,1,2000
cy.wikipedia,HK,2022,1,2000
cy.wikipedia,KR,2022,1,2000
cy.wikipedia,ID,2022,1,2000
cy.wikipedia,SE,2022,1,2000
cy.wikipedia,CN,2022,1,2000
cy.wikipedia,CH,2022,1,2000
cy.wikipedia,TW,2022,1,2000
cy.wikipedia,IE,2022,1,2000
cy.wikipedia,VN,2022,1,2000
cy.wikipedia,PT,2022,1,2000
cy.wikipedia,CZ,2022,1,1000
cy.wikipedia,ZA,2022,1,1000
cy.wikipedia,HU,2022,1,1000
cy.wikipedia,RO,2022,1,1000
cy.wikipedia,AR,2022,1,1000
cy.wikipedia,AT,2022,1,1000
cy.wikipedia,TH,2022,1,1000
cy.wikipedia,BG,2022,1,1000
cy.wikipedia,MX,2022,1,1000
cy.wikipedia,IL,2022,1,1000
cy.wikipedia,CO,2022,1,1000
cy.wikipedia,PH,2022,1,1000
cy.wikipedia,LV,2022,1,1000
cy.wikipedia,BD,2022,1,1000
cy.wikipedia,MY,2022,1,1000
cy.wikipedia,SA,2022,1,1000
cy.wikipedia,GR,2022,1,1000
cy.wikipedia,PK,2022,1,1000
cy.wikipedia,EE,2022,1,1000
cy.wikipedia,GH,2022,1,1000
cy.wikipedia,UY,2022,1,1000
cy.wikipedia,EG,2022,1,1000
cy.wikipedia,NG,2022,1,1000
cy.wikipedia,AZ,2022,1,1000
cy.wikipedia,MD,2022,1,1000
cy.wikipedia,RS,2022,1,1000
cy.wikipedia,MA,2022,1,1000
cy.wikipedia,KH,2022,1,1000
cy.wikipedia,HR,2022,1,1000
cy.wikipedia,CL,2022,1,1000
cy.wikipedia,NZ,2022,1,1000
cy.wikipedia,PE,2022,1,1000
cy.wikipedia,SC,2022,1,1000
cy.wikipedia,CY,2022,1,1000
cy.wikipedia,SK,2022,1,1000
cy.wikipedia,SI,2022,1,1000
cy.wikipedia,BY,2022,1,1000
cy.wikipedia,LT,2022,1,1000
cy.wikipedia,KZ,2022,1,1000
cy.wikipedia,US,2022,2,176000
cy.wikipedia,IN,2022,2,153000
cy.wikipedia,GB,2022,2,96000
cy.wikipedia,RU,2022,2,83000
cy.wikipedia,DE,2022,2,62000
cy.wikipedia,UZ,2022,2,36000
cy.wikipedia,SG,2022,2,31000
cy.wikipedia,IR,2022,2,28000
cy.wikipedia,FR,2022,2,27000
cy.wikipedia,PK,2022,2,25000
cy.wikipedia,KZ,2022,2,25000
cy.wikipedia,CA,2022,2,23000
cy.wikipedia,--,2022,2,21000
cy.wikipedia,UA,2022,2,20000
cy.wikipedia,BY,2022,2,18000
cy.wikipedia,NL,2022,2,16000
cy.wikipedia,TR,2022,2,15000
cy.wikipedia,TJ,2022,2,10000
cy.wikipedia,LU,2022,2,7000
cy.wikipedia,AT,2022,2,7000
cy.wikipedia,GE,2022,2,6000
cy.wikipedia,FI,2022,2,6000
cy.wikipedia,MN,2022,2,5000
cy.wikipedia,KG,2022,2,5000
cy.wikipedia,PH,2022,2,5000
cy.wikipedia,PL,2022,2,4000
cy.wikipedia,ID,2022,2,4000
cy.wikipedia,VN,2022,2,4000
cy.wikipedia,IT,2022,2,4000
cy.wikipedia,ES,2022,2,3000
cy.wikipedia,JP,2022,2,3000
cy.wikipedia,CH,2022,2,3000
cy.wikipedia,AU,2022,2,3000
cy.wikipedia,SE,2022,2,3000
cy.wikipedia,TW,2022,2,3000
cy.wikipedia,IE,2022,2,3000
cy.wikipedia,NO,2022,2,3000
cy.wikipedia,BR,2022,2,3000
cy.wikipedia,AF,2022,2,3000
cy.wikipedia,DK,2022,2,2000
cy.wikipedia,KR,2022,2,2000
cy.wikipedia,HK,2022,2,2000
cy.wikipedia,RO,2022,2,2000
cy.wikipedia,AZ,2022,2,2000
cy.wikipedia,CN,2022,2,2000
cy.wikipedia,MD,2022,2,2000
cy.wikipedia,ZA,2022,2,1000
cy.wikipedia,GR,2022,2,1000
cy.wikipedia,MY,2022,2,1000
cy.wikipedia,AR,2022,2,1000
cy.wikipedia,AM,2022,2,1000
cy.wikipedia,CZ,2022,2,1000
cy.wikipedia,EG,2022,2,1000
cy.wikipedia,AE,2022,2,1000
cy.wikipedia,SA,2022,2,1000
cy.wikipedia,PT,2022,2,1000
cy.wikipedia,MM,2022,2,1000
cy.wikipedia,IL,2022,2,1000
cy.wikipedia,LV,2022,2,1000
cy.wikipedia,BD,2022,2,1000
cy.wikipedia,LK,2022,2,1000
cy.wikipedia,BE,2022,2,1000
cy.wikipedia,HU,2022,2,1000
cy.wikipedia,MX,2022,2,1000
cy.wikipedia,SC,2022,2,1000
cy.wikipedia,BH,2022,2,1000
cy.wikipedia,ET,2022,2,1000
cy.wikipedia,LT,2022,2,1000
cy.wikipedia,TH,2022,2,1000
cy.wikipedia,MA,2022,2,1000
cy.wikipedia,BG,2022,2,1000
cy.wikipedia,KE,2022,2,1000
cy.wikipedia,EC,2022,2,1000
cy.wikipedia,SI,2022,2,1000
cy.wikipedia,NG,2022,2,1000
cy.wikipedia,CL,2022,2,1000
cy.wikipedia,DZ,2022,2,1000
cy.wikipedia,EE,2022,2,1000
cy.wikipedia,RS,2022,2,1000
cy.wikipedia,NE,2022,2,1000
cy.wikipedia,CO,2022,2,1000
cy.wikipedia,SK,2022,2,1000
cy.wikipedia,IQ,2022,2,1000
cy.wikipedia,CY,2022,2,1000
cy.wikipedia,GU,2022,2,1000
cy.wikipedia,LY,2022,2,1000
cy.wikipedia,NZ,2022,2,1000
cy.wikipedia,TM,2022,2,1000
cy.wikipedia,RW,2022,2,1000
cy.wikipedia,HR,2022,2,1000
cy.wikipedia,KW,2022,2,1000
cy.wikipedia,FM,2022,2,1000
cy.wikipedia,BJ,2022,2,1000
cy.wikipedia,PE,2022,2,1000
cy.wikipedia,CD,2022,2,1000
cy.wikipedia,IN,2022,3,299000
cy.wikipedia,RU,2022,3,154000
cy.wikipedia,US,2022,3,105000
cy.wikipedia,GB,2022,3,104000
cy.wikipedia,UZ,2022,3,86000
cy.wikipedia,DE,2022,3,72000
cy.wikipedia,PK,2022,3,51000
cy.wikipedia,KZ,2022,3,50000
cy.wikipedia,IR,2022,3,45000
cy.wikipedia,CA,2022,3,41000
cy.wikipedia,BY,2022,3,27000
cy.wikipedia,FR,2022,3,26000
cy.wikipedia,--,2022,3,23000
cy.wikipedia,TJ,2022,3,21000
cy.wikipedia,UA,2022,3,19000
cy.wikipedia,SG,2022,3,16000
cy.wikipedia,NL,2022,3,16000
cy.wikipedia,AT,2022,3,13000
cy.wikipedia,GE,2022,3,13000
cy.wikipedia,ID,2022,3,10000
cy.wikipedia,KG,2022,3,9000
cy.wikipedia,MN,2022,3,8000
cy.wikipedia,CH,2022,3,7000
cy.wikipedia,AF,2022,3,7000
cy.wikipedia,VN,2022,3,7000
cy.wikipedia,PH,2022,3,6000
cy.wikipedia,TR,2022,3,6000
cy.wikipedia,PL,2022,3,5000
cy.wikipedia,LU,2022,3,5000
cy.wikipedia,IE,2022,3,4000
cy.wikipedia,NO,2022,3,4000
cy.wikipedia,IT,2022,3,4000
cy.wikipedia,AU,2022,3,4000
cy.wikipedia,JP,2022,3,4000
cy.wikipedia,ES,2022,3,3000
cy.wikipedia,MY,2022,3,3000
cy.wikipedia,AZ,2022,3,3000
cy.wikipedia,HK,2022,3,2000
cy.wikipedia,RO,2022,3,2000
cy.wikipedia,BR,2022,3,2000
cy.wikipedia,KR,2022,3,2000
cy.wikipedia,LV,2022,3,2000
