project,iso2,year,month,pageviews_ceil
da.wikipedia,DK,2022,1,23604000
da.wikipedia,US,2022,1,555000
da.wikipedia,DE,2022,1,377000
da.wikipedia,SE,2022,1,200000
da.wikipedia,NO,2022,1,184000
da.wikipedia,FR,2022,1,125000
da.wikipedia,NL,2022,1,122000
da.wikipedia,BR,2022,1,105000
da.wikipedia,CA,2022,1,100000
da.wikipedia,FO,2022,1,100000
da.wikipedia,ID,2022,1,87000
da.wikipedia,GB,2022,1,86000
da.wikipedia,ES,2022,1,79000
da.wikipedia,IR,2022,1,74000
da.wikipedia,GL,2022,1,66000
da.wikipedia,SG,2022,1,64000
da.wikipedia,RU,2022,1,63000
da.wikipedia,TW,2022,1,57000
da.wikipedia,HK,2022,1,50000
da.wikipedia,PL,2022,1,43000
da.wikipedia,FI,2022,1,41000
da.wikipedia,--,2022,1,40000
da.wikipedia,MY,2022,1,39000
da.wikipedia,IT,2022,1,35000
da.wikipedia,TH,2022,1,33000
da.wikipedia,TR,2022,1,31000
da.wikipedia,JP,2022,1,26000
da.wikipedia,PH,2022,1,25000
da.wikipedia,CH,2022,1,24000
da.wikipedia,IN,2022,1,24000
da.wikipedia,BE,2022,1,24000
da.wikipedia,AT,2022,1,22000
da.wikipedia,AU,2022,1,20000
da.wikipedia,MX,2022,1,19000
da.wikipedia,IS,2022,1,18000
da.wikipedia,BD,2022,1,17000
da.wikipedia,UA,2022,1,17000
da.wikipedia,CZ,2022,1,17000
da.wikipedia,VN,2022,1,15000
da.wikipedia,LU,2022,1,14000
da.wikipedia,EC,2022,1,13000
da.wikipedia,PT,2022,1,12000
da.wikipedia,MD,2022,1,11000
da.wikipedia,IL,2022,1,9000
da.wikipedia,KR,2022,1,9000
da.wikipedia,HU,2022,1,9000
da.wikipedia,IE,2022,1,9000
da.wikipedia,RO,2022,1,9000
da.wikipedia,AR,2022,1,8000
da.wikipedia,GR,2022,1,7000
da.wikipedia,ZA,2022,1,7000
da.wikipedia,CO,2022,1,7000
da.wikipedia,AE,2022,1,6000
da.wikipedia,IQ,2022,1,5000
da.wikipedia,RS,2022,1,5000
da.wikipedia,PK,2022,1,5000
da.wikipedia,BG,2022,1,5000
da.wikipedia,LT,2022,1,5000
da.wikipedia,EG,2022,1,5000
da.wikipedia,EE,2022,1,5000
da.wikipedia,LV,2022,1,4000
da.wikipedia,PE,2022,1,4000
da.wikipedia,CL,2022,1,4000
da.wikipedia,NZ,2022,1,4000
da.wikipedia,MO,2022,1,4000
da.wikipedia,DZ,2022,1,3000
da.wikipedia,SK,2022,1,3000
da.wikipedia,NG,2022,1,3000
da.wikipedia,KE,2022,1,3000
da.wikipedia,BY,2022,1,3000
da.wikipedia,NP,2022,1,3000
da.wikipedia,HR,2022,1,3000
da.wikipedia,MA,2022,1,3000
da.wikipedia,TZ,2022,1,3000
da.wikipedia,CR,2022,1,3000
da.wikipedia,KH,2022,1,3000
