project,iso2,year,month,pageviews_ceil
dag.wikipedia,US,2022,1,6000
dag.wikipedia,FR,2022,1,5000
dag.wikipedia,GH,2022,1,5000
dag.wikipedia,DE,2022,1,2000
dag.wikipedia,RU,2022,1,2000
dag.wikipedia,SG,2022,1,1000
dag.wikipedia,CA,2022,1,1000
dag.wikipedia,IR,2022,1,1000
dag.wikipedia,HK,2022,1,1000
dag.wikipedia,PL,2022,1,1000
dag.wikipedia,GB,2022,1,1000
dag.wikipedia,IT,2022,1,1000
dag.wikipedia,NL,2022,1,1000
dag.wikipedia,CH,2022,1,1000
dag.wikipedia,IN,2022,1,1000
dag.wikipedia,BR,2022,1,1000
dag.wikipedia,FI,2022,1,1000
dag.wikipedia,ES,2022,1,1000
dag.wikipedia,IQ,2022,1,1000
dag.wikipedia,CN,2022,1,1000
dag.wikipedia,SA,2022,1,1000
dag.wikipedia,MY,2022,1,1000
dag.wikipedia,KR,2022,1,1000
dag.wikipedia,IN,2022,2,25000
dag.wikipedia,RU,2022,2,13000
dag.wikipedia,US,2022,2,7000
dag.wikipedia,UZ,2022,2,5000
dag.wikipedia,GH,2022,2,5000
dag.wikipedia,FR,2022,2,4000
dag.wikipedia,PK,2022,2,4000
dag.wikipedia,KZ,2022,2,4000
dag.wikipedia,NL,2022,2,3000
dag.wikipedia,UA,2022,2,3000
dag.wikipedia,BY,2022,2,3000
dag.wikipedia,DE,2022,2,2000
dag.wikipedia,TJ,2022,2,2000
dag.wikipedia,BR,2022,2,2000
dag.wikipedia,IR,2022,2,2000
dag.wikipedia,GE,2022,2,1000
dag.wikipedia,GB,2022,2,1000
dag.wikipedia,MN,2022,2,1000
dag.wikipedia,SG,2022,2,1000
dag.wikipedia,PH,2022,2,1000
dag.wikipedia,KG,2022,2,1000
dag.wikipedia,CA,2022,2,1000
dag.wikipedia,PL,2022,2,1000
dag.wikipedia,VN,2022,2,1000
dag.wikipedia,AF,2022,2,1000
dag.wikipedia,TW,2022,2,1000
dag.wikipedia,ES,2022,2,1000
dag.wikipedia,ID,2022,2,1000
dag.wikipedia,IT,2022,2,1000
dag.wikipedia,TR,2022,2,1000
dag.wikipedia,IE,2022,2,1000
dag.wikipedia,CN,2022,2,1000
dag.wikipedia,AZ,2022,2,1000
dag.wikipedia,GR,2022,2,1000
dag.wikipedia,LK,2022,2,1000
dag.wikipedia,MY,2022,2,1000
dag.wikipedia,HK,2022,2,1000
dag.wikipedia,AE,2022,2,1000
dag.wikipedia,--,2022,2,1000
dag.wikipedia,FM,2022,2,1000
dag.wikipedia,AU,2022,2,1000
dag.wikipedia,FI,2022,2,1000
dag.wikipedia,MD,2022,2,1000
dag.wikipedia,BD,2022,2,1000
dag.wikipedia,MA,2022,2,1000
dag.wikipedia,EG,2022,2,1000
dag.wikipedia,SC,2022,2,1000
dag.wikipedia,IN,2022,3,41000
dag.wikipedia,RU,2022,3,15000
dag.wikipedia,UZ,2022,3,10000
dag.wikipedia,US,2022,3,8000
dag.wikipedia,PK,2022,3,8000
dag.wikipedia,KZ,2022,3,6000
dag.wikipedia,TJ,2022,3,5000
dag.wikipedia,GH,2022,3,4000
dag.wikipedia,DE,2022,3,4000
dag.wikipedia,NL,2022,3,3000
dag.wikipedia,FR,2022,3,3000
dag.wikipedia,UA,2022,3,3000
dag.wikipedia,BY,2022,3,3000
dag.wikipedia,IR,2022,3,2000
dag.wikipedia,GE,2022,3,2000
dag.wikipedia,VN,2022,3,2000
dag.wikipedia,AF,2022,3,2000
dag.wikipedia,CA,2022,3,2000
dag.wikipedia,GB,2022,3,1000
dag.wikipedia,KG,2022,3,1000
dag.wikipedia,MN,2022,3,1000
dag.wikipedia,PH,2022,3,1000
dag.wikipedia,SE,2022,3,1000
dag.wikipedia,SG,2022,3,1000
