project,iso2,year,month,pageviews_ceil
de.wikipedia,DE,2022,1,801083000
de.wikipedia,AT,2022,1,86735000
de.wikipedia,CH,2022,1,53881000
de.wikipedia,US,2022,1,11388000
de.wikipedia,IT,2022,1,4085000
de.wikipedia,NL,2022,1,3727000
de.wikipedia,FR,2022,1,3530000
de.wikipedia,GB,2022,1,3327000
de.wikipedia,RU,2022,1,3023000
de.wikipedia,ES,2022,1,2609000
de.wikipedia,LU,2022,1,2301000
de.wikipedia,PL,2022,1,1827000
de.wikipedia,BE,2022,1,1763000
de.wikipedia,CZ,2022,1,1244000
de.wikipedia,SE,2022,1,1212000
de.wikipedia,DK,2022,1,1137000
de.wikipedia,--,2022,1,1099000
de.wikipedia,TR,2022,1,979000
de.wikipedia,HU,2022,1,969000
de.wikipedia,CA,2022,1,940000
de.wikipedia,JP,2022,1,751000
de.wikipedia,BR,2022,1,742000
de.wikipedia,NO,2022,1,654000
de.wikipedia,FI,2022,1,633000
de.wikipedia,TH,2022,1,561000
de.wikipedia,RO,2022,1,554000
de.wikipedia,IR,2022,1,551000
de.wikipedia,IE,2022,1,549000
de.wikipedia,PT,2022,1,516000
de.wikipedia,GR,2022,1,493000
de.wikipedia,MX,2022,1,468000
de.wikipedia,IN,2022,1,435000
de.wikipedia,UA,2022,1,429000
de.wikipedia,ID,2022,1,367000
de.wikipedia,SK,2022,1,366000
de.wikipedia,HR,2022,1,361000
de.wikipedia,BG,2022,1,353000
de.wikipedia,AU,2022,1,339000
de.wikipedia,TW,2022,1,312000
de.wikipedia,LI,2022,1,312000
de.wikipedia,RS,2022,1,309000
de.wikipedia,SG,2022,1,298000
de.wikipedia,HK,2022,1,287000
de.wikipedia,SI,2022,1,256000
de.wikipedia,IL,2022,1,249000
de.wikipedia,EG,2022,1,239000
de.wikipedia,BA,2022,1,230000
de.wikipedia,KR,2022,1,226000
de.wikipedia,AE,2022,1,223000
de.wikipedia,MD,2022,1,217000
de.wikipedia,ZA,2022,1,196000
de.wikipedia,AR,2022,1,183000
de.wikipedia,CO,2022,1,155000
de.wikipedia,PH,2022,1,149000
de.wikipedia,EE,2022,1,141000
de.wikipedia,VN,2022,1,140000
