project,iso2,year,month,pageviews_ceil
diq.wikipedia,US,2022,1,53000
diq.wikipedia,IR,2022,1,40000
diq.wikipedia,NL,2022,1,21000
diq.wikipedia,DE,2022,1,21000
diq.wikipedia,FR,2022,1,13000
diq.wikipedia,CA,2022,1,11000
diq.wikipedia,SG,2022,1,10000
diq.wikipedia,TR,2022,1,10000
diq.wikipedia,RU,2022,1,5000
diq.wikipedia,GB,2022,1,4000
diq.wikipedia,FI,2022,1,3000
diq.wikipedia,--,2022,1,3000
diq.wikipedia,PL,2022,1,3000
diq.wikipedia,JP,2022,1,2000
diq.wikipedia,AZ,2022,1,2000
diq.wikipedia,IT,2022,1,2000
diq.wikipedia,HK,2022,1,1000
diq.wikipedia,UA,2022,1,1000
diq.wikipedia,CN,2022,1,1000
diq.wikipedia,IN,2022,1,1000
diq.wikipedia,DK,2022,1,1000
diq.wikipedia,BE,2022,1,1000
diq.wikipedia,SE,2022,1,1000
diq.wikipedia,BR,2022,1,1000
diq.wikipedia,ES,2022,1,1000
diq.wikipedia,KR,2022,1,1000
diq.wikipedia,ID,2022,1,1000
diq.wikipedia,TW,2022,1,1000
diq.wikipedia,AU,2022,1,1000
diq.wikipedia,CH,2022,1,1000
diq.wikipedia,VN,2022,1,1000
diq.wikipedia,PT,2022,1,1000
diq.wikipedia,AL,2022,1,1000
diq.wikipedia,IQ,2022,1,1000
diq.wikipedia,RO,2022,1,1000
diq.wikipedia,CZ,2022,1,1000
diq.wikipedia,RS,2022,1,1000
diq.wikipedia,GR,2022,1,1000
diq.wikipedia,LV,2022,1,1000
diq.wikipedia,AT,2022,1,1000
diq.wikipedia,MY,2022,1,1000
diq.wikipedia,IE,2022,1,1000
diq.wikipedia,BG,2022,1,1000
diq.wikipedia,NO,2022,1,1000
diq.wikipedia,NG,2022,1,1000
diq.wikipedia,PK,2022,1,1000
diq.wikipedia,HU,2022,1,1000
diq.wikipedia,GE,2022,1,1000
diq.wikipedia,CL,2022,1,1000
diq.wikipedia,HR,2022,1,1000
diq.wikipedia,TH,2022,1,1000
diq.wikipedia,SI,2022,1,1000
diq.wikipedia,IL,2022,1,1000
diq.wikipedia,LT,2022,1,1000
diq.wikipedia,MX,2022,1,1000
diq.wikipedia,MK,2022,1,1000
diq.wikipedia,MA,2022,1,1000
diq.wikipedia,EG,2022,1,1000
diq.wikipedia,ZA,2022,1,1000
diq.wikipedia,SA,2022,1,1000
diq.wikipedia,GH,2022,1,1000
diq.wikipedia,PH,2022,1,1000
diq.wikipedia,SC,2022,1,1000
diq.wikipedia,BA,2022,1,1000
diq.wikipedia,PE,2022,1,1000
diq.wikipedia,CY,2022,1,1000
diq.wikipedia,CO,2022,1,1000
diq.wikipedia,BD,2022,1,1000
diq.wikipedia,IN,2022,2,135000
diq.wikipedia,RU,2022,2,73000
diq.wikipedia,US,2022,2,62000
diq.wikipedia,UZ,2022,2,31000
diq.wikipedia,DE,2022,2,28000
diq.wikipedia,PK,2022,2,22000
diq.wikipedia,NL,2022,2,21000
diq.wikipedia,KZ,2022,2,21000
diq.wikipedia,IR,2022,2,16000
diq.wikipedia,UA,2022,2,15000
diq.wikipedia,BY,2022,2,15000
diq.wikipedia,FR,2022,2,13000
diq.wikipedia,SG,2022,2,11000
diq.wikipedia,TJ,2022,2,9000
diq.wikipedia,TR,2022,2,8000
diq.wikipedia,CA,2022,2,8000
diq.wikipedia,GB,2022,2,7000
diq.wikipedia,GE,2022,2,6000
diq.wikipedia,MN,2022,2,4000
diq.wikipedia,KG,2022,2,4000
diq.wikipedia,PH,2022,2,4000
diq.wikipedia,TW,2022,2,3000
diq.wikipedia,VN,2022,2,3000
diq.wikipedia,BR,2022,2,3000
diq.wikipedia,--,2022,2,3000
diq.wikipedia,PL,2022,2,3000
diq.wikipedia,AZ,2022,2,2000
diq.wikipedia,ID,2022,2,2000
diq.wikipedia,AF,2022,2,2000
diq.wikipedia,IT,2022,2,2000
diq.wikipedia,ES,2022,2,2000
diq.wikipedia,JP,2022,2,2000
diq.wikipedia,FI,2022,2,2000
diq.wikipedia,MD,2022,2,1000
diq.wikipedia,DK,2022,2,1000
diq.wikipedia,AU,2022,2,1000
diq.wikipedia,CN,2022,2,1000
diq.wikipedia,ZA,2022,2,1000
diq.wikipedia,EG,2022,2,1000
diq.wikipedia,AL,2022,2,1000
diq.wikipedia,MM,2022,2,1000
diq.wikipedia,AM,2022,2,1000
diq.wikipedia,IE,2022,2,1000
diq.wikipedia,HK,2022,2,1000
diq.wikipedia,MY,2022,2,1000
diq.wikipedia,AE,2022,2,1000
diq.wikipedia,SA,2022,2,1000
diq.wikipedia,IQ,2022,2,1000
diq.wikipedia,GR,2022,2,1000
diq.wikipedia,SE,2022,2,1000
diq.wikipedia,CH,2022,2,1000
diq.wikipedia,LK,2022,2,1000
diq.wikipedia,NO,2022,2,1000
diq.wikipedia,BD,2022,2,1000
diq.wikipedia,LV,2022,2,1000
diq.wikipedia,NG,2022,2,1000
diq.wikipedia,IL,2022,2,1000
diq.wikipedia,BH,2022,2,1000
diq.wikipedia,SC,2022,2,1000
diq.wikipedia,RO,2022,2,1000
diq.wikipedia,KR,2022,2,1000
diq.wikipedia,ET,2022,2,1000
diq.wikipedia,CZ,2022,2,1000
diq.wikipedia,BE,2022,2,1000
diq.wikipedia,CY,2022,2,1000
diq.wikipedia,MK,2022,2,1000
diq.wikipedia,KW,2022,2,1000
diq.wikipedia,RS,2022,2,1000
diq.wikipedia,AT,2022,2,1000
diq.wikipedia,BG,2022,2,1000
diq.wikipedia,PT,2022,2,1000
diq.wikipedia,DZ,2022,2,1000
diq.wikipedia,CL,2022,2,1000
diq.wikipedia,RW,2022,2,1000
diq.wikipedia,MA,2022,2,1000
diq.wikipedia,LT,2022,2,1000
diq.wikipedia,LY,2022,2,1000
diq.wikipedia,HR,2022,2,1000
diq.wikipedia,MX,2022,2,1000
diq.wikipedia,SI,2022,2,1000
diq.wikipedia,KE,2022,2,1000
diq.wikipedia,NE,2022,2,1000
diq.wikipedia,TM,2022,2,1000
diq.wikipedia,SK,2022,2,1000
diq.wikipedia,HU,2022,2,1000
diq.wikipedia,BA,2022,2,1000
diq.wikipedia,BJ,2022,2,1000
diq.wikipedia,FM,2022,2,1000
diq.wikipedia,TH,2022,2,1000
diq.wikipedia,IN,2022,3,248000
diq.wikipedia,RU,2022,3,110000
diq.wikipedia,UZ,2022,3,69000
diq.wikipedia,PK,2022,3,44000
diq.wikipedia,US,2022,3,42000
diq.wikipedia,KZ,2022,3,42000
diq.wikipedia,DE,2022,3,29000
diq.wikipedia,NL,2022,3,25000
diq.wikipedia,BY,2022,3,20000
diq.wikipedia,TJ,2022,3,18000
diq.wikipedia,UA,2022,3,15000
diq.wikipedia,IR,2022,3,14000
diq.wikipedia,CA,2022,3,13000
diq.wikipedia,FR,2022,3,13000
diq.wikipedia,TR,2022,3,13000
diq.wikipedia,GE,2022,3,10000
diq.wikipedia,KG,2022,3,8000
diq.wikipedia,SG,2022,3,7000
diq.wikipedia,MN,2022,3,6000
diq.wikipedia,AT,2022,3,6000
diq.wikipedia,AF,2022,3,6000
diq.wikipedia,GB,2022,3,6000
diq.wikipedia,PH,2022,3,5000
diq.wikipedia,VN,2022,3,4000
diq.wikipedia,IE,2022,3,3000
diq.wikipedia,PL,2022,3,3000
diq.wikipedia,AZ,2022,3,3000
diq.wikipedia,ID,2022,3,3000
diq.wikipedia,CZ,2022,3,2000
diq.wikipedia,SE,2022,3,2000
diq.wikipedia,JP,2022,3,2000
diq.wikipedia,--,2022,3,2000
diq.wikipedia,MY,2022,3,2000
diq.wikipedia,TM,2022,3,2000
diq.wikipedia,HK,2022,3,2000
diq.wikipedia,IT,2022,3,2000
diq.wikipedia,ES,2022,3,2000
diq.wikipedia,IQ,2022,3,2000
diq.wikipedia,AL,2022,3,2000
diq.wikipedia,MD,2022,3,2000
diq.wikipedia,RO,2022,3,1000
diq.wikipedia,NO,2022,3,1000
diq.wikipedia,BD,2022,3,1000
diq.wikipedia,DK,2022,3,1000
diq.wikipedia,GR,2022,3,1000
diq.wikipedia,ZA,2022,3,1000
diq.wikipedia,LV,2022,3,1000
diq.wikipedia,SA,2022,3,1000
diq.wikipedia,MM,2022,3,1000
diq.wikipedia,BR,2022,3,1000
diq.wikipedia,AE,2022,3,1000
diq.wikipedia,TH,2022,3,1000
diq.wikipedia,AU,2022,3,1000
diq.wikipedia,MX,2022,3,1000
diq.wikipedia,IL,2022,3,1000
diq.wikipedia,EG,2022,3,1000
diq.wikipedia,ET,2022,3,1000
diq.wikipedia,KR,2022,3,1000
diq.wikipedia,CN,2022,3,1000
diq.wikipedia,BH,2022,3,1000
diq.wikipedia,NG,2022,3,1000
diq.wikipedia,PT,2022,3,1000
diq.wikipedia,NP,2022,3,1000
diq.wikipedia,RS,2022,3,1000
diq.wikipedia,CH,2022,3,1000
diq.wikipedia,TW,2022,3,1000
diq.wikipedia,CL,2022,3,1000
diq.wikipedia,MK,2022,3,1000
diq.wikipedia,CO,2022,3,1000
diq.wikipedia,LK,2022,3,1000
diq.wikipedia,LT,2022,3,1000
diq.wikipedia,CI,2022,3,1000
diq.wikipedia,AM,2022,3,1000
diq.wikipedia,BE,2022,3,1000
diq.wikipedia,FI,2022,3,1000
diq.wikipedia,CY,2022,3,1000
diq.wikipedia,MZ,2022,3,1000
diq.wikipedia,CD,2022,3,1000
diq.wikipedia,TZ,2022,3,1000
diq.wikipedia,KE,2022,3,1000
diq.wikipedia,BG,2022,3,1000
diq.wikipedia,SC,2022,3,1000
diq.wikipedia,KW,2022,3,1000
diq.wikipedia,HR,2022,3,1000
diq.wikipedia,HU,2022,3,1000
diq.wikipedia,BT,2022,3,1000
diq.wikipedia,SI,2022,3,1000
diq.wikipedia,NE,2022,3,1000
diq.wikipedia,OM,2022,3,1000
diq.wikipedia,ZM,2022,3,1000
diq.wikipedia,DO,2022,3,1000
diq.wikipedia,EE,2022,3,1000
diq.wikipedia,XK,2022,3,1000
diq.wikipedia,NZ,2022,3,1000
diq.wikipedia,RW,2022,3,1000
diq.wikipedia,BA,2022,3,1000
diq.wikipedia,SK,2022,3,1000
diq.wikipedia,MA,2022,3,1000
diq.wikipedia,IN,2022,4,135000
diq.wikipedia,RU,2022,4,93000
diq.wikipedia,US,2022,4,51000
diq.wikipedia,UZ,2022,4,38000
diq.wikipedia,KZ,2022,4,28000
diq.wikipedia,BY,2022,4,20000
diq.wikipedia,DE,2022,4,19000
diq.wikipedia,UA,2022,4,17000
diq.wikipedia,NL,2022,4,15000
diq.wikipedia,CA,2022,4,15000
diq.wikipedia,PK,2022,4,15000
diq.wikipedia,TR,2022,4,12000
diq.wikipedia,TJ,2022,4,12000
diq.wikipedia,FR,2022,4,10000
diq.wikipedia,IR,2022,4,10000
diq.wikipedia,GE,2022,4,8000
diq.wikipedia,SG,2022,4,6000
diq.wikipedia,MN,2022,4,6000
diq.wikipedia,AF,2022,4,5000
diq.wikipedia,SE,2022,4,5000
diq.wikipedia,GB,2022,4,5000
diq.wikipedia,KG,2022,4,4000
diq.wikipedia,VN,2022,4,3000
diq.wikipedia,AZ,2022,4,3000
diq.wikipedia,JP,2022,4,3000
diq.wikipedia,PH,2022,4,3000
diq.wikipedia,PL,2022,4,3000
diq.wikipedia,IT,2022,4,2000
diq.wikipedia,--,2022,4,2000
diq.wikipedia,ID,2022,4,2000
diq.wikipedia,IQ,2022,4,2000
diq.wikipedia,DK,2022,4,2000
diq.wikipedia,MY,2022,4,2000
diq.wikipedia,KR,2022,4,2000
diq.wikipedia,ZA,2022,4,2000
diq.wikipedia,AE,2022,4,1000
diq.wikipedia,BR,2022,4,1000
diq.wikipedia,NO,2022,4,1000
diq.wikipedia,CL,2022,4,1000
diq.wikipedia,SA,2022,4,1000
diq.wikipedia,TM,2022,4,1000
diq.wikipedia,AL,2022,4,1000
diq.wikipedia,KE,2022,4,1000
diq.wikipedia,HK,2022,4,1000
diq.wikipedia,EG,2022,4,1000
diq.wikipedia,ES,2022,4,1000
diq.wikipedia,MD,2022,4,1000
diq.wikipedia,AU,2022,4,1000
diq.wikipedia,AM,2022,4,1000
diq.wikipedia,NG,2022,4,1000
diq.wikipedia,CH,2022,4,1000
diq.wikipedia,AT,2022,4,1000
diq.wikipedia,MM,2022,4,1000
diq.wikipedia,RS,2022,4,1000
diq.wikipedia,KW,2022,4,1000
diq.wikipedia,RO,2022,4,1000
diq.wikipedia,OM,2022,4,1000
diq.wikipedia,LT,2022,4,1000
diq.wikipedia,BG,2022,4,1000
diq.wikipedia,TW,2022,4,1000
diq.wikipedia,EE,2022,4,1000
diq.wikipedia,IL,2022,4,1000
diq.wikipedia,CZ,2022,4,1000
diq.wikipedia,GU,2022,4,1000
diq.wikipedia,BE,2022,4,1000
diq.wikipedia,IE,2022,4,1000
diq.wikipedia,FI,2022,4,1000
diq.wikipedia,CO,2022,4,1000
diq.wikipedia,GR,2022,4,1000
diq.wikipedia,BD,2022,4,1000
diq.wikipedia,LK,2022,4,1000
diq.wikipedia,MK,2022,4,1000
diq.wikipedia,MA,2022,4,1000
diq.wikipedia,PT,2022,4,1000
diq.wikipedia,ET,2022,4,1000
diq.wikipedia,HR,2022,4,1000
diq.wikipedia,JO,2022,4,1000
diq.wikipedia,LV,2022,4,1000
diq.wikipedia,CY,2022,4,1000
diq.wikipedia,HU,2022,4,1000
diq.wikipedia,TH,2022,4,1000
diq.wikipedia,MZ,2022,4,1000
diq.wikipedia,RW,2022,4,1000
diq.wikipedia,SL,2022,4,1000
diq.wikipedia,CN,2022,4,1000
diq.wikipedia,SC,2022,4,1000
diq.wikipedia,BA,2022,4,1000
diq.wikipedia,MX,2022,4,1000
diq.wikipedia,BT,2022,4,1000
diq.wikipedia,DO,2022,4,1000
diq.wikipedia,SY,2022,4,1000
diq.wikipedia,NP,2022,4,1000
diq.wikipedia,SI,2022,4,1000
diq.wikipedia,VE,2022,4,1000
diq.wikipedia,NZ,2022,4,1000
diq.wikipedia,SK,2022,4,1000
diq.wikipedia,IS,2022,4,1000
diq.wikipedia,IN,2022,5,166000
diq.wikipedia,RU,2022,5,130000
diq.wikipedia,US,2022,5,69000
diq.wikipedia,UZ,2022,5,48000
diq.wikipedia,KZ,2022,5,36000
diq.wikipedia,IR,2022,5,33000
diq.wikipedia,PK,2022,5,32000
diq.wikipedia,BY,2022,5,26000
diq.wikipedia,DE,2022,5,25000
diq.wikipedia,CA,2022,5,18000
diq.wikipedia,UA,2022,5,15000
diq.wikipedia,GE,2022,5,15000
diq.wikipedia,TJ,2022,5,14000
diq.wikipedia,NL,2022,5,13000
diq.wikipedia,FR,2022,5,12000
diq.wikipedia,SG,2022,5,7000
diq.wikipedia,TR,2022,5,7000
diq.wikipedia,KG,2022,5,7000
diq.wikipedia,GB,2022,5,5000
diq.wikipedia,MN,2022,5,5000
diq.wikipedia,PL,2022,5,4000
diq.wikipedia,PH,2022,5,4000
diq.wikipedia,HK,2022,5,3000
diq.wikipedia,VN,2022,5,3000
diq.wikipedia,AF,2022,5,3000
diq.wikipedia,KE,2022,5,3000
diq.wikipedia,SE,2022,5,3000
diq.wikipedia,AE,2022,5,3000
diq.wikipedia,IT,2022,5,2000
diq.wikipedia,--,2022,5,2000
diq.wikipedia,ID,2022,5,2000
diq.wikipedia,AZ,2022,5,2000
diq.wikipedia,AM,2022,5,2000
diq.wikipedia,JP,2022,5,2000
diq.wikipedia,EG,2022,5,2000
diq.wikipedia,SA,2022,5,1000
diq.wikipedia,MM,2022,5,1000
diq.wikipedia,ZA,2022,5,1000
diq.wikipedia,BR,2022,5,1000
diq.wikipedia,AU,2022,5,1000
diq.wikipedia,OM,2022,5,1000
diq.wikipedia,KR,2022,5,1000
diq.wikipedia,TM,2022,5,1000
diq.wikipedia,CZ,2022,5,1000
diq.wikipedia,MD,2022,5,1000
diq.wikipedia,PT,2022,5,1000
diq.wikipedia,ES,2022,5,1000
diq.wikipedia,RO,2022,5,1000
diq.wikipedia,MY,2022,5,1000
diq.wikipedia,BT,2022,5,1000
diq.wikipedia,IQ,2022,5,1000
diq.wikipedia,GU,2022,5,1000
diq.wikipedia,DK,2022,5,1000
diq.wikipedia,NP,2022,5,1000
diq.wikipedia,MZ,2022,5,1000
diq.wikipedia,ET,2022,5,1000
diq.wikipedia,BA,2022,5,1000
diq.wikipedia,NG,2022,5,1000
diq.wikipedia,CY,2022,5,1000
diq.wikipedia,TH,2022,5,1000
diq.wikipedia,IL,2022,5,1000
diq.wikipedia,BG,2022,5,1000
diq.wikipedia,TW,2022,5,1000
diq.wikipedia,CH,2022,5,1000
diq.wikipedia,BD,2022,5,1000
diq.wikipedia,HU,2022,5,1000
diq.wikipedia,CO,2022,5,1000
diq.wikipedia,GR,2022,5,1000
diq.wikipedia,LT,2022,5,1000
diq.wikipedia,LV,2022,5,1000
diq.wikipedia,AT,2022,5,1000
diq.wikipedia,FI,2022,5,1000
diq.wikipedia,BH,2022,5,1000
diq.wikipedia,JO,2022,5,1000
diq.wikipedia,IE,2022,5,1000
diq.wikipedia,DO,2022,5,1000
diq.wikipedia,BE,2022,5,1000
diq.wikipedia,SL,2022,5,1000
diq.wikipedia,NO,2022,5,1000
diq.wikipedia,RS,2022,5,1000
diq.wikipedia,HR,2022,5,1000
diq.wikipedia,VE,2022,5,1000
diq.wikipedia,EE,2022,5,1000
diq.wikipedia,MX,2022,5,1000
diq.wikipedia,MA,2022,5,1000
diq.wikipedia,CL,2022,5,1000
diq.wikipedia,RW,2022,5,1000
diq.wikipedia,LK,2022,5,1000
diq.wikipedia,RU,2022,6,179000
diq.wikipedia,IN,2022,6,157000
diq.wikipedia,US,2022,6,111000
diq.wikipedia,GB,2022,6,90000
diq.wikipedia,UZ,2022,6,44000
diq.wikipedia,KZ,2022,6,32000
diq.wikipedia,PK,2022,6,30000
diq.wikipedia,BY,2022,6,22000
diq.wikipedia,IR,2022,6,18000
diq.wikipedia,DE,2022,6,17000
diq.wikipedia,CA,2022,6,14000
diq.wikipedia,TJ,2022,6,13000
diq.wikipedia,UA,2022,6,12000
diq.wikipedia,NL,2022,6,12000
diq.wikipedia,FR,2022,6,12000
diq.wikipedia,GE,2022,6,11000
diq.wikipedia,SG,2022,6,9000
diq.wikipedia,TR,2022,6,9000
diq.wikipedia,KG,2022,6,8000
diq.wikipedia,PH,2022,6,6000
diq.wikipedia,MN,2022,6,4000
diq.wikipedia,VN,2022,6,4000
diq.wikipedia,AF,2022,6,3000
diq.wikipedia,HK,2022,6,2000
diq.wikipedia,IT,2022,6,2000
diq.wikipedia,ES,2022,6,2000
diq.wikipedia,SE,2022,6,2000
diq.wikipedia,MD,2022,6,2000
diq.wikipedia,JP,2022,6,2000
diq.wikipedia,ID,2022,6,2000
diq.wikipedia,AE,2022,6,2000
diq.wikipedia,PL,2022,6,2000
diq.wikipedia,SA,2022,6,2000
diq.wikipedia,NG,2022,6,2000
diq.wikipedia,KE,2022,6,2000
diq.wikipedia,--,2022,6,2000
diq.wikipedia,AZ,2022,6,2000
diq.wikipedia,AM,2022,6,1000
diq.wikipedia,IQ,2022,6,1000
diq.wikipedia,AU,2022,6,1000
diq.wikipedia,CZ,2022,6,1000
diq.wikipedia,OM,2022,6,1000
diq.wikipedia,BD,2022,6,1000
diq.wikipedia,MY,2022,6,1000
diq.wikipedia,EG,2022,6,1000
diq.wikipedia,BR,2022,6,1000
diq.wikipedia,IL,2022,6,1000
diq.wikipedia,ZA,2022,6,1000
diq.wikipedia,KR,2022,6,1000
diq.wikipedia,FI,2022,6,1000
diq.wikipedia,MM,2022,6,1000
diq.wikipedia,TH,2022,6,1000
diq.wikipedia,BT,2022,6,1000
diq.wikipedia,DK,2022,6,1000
diq.wikipedia,RO,2022,6,1000
diq.wikipedia,IE,2022,6,1000
diq.wikipedia,CO,2022,6,1000
diq.wikipedia,CH,2022,6,1000
diq.wikipedia,BG,2022,6,1000
diq.wikipedia,TM,2022,6,1000
diq.wikipedia,SC,2022,6,1000
diq.wikipedia,EE,2022,6,1000
diq.wikipedia,ET,2022,6,1000
diq.wikipedia,NO,2022,6,1000
diq.wikipedia,CY,2022,6,1000
diq.wikipedia,KW,2022,6,1000
diq.wikipedia,GR,2022,6,1000
diq.wikipedia,LV,2022,6,1000
diq.wikipedia,BH,2022,6,1000
diq.wikipedia,CL,2022,6,1000
diq.wikipedia,NP,2022,6,1000
diq.wikipedia,AT,2022,6,1000
diq.wikipedia,HU,2022,6,1000
diq.wikipedia,MU,2022,6,1000
diq.wikipedia,JO,2022,6,1000
diq.wikipedia,MZ,2022,6,1000
diq.wikipedia,NZ,2022,6,1000
diq.wikipedia,BE,2022,6,1000
diq.wikipedia,TW,2022,6,1000
diq.wikipedia,MX,2022,6,1000
diq.wikipedia,RS,2022,6,1000
diq.wikipedia,LT,2022,6,1000
diq.wikipedia,PT,2022,6,1000
diq.wikipedia,LK,2022,6,1000
diq.wikipedia,DO,2022,6,1000
diq.wikipedia,CD,2022,6,1000
diq.wikipedia,IS,2022,6,1000
diq.wikipedia,CN,2022,6,1000
diq.wikipedia,RU,2022,7,136000
diq.wikipedia,IN,2022,7,102000
diq.wikipedia,US,2022,7,83000
diq.wikipedia,UZ,2022,7,22000
diq.wikipedia,PK,2022,7,18000
diq.wikipedia,KZ,2022,7,17000
diq.wikipedia,CA,2022,7,16000
diq.wikipedia,BY,2022,7,13000
diq.wikipedia,DE,2022,7,11000
diq.wikipedia,NL,2022,7,10000
diq.wikipedia,TR,2022,7,8000
diq.wikipedia,GE,2022,7,8000
diq.wikipedia,UA,2022,7,8000
diq.wikipedia,TJ,2022,7,6000
diq.wikipedia,GB,2022,7,6000
diq.wikipedia,IR,2022,7,4000
diq.wikipedia,FR,2022,7,4000
diq.wikipedia,SG,2022,7,4000
diq.wikipedia,SE,2022,7,3000
diq.wikipedia,VN,2022,7,3000
diq.wikipedia,KG,2022,7,3000
diq.wikipedia,JP,2022,7,3000
diq.wikipedia,IT,2022,7,3000
diq.wikipedia,PL,2022,7,2000
diq.wikipedia,AU,2022,7,2000
diq.wikipedia,ID,2022,7,2000
diq.wikipedia,PH,2022,7,2000
diq.wikipedia,FI,2022,7,2000
diq.wikipedia,--,2022,7,2000
diq.wikipedia,MN,2022,7,2000
diq.wikipedia,AM,2022,7,1000
diq.wikipedia,AZ,2022,7,1000
diq.wikipedia,KR,2022,7,1000
diq.wikipedia,IQ,2022,7,1000
diq.wikipedia,BR,2022,7,1000
diq.wikipedia,EE,2022,7,1000
diq.wikipedia,HK,2022,7,1000
diq.wikipedia,CL,2022,7,1000
diq.wikipedia,AF,2022,7,1000
diq.wikipedia,ES,2022,7,1000
diq.wikipedia,TM,2022,7,1000
diq.wikipedia,MD,2022,7,1000
diq.wikipedia,AE,2022,7,1000
diq.wikipedia,CO,2022,7,1000
diq.wikipedia,CH,2022,7,1000
diq.wikipedia,EG,2022,7,1000
diq.wikipedia,ZA,2022,7,1000
diq.wikipedia,GR,2022,7,1000
diq.wikipedia,SA,2022,7,1000
diq.wikipedia,DK,2022,7,1000
diq.wikipedia,NG,2022,7,1000
diq.wikipedia,BD,2022,7,1000
diq.wikipedia,ET,2022,7,1000
diq.wikipedia,NO,2022,7,1000
diq.wikipedia,AT,2022,7,1000
diq.wikipedia,BG,2022,7,1000
diq.wikipedia,RO,2022,7,1000
diq.wikipedia,CZ,2022,7,1000
diq.wikipedia,KE,2022,7,1000
diq.wikipedia,MM,2022,7,1000
diq.wikipedia,NP,2022,7,1000
diq.wikipedia,MY,2022,7,1000
