project,iso2,year,month,pageviews_ceil
dv.wikipedia,US,2022,1,21000
dv.wikipedia,FR,2022,1,17000
dv.wikipedia,NL,2022,1,9000
dv.wikipedia,MV,2022,1,9000
dv.wikipedia,DE,2022,1,5000
dv.wikipedia,IR,2022,1,4000
dv.wikipedia,SG,2022,1,4000
dv.wikipedia,CA,2022,1,3000
dv.wikipedia,RU,2022,1,3000
dv.wikipedia,PL,2022,1,2000
dv.wikipedia,GB,2022,1,2000
dv.wikipedia,JP,2022,1,1000
dv.wikipedia,HK,2022,1,1000
dv.wikipedia,FI,2022,1,1000
dv.wikipedia,IN,2022,1,1000
dv.wikipedia,IT,2022,1,1000
dv.wikipedia,--,2022,1,1000
dv.wikipedia,CN,2022,1,1000
dv.wikipedia,KR,2022,1,1000
dv.wikipedia,BR,2022,1,1000
dv.wikipedia,TR,2022,1,1000
dv.wikipedia,DK,2022,1,1000
dv.wikipedia,AU,2022,1,1000
dv.wikipedia,ID,2022,1,1000
dv.wikipedia,ES,2022,1,1000
dv.wikipedia,VN,2022,1,1000
dv.wikipedia,TW,2022,1,1000
dv.wikipedia,UA,2022,1,1000
dv.wikipedia,CZ,2022,1,1000
dv.wikipedia,MY,2022,1,1000
dv.wikipedia,BE,2022,1,1000
dv.wikipedia,BG,2022,1,1000
dv.wikipedia,PT,2022,1,1000
dv.wikipedia,CH,2022,1,1000
dv.wikipedia,SC,2022,1,1000
dv.wikipedia,EG,2022,1,1000
dv.wikipedia,US,2022,2,19000
dv.wikipedia,MV,2022,2,13000
dv.wikipedia,FR,2022,2,13000
dv.wikipedia,NL,2022,2,10000
dv.wikipedia,IR,2022,2,7000
dv.wikipedia,RU,2022,2,6000
dv.wikipedia,IN,2022,2,4000
dv.wikipedia,DE,2022,2,4000
dv.wikipedia,SG,2022,2,3000
dv.wikipedia,CA,2022,2,2000
dv.wikipedia,GB,2022,2,2000
dv.wikipedia,PL,2022,2,1000
dv.wikipedia,UA,2022,2,1000
dv.wikipedia,UZ,2022,2,1000
dv.wikipedia,TR,2022,2,1000
dv.wikipedia,PK,2022,2,1000
dv.wikipedia,--,2022,2,1000
dv.wikipedia,KZ,2022,2,1000
dv.wikipedia,IT,2022,2,1000
dv.wikipedia,ES,2022,2,1000
dv.wikipedia,BR,2022,2,1000
dv.wikipedia,JP,2022,2,1000
dv.wikipedia,HK,2022,2,1000
dv.wikipedia,ID,2022,2,1000
dv.wikipedia,CN,2022,2,1000
dv.wikipedia,BY,2022,2,1000
dv.wikipedia,DK,2022,2,1000
dv.wikipedia,VN,2022,2,1000
dv.wikipedia,FI,2022,2,1000
dv.wikipedia,KR,2022,2,1000
dv.wikipedia,TJ,2022,2,1000
dv.wikipedia,GR,2022,2,1000
dv.wikipedia,AU,2022,2,1000
dv.wikipedia,LV,2022,2,1000
dv.wikipedia,SC,2022,2,1000
dv.wikipedia,CH,2022,2,1000
dv.wikipedia,PT,2022,2,1000
dv.wikipedia,MA,2022,2,1000
dv.wikipedia,CZ,2022,2,1000
dv.wikipedia,TW,2022,2,1000
dv.wikipedia,KG,2022,2,1000
dv.wikipedia,GE,2022,2,1000
dv.wikipedia,US,2022,3,16000
dv.wikipedia,MV,2022,3,11000
dv.wikipedia,DE,2022,3,8000
dv.wikipedia,NL,2022,3,7000
dv.wikipedia,FR,2022,3,7000
dv.wikipedia,IN,2022,3,7000
dv.wikipedia,RU,2022,3,6000
dv.wikipedia,CA,2022,3,4000
dv.wikipedia,IR,2022,3,4000
dv.wikipedia,ID,2022,3,3000
dv.wikipedia,AT,2022,3,2000
dv.wikipedia,SG,2022,3,2000
dv.wikipedia,GB,2022,3,2000
dv.wikipedia,UZ,2022,3,2000
dv.wikipedia,PK,2022,3,2000
dv.wikipedia,VN,2022,3,2000
dv.wikipedia,PL,2022,3,1000
dv.wikipedia,KZ,2022,3,1000
dv.wikipedia,JP,2022,3,1000
dv.wikipedia,IE,2022,3,1000
dv.wikipedia,TJ,2022,3,1000
dv.wikipedia,IT,2022,3,1000
dv.wikipedia,UA,2022,3,1000
dv.wikipedia,HK,2022,3,1000
dv.wikipedia,BY,2022,3,1000
dv.wikipedia,BR,2022,3,1000
dv.wikipedia,GR,2022,3,1000
dv.wikipedia,TR,2022,3,1000
dv.wikipedia,--,2022,3,1000
dv.wikipedia,LV,2022,3,1000
dv.wikipedia,KR,2022,3,1000
dv.wikipedia,MY,2022,3,1000
dv.wikipedia,DK,2022,3,1000
dv.wikipedia,ES,2022,3,1000
dv.wikipedia,PT,2022,3,1000
dv.wikipedia,NO,2022,3,1000
dv.wikipedia,BG,2022,3,1000
dv.wikipedia,GE,2022,3,1000
dv.wikipedia,CZ,2022,3,1000
dv.wikipedia,MX,2022,3,1000
dv.wikipedia,PH,2022,3,1000
dv.wikipedia,SE,2022,3,1000
dv.wikipedia,BD,2022,3,1000
dv.wikipedia,AF,2022,3,1000
dv.wikipedia,CO,2022,3,1000
dv.wikipedia,RO,2022,3,1000
dv.wikipedia,CN,2022,3,1000
dv.wikipedia,MN,2022,3,1000
dv.wikipedia,AE,2022,3,1000
