project,iso2,year,month,pageviews_ceil
eml.wikipedia,US,2022,1,37000
eml.wikipedia,IT,2022,1,26000
eml.wikipedia,FR,2022,1,19000
eml.wikipedia,DE,2022,1,9000
eml.wikipedia,RU,2022,1,6000
eml.wikipedia,NL,2022,1,6000
eml.wikipedia,IR,2022,1,5000
eml.wikipedia,CA,2022,1,5000
eml.wikipedia,SG,2022,1,5000
eml.wikipedia,GB,2022,1,3000
eml.wikipedia,--,2022,1,2000
eml.wikipedia,PL,2022,1,2000
eml.wikipedia,FI,2022,1,2000
eml.wikipedia,JP,2022,1,2000
eml.wikipedia,HK,2022,1,1000
eml.wikipedia,ES,2022,1,1000
eml.wikipedia,IE,2022,1,1000
eml.wikipedia,UA,2022,1,1000
eml.wikipedia,BR,2022,1,1000
eml.wikipedia,IN,2022,1,1000
eml.wikipedia,CH,2022,1,1000
eml.wikipedia,ID,2022,1,1000
eml.wikipedia,CN,2022,1,1000
eml.wikipedia,DK,2022,1,1000
eml.wikipedia,PT,2022,1,1000
eml.wikipedia,BE,2022,1,1000
eml.wikipedia,AU,2022,1,1000
eml.wikipedia,SE,2022,1,1000
eml.wikipedia,KR,2022,1,1000
eml.wikipedia,CZ,2022,1,1000
eml.wikipedia,TR,2022,1,1000
eml.wikipedia,TW,2022,1,1000
eml.wikipedia,VN,2022,1,1000
eml.wikipedia,AT,2022,1,1000
eml.wikipedia,RO,2022,1,1000
eml.wikipedia,LV,2022,1,1000
eml.wikipedia,MX,2022,1,1000
eml.wikipedia,CL,2022,1,1000
eml.wikipedia,EG,2022,1,1000
eml.wikipedia,GR,2022,1,1000
eml.wikipedia,PE,2022,1,1000
eml.wikipedia,AR,2022,1,1000
eml.wikipedia,TH,2022,1,1000
eml.wikipedia,IL,2022,1,1000
eml.wikipedia,HU,2022,1,1000
eml.wikipedia,NO,2022,1,1000
eml.wikipedia,SC,2022,1,1000
eml.wikipedia,IN,2022,2,111000
eml.wikipedia,RU,2022,2,61000
eml.wikipedia,US,2022,2,35000
eml.wikipedia,UZ,2022,2,24000
eml.wikipedia,IT,2022,2,22000
eml.wikipedia,FR,2022,2,18000
eml.wikipedia,PK,2022,2,18000
eml.wikipedia,KZ,2022,2,17000
eml.wikipedia,UA,2022,2,13000
eml.wikipedia,BY,2022,2,12000
eml.wikipedia,TJ,2022,2,7000
eml.wikipedia,DE,2022,2,7000
eml.wikipedia,NL,2022,2,7000
eml.wikipedia,IR,2022,2,7000
eml.wikipedia,SG,2022,2,6000
eml.wikipedia,GE,2022,2,5000
eml.wikipedia,GB,2022,2,4000
eml.wikipedia,MN,2022,2,4000
eml.wikipedia,CA,2022,2,3000
eml.wikipedia,PH,2022,2,3000
eml.wikipedia,KG,2022,2,3000
eml.wikipedia,BR,2022,2,3000
eml.wikipedia,VN,2022,2,2000
eml.wikipedia,ES,2022,2,2000
eml.wikipedia,AF,2022,2,2000
eml.wikipedia,PL,2022,2,2000
eml.wikipedia,--,2022,2,2000
eml.wikipedia,ID,2022,2,2000
eml.wikipedia,TR,2022,2,1000
eml.wikipedia,JP,2022,2,1000
eml.wikipedia,IE,2022,2,1000
eml.wikipedia,TW,2022,2,1000
eml.wikipedia,MD,2022,2,1000
eml.wikipedia,AZ,2022,2,1000
eml.wikipedia,FI,2022,2,1000
eml.wikipedia,AU,2022,2,1000
eml.wikipedia,CN,2022,2,1000
eml.wikipedia,ZA,2022,2,1000
eml.wikipedia,EG,2022,2,1000
eml.wikipedia,MM,2022,2,1000
eml.wikipedia,CH,2022,2,1000
eml.wikipedia,AE,2022,2,1000
eml.wikipedia,HK,2022,2,1000
eml.wikipedia,AM,2022,2,1000
eml.wikipedia,LK,2022,2,1000
