project,iso2,year,month,pageviews_ceil
en.wikipedia,US,2022,1,2890038000
en.wikipedia,GB,2022,1,895223000
en.wikipedia,IN,2022,1,766527000
en.wikipedia,CA,2022,1,355014000
en.wikipedia,AU,2022,1,258626000
en.wikipedia,DE,2022,1,162651000
en.wikipedia,PH,2022,1,138567000
en.wikipedia,NL,2022,1,79479000
en.wikipedia,ID,2022,1,75482000
en.wikipedia,FR,2022,1,70051000
en.wikipedia,IT,2022,1,66606000
en.wikipedia,IE,2022,1,65235000
en.wikipedia,MY,2022,1,64606000
en.wikipedia,SE,2022,1,64065000
en.wikipedia,ZA,2022,1,64023000
en.wikipedia,PK,2022,1,59492000
en.wikipedia,RU,2022,1,58370000
en.wikipedia,SG,2022,1,57256000
en.wikipedia,PL,2022,1,55422000
en.wikipedia,BR,2022,1,55299000
en.wikipedia,ES,2022,1,49110000
en.wikipedia,NG,2022,1,39568000
en.wikipedia,IR,2022,1,38022000
en.wikipedia,JP,2022,1,37993000
en.wikipedia,FI,2022,1,37545000
en.wikipedia,RO,2022,1,36370000
en.wikipedia,MX,2022,1,36303000
en.wikipedia,NZ,2022,1,35769000
en.wikipedia,TR,2022,1,35662000
en.wikipedia,BD,2022,1,34793000
en.wikipedia,GR,2022,1,34715000
en.wikipedia,DK,2022,1,31739000
en.wikipedia,BE,2022,1,31697000
en.wikipedia,NO,2022,1,31588000
en.wikipedia,TH,2022,1,29862000
en.wikipedia,HK,2022,1,29579000
en.wikipedia,AE,2022,1,28614000
en.wikipedia,CH,2022,1,27179000
en.wikipedia,IL,2022,1,26917000
en.wikipedia,CZ,2022,1,24322000
en.wikipedia,HU,2022,1,23809000
en.wikipedia,RS,2022,1,23041000
en.wikipedia,PT,2022,1,21701000
en.wikipedia,KR,2022,1,21441000
en.wikipedia,VN,2022,1,20768000
en.wikipedia,AT,2022,1,20552000
en.wikipedia,HR,2022,1,19188000
en.wikipedia,BG,2022,1,18527000
en.wikipedia,SA,2022,1,17271000
en.wikipedia,EG,2022,1,16687000
en.wikipedia,UA,2022,1,16573000
en.wikipedia,TW,2022,1,15330000
en.wikipedia,LK,2022,1,14874000
en.wikipedia,AR,2022,1,14571000
en.wikipedia,KE,2022,1,13916000
en.wikipedia,NP,2022,1,11982000
en.wikipedia,SK,2022,1,11132000
en.wikipedia,SI,2022,1,10901000
en.wikipedia,LT,2022,1,9563000
en.wikipedia,CO,2022,1,9162000
en.wikipedia,CL,2022,1,8758000
en.wikipedia,EE,2022,1,8447000
en.wikipedia,GH,2022,1,8237000
en.wikipedia,BA,2022,1,6480000
en.wikipedia,MA,2022,1,6441000
en.wikipedia,QA,2022,1,6409000
en.wikipedia,--,2022,1,6337000
en.wikipedia,MK,2022,1,6254000
en.wikipedia,PE,2022,1,6220000
en.wikipedia,LV,2022,1,6192000
en.wikipedia,GE,2022,1,5904000
en.wikipedia,IQ,2022,1,5434000
en.wikipedia,DZ,2022,1,5427000
en.wikipedia,PR,2022,1,5242000
en.wikipedia,AL,2022,1,5201000
en.wikipedia,TZ,2022,1,4868000
en.wikipedia,KW,2022,1,4833000
en.wikipedia,CY,2022,1,4502000
en.wikipedia,ET,2022,1,4290000
en.wikipedia,IS,2022,1,4247000
en.wikipedia,LB,2022,1,4172000
en.wikipedia,KH,2022,1,3995000
en.wikipedia,AZ,2022,1,3895000
en.wikipedia,MT,2022,1,3763000
en.wikipedia,JO,2022,1,3601000
en.wikipedia,CR,2022,1,3312000
en.wikipedia,UG,2022,1,3303000
en.wikipedia,TT,2022,1,3302000
en.wikipedia,LU,2022,1,3254000
en.wikipedia,VE,2022,1,3227000
en.wikipedia,JM,2022,1,3147000
en.wikipedia,BH,2022,1,3015000
en.wikipedia,DO,2022,1,2999000
en.wikipedia,BY,2022,1,2979000
en.wikipedia,MD,2022,1,2966000
en.wikipedia,KZ,2022,1,2960000
en.wikipedia,TN,2022,1,2956000
en.wikipedia,OM,2022,1,2928000
en.wikipedia,MM,2022,1,2894000
en.wikipedia,EC,2022,1,2836000
en.wikipedia,MU,2022,1,2800000
en.wikipedia,PA,2022,1,2462000
en.wikipedia,ZM,2022,1,2304000
en.wikipedia,MN,2022,1,2239000
en.wikipedia,UZ,2022,1,2226000
en.wikipedia,AM,2022,1,2191000
en.wikipedia,UY,2022,1,1934000
en.wikipedia,ZW,2022,1,1922000
en.wikipedia,BN,2022,1,1868000
en.wikipedia,ME,2022,1,1759000
en.wikipedia,GT,2022,1,1552000
en.wikipedia,CM,2022,1,1469000
en.wikipedia,MV,2022,1,1430000
en.wikipedia,BW,2022,1,1362000
en.wikipedia,SD,2022,1,1331000
en.wikipedia,HN,2022,1,1269000
en.wikipedia,SO,2022,1,1235000
en.wikipedia,XK,2022,1,1202000
en.wikipedia,AF,2022,1,1195000
en.wikipedia,JE,2022,1,1182000
en.wikipedia,SV,2022,1,1152000
en.wikipedia,RW,2022,1,1142000
en.wikipedia,IM,2022,1,1102000
en.wikipedia,BS,2022,1,1095000
en.wikipedia,BO,2022,1,1017000
en.wikipedia,BB,2022,1,1008000
en.wikipedia,NA,2022,1,985000
en.wikipedia,LY,2022,1,983000
en.wikipedia,PY,2022,1,942000
en.wikipedia,PS,2022,1,881000
en.wikipedia,SY,2022,1,829000
en.wikipedia,CN,2022,1,788000
en.wikipedia,GY,2022,1,774000
en.wikipedia,KG,2022,1,766000
en.wikipedia,GU,2022,1,741000
en.wikipedia,MO,2022,1,739000
en.wikipedia,LR,2022,1,735000
en.wikipedia,MW,2022,1,720000
en.wikipedia,AO,2022,1,695000
en.wikipedia,SL,2022,1,660000
en.wikipedia,GG,2022,1,643000
en.wikipedia,NI,2022,1,627000
en.wikipedia,FJ,2022,1,623000
en.wikipedia,CI,2022,1,614000
en.wikipedia,MZ,2022,1,597000
en.wikipedia,SN,2022,1,544000
en.wikipedia,CD,2022,1,537000
en.wikipedia,CU,2022,1,529000
en.wikipedia,BT,2022,1,517000
en.wikipedia,SR,2022,1,502000
en.wikipedia,BZ,2022,1,487000
en.wikipedia,YE,2022,1,464000
en.wikipedia,LA,2022,1,459000
en.wikipedia,PG,2022,1,404000
en.wikipedia,BM,2022,1,393000
en.wikipedia,FO,2022,1,388000
en.wikipedia,KY,2022,1,380000
en.wikipedia,TM,2022,1,375000
en.wikipedia,LC,2022,1,359000
en.wikipedia,AW,2022,1,358000
en.wikipedia,SC,2022,1,357000
en.wikipedia,CW,2022,1,346000
en.wikipedia,GI,2022,1,340000
en.wikipedia,VI,2022,1,314000
en.wikipedia,MG,2022,1,309000
en.wikipedia,SS,2022,1,299000
en.wikipedia,HT,2022,1,292000
en.wikipedia,BJ,2022,1,287000
en.wikipedia,RE,2022,1,277000
en.wikipedia,LS,2022,1,276000
en.wikipedia,GM,2022,1,270000
en.wikipedia,AG,2022,1,258000
en.wikipedia,SZ,2022,1,257000
en.wikipedia,ER,2022,1,242000
en.wikipedia,GD,2022,1,225000
en.wikipedia,TG,2022,1,219000
en.wikipedia,TJ,2022,1,197000
en.wikipedia,GN,2022,1,167000
en.wikipedia,ML,2022,1,166000
en.wikipedia,CV,2022,1,164000
en.wikipedia,DJ,2022,1,160000
en.wikipedia,AD,2022,1,156000
en.wikipedia,AX,2022,1,155000
en.wikipedia,GP,2022,1,154000
en.wikipedia,MP,2022,1,149000
en.wikipedia,MR,2022,1,144000
en.wikipedia,BF,2022,1,139000
en.wikipedia,MC,2022,1,136000
en.wikipedia,DM,2022,1,131000
en.wikipedia,MQ,2022,1,131000
en.wikipedia,KN,2022,1,129000
en.wikipedia,VC,2022,1,129000
en.wikipedia,TC,2022,1,128000
en.wikipedia,GL,2022,1,121000
en.wikipedia,SX,2022,1,116000
en.wikipedia,GA,2022,1,116000
en.wikipedia,BI,2022,1,99000
en.wikipedia,TL,2022,1,93000
en.wikipedia,NE,2022,1,90000
en.wikipedia,LI,2022,1,80000
en.wikipedia,PF,2022,1,79000
en.wikipedia,CG,2022,1,76000
en.wikipedia,NC,2022,1,72000
en.wikipedia,AI,2022,1,68000
en.wikipedia,VU,2022,1,65000
en.wikipedia,SB,2022,1,62000
en.wikipedia,WS,2022,1,55000
en.wikipedia,BQ,2022,1,53000
en.wikipedia,VG,2022,1,52000
en.wikipedia,GF,2022,1,46000
en.wikipedia,TD,2022,1,43000
en.wikipedia,SM,2022,1,42000
en.wikipedia,MF,2022,1,41000
en.wikipedia,AS,2022,1,39000
en.wikipedia,FK,2022,1,38000
en.wikipedia,PW,2022,1,36000
en.wikipedia,GQ,2022,1,36000
en.wikipedia,CK,2022,1,28000
en.wikipedia,FM,2022,1,27000
en.wikipedia,MH,2022,1,24000
en.wikipedia,BL,2022,1,22000
en.wikipedia,CF,2022,1,21000
en.wikipedia,TO,2022,1,19000
en.wikipedia,YT,2022,1,18000
en.wikipedia,KI,2022,1,17000
en.wikipedia,GW,2022,1,14000
en.wikipedia,KM,2022,1,12000
en.wikipedia,IO,2022,1,12000
en.wikipedia,VA,2022,1,10000
en.wikipedia,MS,2022,1,10000
en.wikipedia,NR,2022,1,10000
en.wikipedia,BV,2022,1,7000
en.wikipedia,ST,2022,1,7000
en.wikipedia,PM,2022,1,6000
en.wikipedia,SH,2022,1,6000
en.wikipedia,NF,2022,1,5000
en.wikipedia,TV,2022,1,3000
en.wikipedia,WF,2022,1,1000
en.wikipedia,KP,2022,1,1000
en.wikipedia,TK,2022,1,1000
en.wikipedia,CX,2022,1,1000
en.wikipedia,SJ,2022,1,1000
en.wikipedia,US,2022,2,2817754000
en.wikipedia,GB,2022,2,754211000
en.wikipedia,IN,2022,2,666130000
en.wikipedia,CA,2022,2,352686000
en.wikipedia,AU,2022,2,212719000
en.wikipedia,DE,2022,2,143156000
