project,iso2,year,month,pageviews_ceil
eo.wikipedia,US,2022,1,267000
eo.wikipedia,DE,2022,1,137000
eo.wikipedia,FR,2022,1,107000
eo.wikipedia,IR,2022,1,92000
eo.wikipedia,CA,2022,1,78000
eo.wikipedia,RU,2022,1,37000
eo.wikipedia,CZ,2022,1,36000
eo.wikipedia,SG,2022,1,32000
eo.wikipedia,NL,2022,1,28000
eo.wikipedia,--,2022,1,24000
eo.wikipedia,ES,2022,1,22000
eo.wikipedia,BR,2022,1,20000
eo.wikipedia,TR,2022,1,19000
eo.wikipedia,FI,2022,1,19000
eo.wikipedia,GB,2022,1,18000
eo.wikipedia,PL,2022,1,18000
eo.wikipedia,IL,2022,1,17000
eo.wikipedia,JP,2022,1,16000
eo.wikipedia,SE,2022,1,14000
eo.wikipedia,HU,2022,1,10000
eo.wikipedia,IT,2022,1,10000
eo.wikipedia,TW,2022,1,10000
eo.wikipedia,BE,2022,1,9000
eo.wikipedia,LU,2022,1,8000
eo.wikipedia,CH,2022,1,7000
eo.wikipedia,IN,2022,1,6000
eo.wikipedia,HK,2022,1,6000
eo.wikipedia,DK,2022,1,5000
eo.wikipedia,UA,2022,1,5000
eo.wikipedia,KR,2022,1,5000
eo.wikipedia,MX,2022,1,4000
eo.wikipedia,RO,2022,1,4000
eo.wikipedia,ID,2022,1,4000
eo.wikipedia,NO,2022,1,3000
eo.wikipedia,AU,2022,1,3000
eo.wikipedia,PT,2022,1,3000
eo.wikipedia,AT,2022,1,3000
eo.wikipedia,LV,2022,1,3000
eo.wikipedia,CO,2022,1,3000
eo.wikipedia,VN,2022,1,2000
eo.wikipedia,AR,2022,1,2000
eo.wikipedia,CN,2022,1,2000
eo.wikipedia,SK,2022,1,2000
eo.wikipedia,ZA,2022,1,2000
eo.wikipedia,CR,2022,1,2000
eo.wikipedia,EC,2022,1,2000
eo.wikipedia,TH,2022,1,2000
eo.wikipedia,IE,2022,1,2000
eo.wikipedia,BG,2022,1,2000
eo.wikipedia,SA,2022,1,2000
eo.wikipedia,MD,2022,1,2000
eo.wikipedia,GR,2022,1,2000
eo.wikipedia,NG,2022,1,1000
eo.wikipedia,PK,2022,1,1000
eo.wikipedia,LT,2022,1,1000
eo.wikipedia,CL,2022,1,1000
eo.wikipedia,PE,2022,1,1000
eo.wikipedia,PH,2022,1,1000
eo.wikipedia,SI,2022,1,1000
eo.wikipedia,RS,2022,1,1000
eo.wikipedia,MY,2022,1,1000
eo.wikipedia,GH,2022,1,1000
eo.wikipedia,HR,2022,1,1000
eo.wikipedia,EE,2022,1,1000
eo.wikipedia,BD,2022,1,1000
eo.wikipedia,NZ,2022,1,1000
eo.wikipedia,EG,2022,1,1000
eo.wikipedia,BY,2022,1,1000
eo.wikipedia,VE,2022,1,1000
eo.wikipedia,MA,2022,1,1000
eo.wikipedia,CU,2022,1,1000
eo.wikipedia,TN,2022,1,1000
eo.wikipedia,AZ,2022,1,1000
eo.wikipedia,AM,2022,1,1000
eo.wikipedia,AE,2022,1,1000
eo.wikipedia,GE,2022,1,1000
eo.wikipedia,DZ,2022,1,1000
eo.wikipedia,KZ,2022,1,1000
eo.wikipedia,LK,2022,1,1000
eo.wikipedia,SC,2022,1,1000
eo.wikipedia,UZ,2022,1,1000
eo.wikipedia,MK,2022,1,1000
eo.wikipedia,BA,2022,1,1000
eo.wikipedia,HN,2022,1,1000
eo.wikipedia,UY,2022,1,1000
eo.wikipedia,KH,2022,1,1000
eo.wikipedia,IQ,2022,1,1000
eo.wikipedia,KG,2022,1,1000
eo.wikipedia,ET,2022,1,1000
eo.wikipedia,GT,2022,1,1000
eo.wikipedia,CD,2022,1,1000
eo.wikipedia,DO,2022,1,1000
eo.wikipedia,TZ,2022,1,1000
eo.wikipedia,AL,2022,1,1000
eo.wikipedia,IS,2022,1,1000
eo.wikipedia,RE,2022,1,1000
eo.wikipedia,BW,2022,1,1000
eo.wikipedia,SV,2022,1,1000
eo.wikipedia,SD,2022,1,1000
eo.wikipedia,NP,2022,1,1000
eo.wikipedia,BO,2022,1,1000
eo.wikipedia,SN,2022,1,1000
eo.wikipedia,KE,2022,1,1000
eo.wikipedia,CM,2022,1,1000
