project,iso2,year,month,pageviews_ceil
es.wikipedia,ES,2022,1,240631000
es.wikipedia,MX,2022,1,161305000
es.wikipedia,AR,2022,1,84263000
es.wikipedia,CO,2022,1,56278000
es.wikipedia,CL,2022,1,45372000
es.wikipedia,US,2022,1,39311000
es.wikipedia,PE,2022,1,33931000
es.wikipedia,VE,2022,1,28340000
es.wikipedia,EC,2022,1,23978000
es.wikipedia,DO,2022,1,11229000
es.wikipedia,UY,2022,1,8542000
es.wikipedia,GT,2022,1,8220000
es.wikipedia,CR,2022,1,7323000
es.wikipedia,BO,2022,1,6561000
es.wikipedia,PA,2022,1,5495000
es.wikipedia,PY,2022,1,5034000
es.wikipedia,DE,2022,1,4538000
es.wikipedia,SV,2022,1,4310000
es.wikipedia,CU,2022,1,4250000
es.wikipedia,HN,2022,1,4001000
es.wikipedia,FR,2022,1,3243000
es.wikipedia,GB,2022,1,3097000
es.wikipedia,NI,2022,1,2829000
es.wikipedia,BR,2022,1,2630000
es.wikipedia,RU,2022,1,2438000
es.wikipedia,PR,2022,1,2363000
es.wikipedia,IT,2022,1,2238000
es.wikipedia,CA,2022,1,1434000
es.wikipedia,BE,2022,1,1268000
es.wikipedia,NL,2022,1,1036000
es.wikipedia,CH,2022,1,773000
es.wikipedia,PT,2022,1,729000
es.wikipedia,PL,2022,1,591000
es.wikipedia,IE,2022,1,514000
es.wikipedia,SE,2022,1,502000
es.wikipedia,JP,2022,1,490000
es.wikipedia,IR,2022,1,383000
es.wikipedia,IN,2022,1,311000
es.wikipedia,AU,2022,1,310000
es.wikipedia,IL,2022,1,309000
es.wikipedia,ID,2022,1,307000
es.wikipedia,AD,2022,1,297000
es.wikipedia,AT,2022,1,288000
es.wikipedia,CZ,2022,1,269000
es.wikipedia,RO,2022,1,269000
es.wikipedia,--,2022,1,250000
es.wikipedia,TR,2022,1,231000
es.wikipedia,TW,2022,1,229000
es.wikipedia,SG,2022,1,227000
es.wikipedia,DK,2022,1,209000
es.wikipedia,NO,2022,1,206000
es.wikipedia,HK,2022,1,205000
es.wikipedia,FI,2022,1,197000
es.wikipedia,MA,2022,1,189000
es.wikipedia,UA,2022,1,176000
es.wikipedia,HU,2022,1,158000
es.wikipedia,GR,2022,1,155000
es.wikipedia,PH,2022,1,147000
es.wikipedia,GQ,2022,1,138000
es.wikipedia,MY,2022,1,125000
es.wikipedia,BG,2022,1,122000
es.wikipedia,KR,2022,1,119000
es.wikipedia,TH,2022,1,116000
es.wikipedia,EG,2022,1,105000
es.wikipedia,AE,2022,1,100000
es.wikipedia,LU,2022,1,100000
es.wikipedia,VN,2022,1,98000
es.wikipedia,RS,2022,1,90000
es.wikipedia,DZ,2022,1,85000
es.wikipedia,SK,2022,1,69000
es.wikipedia,HR,2022,1,68000
es.wikipedia,BD,2022,1,64000
es.wikipedia,ZA,2022,1,63000
es.wikipedia,MD,2022,1,58000
es.wikipedia,SI,2022,1,56000
es.wikipedia,SA,2022,1,55000
es.wikipedia,NZ,2022,1,52000
es.wikipedia,LT,2022,1,51000
es.wikipedia,PK,2022,1,42000
es.wikipedia,CW,2022,1,41000
es.wikipedia,AW,2022,1,40000
es.wikipedia,EE,2022,1,39000
es.wikipedia,MT,2022,1,37000
es.wikipedia,LV,2022,1,37000
es.wikipedia,GE,2022,1,36000
es.wikipedia,BY,2022,1,35000
es.wikipedia,SN,2022,1,34000
es.wikipedia,BA,2022,1,34000
es.wikipedia,AO,2022,1,32000
es.wikipedia,IQ,2022,1,30000
es.wikipedia,TN,2022,1,30000
es.wikipedia,NG,2022,1,29000
es.wikipedia,TT,2022,1,28000
es.wikipedia,AL,2022,1,27000
es.wikipedia,CY,2022,1,26000
es.wikipedia,IS,2022,1,26000
es.wikipedia,QA,2022,1,25000
es.wikipedia,CM,2022,1,23000
es.wikipedia,LB,2022,1,23000
es.wikipedia,MK,2022,1,22000
es.wikipedia,AZ,2022,1,20000
es.wikipedia,JO,2022,1,19000
es.wikipedia,AM,2022,1,18000
es.wikipedia,KE,2022,1,18000
es.wikipedia,CI,2022,1,17000
es.wikipedia,BZ,2022,1,17000
es.wikipedia,KZ,2022,1,16000
es.wikipedia,HT,2022,1,16000
es.wikipedia,GY,2022,1,16000
es.wikipedia,GI,2022,1,14000
es.wikipedia,UZ,2022,1,13000
es.wikipedia,MZ,2022,1,13000
es.wikipedia,KH,2022,1,13000
es.wikipedia,LK,2022,1,13000
es.wikipedia,KW,2022,1,13000
es.wikipedia,JM,2022,1,12000
es.wikipedia,NP,2022,1,12000
es.wikipedia,MO,2022,1,12000
es.wikipedia,ML,2022,1,11000
es.wikipedia,GH,2022,1,10000
es.wikipedia,KY,2022,1,10000
es.wikipedia,CV,2022,1,10000
es.wikipedia,CN,2022,1,9000
es.wikipedia,TZ,2022,1,9000
es.wikipedia,RE,2022,1,8000
es.wikipedia,GA,2022,1,8000
es.wikipedia,GP,2022,1,8000
es.wikipedia,CD,2022,1,7000
es.wikipedia,BH,2022,1,7000
es.wikipedia,ME,2022,1,7000
es.wikipedia,MQ,2022,1,7000
es.wikipedia,OM,2022,1,7000
es.wikipedia,MM,2022,1,7000
es.wikipedia,BS,2022,1,7000
es.wikipedia,MV,2022,1,7000
es.wikipedia,ET,2022,1,7000
es.wikipedia,TG,2022,1,6000
es.wikipedia,BJ,2022,1,6000
es.wikipedia,SR,2022,1,6000
es.wikipedia,SY,2022,1,6000
es.wikipedia,SC,2022,1,6000
es.wikipedia,UG,2022,1,6000
es.wikipedia,GF,2022,1,6000
es.wikipedia,LY,2022,1,5000
es.wikipedia,TL,2022,1,5000
es.wikipedia,GN,2022,1,5000
es.wikipedia,MU,2022,1,5000
es.wikipedia,MR,2022,1,5000
es.wikipedia,PS,2022,1,5000
es.wikipedia,XK,2022,1,5000
es.wikipedia,LA,2022,1,4000
es.wikipedia,GM,2022,1,4000
es.wikipedia,MN,2022,1,4000
es.wikipedia,BB,2022,1,4000
es.wikipedia,MG,2022,1,4000
es.wikipedia,KG,2022,1,4000
es.wikipedia,YE,2022,1,3000
es.wikipedia,SD,2022,1,3000
es.wikipedia,SX,2022,1,3000
es.wikipedia,ZM,2022,1,3000
es.wikipedia,SO,2022,1,3000
es.wikipedia,JE,2022,1,3000
es.wikipedia,VI,2022,1,3000
es.wikipedia,BF,2022,1,3000
es.wikipedia,NA,2022,1,3000
es.wikipedia,RW,2022,1,3000
es.wikipedia,MC,2022,1,3000
es.wikipedia,LI,2022,1,3000
es.wikipedia,BQ,2022,1,3000
es.wikipedia,TC,2022,1,3000
es.wikipedia,BN,2022,1,3000
es.wikipedia,IM,2022,1,3000
es.wikipedia,YT,2022,1,3000
es.wikipedia,AG,2022,1,3000
es.wikipedia,PF,2022,1,2000
es.wikipedia,LC,2022,1,2000
es.wikipedia,CG,2022,1,2000
es.wikipedia,BW,2022,1,2000
es.wikipedia,NE,2022,1,2000
es.wikipedia,ZW,2022,1,2000
es.wikipedia,VA,2022,1,2000
es.wikipedia,KN,2022,1,2000
es.wikipedia,GW,2022,1,2000
es.wikipedia,MF,2022,1,2000
es.wikipedia,AF,2022,1,2000
es.wikipedia,NC,2022,1,2000
es.wikipedia,GU,2022,1,2000
es.wikipedia,GD,2022,1,2000
es.wikipedia,SM,2022,1,2000
es.wikipedia,SL,2022,1,2000
es.wikipedia,TM,2022,1,2000
es.wikipedia,BM,2022,1,1000
es.wikipedia,AI,2022,1,1000
es.wikipedia,TJ,2022,1,1000
es.wikipedia,VC,2022,1,1000
es.wikipedia,DJ,2022,1,1000
es.wikipedia,TD,2022,1,1000
es.wikipedia,FJ,2022,1,1000
es.wikipedia,DM,2022,1,1000
es.wikipedia,VG,2022,1,1000
es.wikipedia,MW,2022,1,1000
es.wikipedia,GG,2022,1,1000
es.wikipedia,ST,2022,1,1000
es.wikipedia,FO,2022,1,1000
es.wikipedia,BL,2022,1,1000
es.wikipedia,SS,2022,1,1000
es.wikipedia,BI,2022,1,1000
es.wikipedia,LR,2022,1,1000
es.wikipedia,CF,2022,1,1000
es.wikipedia,LS,2022,1,1000
es.wikipedia,PG,2022,1,1000
