project,date,pageviews
et.wikipedia,2022-01-01,271850
et.wikipedia,2022-01-02,290170
et.wikipedia,2022-01-03,277703
et.wikipedia,2022-01-04,264418
et.wikipedia,2022-01-05,265466
et.wikipedia,2022-01-06,313651
et.wikipedia,2022-01-07,262160
et.wikipedia,2022-01-08,274023
et.wikipedia,2022-01-09,278934
et.wikipedia,2022-01-10,301780
et.wikipedia,2022-01-11,312638
et.wikipedia,2022-01-12,316072
et.wikipedia,2022-01-13,314645
et.wikipedia,2022-01-14,286375
et.wikipedia,2022-01-15,275931
et.wikipedia,2022-01-16,342248
et.wikipedia,2022-01-17,342363
et.wikipedia,2022-01-18,334724
et.wikipedia,2022-01-19,348439
et.wikipedia,2022-01-20,333110
et.wikipedia,2022-01-21,304261
et.wikipedia,2022-01-22,269559
et.wikipedia,2022-01-23,330405
et.wikipedia,2022-01-24,334282
et.wikipedia,2022-01-25,333357
et.wikipedia,2022-01-26,349349
et.wikipedia,2022-01-27,345536
et.wikipedia,2022-01-28,319011
et.wikipedia,2022-01-29,281748
et.wikipedia,2022-01-30,321535
et.wikipedia,2022-01-31,332800
et.wikipedia,2022-02-01,357141
et.wikipedia,2022-02-02,346917
et.wikipedia,2022-02-03,351848
et.wikipedia,2022-02-04,323161
et.wikipedia,2022-02-05,282234
et.wikipedia,2022-02-06,335098
et.wikipedia,2022-02-07,319668
et.wikipedia,2022-02-08,320055
et.wikipedia,2022-02-09,329686
et.wikipedia,2022-02-10,338597
et.wikipedia,2022-02-11,296172
et.wikipedia,2022-02-12,296938
et.wikipedia,2022-02-13,336146
et.wikipedia,2022-02-14,341873
et.wikipedia,2022-02-15,354737
et.wikipedia,2022-02-16,337995
et.wikipedia,2022-02-17,340286
et.wikipedia,2022-02-18,306609
et.wikipedia,2022-02-19,302906
et.wikipedia,2022-02-20,332275
et.wikipedia,2022-02-21,362359
et.wikipedia,2022-02-22,360081
et.wikipedia,2022-02-23,399532
et.wikipedia,2022-02-24,428673
et.wikipedia,2022-02-25,415334
et.wikipedia,2022-02-26,355775
et.wikipedia,2022-02-27,416336
et.wikipedia,2022-02-28,338313
et.wikipedia,2022-03-01,326293
et.wikipedia,2022-03-02,365777
et.wikipedia,2022-03-03,325570
et.wikipedia,2022-03-04,342126
et.wikipedia,2022-03-05,316039
et.wikipedia,2022-03-06,337066
et.wikipedia,2022-03-07,352935
et.wikipedia,2022-03-08,348912
et.wikipedia,2022-03-09,350025
et.wikipedia,2022-03-10,342588
et.wikipedia,2022-03-11,291440
et.wikipedia,2022-03-12,256401
et.wikipedia,2022-03-13,315853
et.wikipedia,2022-03-14,331015
et.wikipedia,2022-03-15,312964
et.wikipedia,2022-03-16,317504
et.wikipedia,2022-03-17,309412
et.wikipedia,2022-03-18,274669
et.wikipedia,2022-03-19,255861
et.wikipedia,2022-03-20,288398
et.wikipedia,2022-03-21,309685
et.wikipedia,2022-03-22,309255
et.wikipedia,2022-03-23,318708
et.wikipedia,2022-03-24,315913
et.wikipedia,2022-03-25,285146
et.wikipedia,2022-03-26,256380
et.wikipedia,2022-03-27,298420
et.wikipedia,2022-03-28,323950
et.wikipedia,2022-03-29,320064
et.wikipedia,2022-03-30,322919
et.wikipedia,2022-03-31,310284
et.wikipedia,2022-04-01,265245
et.wikipedia,2022-04-02,230989
et.wikipedia,2022-04-03,284025
et.wikipedia,2022-04-04,313935
et.wikipedia,2022-04-05,312132
et.wikipedia,2022-04-06,306688
et.wikipedia,2022-04-07,307065
et.wikipedia,2022-04-08,282415
et.wikipedia,2022-04-09,239861
et.wikipedia,2022-04-10,290232
et.wikipedia,2022-04-11,310619
et.wikipedia,2022-04-12,302856
et.wikipedia,2022-04-13,302615
et.wikipedia,2022-04-14,282731
et.wikipedia,2022-04-15,263858
et.wikipedia,2022-04-16,239657
et.wikipedia,2022-04-17,288147
et.wikipedia,2022-04-18,310432
et.wikipedia,2022-04-19,317148
et.wikipedia,2022-04-20,310001
et.wikipedia,2022-04-21,288064
et.wikipedia,2022-04-22,272305
et.wikipedia,2022-04-23,232079
et.wikipedia,2022-04-24,273713
et.wikipedia,2022-04-25,244182
et.wikipedia,2022-04-26,243237
et.wikipedia,2022-04-27,226400
et.wikipedia,2022-04-28,231954
et.wikipedia,2022-04-29,225806
et.wikipedia,2022-04-30,220099
et.wikipedia,2022-05-01,271918
et.wikipedia,2022-05-02,288624
et.wikipedia,2022-05-03,293832
et.wikipedia,2022-05-04,286937
et.wikipedia,2022-05-05,278371
et.wikipedia,2022-05-06,244641
et.wikipedia,2022-05-07,218285
et.wikipedia,2022-05-08,272730
et.wikipedia,2022-05-09,298706
et.wikipedia,2022-05-10,290147
et.wikipedia,2022-05-11,296009
et.wikipedia,2022-05-12,301085
et.wikipedia,2022-05-13,243467
et.wikipedia,2022-05-14,246807
et.wikipedia,2022-05-15,250626
et.wikipedia,2022-05-16,298517
et.wikipedia,2022-05-17,306202
et.wikipedia,2022-05-18,286633
et.wikipedia,2022-05-19,269798
et.wikipedia,2022-05-20,257249
et.wikipedia,2022-05-21,204464
et.wikipedia,2022-05-22,247998
et.wikipedia,2022-05-23,287223
et.wikipedia,2022-05-24,272475
et.wikipedia,2022-05-25,269410
et.wikipedia,2022-05-26,289698
et.wikipedia,2022-05-27,254545
et.wikipedia,2022-05-28,220419
et.wikipedia,2022-05-29,242780
et.wikipedia,2022-05-30,274298
et.wikipedia,2022-05-31,281218
et.wikipedia,2022-06-01,254032
et.wikipedia,2022-06-02,280071
et.wikipedia,2022-06-03,233948
et.wikipedia,2022-06-04,206433
et.wikipedia,2022-06-05,215810
et.wikipedia,2022-06-06,249959
et.wikipedia,2022-06-07,245964
et.wikipedia,2022-06-08,238402
et.wikipedia,2022-06-09,219717
et.wikipedia,2022-06-10,213573
et.wikipedia,2022-06-11,192519
et.wikipedia,2022-06-12,212743
et.wikipedia,2022-06-13,230738
et.wikipedia,2022-06-14,237670
et.wikipedia,2022-06-15,203254
et.wikipedia,2022-06-16,190412
et.wikipedia,2022-06-17,185305
et.wikipedia,2022-06-18,214238
et.wikipedia,2022-06-19,198922
