project,iso2,year,month,pageviews_ceil
eu.wikipedia,ES,2022,1,1345000
eu.wikipedia,US,2022,1,236000
eu.wikipedia,DE,2022,1,90000
eu.wikipedia,FR,2022,1,90000
eu.wikipedia,IR,2022,1,68000
eu.wikipedia,CA,2022,1,61000
eu.wikipedia,SG,2022,1,33000
eu.wikipedia,--,2022,1,23000
eu.wikipedia,RU,2022,1,21000
eu.wikipedia,NL,2022,1,20000
eu.wikipedia,TR,2022,1,18000
eu.wikipedia,FI,2022,1,16000
eu.wikipedia,GB,2022,1,14000
eu.wikipedia,JP,2022,1,9000
eu.wikipedia,PL,2022,1,9000
eu.wikipedia,CZ,2022,1,8000
eu.wikipedia,BE,2022,1,8000
eu.wikipedia,IT,2022,1,6000
eu.wikipedia,IN,2022,1,6000
eu.wikipedia,BR,2022,1,5000
eu.wikipedia,IL,2022,1,5000
eu.wikipedia,DK,2022,1,4000
eu.wikipedia,CH,2022,1,4000
eu.wikipedia,NO,2022,1,4000
eu.wikipedia,PT,2022,1,4000
eu.wikipedia,SE,2022,1,4000
eu.wikipedia,AU,2022,1,3000
eu.wikipedia,MX,2022,1,3000
eu.wikipedia,UA,2022,1,3000
eu.wikipedia,KR,2022,1,3000
eu.wikipedia,ZA,2022,1,3000
eu.wikipedia,HK,2022,1,3000
eu.wikipedia,ID,2022,1,3000
eu.wikipedia,AR,2022,1,2000
eu.wikipedia,CN,2022,1,2000
eu.wikipedia,VN,2022,1,2000
eu.wikipedia,RO,2022,1,2000
eu.wikipedia,CO,2022,1,2000
eu.wikipedia,BD,2022,1,2000
eu.wikipedia,IE,2022,1,2000
eu.wikipedia,TW,2022,1,2000
eu.wikipedia,HU,2022,1,2000
eu.wikipedia,AT,2022,1,2000
eu.wikipedia,PH,2022,1,2000
eu.wikipedia,SK,2022,1,2000
eu.wikipedia,NG,2022,1,1000
eu.wikipedia,GR,2022,1,1000
eu.wikipedia,CL,2022,1,1000
eu.wikipedia,TH,2022,1,1000
