project,iso2,year,month,pageviews_ceil
fa.wikipedia,IR,2022,1,173544000
fa.wikipedia,US,2022,1,7484000
fa.wikipedia,DE,2022,1,4513000
fa.wikipedia,GB,2022,1,3108000
fa.wikipedia,FR,2022,1,2288000
fa.wikipedia,NL,2022,1,1785000
fa.wikipedia,CA,2022,1,1755000
fa.wikipedia,AF,2022,1,1303000
fa.wikipedia,RU,2022,1,1038000
fa.wikipedia,TR,2022,1,935000
fa.wikipedia,BE,2022,1,596000
fa.wikipedia,SE,2022,1,495000
fa.wikipedia,IT,2022,1,373000
fa.wikipedia,CH,2022,1,315000
fa.wikipedia,AU,2022,1,290000
fa.wikipedia,JP,2022,1,270000
fa.wikipedia,FI,2022,1,250000
fa.wikipedia,SG,2022,1,239000
fa.wikipedia,IQ,2022,1,213000
fa.wikipedia,PL,2022,1,212000
fa.wikipedia,AT,2022,1,211000
fa.wikipedia,RO,2022,1,199000
fa.wikipedia,AE,2022,1,193000
fa.wikipedia,BR,2022,1,178000
fa.wikipedia,NO,2022,1,175000
fa.wikipedia,ID,2022,1,165000
fa.wikipedia,--,2022,1,151000
fa.wikipedia,ES,2022,1,141000
fa.wikipedia,IN,2022,1,131000
fa.wikipedia,DK,2022,1,123000
fa.wikipedia,HK,2022,1,114000
fa.wikipedia,IE,2022,1,108000
fa.wikipedia,TW,2022,1,105000
fa.wikipedia,UA,2022,1,90000
fa.wikipedia,PK,2022,1,86000
fa.wikipedia,LU,2022,1,83000
fa.wikipedia,MY,2022,1,83000
fa.wikipedia,CZ,2022,1,75000
fa.wikipedia,IL,2022,1,74000
fa.wikipedia,BG,2022,1,54000
fa.wikipedia,HU,2022,1,51000
fa.wikipedia,KR,2022,1,48000
fa.wikipedia,GE,2022,1,45000
fa.wikipedia,TH,2022,1,44000
fa.wikipedia,AM,2022,1,43000
fa.wikipedia,PH,2022,1,43000
fa.wikipedia,AZ,2022,1,41000
fa.wikipedia,CY,2022,1,39000
fa.wikipedia,GR,2022,1,37000
fa.wikipedia,KW,2022,1,35000
fa.wikipedia,BD,2022,1,33000
fa.wikipedia,MD,2022,1,26000
fa.wikipedia,QA,2022,1,25000
fa.wikipedia,SA,2022,1,25000
fa.wikipedia,VN,2022,1,25000
fa.wikipedia,MX,2022,1,25000
fa.wikipedia,EC,2022,1,24000
fa.wikipedia,LV,2022,1,24000
fa.wikipedia,OM,2022,1,24000
fa.wikipedia,PT,2022,1,24000
fa.wikipedia,TJ,2022,1,21000
fa.wikipedia,EG,2022,1,21000
fa.wikipedia,RS,2022,1,20000
fa.wikipedia,NZ,2022,1,19000
fa.wikipedia,EE,2022,1,19000
fa.wikipedia,MK,2022,1,17000
fa.wikipedia,LT,2022,1,17000
fa.wikipedia,KZ,2022,1,16000
fa.wikipedia,BY,2022,1,14000
fa.wikipedia,AR,2022,1,14000
fa.wikipedia,BH,2022,1,14000
fa.wikipedia,SC,2022,1,13000
fa.wikipedia,UZ,2022,1,12000
fa.wikipedia,ZA,2022,1,11000
fa.wikipedia,AL,2022,1,11000
fa.wikipedia,SK,2022,1,11000
fa.wikipedia,BV,2022,1,10000
fa.wikipedia,DZ,2022,1,9000
fa.wikipedia,CO,2022,1,8000
fa.wikipedia,IS,2022,1,8000
fa.wikipedia,HR,2022,1,8000
fa.wikipedia,LB,2022,1,7000
fa.wikipedia,MA,2022,1,7000
fa.wikipedia,SY,2022,1,7000
fa.wikipedia,BA,2022,1,6000
fa.wikipedia,JO,2022,1,6000
fa.wikipedia,MO,2022,1,6000
fa.wikipedia,CL,2022,1,6000
fa.wikipedia,NG,2022,1,5000
fa.wikipedia,SI,2022,1,5000
fa.wikipedia,CN,2022,1,5000
fa.wikipedia,NP,2022,1,4000
fa.wikipedia,PE,2022,1,4000
fa.wikipedia,TN,2022,1,4000
fa.wikipedia,VE,2022,1,4000
fa.wikipedia,SD,2022,1,4000
fa.wikipedia,KG,2022,1,3000
fa.wikipedia,PY,2022,1,3000
fa.wikipedia,KH,2022,1,3000
fa.wikipedia,YE,2022,1,3000
fa.wikipedia,KE,2022,1,3000
fa.wikipedia,UY,2022,1,3000
fa.wikipedia,PA,2022,1,2000
fa.wikipedia,LK,2022,1,2000
fa.wikipedia,MM,2022,1,2000
fa.wikipedia,GH,2022,1,2000
fa.wikipedia,DO,2022,1,2000
fa.wikipedia,TM,2022,1,2000
fa.wikipedia,LY,2022,1,2000
fa.wikipedia,SN,2022,1,2000
fa.wikipedia,ET,2022,1,2000
fa.wikipedia,LA,2022,1,2000
fa.wikipedia,CI,2022,1,2000
fa.wikipedia,CR,2022,1,2000
fa.wikipedia,UG,2022,1,2000
fa.wikipedia,PS,2022,1,1000
fa.wikipedia,TG,2022,1,1000
fa.wikipedia,HN,2022,1,1000
fa.wikipedia,MT,2022,1,1000
fa.wikipedia,GT,2022,1,1000
fa.wikipedia,BO,2022,1,1000
fa.wikipedia,TZ,2022,1,1000
fa.wikipedia,RW,2022,1,1000
fa.wikipedia,PR,2022,1,1000
fa.wikipedia,JM,2022,1,1000
fa.wikipedia,CM,2022,1,1000
fa.wikipedia,MG,2022,1,1000
fa.wikipedia,MN,2022,1,1000
fa.wikipedia,SV,2022,1,1000
fa.wikipedia,BN,2022,1,1000
fa.wikipedia,AO,2022,1,1000
fa.wikipedia,ML,2022,1,1000
fa.wikipedia,SO,2022,1,1000
fa.wikipedia,NE,2022,1,1000
fa.wikipedia,IM,2022,1,1000
fa.wikipedia,CD,2022,1,1000
fa.wikipedia,AD,2022,1,1000
fa.wikipedia,NI,2022,1,1000
fa.wikipedia,ME,2022,1,1000
fa.wikipedia,BW,2022,1,1000
fa.wikipedia,MZ,2022,1,1000
fa.wikipedia,GN,2022,1,1000
fa.wikipedia,CU,2022,1,1000
fa.wikipedia,ZW,2022,1,1000
fa.wikipedia,GA,2022,1,1000
fa.wikipedia,SL,2022,1,1000
fa.wikipedia,XK,2022,1,1000
fa.wikipedia,BZ,2022,1,1000
fa.wikipedia,MR,2022,1,1000
fa.wikipedia,GU,2022,1,1000
fa.wikipedia,GI,2022,1,1000
fa.wikipedia,MU,2022,1,1000
fa.wikipedia,BJ,2022,1,1000
fa.wikipedia,BF,2022,1,1000
fa.wikipedia,AX,2022,1,1000
fa.wikipedia,CG,2022,1,1000
fa.wikipedia,MV,2022,1,1000
fa.wikipedia,GY,2022,1,1000
fa.wikipedia,JE,2022,1,1000
fa.wikipedia,TT,2022,1,1000
fa.wikipedia,BS,2022,1,1000
fa.wikipedia,RE,2022,1,1000
fa.wikipedia,MC,2022,1,1000
fa.wikipedia,LI,2022,1,1000
fa.wikipedia,GM,2022,1,1000
fa.wikipedia,AW,2022,1,1000
fa.wikipedia,TD,2022,1,1000
fa.wikipedia,GF,2022,1,1000
fa.wikipedia,LC,2022,1,1000
fa.wikipedia,SR,2022,1,1000
fa.wikipedia,MP,2022,1,1000
fa.wikipedia,ZM,2022,1,1000
fa.wikipedia,IR,2022,2,168157000
fa.wikipedia,US,2022,2,7831000
fa.wikipedia,DE,2022,2,4457000
fa.wikipedia,GB,2022,2,3061000
fa.wikipedia,FR,2022,2,2041000
fa.wikipedia,CA,2022,2,1811000
fa.wikipedia,NL,2022,2,1736000
fa.wikipedia,RU,2022,2,1247000
fa.wikipedia,AF,2022,2,1205000
fa.wikipedia,TR,2022,2,880000
fa.wikipedia,BR,2022,2,670000
fa.wikipedia,SE,2022,2,448000
fa.wikipedia,IT,2022,2,364000
fa.wikipedia,BE,2022,2,360000
fa.wikipedia,FI,2022,2,338000
fa.wikipedia,CH,2022,2,276000
fa.wikipedia,SG,2022,2,248000
fa.wikipedia,AU,2022,2,244000
fa.wikipedia,IN,2022,2,209000
fa.wikipedia,RO,2022,2,207000
fa.wikipedia,AT,2022,2,206000
fa.wikipedia,JP,2022,2,202000
fa.wikipedia,IQ,2022,2,195000
fa.wikipedia,AE,2022,2,188000
fa.wikipedia,NO,2022,2,165000
fa.wikipedia,PL,2022,2,161000
fa.wikipedia,--,2022,2,151000
fa.wikipedia,DK,2022,2,121000
fa.wikipedia,ES,2022,2,115000
fa.wikipedia,PK,2022,2,95000
fa.wikipedia,UA,2022,2,79000
fa.wikipedia,LU,2022,2,77000
fa.wikipedia,IL,2022,2,75000
fa.wikipedia,IE,2022,2,70000
fa.wikipedia,CZ,2022,2,68000
fa.wikipedia,HK,2022,2,63000
fa.wikipedia,ID,2022,2,56000
fa.wikipedia,EE,2022,2,54000
fa.wikipedia,BG,2022,2,53000
fa.wikipedia,GE,2022,2,50000
fa.wikipedia,HU,2022,2,44000
fa.wikipedia,MY,2022,2,41000
fa.wikipedia,AM,2022,2,41000
fa.wikipedia,KR,2022,2,40000
fa.wikipedia,HR,2022,2,38000
fa.wikipedia,AZ,2022,2,37000
fa.wikipedia,CY,2022,2,37000
fa.wikipedia,TW,2022,2,36000
fa.wikipedia,GR,2022,2,33000
fa.wikipedia,KW,2022,2,33000
fa.wikipedia,KZ,2022,2,32000
fa.wikipedia,UZ,2022,2,30000
fa.wikipedia,MD,2022,2,30000
fa.wikipedia,TJ,2022,2,26000
fa.wikipedia,OM,2022,2,25000
fa.wikipedia,SA,2022,2,23000
fa.wikipedia,NZ,2022,2,23000
fa.wikipedia,BY,2022,2,22000
fa.wikipedia,LV,2022,2,21000
fa.wikipedia,PT,2022,2,20000
fa.wikipedia,QA,2022,2,20000
fa.wikipedia,TH,2022,2,19000
fa.wikipedia,MK,2022,2,18000
fa.wikipedia,EG,2022,2,18000
fa.wikipedia,LT,2022,2,18000
fa.wikipedia,BH,2022,2,16000
fa.wikipedia,PH,2022,2,15000
fa.wikipedia,EC,2022,2,15000
fa.wikipedia,BD,2022,2,14000
fa.wikipedia,RS,2022,2,13000
fa.wikipedia,SC,2022,2,12000
fa.wikipedia,MX,2022,2,12000
fa.wikipedia,VN,2022,2,12000
fa.wikipedia,AL,2022,2,12000
fa.wikipedia,ZA,2022,2,11000
fa.wikipedia,SK,2022,2,9000
fa.wikipedia,AR,2022,2,9000
fa.wikipedia,BV,2022,2,7000
fa.wikipedia,IS,2022,2,6000
fa.wikipedia,DZ,2022,2,6000
fa.wikipedia,BA,2022,2,6000
fa.wikipedia,LB,2022,2,6000
fa.wikipedia,MA,2022,2,6000
fa.wikipedia,SY,2022,2,6000
fa.wikipedia,CN,2022,2,6000
fa.wikipedia,NG,2022,2,6000
fa.wikipedia,KG,2022,2,5000
fa.wikipedia,JO,2022,2,5000
fa.wikipedia,SI,2022,2,5000
fa.wikipedia,CO,2022,2,4000
fa.wikipedia,CL,2022,2,4000
fa.wikipedia,SD,2022,2,4000
fa.wikipedia,MN,2022,2,4000
fa.wikipedia,TN,2022,2,3000
fa.wikipedia,LK,2022,2,3000
fa.wikipedia,YE,2022,2,3000
fa.wikipedia,VE,2022,2,3000
fa.wikipedia,KE,2022,2,3000
fa.wikipedia,MM,2022,2,2000
fa.wikipedia,TM,2022,2,2000
fa.wikipedia,LY,2022,2,2000
fa.wikipedia,UY,2022,2,2000
fa.wikipedia,PE,2022,2,2000
fa.wikipedia,PA,2022,2,2000
fa.wikipedia,MO,2022,2,2000
fa.wikipedia,DO,2022,2,2000
fa.wikipedia,RW,2022,2,2000
fa.wikipedia,KH,2022,2,2000
fa.wikipedia,NP,2022,2,2000
fa.wikipedia,PY,2022,2,2000
fa.wikipedia,PS,2022,2,2000
fa.wikipedia,ET,2022,2,1000
