project,iso2,year,month,pageviews_ceil
fi.wikipedia,FI,2022,1,60281000
fi.wikipedia,RU,2022,1,791000
fi.wikipedia,US,2022,1,713000
fi.wikipedia,DE,2022,1,344000
fi.wikipedia,IR,2022,1,341000
fi.wikipedia,SE,2022,1,319000
fi.wikipedia,NL,2022,1,229000
fi.wikipedia,FR,2022,1,169000
fi.wikipedia,CA,2022,1,155000
fi.wikipedia,ES,2022,1,155000
fi.wikipedia,GB,2022,1,135000
fi.wikipedia,ID,2022,1,125000
fi.wikipedia,BR,2022,1,124000
fi.wikipedia,SG,2022,1,89000
fi.wikipedia,EE,2022,1,84000
fi.wikipedia,TW,2022,1,80000
fi.wikipedia,HK,2022,1,70000
fi.wikipedia,NO,2022,1,60000
fi.wikipedia,TH,2022,1,57000
fi.wikipedia,MY,2022,1,55000
fi.wikipedia,PL,2022,1,53000
fi.wikipedia,JP,2022,1,49000
fi.wikipedia,IN,2022,1,49000
fi.wikipedia,IT,2022,1,49000
fi.wikipedia,BE,2022,1,48000
fi.wikipedia,DK,2022,1,44000
fi.wikipedia,CH,2022,1,44000
fi.wikipedia,--,2022,1,39000
fi.wikipedia,PH,2022,1,37000
fi.wikipedia,TR,2022,1,34000
fi.wikipedia,AU,2022,1,31000
fi.wikipedia,AT,2022,1,27000
fi.wikipedia,CZ,2022,1,26000
fi.wikipedia,MX,2022,1,24000
fi.wikipedia,UA,2022,1,24000
fi.wikipedia,BD,2022,1,22000
fi.wikipedia,VN,2022,1,22000
fi.wikipedia,PT,2022,1,21000
fi.wikipedia,KR,2022,1,18000
fi.wikipedia,EC,2022,1,17000
fi.wikipedia,HU,2022,1,16000
fi.wikipedia,IE,2022,1,15000
fi.wikipedia,AX,2022,1,14000
fi.wikipedia,RO,2022,1,14000
fi.wikipedia,GR,2022,1,13000
fi.wikipedia,IL,2022,1,11000
fi.wikipedia,LU,2022,1,10000
fi.wikipedia,LV,2022,1,10000
fi.wikipedia,AR,2022,1,10000
fi.wikipedia,AE,2022,1,10000
fi.wikipedia,CO,2022,1,8000
fi.wikipedia,LT,2022,1,8000
fi.wikipedia,BG,2022,1,8000
fi.wikipedia,ZA,2022,1,7000
fi.wikipedia,MT,2022,1,7000
fi.wikipedia,IQ,2022,1,7000
fi.wikipedia,CL,2022,1,6000
fi.wikipedia,EG,2022,1,6000
fi.wikipedia,SK,2022,1,5000
fi.wikipedia,PK,2022,1,5000
fi.wikipedia,RS,2022,1,5000
fi.wikipedia,NZ,2022,1,5000
fi.wikipedia,PE,2022,1,5000
fi.wikipedia,MO,2022,1,5000
fi.wikipedia,DZ,2022,1,4000
fi.wikipedia,SI,2022,1,4000
fi.wikipedia,IS,2022,1,4000
fi.wikipedia,CV,2022,1,4000
fi.wikipedia,BY,2022,1,4000
fi.wikipedia,NP,2022,1,4000
fi.wikipedia,HR,2022,1,3000
fi.wikipedia,UY,2022,1,3000
fi.wikipedia,AL,2022,1,3000
fi.wikipedia,MA,2022,1,3000
fi.wikipedia,GE,2022,1,3000
fi.wikipedia,NG,2022,1,3000
fi.wikipedia,DO,2022,1,3000
fi.wikipedia,CN,2022,1,3000
fi.wikipedia,KH,2022,1,3000
fi.wikipedia,QA,2022,1,3000
fi.wikipedia,UZ,2022,1,3000
fi.wikipedia,TZ,2022,1,3000
fi.wikipedia,VE,2022,1,2000
fi.wikipedia,CY,2022,1,2000
fi.wikipedia,LK,2022,1,2000
fi.wikipedia,KE,2022,1,2000
fi.wikipedia,TN,2022,1,2000
fi.wikipedia,BA,2022,1,2000
fi.wikipedia,PY,2022,1,2000
fi.wikipedia,KZ,2022,1,2000
fi.wikipedia,MD,2022,1,2000
fi.wikipedia,CR,2022,1,2000
fi.wikipedia,SA,2022,1,2000
fi.wikipedia,LA,2022,1,2000
fi.wikipedia,MV,2022,1,2000
fi.wikipedia,MK,2022,1,2000
fi.wikipedia,MM,2022,1,2000
fi.wikipedia,GH,2022,1,2000
fi.wikipedia,AZ,2022,1,2000
fi.wikipedia,SN,2022,1,2000
fi.wikipedia,LB,2022,1,2000
fi.wikipedia,AD,2022,1,2000
fi.wikipedia,ET,2022,1,2000
fi.wikipedia,MU,2022,1,2000
fi.wikipedia,KG,2022,1,1000
fi.wikipedia,PA,2022,1,1000
fi.wikipedia,GT,2022,1,1000
fi.wikipedia,BH,2022,1,1000
fi.wikipedia,TG,2022,1,1000
fi.wikipedia,SV,2022,1,1000
fi.wikipedia,OM,2022,1,1000
fi.wikipedia,GM,2022,1,1000
fi.wikipedia,CI,2022,1,1000
fi.wikipedia,JO,2022,1,1000
fi.wikipedia,KW,2022,1,1000
fi.wikipedia,SC,2022,1,1000
fi.wikipedia,ZW,2022,1,1000
fi.wikipedia,BO,2022,1,1000
fi.wikipedia,XK,2022,1,1000
fi.wikipedia,PR,2022,1,1000
fi.wikipedia,AM,2022,1,1000
fi.wikipedia,HN,2022,1,1000
fi.wikipedia,UG,2022,1,1000
fi.wikipedia,SO,2022,1,1000
fi.wikipedia,JM,2022,1,1000
fi.wikipedia,BJ,2022,1,1000
fi.wikipedia,MN,2022,1,1000
fi.wikipedia,AO,2022,1,1000
fi.wikipedia,BN,2022,1,1000
fi.wikipedia,MG,2022,1,1000
fi.wikipedia,IM,2022,1,1000
fi.wikipedia,ML,2022,1,1000
fi.wikipedia,RE,2022,1,1000
fi.wikipedia,ZM,2022,1,1000
fi.wikipedia,MZ,2022,1,1000
fi.wikipedia,NI,2022,1,1000
fi.wikipedia,TT,2022,1,1000
fi.wikipedia,CU,2022,1,1000
fi.wikipedia,ME,2022,1,1000
fi.wikipedia,MC,2022,1,1000
fi.wikipedia,AW,2022,1,1000
fi.wikipedia,CM,2022,1,1000
fi.wikipedia,NA,2022,1,1000
fi.wikipedia,LY,2022,1,1000
fi.wikipedia,GU,2022,1,1000
fi.wikipedia,CD,2022,1,1000
fi.wikipedia,GY,2022,1,1000
fi.wikipedia,GA,2022,1,1000
fi.wikipedia,PF,2022,1,1000
fi.wikipedia,BW,2022,1,1000
fi.wikipedia,SY,2022,1,1000
fi.wikipedia,GP,2022,1,1000
fi.wikipedia,BB,2022,1,1000
fi.wikipedia,MW,2022,1,1000
fi.wikipedia,CG,2022,1,1000
fi.wikipedia,TL,2022,1,1000
fi.wikipedia,MQ,2022,1,1000
fi.wikipedia,BS,2022,1,1000
fi.wikipedia,SD,2022,1,1000
fi.wikipedia,BZ,2022,1,1000
fi.wikipedia,RW,2022,1,1000
fi.wikipedia,LI,2022,1,1000
fi.wikipedia,LC,2022,1,1000
fi.wikipedia,CW,2022,1,1000
fi.wikipedia,SR,2022,1,1000
fi.wikipedia,PS,2022,1,1000
fi.wikipedia,BF,2022,1,1000
fi.wikipedia,SX,2022,1,1000
fi.wikipedia,FI,2022,2,55194000
fi.wikipedia,US,2022,2,850000
fi.wikipedia,BR,2022,2,514000
fi.wikipedia,DE,2022,2,305000
fi.wikipedia,SE,2022,2,282000
fi.wikipedia,IN,2022,2,256000
fi.wikipedia,RU,2022,2,219000
fi.wikipedia,NL,2022,2,141000
fi.wikipedia,GB,2022,2,140000
fi.wikipedia,ES,2022,2,136000
fi.wikipedia,IR,2022,2,132000
fi.wikipedia,FR,2022,2,123000
fi.wikipedia,CA,2022,2,96000
fi.wikipedia,EE,2022,2,81000
fi.wikipedia,SG,2022,2,72000
fi.wikipedia,NO,2022,2,58000
fi.wikipedia,UZ,2022,2,49000
fi.wikipedia,IT,2022,2,47000
fi.wikipedia,PL,2022,2,44000
fi.wikipedia,CH,2022,2,41000
fi.wikipedia,DK,2022,2,40000
fi.wikipedia,BE,2022,2,39000
fi.wikipedia,JP,2022,2,39000
fi.wikipedia,ID,2022,2,38000
fi.wikipedia,UA,2022,2,36000
fi.wikipedia,PK,2022,2,35000
fi.wikipedia,KZ,2022,2,32000
fi.wikipedia,--,2022,2,31000
fi.wikipedia,AT,2022,2,31000
fi.wikipedia,TH,2022,2,30000
fi.wikipedia,TR,2022,2,29000
fi.wikipedia,HK,2022,2,28000
fi.wikipedia,TW,2022,2,26000
fi.wikipedia,CZ,2022,2,26000
fi.wikipedia,AU,2022,2,23000
fi.wikipedia,BY,2022,2,23000
fi.wikipedia,MY,2022,2,19000
fi.wikipedia,PT,2022,2,19000
fi.wikipedia,IE,2022,2,16000
fi.wikipedia,PH,2022,2,16000
fi.wikipedia,KR,2022,2,15000
fi.wikipedia,MX,2022,2,15000
fi.wikipedia,VN,2022,2,14000
fi.wikipedia,AX,2022,2,13000
fi.wikipedia,HU,2022,2,13000
fi.wikipedia,LU,2022,2,12000
fi.wikipedia,RO,2022,2,12000
fi.wikipedia,GR,2022,2,12000
fi.wikipedia,TJ,2022,2,11000
fi.wikipedia,IL,2022,2,11000
fi.wikipedia,EC,2022,2,10000
fi.wikipedia,LV,2022,2,10000
fi.wikipedia,GE,2022,2,9000
fi.wikipedia,AE,2022,2,8000
fi.wikipedia,BD,2022,2,8000
fi.wikipedia,LT,2022,2,8000
fi.wikipedia,AR,2022,2,7000
fi.wikipedia,KG,2022,2,6000
fi.wikipedia,MN,2022,2,6000
fi.wikipedia,MT,2022,2,6000
fi.wikipedia,BG,2022,2,6000
fi.wikipedia,ZA,2022,2,5000
fi.wikipedia,SK,2022,2,5000
fi.wikipedia,RS,2022,2,5000
fi.wikipedia,CO,2022,2,5000
fi.wikipedia,NZ,2022,2,4000
fi.wikipedia,CL,2022,2,4000
fi.wikipedia,EG,2022,2,4000
