project,iso2,year,month,pageviews_ceil
fr.wikipedia,FR,2022,1,540150000
fr.wikipedia,BE,2022,1,37890000
fr.wikipedia,CA,2022,1,33777000
fr.wikipedia,CH,2022,1,21527000
fr.wikipedia,US,2022,1,16950000
fr.wikipedia,MA,2022,1,14514000
fr.wikipedia,DZ,2022,1,12132000
fr.wikipedia,DE,2022,1,6237000
fr.wikipedia,TN,2022,1,6116000
fr.wikipedia,CI,2022,1,5360000
fr.wikipedia,GB,2022,1,4789000
fr.wikipedia,CD,2022,1,4373000
fr.wikipedia,CM,2022,1,4246000
fr.wikipedia,SN,2022,1,3470000
fr.wikipedia,ES,2022,1,3237000
fr.wikipedia,NL,2022,1,2907000
fr.wikipedia,RE,2022,1,2789000
fr.wikipedia,IT,2022,1,2689000
fr.wikipedia,RU,2022,1,2112000
fr.wikipedia,LU,2022,1,2058000
fr.wikipedia,IE,2022,1,1960000
fr.wikipedia,HT,2022,1,1912000
fr.wikipedia,BJ,2022,1,1590000
fr.wikipedia,MG,2022,1,1427000
fr.wikipedia,ML,2022,1,1322000
fr.wikipedia,BF,2022,1,1233000
fr.wikipedia,MQ,2022,1,1163000
fr.wikipedia,GN,2022,1,1148000
fr.wikipedia,GA,2022,1,1130000
fr.wikipedia,GP,2022,1,1129000
fr.wikipedia,BR,2022,1,961000
fr.wikipedia,JP,2022,1,906000
fr.wikipedia,TG,2022,1,896000
fr.wikipedia,PL,2022,1,865000
fr.wikipedia,IR,2022,1,855000
fr.wikipedia,PT,2022,1,850000
fr.wikipedia,SE,2022,1,782000
fr.wikipedia,LB,2022,1,680000
fr.wikipedia,RO,2022,1,668000
fr.wikipedia,IL,2022,1,655000
fr.wikipedia,DK,2022,1,640000
fr.wikipedia,TR,2022,1,611000
fr.wikipedia,NC,2022,1,611000
fr.wikipedia,--,2022,1,586000
fr.wikipedia,MX,2022,1,570000
fr.wikipedia,CG,2022,1,552000
fr.wikipedia,NE,2022,1,490000
fr.wikipedia,PF,2022,1,479000
fr.wikipedia,IN,2022,1,466000
fr.wikipedia,AT,2022,1,452000
fr.wikipedia,GF,2022,1,443000
fr.wikipedia,CZ,2022,1,408000
fr.wikipedia,MU,2022,1,387000
fr.wikipedia,GR,2022,1,381000
fr.wikipedia,AE,2022,1,377000
fr.wikipedia,TH,2022,1,367000
fr.wikipedia,ID,2022,1,355000
fr.wikipedia,SG,2022,1,354000
fr.wikipedia,AU,2022,1,348000
fr.wikipedia,HK,2022,1,340000
fr.wikipedia,UA,2022,1,324000
fr.wikipedia,TW,2022,1,305000
fr.wikipedia,TD,2022,1,286000
fr.wikipedia,MR,2022,1,281000
fr.wikipedia,EG,2022,1,281000
fr.wikipedia,FI,2022,1,280000
fr.wikipedia,VN,2022,1,278000
fr.wikipedia,NO,2022,1,264000
fr.wikipedia,HU,2022,1,262000
fr.wikipedia,BI,2022,1,258000
fr.wikipedia,KR,2022,1,245000
fr.wikipedia,YT,2022,1,223000
fr.wikipedia,CO,2022,1,214000
fr.wikipedia,MC,2022,1,212000
fr.wikipedia,AR,2022,1,212000
fr.wikipedia,ZA,2022,1,197000
fr.wikipedia,DJ,2022,1,182000
fr.wikipedia,DO,2022,1,177000
fr.wikipedia,BG,2022,1,176000
fr.wikipedia,NG,2022,1,170000
fr.wikipedia,CL,2022,1,161000
fr.wikipedia,RW,2022,1,152000
fr.wikipedia,MY,2022,1,150000
fr.wikipedia,RS,2022,1,149000
fr.wikipedia,SK,2022,1,143000
fr.wikipedia,PH,2022,1,138000
fr.wikipedia,SA,2022,1,136000
fr.wikipedia,EE,2022,1,123000
fr.wikipedia,PE,2022,1,107000
fr.wikipedia,LT,2022,1,105000
fr.wikipedia,MD,2022,1,98000
fr.wikipedia,KM,2022,1,95000
fr.wikipedia,QA,2022,1,92000
fr.wikipedia,HR,2022,1,91000
fr.wikipedia,KH,2022,1,84000
fr.wikipedia,GH,2022,1,78000
fr.wikipedia,EC,2022,1,76000
fr.wikipedia,CF,2022,1,74000
fr.wikipedia,AO,2022,1,73000
fr.wikipedia,KE,2022,1,71000
fr.wikipedia,CR,2022,1,70000
fr.wikipedia,BD,2022,1,68000
fr.wikipedia,PK,2022,1,67000
fr.wikipedia,AD,2022,1,67000
fr.wikipedia,BY,2022,1,64000
fr.wikipedia,TZ,2022,1,62000
fr.wikipedia,CY,2022,1,60000
fr.wikipedia,GE,2022,1,59000
fr.wikipedia,SI,2022,1,57000
fr.wikipedia,NZ,2022,1,57000
fr.wikipedia,AL,2022,1,56000
fr.wikipedia,LV,2022,1,55000
fr.wikipedia,MT,2022,1,51000
fr.wikipedia,BL,2022,1,49000
fr.wikipedia,JO,2022,1,45000
fr.wikipedia,LY,2022,1,45000
fr.wikipedia,IQ,2022,1,43000
fr.wikipedia,UY,2022,1,40000
fr.wikipedia,AM,2022,1,40000
fr.wikipedia,PM,2022,1,38000
fr.wikipedia,IS,2022,1,38000
fr.wikipedia,VE,2022,1,36000
fr.wikipedia,UG,2022,1,36000
fr.wikipedia,MF,2022,1,36000
fr.wikipedia,BA,2022,1,32000
fr.wikipedia,LK,2022,1,31000
fr.wikipedia,ET,2022,1,31000
fr.wikipedia,AZ,2022,1,29000
fr.wikipedia,PA,2022,1,29000
fr.wikipedia,MK,2022,1,27000
fr.wikipedia,KW,2022,1,27000
fr.wikipedia,KZ,2022,1,26000
fr.wikipedia,GT,2022,1,25000
fr.wikipedia,CV,2022,1,24000
fr.wikipedia,UZ,2022,1,24000
fr.wikipedia,OM,2022,1,23000
fr.wikipedia,CU,2022,1,22000
fr.wikipedia,BO,2022,1,21000
fr.wikipedia,LA,2022,1,20000
fr.wikipedia,PY,2022,1,19000
fr.wikipedia,SC,2022,1,18000
fr.wikipedia,CN,2022,1,17000
fr.wikipedia,BH,2022,1,17000
fr.wikipedia,SY,2022,1,17000
fr.wikipedia,MV,2022,1,17000
fr.wikipedia,ZM,2022,1,17000
fr.wikipedia,NP,2022,1,17000
fr.wikipedia,SV,2022,1,16000
fr.wikipedia,GQ,2022,1,16000
fr.wikipedia,MZ,2022,1,16000
fr.wikipedia,LR,2022,1,14000
fr.wikipedia,NI,2022,1,14000
fr.wikipedia,GM,2022,1,13000
fr.wikipedia,HN,2022,1,13000
fr.wikipedia,XK,2022,1,12000
fr.wikipedia,SD,2022,1,12000
fr.wikipedia,MO,2022,1,12000
fr.wikipedia,ME,2022,1,11000
fr.wikipedia,BS,2022,1,9000
fr.wikipedia,PR,2022,1,8000
fr.wikipedia,GW,2022,1,8000
fr.wikipedia,SO,2022,1,8000
fr.wikipedia,MM,2022,1,8000
fr.wikipedia,SL,2022,1,8000
fr.wikipedia,WF,2022,1,7000
fr.wikipedia,NA,2022,1,7000
fr.wikipedia,KG,2022,1,7000
fr.wikipedia,SX,2022,1,7000
fr.wikipedia,PS,2022,1,6000
fr.wikipedia,LI,2022,1,6000
fr.wikipedia,JM,2022,1,6000
fr.wikipedia,TT,2022,1,6000
fr.wikipedia,VU,2022,1,6000
fr.wikipedia,MN,2022,1,6000
fr.wikipedia,ZW,2022,1,6000
fr.wikipedia,SR,2022,1,5000
fr.wikipedia,BW,2022,1,5000
fr.wikipedia,JE,2022,1,5000
fr.wikipedia,IM,2022,1,5000
fr.wikipedia,BN,2022,1,4000
fr.wikipedia,TC,2022,1,4000
fr.wikipedia,YE,2022,1,4000
fr.wikipedia,MW,2022,1,4000
fr.wikipedia,LC,2022,1,3000
fr.wikipedia,AF,2022,1,3000
fr.wikipedia,BB,2022,1,3000
fr.wikipedia,CW,2022,1,3000
fr.wikipedia,VA,2022,1,3000
fr.wikipedia,SS,2022,1,3000
fr.wikipedia,GL,2022,1,3000
fr.wikipedia,BZ,2022,1,3000
fr.wikipedia,AW,2022,1,3000
fr.wikipedia,GI,2022,1,3000
fr.wikipedia,GG,2022,1,2000
fr.wikipedia,FJ,2022,1,2000
fr.wikipedia,TM,2022,1,2000
fr.wikipedia,TJ,2022,1,2000
fr.wikipedia,AG,2022,1,2000
