project,iso2,year,month,pageviews_ceil
frr.wikipedia,US,2022,1,44000
frr.wikipedia,DE,2022,1,30000
frr.wikipedia,NL,2022,1,19000
frr.wikipedia,FR,2022,1,17000
frr.wikipedia,CA,2022,1,10000
frr.wikipedia,IR,2022,1,10000
frr.wikipedia,SG,2022,1,9000
frr.wikipedia,RU,2022,1,5000
frr.wikipedia,GE,2022,1,3000
frr.wikipedia,--,2022,1,3000
frr.wikipedia,FI,2022,1,3000
frr.wikipedia,PL,2022,1,3000
frr.wikipedia,GB,2022,1,2000
frr.wikipedia,JP,2022,1,2000
frr.wikipedia,ES,2022,1,2000
frr.wikipedia,HK,2022,1,2000
frr.wikipedia,EE,2022,1,2000
frr.wikipedia,DK,2022,1,2000
frr.wikipedia,SE,2022,1,1000
frr.wikipedia,CN,2022,1,1000
frr.wikipedia,BE,2022,1,1000
frr.wikipedia,IN,2022,1,1000
frr.wikipedia,AT,2022,1,1000
frr.wikipedia,CH,2022,1,1000
frr.wikipedia,BR,2022,1,1000
frr.wikipedia,KR,2022,1,1000
frr.wikipedia,CZ,2022,1,1000
frr.wikipedia,IT,2022,1,1000
frr.wikipedia,VN,2022,1,1000
frr.wikipedia,NO,2022,1,1000
frr.wikipedia,UA,2022,1,1000
frr.wikipedia,TW,2022,1,1000
frr.wikipedia,ID,2022,1,1000
frr.wikipedia,TH,2022,1,1000
frr.wikipedia,TR,2022,1,1000
frr.wikipedia,PT,2022,1,1000
frr.wikipedia,AU,2022,1,1000
frr.wikipedia,RO,2022,1,1000
frr.wikipedia,ZA,2022,1,1000
frr.wikipedia,SI,2022,1,1000
frr.wikipedia,LV,2022,1,1000
frr.wikipedia,IL,2022,1,1000
frr.wikipedia,BG,2022,1,1000
frr.wikipedia,SC,2022,1,1000
frr.wikipedia,RS,2022,1,1000
frr.wikipedia,AZ,2022,1,1000
frr.wikipedia,MY,2022,1,1000
frr.wikipedia,EG,2022,1,1000
frr.wikipedia,SK,2022,1,1000
frr.wikipedia,GR,2022,1,1000
frr.wikipedia,HR,2022,1,1000
frr.wikipedia,MA,2022,1,1000
frr.wikipedia,IN,2022,2,130000
frr.wikipedia,RU,2022,2,70000
frr.wikipedia,US,2022,2,54000
frr.wikipedia,UZ,2022,2,29000
frr.wikipedia,DE,2022,2,27000
frr.wikipedia,KZ,2022,2,20000
frr.wikipedia,PK,2022,2,20000
frr.wikipedia,NL,2022,2,19000
frr.wikipedia,FR,2022,2,18000
frr.wikipedia,UA,2022,2,14000
frr.wikipedia,BY,2022,2,14000
frr.wikipedia,IR,2022,2,11000
frr.wikipedia,GE,2022,2,10000
frr.wikipedia,TJ,2022,2,9000
frr.wikipedia,SG,2022,2,8000
frr.wikipedia,CA,2022,2,7000
frr.wikipedia,GB,2022,2,5000
frr.wikipedia,MN,2022,2,4000
frr.wikipedia,KG,2022,2,4000
frr.wikipedia,PH,2022,2,4000
frr.wikipedia,BR,2022,2,3000
frr.wikipedia,VN,2022,2,3000
frr.wikipedia,PL,2022,2,3000
frr.wikipedia,TW,2022,2,2000
frr.wikipedia,ID,2022,2,2000
frr.wikipedia,ES,2022,2,2000
frr.wikipedia,AF,2022,2,2000
frr.wikipedia,FI,2022,2,2000
frr.wikipedia,--,2022,2,2000
frr.wikipedia,TR,2022,2,2000
frr.wikipedia,IT,2022,2,2000
frr.wikipedia,EE,2022,2,2000
frr.wikipedia,SE,2022,2,1000
frr.wikipedia,MD,2022,2,1000
frr.wikipedia,DK,2022,2,1000
frr.wikipedia,ZA,2022,2,1000
frr.wikipedia,JP,2022,2,1000
frr.wikipedia,AZ,2022,2,1000
frr.wikipedia,HK,2022,2,1000
frr.wikipedia,CH,2022,2,1000
frr.wikipedia,AU,2022,2,1000
frr.wikipedia,CN,2022,2,1000
frr.wikipedia,EG,2022,2,1000
frr.wikipedia,MM,2022,2,1000
frr.wikipedia,NO,2022,2,1000
frr.wikipedia,AM,2022,2,1000
frr.wikipedia,IE,2022,2,1000
frr.wikipedia,LK,2022,2,1000
frr.wikipedia,KR,2022,2,1000
frr.wikipedia,CZ,2022,2,1000
frr.wikipedia,MY,2022,2,1000
frr.wikipedia,AE,2022,2,1000
frr.wikipedia,AT,2022,2,1000
frr.wikipedia,GR,2022,2,1000
frr.wikipedia,RO,2022,2,1000
frr.wikipedia,BH,2022,2,1000
frr.wikipedia,SA,2022,2,1000
frr.wikipedia,SC,2022,2,1000
frr.wikipedia,ET,2022,2,1000
frr.wikipedia,IL,2022,2,1000
frr.wikipedia,BE,2022,2,1000
frr.wikipedia,KW,2022,2,1000
frr.wikipedia,MA,2022,2,1000
frr.wikipedia,BD,2022,2,1000
frr.wikipedia,LV,2022,2,1000
frr.wikipedia,SK,2022,2,1000
frr.wikipedia,MX,2022,2,1000
frr.wikipedia,PT,2022,2,1000
frr.wikipedia,RS,2022,2,1000
frr.wikipedia,KE,2022,2,1000
frr.wikipedia,CY,2022,2,1000
frr.wikipedia,NG,2022,2,1000
frr.wikipedia,SI,2022,2,1000
frr.wikipedia,NE,2022,2,1000
frr.wikipedia,BG,2022,2,1000
frr.wikipedia,RW,2022,2,1000
frr.wikipedia,BJ,2022,2,1000
frr.wikipedia,DZ,2022,2,1000
frr.wikipedia,LT,2022,2,1000
frr.wikipedia,LY,2022,2,1000
frr.wikipedia,FM,2022,2,1000
frr.wikipedia,TM,2022,2,1000
frr.wikipedia,HR,2022,2,1000
frr.wikipedia,HU,2022,2,1000
frr.wikipedia,IN,2022,3,239000
frr.wikipedia,RU,2022,3,106000
frr.wikipedia,UZ,2022,3,65000
frr.wikipedia,PK,2022,3,43000
frr.wikipedia,KZ,2022,3,40000
frr.wikipedia,US,2022,3,38000
frr.wikipedia,DE,2022,3,29000
frr.wikipedia,NL,2022,3,22000
frr.wikipedia,BY,2022,3,18000
frr.wikipedia,TJ,2022,3,17000
frr.wikipedia,GE,2022,3,15000
frr.wikipedia,UA,2022,3,15000
frr.wikipedia,IR,2022,3,14000
frr.wikipedia,FR,2022,3,14000
