project,date,pageviews
ga.wikipedia,2022-01-01,27449
ga.wikipedia,2022-01-02,30831
ga.wikipedia,2022-01-03,40595
ga.wikipedia,2022-01-04,34317
ga.wikipedia,2022-01-05,49463
ga.wikipedia,2022-01-06,49485
ga.wikipedia,2022-01-07,38294
ga.wikipedia,2022-01-08,31647
ga.wikipedia,2022-01-09,32932
ga.wikipedia,2022-01-10,29264
ga.wikipedia,2022-01-11,27319
ga.wikipedia,2022-01-12,30920
ga.wikipedia,2022-01-13,29247
ga.wikipedia,2022-01-14,27978
ga.wikipedia,2022-01-15,29240
ga.wikipedia,2022-01-16,33605
ga.wikipedia,2022-01-17,25698
ga.wikipedia,2022-01-18,29118
ga.wikipedia,2022-01-19,24662
ga.wikipedia,2022-01-20,28261
ga.wikipedia,2022-01-21,30751
ga.wikipedia,2022-01-22,36594
ga.wikipedia,2022-01-23,37999
ga.wikipedia,2022-01-24,31166
ga.wikipedia,2022-01-25,27229
ga.wikipedia,2022-01-26,32332
ga.wikipedia,2022-01-27,34593
ga.wikipedia,2022-01-28,36887
ga.wikipedia,2022-01-29,38478
ga.wikipedia,2022-01-30,36634
ga.wikipedia,2022-01-31,32140
ga.wikipedia,2022-02-01,35061
ga.wikipedia,2022-02-02,39187
ga.wikipedia,2022-02-03,38877
ga.wikipedia,2022-02-04,37181
ga.wikipedia,2022-02-05,44451
ga.wikipedia,2022-02-06,32996
ga.wikipedia,2022-02-07,26807
ga.wikipedia,2022-02-08,29112
ga.wikipedia,2022-02-09,27445
ga.wikipedia,2022-02-10,36290
ga.wikipedia,2022-02-11,37228
ga.wikipedia,2022-02-12,41896
ga.wikipedia,2022-02-13,47841
ga.wikipedia,2022-02-14,52870
ga.wikipedia,2022-02-15,35030
ga.wikipedia,2022-02-16,35842
ga.wikipedia,2022-02-17,33367
ga.wikipedia,2022-02-18,38982
ga.wikipedia,2022-02-19,34442
ga.wikipedia,2022-02-20,32852
ga.wikipedia,2022-02-21,27676
ga.wikipedia,2022-02-22,31568
ga.wikipedia,2022-02-23,64981
ga.wikipedia,2022-02-24,82541
ga.wikipedia,2022-02-25,85639
ga.wikipedia,2022-02-26,94012
ga.wikipedia,2022-02-27,105160
ga.wikipedia,2022-02-28,73739
ga.wikipedia,2022-03-01,47552
ga.wikipedia,2022-03-02,73091
ga.wikipedia,2022-03-03,65010
ga.wikipedia,2022-03-04,69513
ga.wikipedia,2022-03-05,49155
ga.wikipedia,2022-03-06,43598
ga.wikipedia,2022-03-07,55866
ga.wikipedia,2022-03-08,38876
ga.wikipedia,2022-03-09,36021
ga.wikipedia,2022-03-10,37416
ga.wikipedia,2022-03-11,33594
ga.wikipedia,2022-03-12,30763
ga.wikipedia,2022-03-13,27822
ga.wikipedia,2022-03-14,34912
ga.wikipedia,2022-03-15,29856
ga.wikipedia,2022-03-16,30345
ga.wikipedia,2022-03-17,28641
ga.wikipedia,2022-03-18,22928
ga.wikipedia,2022-03-19,21235
ga.wikipedia,2022-03-20,18075
ga.wikipedia,2022-03-21,20307
ga.wikipedia,2022-03-22,22056
ga.wikipedia,2022-03-23,22587
ga.wikipedia,2022-03-24,26235
ga.wikipedia,2022-03-25,22012
ga.wikipedia,2022-03-26,20934
ga.wikipedia,2022-03-27,16223
ga.wikipedia,2022-03-28,19693
ga.wikipedia,2022-03-29,21065
ga.wikipedia,2022-03-30,20168
ga.wikipedia,2022-03-31,25868
ga.wikipedia,2022-04-01,19683
ga.wikipedia,2022-04-02,16284
ga.wikipedia,2022-04-03,16311
ga.wikipedia,2022-04-04,20720
ga.wikipedia,2022-04-05,16950
ga.wikipedia,2022-04-06,18864
ga.wikipedia,2022-04-07,19419
ga.wikipedia,2022-04-08,25627
ga.wikipedia,2022-04-09,16564
ga.wikipedia,2022-04-10,13793
ga.wikipedia,2022-04-11,27690
ga.wikipedia,2022-04-12,26646
ga.wikipedia,2022-04-13,25362
ga.wikipedia,2022-04-14,21812
ga.wikipedia,2022-04-15,23205
ga.wikipedia,2022-04-16,20073
ga.wikipedia,2022-04-17,17869
ga.wikipedia,2022-04-18,21313
