project,iso2,year,month,pageviews_ceil
gl.wikipedia,ES,2022,1,1019000
gl.wikipedia,US,2022,1,214000
gl.wikipedia,DE,2022,1,95000
gl.wikipedia,CA,2022,1,59000
gl.wikipedia,FR,2022,1,52000
gl.wikipedia,IR,2022,1,50000
gl.wikipedia,SG,2022,1,27000
gl.wikipedia,--,2022,1,19000
gl.wikipedia,RU,2022,1,19000
gl.wikipedia,PT,2022,1,18000
gl.wikipedia,NL,2022,1,18000
gl.wikipedia,TR,2022,1,17000
gl.wikipedia,FI,2022,1,17000
gl.wikipedia,BR,2022,1,17000
gl.wikipedia,GB,2022,1,15000
gl.wikipedia,BE,2022,1,13000
gl.wikipedia,PL,2022,1,8000
gl.wikipedia,IT,2022,1,7000
gl.wikipedia,JP,2022,1,7000
gl.wikipedia,MX,2022,1,6000
gl.wikipedia,CH,2022,1,5000
gl.wikipedia,IL,2022,1,5000
gl.wikipedia,SE,2022,1,4000
gl.wikipedia,IN,2022,1,4000
gl.wikipedia,CZ,2022,1,4000
gl.wikipedia,AR,2022,1,4000
gl.wikipedia,DK,2022,1,3000
gl.wikipedia,CO,2022,1,3000
gl.wikipedia,UA,2022,1,3000
gl.wikipedia,TH,2022,1,3000
gl.wikipedia,ID,2022,1,3000
gl.wikipedia,NO,2022,1,3000
gl.wikipedia,KR,2022,1,3000
gl.wikipedia,HK,2022,1,2000
gl.wikipedia,IE,2022,1,2000
gl.wikipedia,AU,2022,1,2000
gl.wikipedia,TW,2022,1,2000
gl.wikipedia,VN,2022,1,2000
gl.wikipedia,RO,2022,1,2000
gl.wikipedia,CL,2022,1,2000
gl.wikipedia,CN,2022,1,2000
gl.wikipedia,PE,2022,1,2000
gl.wikipedia,AT,2022,1,2000
gl.wikipedia,VE,2022,1,2000
gl.wikipedia,EC,2022,1,2000
gl.wikipedia,NG,2022,1,2000
gl.wikipedia,LU,2022,1,2000
gl.wikipedia,UY,2022,1,1000
gl.wikipedia,MD,2022,1,1000
gl.wikipedia,HU,2022,1,1000
gl.wikipedia,BG,2022,1,1000
gl.wikipedia,ZA,2022,1,1000
gl.wikipedia,GR,2022,1,1000
gl.wikipedia,DO,2022,1,1000
gl.wikipedia,PH,2022,1,1000
gl.wikipedia,BD,2022,1,1000
gl.wikipedia,LV,2022,1,1000
gl.wikipedia,MA,2022,1,1000
gl.wikipedia,MY,2022,1,1000
gl.wikipedia,SA,2022,1,1000
gl.wikipedia,PK,2022,1,1000
gl.wikipedia,LT,2022,1,1000
gl.wikipedia,AO,2022,1,1000
gl.wikipedia,CU,2022,1,1000
gl.wikipedia,EG,2022,1,1000
gl.wikipedia,PA,2022,1,1000
gl.wikipedia,IS,2022,1,1000
gl.wikipedia,GH,2022,1,1000
gl.wikipedia,RS,2022,1,1000
gl.wikipedia,CR,2022,1,1000
gl.wikipedia,HR,2022,1,1000
gl.wikipedia,AZ,2022,1,1000
gl.wikipedia,AE,2022,1,1000
gl.wikipedia,SC,2022,1,1000
gl.wikipedia,UZ,2022,1,1000
gl.wikipedia,SK,2022,1,1000
gl.wikipedia,AD,2022,1,1000
gl.wikipedia,BO,2022,1,1000
gl.wikipedia,SI,2022,1,1000
gl.wikipedia,ET,2022,1,1000
gl.wikipedia,DZ,2022,1,1000
gl.wikipedia,PR,2022,1,1000
gl.wikipedia,MZ,2022,1,1000
gl.wikipedia,HN,2022,1,1000
gl.wikipedia,BY,2022,1,1000
gl.wikipedia,GT,2022,1,1000
gl.wikipedia,TZ,2022,1,1000
gl.wikipedia,EE,2022,1,1000
gl.wikipedia,GE,2022,1,1000
gl.wikipedia,SV,2022,1,1000
gl.wikipedia,SN,2022,1,1000
gl.wikipedia,PY,2022,1,1000
gl.wikipedia,NZ,2022,1,1000
gl.wikipedia,CD,2022,1,1000
gl.wikipedia,KE,2022,1,1000
gl.wikipedia,KZ,2022,1,1000
gl.wikipedia,KH,2022,1,1000
gl.wikipedia,NI,2022,1,1000
gl.wikipedia,CV,2022,1,1000
gl.wikipedia,IQ,2022,1,1000
gl.wikipedia,MQ,2022,1,1000
gl.wikipedia,AL,2022,1,1000
gl.wikipedia,BJ,2022,1,1000
gl.wikipedia,BA,2022,1,1000
gl.wikipedia,CM,2022,1,1000
gl.wikipedia,TN,2022,1,1000
gl.wikipedia,LK,2022,1,1000
gl.wikipedia,AM,2022,1,1000
gl.wikipedia,ES,2022,2,932000
gl.wikipedia,US,2022,2,280000
gl.wikipedia,IN,2022,2,180000
gl.wikipedia,RU,2022,2,106000
gl.wikipedia,DE,2022,2,96000
gl.wikipedia,IR,2022,2,63000
gl.wikipedia,UZ,2022,2,45000
gl.wikipedia,CA,2022,2,41000
gl.wikipedia,FR,2022,2,37000
gl.wikipedia,SG,2022,2,33000
gl.wikipedia,PK,2022,2,29000
gl.wikipedia,KZ,2022,2,29000
gl.wikipedia,GB,2022,2,25000
gl.wikipedia,NL,2022,2,23000
gl.wikipedia,UA,2022,2,22000
gl.wikipedia,BY,2022,2,22000
gl.wikipedia,BR,2022,2,18000
gl.wikipedia,--,2022,2,18000
gl.wikipedia,PT,2022,2,15000
gl.wikipedia,TR,2022,2,14000
gl.wikipedia,TJ,2022,2,11000
gl.wikipedia,FI,2022,2,10000
gl.wikipedia,IT,2022,2,9000
gl.wikipedia,AT,2022,2,8000
gl.wikipedia,GE,2022,2,8000
gl.wikipedia,MX,2022,2,7000
gl.wikipedia,CH,2022,2,6000
gl.wikipedia,IL,2022,2,6000
gl.wikipedia,PL,2022,2,6000
gl.wikipedia,KG,2022,2,6000
gl.wikipedia,MN,2022,2,5000
gl.wikipedia,AR,2022,2,5000
gl.wikipedia,ID,2022,2,5000
gl.wikipedia,JP,2022,2,5000
gl.wikipedia,PH,2022,2,5000
gl.wikipedia,VN,2022,2,5000
gl.wikipedia,LU,2022,2,4000
gl.wikipedia,BE,2022,2,4000
gl.wikipedia,CO,2022,2,4000
gl.wikipedia,CZ,2022,2,4000
gl.wikipedia,SE,2022,2,4000
gl.wikipedia,TW,2022,2,3000
gl.wikipedia,AU,2022,2,3000
gl.wikipedia,DK,2022,2,3000
gl.wikipedia,AF,2022,2,3000
gl.wikipedia,NO,2022,2,3000
gl.wikipedia,IE,2022,2,2000
