project,iso2,year,month,pageviews_ceil
ha.wikipedia,NG,2022,1,212000
ha.wikipedia,US,2022,1,41000
ha.wikipedia,DE,2022,1,26000
ha.wikipedia,FR,2022,1,21000
ha.wikipedia,TR,2022,1,16000
ha.wikipedia,--,2022,1,13000
ha.wikipedia,CA,2022,1,9000
ha.wikipedia,NL,2022,1,8000
ha.wikipedia,IR,2022,1,8000
ha.wikipedia,RU,2022,1,7000
ha.wikipedia,SG,2022,1,4000
ha.wikipedia,GB,2022,1,4000
ha.wikipedia,NE,2022,1,3000
ha.wikipedia,IN,2022,1,2000
ha.wikipedia,NO,2022,1,2000
ha.wikipedia,PL,2022,1,2000
ha.wikipedia,DK,2022,1,2000
ha.wikipedia,JP,2022,1,2000
ha.wikipedia,GH,2022,1,2000
ha.wikipedia,LY,2022,1,2000
ha.wikipedia,CM,2022,1,1000
ha.wikipedia,FI,2022,1,1000
ha.wikipedia,SE,2022,1,1000
ha.wikipedia,IT,2022,1,1000
ha.wikipedia,LU,2022,1,1000
ha.wikipedia,HK,2022,1,1000
ha.wikipedia,CH,2022,1,1000
ha.wikipedia,BR,2022,1,1000
ha.wikipedia,RO,2022,1,1000
ha.wikipedia,UA,2022,1,1000
ha.wikipedia,ES,2022,1,1000
ha.wikipedia,CN,2022,1,1000
ha.wikipedia,BE,2022,1,1000
ha.wikipedia,KR,2022,1,1000
ha.wikipedia,AU,2022,1,1000
ha.wikipedia,SA,2022,1,1000
ha.wikipedia,ID,2022,1,1000
ha.wikipedia,BJ,2022,1,1000
ha.wikipedia,TW,2022,1,1000
ha.wikipedia,CZ,2022,1,1000
ha.wikipedia,PK,2022,1,1000
ha.wikipedia,EG,2022,1,1000
ha.wikipedia,VN,2022,1,1000
ha.wikipedia,CI,2022,1,1000
ha.wikipedia,IL,2022,1,1000
ha.wikipedia,MY,2022,1,1000
ha.wikipedia,DZ,2022,1,1000
ha.wikipedia,AE,2022,1,1000
ha.wikipedia,MA,2022,1,1000
ha.wikipedia,TZ,2022,1,1000
ha.wikipedia,BG,2022,1,1000
ha.wikipedia,ZA,2022,1,1000
ha.wikipedia,PT,2022,1,1000
ha.wikipedia,BD,2022,1,1000
ha.wikipedia,IE,2022,1,1000
ha.wikipedia,SC,2022,1,1000
ha.wikipedia,LV,2022,1,1000
ha.wikipedia,TH,2022,1,1000
ha.wikipedia,HU,2022,1,1000
ha.wikipedia,AT,2022,1,1000
ha.wikipedia,SD,2022,1,1000
ha.wikipedia,MX,2022,1,1000
ha.wikipedia,GR,2022,1,1000
ha.wikipedia,KE,2022,1,1000
ha.wikipedia,ET,2022,1,1000
ha.wikipedia,TD,2022,1,1000
ha.wikipedia,BF,2022,1,1000
ha.wikipedia,PH,2022,1,1000
ha.wikipedia,RW,2022,1,1000
ha.wikipedia,NG,2022,2,236000
ha.wikipedia,IN,2022,2,94000
ha.wikipedia,RU,2022,2,46000
ha.wikipedia,US,2022,2,40000
ha.wikipedia,DE,2022,2,27000
ha.wikipedia,UZ,2022,2,19000
ha.wikipedia,FR,2022,2,18000
ha.wikipedia,PK,2022,2,15000
ha.wikipedia,KZ,2022,2,14000
ha.wikipedia,TR,2022,2,13000
ha.wikipedia,--,2022,2,11000
ha.wikipedia,UA,2022,2,10000
ha.wikipedia,BY,2022,2,9000
ha.wikipedia,NL,2022,2,9000
ha.wikipedia,IR,2022,2,6000
ha.wikipedia,TJ,2022,2,6000
ha.wikipedia,AT,2022,2,6000
ha.wikipedia,CA,2022,2,6000
ha.wikipedia,SG,2022,2,4000
ha.wikipedia,GB,2022,2,4000
ha.wikipedia,GE,2022,2,4000
ha.wikipedia,LU,2022,2,4000
ha.wikipedia,MN,2022,2,3000
ha.wikipedia,PH,2022,2,3000
ha.wikipedia,KG,2022,2,3000
ha.wikipedia,NE,2022,2,3000
ha.wikipedia,BR,2022,2,3000
ha.wikipedia,TW,2022,2,2000
ha.wikipedia,VN,2022,2,2000
ha.wikipedia,CH,2022,2,2000
ha.wikipedia,PL,2022,2,2000
ha.wikipedia,RO,2022,2,2000
ha.wikipedia,NO,2022,2,2000
ha.wikipedia,ES,2022,2,2000
ha.wikipedia,GH,2022,2,2000
ha.wikipedia,AF,2022,2,2000
ha.wikipedia,LY,2022,2,2000
ha.wikipedia,ID,2022,2,1000
ha.wikipedia,CM,2022,2,1000
ha.wikipedia,SE,2022,2,1000
ha.wikipedia,IT,2022,2,1000
ha.wikipedia,LK,2022,2,1000
ha.wikipedia,MD,2022,2,1000
ha.wikipedia,AU,2022,2,1000
ha.wikipedia,DK,2022,2,1000
ha.wikipedia,CN,2022,2,1000
ha.wikipedia,EG,2022,2,1000
ha.wikipedia,AE,2022,2,1000
ha.wikipedia,SA,2022,2,1000
ha.wikipedia,ZA,2022,2,1000
ha.wikipedia,JP,2022,2,1000
ha.wikipedia,MY,2022,2,1000
ha.wikipedia,BJ,2022,2,1000
ha.wikipedia,AZ,2022,2,1000
ha.wikipedia,MM,2022,2,1000
ha.wikipedia,IE,2022,2,1000
ha.wikipedia,FI,2022,2,1000
ha.wikipedia,KR,2022,2,1000
ha.wikipedia,BD,2022,2,1000
ha.wikipedia,IL,2022,2,1000
ha.wikipedia,HK,2022,2,1000
ha.wikipedia,SC,2022,2,1000
ha.wikipedia,KW,2022,2,1000
ha.wikipedia,CZ,2022,2,1000
ha.wikipedia,GR,2022,2,1000
ha.wikipedia,BH,2022,2,1000
ha.wikipedia,BG,2022,2,1000
ha.wikipedia,AM,2022,2,1000
ha.wikipedia,CI,2022,2,1000
ha.wikipedia,LV,2022,2,1000
ha.wikipedia,DZ,2022,2,1000
ha.wikipedia,BE,2022,2,1000
ha.wikipedia,KE,2022,2,1000
ha.wikipedia,ET,2022,2,1000
ha.wikipedia,MA,2022,2,1000
ha.wikipedia,SD,2022,2,1000
ha.wikipedia,HU,2022,2,1000
ha.wikipedia,PT,2022,2,1000
ha.wikipedia,TG,2022,2,1000
ha.wikipedia,RW,2022,2,1000
ha.wikipedia,TH,2022,2,1000
ha.wikipedia,CD,2022,2,1000
ha.wikipedia,FM,2022,2,1000
ha.wikipedia,IQ,2022,2,1000
ha.wikipedia,NG,2022,3,270000
ha.wikipedia,IN,2022,3,153000
ha.wikipedia,RU,2022,3,59000
ha.wikipedia,US,2022,3,39000
ha.wikipedia,UZ,2022,3,36000
ha.wikipedia,DE,2022,3,33000
ha.wikipedia,PK,2022,3,28000
ha.wikipedia,KZ,2022,3,23000
ha.wikipedia,--,2022,3,19000
ha.wikipedia,FR,2022,3,13000
ha.wikipedia,TJ,2022,3,13000
ha.wikipedia,CA,2022,3,10000
ha.wikipedia,BY,2022,3,10000
ha.wikipedia,AT,2022,3,9000
ha.wikipedia,UA,2022,3,9000
ha.wikipedia,NL,2022,3,8000
ha.wikipedia,IR,2022,3,8000
ha.wikipedia,GE,2022,3,6000
ha.wikipedia,SG,2022,3,4000
ha.wikipedia,AF,2022,3,4000
ha.wikipedia,KG,2022,3,4000
ha.wikipedia,TR,2022,3,4000
ha.wikipedia,CH,2022,3,4000
ha.wikipedia,GB,2022,3,3000
ha.wikipedia,PH,2022,3,3000
ha.wikipedia,MN,2022,3,3000
ha.wikipedia,NE,2022,3,3000
ha.wikipedia,VN,2022,3,3000
ha.wikipedia,NO,2022,3,3000
ha.wikipedia,SE,2022,3,3000
ha.wikipedia,GH,2022,3,3000
ha.wikipedia,LU,2022,3,2000
ha.wikipedia,PL,2022,3,2000
ha.wikipedia,ID,2022,3,2000
ha.wikipedia,IE,2022,3,2000
ha.wikipedia,DK,2022,3,2000
ha.wikipedia,CM,2022,3,2000
ha.wikipedia,LY,2022,3,2000
ha.wikipedia,HK,2022,3,1000
ha.wikipedia,RO,2022,3,1000
ha.wikipedia,AZ,2022,3,1000
ha.wikipedia,ES,2022,3,1000
ha.wikipedia,BD,2022,3,1000
ha.wikipedia,AE,2022,3,1000
ha.wikipedia,TM,2022,3,1000
ha.wikipedia,IT,2022,3,1000
ha.wikipedia,BJ,2022,3,1000
ha.wikipedia,SA,2022,3,1000
ha.wikipedia,IQ,2022,3,1000
ha.wikipedia,JP,2022,3,1000
ha.wikipedia,GR,2022,3,1000
ha.wikipedia,CI,2022,3,1000
ha.wikipedia,BR,2022,3,1000
ha.wikipedia,MY,2022,3,1000
ha.wikipedia,LV,2022,3,1000
ha.wikipedia,DZ,2022,3,1000
ha.wikipedia,KR,2022,3,1000
ha.wikipedia,ET,2022,3,1000
ha.wikipedia,BG,2022,3,1000
ha.wikipedia,ZA,2022,3,1000
ha.wikipedia,KE,2022,3,1000
ha.wikipedia,CZ,2022,3,1000
ha.wikipedia,TW,2022,3,1000
ha.wikipedia,BH,2022,3,1000
ha.wikipedia,EG,2022,3,1000
ha.wikipedia,MD,2022,3,1000
ha.wikipedia,AU,2022,3,1000
ha.wikipedia,IL,2022,3,1000
ha.wikipedia,LK,2022,3,1000
ha.wikipedia,CN,2022,3,1000
ha.wikipedia,BE,2022,3,1000
ha.wikipedia,MM,2022,3,1000
ha.wikipedia,TH,2022,3,1000
ha.wikipedia,NP,2022,3,1000
ha.wikipedia,SD,2022,3,1000
ha.wikipedia,CD,2022,3,1000
ha.wikipedia,MX,2022,3,1000
ha.wikipedia,PT,2022,3,1000
ha.wikipedia,OM,2022,3,1000
ha.wikipedia,UG,2022,3,1000
ha.wikipedia,CO,2022,3,1000
ha.wikipedia,TZ,2022,3,1000
ha.wikipedia,SC,2022,3,1000
ha.wikipedia,ZM,2022,3,1000
ha.wikipedia,FI,2022,3,1000
ha.wikipedia,KW,2022,3,1000
ha.wikipedia,SL,2022,3,1000
ha.wikipedia,MA,2022,3,1000
ha.wikipedia,MR,2022,3,1000
ha.wikipedia,RW,2022,3,1000
ha.wikipedia,TD,2022,3,1000
ha.wikipedia,HU,2022,3,1000
ha.wikipedia,TG,2022,3,1000
ha.wikipedia,CY,2022,3,1000
ha.wikipedia,SN,2022,3,1000
ha.wikipedia,NZ,2022,3,1000
ha.wikipedia,NG,2022,4,271000
ha.wikipedia,IN,2022,4,54000
ha.wikipedia,RU,2022,4,41000
ha.wikipedia,US,2022,4,38000
ha.wikipedia,--,2022,4,21000
ha.wikipedia,DE,2022,4,21000
ha.wikipedia,UZ,2022,4,15000
ha.wikipedia,CA,2022,4,12000
ha.wikipedia,KZ,2022,4,11000
ha.wikipedia,UA,2022,4,11000
ha.wikipedia,AT,2022,4,8000
ha.wikipedia,FR,2022,4,8000
ha.wikipedia,BY,2022,4,7000
ha.wikipedia,TJ,2022,4,6000
ha.wikipedia,NL,2022,4,6000
ha.wikipedia,PK,2022,4,6000
ha.wikipedia,IR,2022,4,4000
ha.wikipedia,SG,2022,4,3000
ha.wikipedia,AF,2022,4,3000
ha.wikipedia,GE,2022,4,3000
ha.wikipedia,GB,2022,4,3000
ha.wikipedia,MN,2022,4,3000
ha.wikipedia,LU,2022,4,3000
ha.wikipedia,SE,2022,4,3000
ha.wikipedia,NE,2022,4,3000
ha.wikipedia,DK,2022,4,2000
ha.wikipedia,GH,2022,4,2000
ha.wikipedia,KG,2022,4,2000
ha.wikipedia,LY,2022,4,2000
ha.wikipedia,PL,2022,4,2000
ha.wikipedia,VN,2022,4,2000
ha.wikipedia,HK,2022,4,2000
ha.wikipedia,JP,2022,4,2000
ha.wikipedia,TR,2022,4,2000
ha.wikipedia,CM,2022,4,2000
ha.wikipedia,DZ,2022,4,1000
ha.wikipedia,IT,2022,4,1000
ha.wikipedia,SA,2022,4,1000
ha.wikipedia,KR,2022,4,1000
ha.wikipedia,ID,2022,4,1000
ha.wikipedia,NO,2022,4,1000
ha.wikipedia,BR,2022,4,1000
ha.wikipedia,AE,2022,4,1000
ha.wikipedia,PH,2022,4,1000
ha.wikipedia,IQ,2022,4,1000
ha.wikipedia,MY,2022,4,1000
ha.wikipedia,ZA,2022,4,1000
ha.wikipedia,CH,2022,4,1000
ha.wikipedia,EG,2022,4,1000
ha.wikipedia,IL,2022,4,1000
ha.wikipedia,RO,2022,4,1000
ha.wikipedia,AU,2022,4,1000
ha.wikipedia,KE,2022,4,1000
ha.wikipedia,IE,2022,4,1000
ha.wikipedia,BG,2022,4,1000
ha.wikipedia,BJ,2022,4,1000
ha.wikipedia,BD,2022,4,1000
ha.wikipedia,AZ,2022,4,1000
ha.wikipedia,BE,2022,4,1000
ha.wikipedia,MA,2022,4,1000
ha.wikipedia,CI,2022,4,1000
ha.wikipedia,FI,2022,4,1000
ha.wikipedia,TM,2022,4,1000
