project,iso2,year,month,pageviews_ceil
hak.wikipedia,US,2022,1,31000
hak.wikipedia,FR,2022,1,18000
hak.wikipedia,NL,2022,1,12000
hak.wikipedia,TW,2022,1,10000
hak.wikipedia,DE,2022,1,9000
hak.wikipedia,SG,2022,1,8000
hak.wikipedia,CA,2022,1,7000
hak.wikipedia,IR,2022,1,6000
hak.wikipedia,RU,2022,1,4000
hak.wikipedia,PL,2022,1,3000
hak.wikipedia,GB,2022,1,2000
hak.wikipedia,HK,2022,1,2000
hak.wikipedia,FI,2022,1,2000
hak.wikipedia,JP,2022,1,2000
hak.wikipedia,CN,2022,1,2000
hak.wikipedia,AU,2022,1,2000
hak.wikipedia,--,2022,1,1000
hak.wikipedia,IT,2022,1,1000
hak.wikipedia,KR,2022,1,1000
hak.wikipedia,DK,2022,1,1000
hak.wikipedia,ID,2022,1,1000
hak.wikipedia,BR,2022,1,1000
hak.wikipedia,IN,2022,1,1000
hak.wikipedia,BE,2022,1,1000
hak.wikipedia,ES,2022,1,1000
hak.wikipedia,VN,2022,1,1000
hak.wikipedia,MY,2022,1,1000
hak.wikipedia,PT,2022,1,1000
hak.wikipedia,TR,2022,1,1000
hak.wikipedia,UA,2022,1,1000
hak.wikipedia,CH,2022,1,1000
hak.wikipedia,TH,2022,1,1000
hak.wikipedia,CZ,2022,1,1000
hak.wikipedia,AT,2022,1,1000
hak.wikipedia,PH,2022,1,1000
hak.wikipedia,LV,2022,1,1000
hak.wikipedia,SE,2022,1,1000
hak.wikipedia,DO,2022,1,1000
hak.wikipedia,SC,2022,1,1000
hak.wikipedia,MX,2022,1,1000
hak.wikipedia,KH,2022,1,1000
hak.wikipedia,IN,2022,2,108000
hak.wikipedia,RU,2022,2,56000
hak.wikipedia,US,2022,2,32000
hak.wikipedia,UZ,2022,2,22000
hak.wikipedia,KZ,2022,2,17000
hak.wikipedia,PK,2022,2,17000
hak.wikipedia,FR,2022,2,15000
hak.wikipedia,NL,2022,2,13000
hak.wikipedia,UA,2022,2,13000
hak.wikipedia,TW,2022,2,12000
hak.wikipedia,BY,2022,2,12000
hak.wikipedia,DE,2022,2,8000
hak.wikipedia,TJ,2022,2,7000
hak.wikipedia,IR,2022,2,7000
hak.wikipedia,SG,2022,2,6000
hak.wikipedia,CA,2022,2,5000
hak.wikipedia,GB,2022,2,5000
hak.wikipedia,GE,2022,2,5000
hak.wikipedia,PH,2022,2,3000
hak.wikipedia,MN,2022,2,3000
hak.wikipedia,KG,2022,2,3000
hak.wikipedia,VN,2022,2,2000
hak.wikipedia,PL,2022,2,2000
hak.wikipedia,AF,2022,2,2000
hak.wikipedia,JP,2022,2,2000
hak.wikipedia,HK,2022,2,2000
hak.wikipedia,CN,2022,2,2000
hak.wikipedia,--,2022,2,2000
hak.wikipedia,ID,2022,2,2000
hak.wikipedia,MY,2022,2,2000
hak.wikipedia,AU,2022,2,1000
hak.wikipedia,BR,2022,2,1000
hak.wikipedia,TR,2022,2,1000
hak.wikipedia,ES,2022,2,1000
hak.wikipedia,IT,2022,2,1000
hak.wikipedia,MD,2022,2,1000
hak.wikipedia,DK,2022,2,1000
hak.wikipedia,FI,2022,2,1000
hak.wikipedia,ZA,2022,2,1000
hak.wikipedia,AZ,2022,2,1000
hak.wikipedia,EG,2022,2,1000
hak.wikipedia,MM,2022,2,1000
hak.wikipedia,AM,2022,2,1000
hak.wikipedia,LK,2022,2,1000
hak.wikipedia,AE,2022,2,1000
hak.wikipedia,IE,2022,2,1000
hak.wikipedia,KR,2022,2,1000
hak.wikipedia,KW,2022,2,1000
hak.wikipedia,BH,2022,2,1000
hak.wikipedia,SA,2022,2,1000
hak.wikipedia,GR,2022,2,1000
hak.wikipedia,PE,2022,2,1000
hak.wikipedia,IL,2022,2,1000
hak.wikipedia,SC,2022,2,1000
hak.wikipedia,NO,2022,2,1000
hak.wikipedia,BD,2022,2,1000
hak.wikipedia,CH,2022,2,1000
hak.wikipedia,CY,2022,2,1000
hak.wikipedia,CZ,2022,2,1000
hak.wikipedia,MA,2022,2,1000
hak.wikipedia,LV,2022,2,1000
hak.wikipedia,ET,2022,2,1000
hak.wikipedia,NE,2022,2,1000
hak.wikipedia,PT,2022,2,1000
hak.wikipedia,TH,2022,2,1000
hak.wikipedia,FM,2022,2,1000
hak.wikipedia,KE,2022,2,1000
hak.wikipedia,BJ,2022,2,1000
hak.wikipedia,BG,2022,2,1000
hak.wikipedia,LY,2022,2,1000
hak.wikipedia,SE,2022,2,1000
hak.wikipedia,IN,2022,3,188000
hak.wikipedia,RU,2022,3,80000
hak.wikipedia,UZ,2022,3,48000
hak.wikipedia,PK,2022,3,34000
hak.wikipedia,KZ,2022,3,31000
hak.wikipedia,US,2022,3,26000
hak.wikipedia,TJ,2022,3,15000
hak.wikipedia,BY,2022,3,13000
hak.wikipedia,DE,2022,3,13000
hak.wikipedia,NL,2022,3,13000
hak.wikipedia,UA,2022,3,12000
hak.wikipedia,FR,2022,3,9000
hak.wikipedia,CA,2022,3,9000
hak.wikipedia,IR,2022,3,9000
hak.wikipedia,GE,2022,3,8000
hak.wikipedia,KG,2022,3,5000
hak.wikipedia,AF,2022,3,5000
hak.wikipedia,AT,2022,3,5000
hak.wikipedia,MN,2022,3,4000
hak.wikipedia,PH,2022,3,4000
hak.wikipedia,SG,2022,3,4000
hak.wikipedia,VN,2022,3,4000
hak.wikipedia,GB,2022,3,3000
hak.wikipedia,PL,2022,3,3000
hak.wikipedia,IE,2022,3,3000
hak.wikipedia,TR,2022,3,3000
hak.wikipedia,HK,2022,3,2000
hak.wikipedia,ID,2022,3,2000
hak.wikipedia,JP,2022,3,2000
hak.wikipedia,AZ,2022,3,2000
hak.wikipedia,TW,2022,3,2000
hak.wikipedia,MY,2022,3,2000
hak.wikipedia,TM,2022,3,1000
hak.wikipedia,--,2022,3,1000
hak.wikipedia,IT,2022,3,1000
hak.wikipedia,LV,2022,3,1000
hak.wikipedia,GR,2022,3,1000
hak.wikipedia,MD,2022,3,1000
hak.wikipedia,ZA,2022,3,1000
hak.wikipedia,DK,2022,3,1000
hak.wikipedia,BD,2022,3,1000
hak.wikipedia,IQ,2022,3,1000
hak.wikipedia,AE,2022,3,1000
hak.wikipedia,SA,2022,3,1000
hak.wikipedia,KR,2022,3,1000
hak.wikipedia,NO,2022,3,1000
hak.wikipedia,TH,2022,3,1000
hak.wikipedia,BH,2022,3,1000
hak.wikipedia,CZ,2022,3,1000
hak.wikipedia,BR,2022,3,1000
hak.wikipedia,MM,2022,3,1000
hak.wikipedia,ET,2022,3,1000
hak.wikipedia,CN,2022,3,1000
hak.wikipedia,ES,2022,3,1000
hak.wikipedia,CI,2022,3,1000
hak.wikipedia,CD,2022,3,1000
hak.wikipedia,MX,2022,3,1000
hak.wikipedia,FI,2022,3,1000
hak.wikipedia,NP,2022,3,1000
hak.wikipedia,NG,2022,3,1000
hak.wikipedia,AU,2022,3,1000
hak.wikipedia,CO,2022,3,1000
hak.wikipedia,LK,2022,3,1000
hak.wikipedia,PT,2022,3,1000
hak.wikipedia,EG,2022,3,1000
hak.wikipedia,SC,2022,3,1000
hak.wikipedia,IL,2022,3,1000
hak.wikipedia,RO,2022,3,1000
hak.wikipedia,KW,2022,3,1000
hak.wikipedia,KE,2022,3,1000
hak.wikipedia,OM,2022,3,1000
hak.wikipedia,SE,2022,3,1000
hak.wikipedia,SL,2022,3,1000
hak.wikipedia,ZM,2022,3,1000
hak.wikipedia,NE,2022,3,1000
