project,iso2,year,month,pageviews_ceil
haw.wikipedia,US,2022,1,16000
haw.wikipedia,FR,2022,1,11000
haw.wikipedia,NL,2022,1,6000
haw.wikipedia,DE,2022,1,4000
haw.wikipedia,CA,2022,1,3000
haw.wikipedia,SG,2022,1,2000
haw.wikipedia,RU,2022,1,2000
haw.wikipedia,IR,2022,1,2000
haw.wikipedia,PL,2022,1,1000
haw.wikipedia,KR,2022,1,1000
haw.wikipedia,GB,2022,1,1000
haw.wikipedia,HK,2022,1,1000
haw.wikipedia,--,2022,1,1000
haw.wikipedia,JP,2022,1,1000
haw.wikipedia,IT,2022,1,1000
haw.wikipedia,BE,2022,1,1000
haw.wikipedia,UA,2022,1,1000
haw.wikipedia,BR,2022,1,1000
haw.wikipedia,CN,2022,1,1000
haw.wikipedia,ES,2022,1,1000
haw.wikipedia,FI,2022,1,1000
haw.wikipedia,IN,2022,1,1000
haw.wikipedia,TH,2022,1,1000
haw.wikipedia,DK,2022,1,1000
haw.wikipedia,ID,2022,1,1000
haw.wikipedia,TW,2022,1,1000
haw.wikipedia,PE,2022,1,1000
haw.wikipedia,CZ,2022,1,1000
haw.wikipedia,SE,2022,1,1000
haw.wikipedia,CH,2022,1,1000
haw.wikipedia,VN,2022,1,1000
haw.wikipedia,PT,2022,1,1000
haw.wikipedia,TR,2022,1,1000
haw.wikipedia,AU,2022,1,1000
haw.wikipedia,LT,2022,1,1000
haw.wikipedia,LV,2022,1,1000
haw.wikipedia,IN,2022,2,38000
haw.wikipedia,RU,2022,2,19000
haw.wikipedia,US,2022,2,15000
haw.wikipedia,FR,2022,2,8000
haw.wikipedia,NL,2022,2,8000
haw.wikipedia,UZ,2022,2,8000
haw.wikipedia,PK,2022,2,6000
haw.wikipedia,KZ,2022,2,6000
haw.wikipedia,UA,2022,2,4000
haw.wikipedia,BY,2022,2,4000
haw.wikipedia,DE,2022,2,4000
haw.wikipedia,TJ,2022,2,3000
haw.wikipedia,IR,2022,2,2000
haw.wikipedia,CA,2022,2,2000
haw.wikipedia,BR,2022,2,2000
haw.wikipedia,GB,2022,2,2000
haw.wikipedia,GE,2022,2,2000
haw.wikipedia,SG,2022,2,2000
haw.wikipedia,MN,2022,2,2000
haw.wikipedia,PH,2022,2,1000
haw.wikipedia,KG,2022,2,1000
haw.wikipedia,PL,2022,2,1000
haw.wikipedia,VN,2022,2,1000
haw.wikipedia,CN,2022,2,1000
haw.wikipedia,TW,2022,2,1000
haw.wikipedia,AF,2022,2,1000
haw.wikipedia,KR,2022,2,1000
