project,iso2,year,month,pageviews_ceil
he.wikipedia,IL,2022,1,65864000
he.wikipedia,US,2022,1,1595000
he.wikipedia,DE,2022,1,454000
he.wikipedia,GB,2022,1,297000
he.wikipedia,CA,2022,1,256000
he.wikipedia,NL,2022,1,214000
he.wikipedia,FR,2022,1,210000
he.wikipedia,BR,2022,1,153000
he.wikipedia,IR,2022,1,146000
he.wikipedia,ID,2022,1,137000
he.wikipedia,BE,2022,1,110000
he.wikipedia,SG,2022,1,99000
he.wikipedia,--,2022,1,93000
he.wikipedia,TW,2022,1,91000
he.wikipedia,RU,2022,1,91000
he.wikipedia,IT,2022,1,81000
he.wikipedia,HK,2022,1,78000
he.wikipedia,TH,2022,1,71000
he.wikipedia,AU,2022,1,61000
he.wikipedia,MY,2022,1,60000
he.wikipedia,UA,2022,1,56000
he.wikipedia,ES,2022,1,55000
he.wikipedia,MX,2022,1,49000
he.wikipedia,CH,2022,1,47000
he.wikipedia,PL,2022,1,45000
he.wikipedia,PH,2022,1,41000
he.wikipedia,AR,2022,1,40000
he.wikipedia,JP,2022,1,39000
he.wikipedia,AT,2022,1,37000
he.wikipedia,TR,2022,1,37000
he.wikipedia,CZ,2022,1,37000
he.wikipedia,FI,2022,1,32000
he.wikipedia,RO,2022,1,28000
he.wikipedia,EG,2022,1,27000
he.wikipedia,BD,2022,1,26000
he.wikipedia,IN,2022,1,25000
he.wikipedia,HU,2022,1,23000
he.wikipedia,SE,2022,1,23000
he.wikipedia,IE,2022,1,22000
he.wikipedia,GR,2022,1,22000
he.wikipedia,EC,2022,1,21000
he.wikipedia,BG,2022,1,21000
he.wikipedia,VN,2022,1,21000
he.wikipedia,PT,2022,1,20000
he.wikipedia,PS,2022,1,20000
he.wikipedia,CY,2022,1,18000
he.wikipedia,CO,2022,1,18000
he.wikipedia,DK,2022,1,18000
he.wikipedia,NO,2022,1,15000
he.wikipedia,LT,2022,1,13000
he.wikipedia,ZA,2022,1,13000
he.wikipedia,GE,2022,1,12000
he.wikipedia,KR,2022,1,11000
he.wikipedia,CR,2022,1,11000
he.wikipedia,AE,2022,1,10000
he.wikipedia,IQ,2022,1,9000
he.wikipedia,PE,2022,1,9000
he.wikipedia,CL,2022,1,9000
he.wikipedia,NZ,2022,1,8000
he.wikipedia,PA,2022,1,7000
he.wikipedia,GT,2022,1,7000
he.wikipedia,JO,2022,1,6000
he.wikipedia,RS,2022,1,6000
he.wikipedia,SA,2022,1,6000
he.wikipedia,MA,2022,1,6000
he.wikipedia,LK,2022,1,6000
he.wikipedia,TN,2022,1,6000
he.wikipedia,PK,2022,1,6000
he.wikipedia,BY,2022,1,6000
he.wikipedia,SK,2022,1,5000
he.wikipedia,UY,2022,1,5000
he.wikipedia,DZ,2022,1,5000
he.wikipedia,HR,2022,1,5000
he.wikipedia,MO,2022,1,5000
he.wikipedia,LU,2022,1,5000
he.wikipedia,MD,2022,1,5000
he.wikipedia,NP,2022,1,5000
he.wikipedia,AZ,2022,1,4000
he.wikipedia,LV,2022,1,4000
he.wikipedia,UZ,2022,1,4000
he.wikipedia,DO,2022,1,4000
he.wikipedia,KH,2022,1,4000
he.wikipedia,GH,2022,1,3000
he.wikipedia,NG,2022,1,3000
he.wikipedia,LB,2022,1,3000
he.wikipedia,KE,2022,1,3000
he.wikipedia,EE,2022,1,3000
he.wikipedia,KZ,2022,1,3000
he.wikipedia,VE,2022,1,3000
he.wikipedia,PY,2022,1,3000
he.wikipedia,AL,2022,1,2000
he.wikipedia,SN,2022,1,2000
he.wikipedia,ET,2022,1,2000
he.wikipedia,BA,2022,1,2000
he.wikipedia,QA,2022,1,2000
he.wikipedia,MV,2022,1,2000
he.wikipedia,TG,2022,1,2000
he.wikipedia,TZ,2022,1,2000
he.wikipedia,BO,2022,1,2000
he.wikipedia,MM,2022,1,2000
he.wikipedia,NI,2022,1,2000
he.wikipedia,JM,2022,1,2000
he.wikipedia,IS,2022,1,2000
he.wikipedia,SI,2022,1,2000
he.wikipedia,MT,2022,1,2000
he.wikipedia,AM,2022,1,2000
he.wikipedia,CN,2022,1,2000
he.wikipedia,BH,2022,1,2000
he.wikipedia,CI,2022,1,2000
he.wikipedia,IM,2022,1,2000
he.wikipedia,KW,2022,1,2000
he.wikipedia,LA,2022,1,2000
he.wikipedia,GI,2022,1,2000
he.wikipedia,SC,2022,1,2000
he.wikipedia,HN,2022,1,2000
he.wikipedia,UG,2022,1,2000
he.wikipedia,PR,2022,1,1000
he.wikipedia,SV,2022,1,1000
he.wikipedia,OM,2022,1,1000
he.wikipedia,MK,2022,1,1000
he.wikipedia,KG,2022,1,1000
he.wikipedia,AO,2022,1,1000
he.wikipedia,SY,2022,1,1000
he.wikipedia,LY,2022,1,1000
he.wikipedia,BS,2022,1,1000
he.wikipedia,CD,2022,1,1000
he.wikipedia,ZM,2022,1,1000
he.wikipedia,TJ,2022,1,1000
he.wikipedia,RW,2022,1,1000
he.wikipedia,BM,2022,1,1000
he.wikipedia,MN,2022,1,1000
he.wikipedia,AD,2022,1,1000
he.wikipedia,BN,2022,1,1000
he.wikipedia,BZ,2022,1,1000
he.wikipedia,MG,2022,1,1000
he.wikipedia,YE,2022,1,1000
he.wikipedia,AW,2022,1,1000
he.wikipedia,ME,2022,1,1000
he.wikipedia,CM,2022,1,1000
he.wikipedia,MU,2022,1,1000
he.wikipedia,GQ,2022,1,1000
he.wikipedia,SD,2022,1,1000
he.wikipedia,CU,2022,1,1000
he.wikipedia,CW,2022,1,1000
he.wikipedia,ZW,2022,1,1000
he.wikipedia,BW,2022,1,1000
he.wikipedia,NA,2022,1,1000
he.wikipedia,GA,2022,1,1000
he.wikipedia,RE,2022,1,1000
he.wikipedia,BJ,2022,1,1000
he.wikipedia,CV,2022,1,1000
he.wikipedia,MC,2022,1,1000
he.wikipedia,GU,2022,1,1000
he.wikipedia,ML,2022,1,1000
he.wikipedia,KY,2022,1,1000
he.wikipedia,BB,2022,1,1000
he.wikipedia,XK,2022,1,1000
he.wikipedia,LR,2022,1,1000
he.wikipedia,TT,2022,1,1000
he.wikipedia,GY,2022,1,1000
he.wikipedia,CG,2022,1,1000
he.wikipedia,SO,2022,1,1000
he.wikipedia,MZ,2022,1,1000
he.wikipedia,JE,2022,1,1000
he.wikipedia,PG,2022,1,1000
he.wikipedia,BF,2022,1,1000
he.wikipedia,SX,2022,1,1000
he.wikipedia,MW,2022,1,1000
he.wikipedia,LC,2022,1,1000
he.wikipedia,GP,2022,1,1000
he.wikipedia,ER,2022,1,1000
he.wikipedia,IL,2022,2,57506000
he.wikipedia,US,2022,2,1568000
he.wikipedia,BR,2022,2,580000
he.wikipedia,DE,2022,2,429000
he.wikipedia,IR,2022,2,335000
he.wikipedia,GB,2022,2,257000
he.wikipedia,CA,2022,2,184000
he.wikipedia,NL,2022,2,175000
he.wikipedia,FR,2022,2,169000
he.wikipedia,RU,2022,2,135000
he.wikipedia,IN,2022,2,133000
he.wikipedia,IT,2022,2,86000
he.wikipedia,SG,2022,2,77000
he.wikipedia,--,2022,2,73000
he.wikipedia,ES,2022,2,54000
he.wikipedia,TH,2022,2,49000
he.wikipedia,UA,2022,2,49000
he.wikipedia,AU,2022,2,44000
he.wikipedia,AT,2022,2,42000
he.wikipedia,BE,2022,2,40000
he.wikipedia,CH,2022,2,40000
he.wikipedia,TR,2022,2,37000
he.wikipedia,PL,2022,2,37000
he.wikipedia,ID,2022,2,36000
he.wikipedia,MX,2022,2,36000
he.wikipedia,AR,2022,2,35000
he.wikipedia,HK,2022,2,30000
he.wikipedia,CZ,2022,2,29000
he.wikipedia,FI,2022,2,28000
he.wikipedia,JP,2022,2,27000
he.wikipedia,TW,2022,2,26000
he.wikipedia,UZ,2022,2,26000
he.wikipedia,HU,2022,2,26000
he.wikipedia,RO,2022,2,24000
he.wikipedia,GR,2022,2,23000
he.wikipedia,EG,2022,2,22000
he.wikipedia,SE,2022,2,21000
he.wikipedia,BG,2022,2,21000
he.wikipedia,MY,2022,2,21000
he.wikipedia,KZ,2022,2,20000
he.wikipedia,PK,2022,2,20000
he.wikipedia,IE,2022,2,19000
he.wikipedia,PT,2022,2,19000
he.wikipedia,CY,2022,2,18000
he.wikipedia,PS,2022,2,17000
he.wikipedia,GE,2022,2,17000
he.wikipedia,BY,2022,2,17000
he.wikipedia,PH,2022,2,16000
he.wikipedia,DK,2022,2,16000
he.wikipedia,CO,2022,2,15000
he.wikipedia,AE,2022,2,15000
he.wikipedia,LT,2022,2,14000
he.wikipedia,NO,2022,2,13000
he.wikipedia,EC,2022,2,13000
he.wikipedia,ZA,2022,2,12000
he.wikipedia,KR,2022,2,11000
he.wikipedia,CR,2022,2,10000
he.wikipedia,VN,2022,2,10000
he.wikipedia,PE,2022,2,9000
he.wikipedia,PA,2022,2,8000
he.wikipedia,CL,2022,2,8000
he.wikipedia,TJ,2022,2,8000
he.wikipedia,LK,2022,2,8000
he.wikipedia,BD,2022,2,7000
he.wikipedia,SA,2022,2,7000
he.wikipedia,LU,2022,2,7000
he.wikipedia,GT,2022,2,7000
he.wikipedia,NZ,2022,2,7000
he.wikipedia,MD,2022,2,6000
