project,date,pageviews
hi.wikipedia,2022-01-01,1347425
hi.wikipedia,2022-01-02,1811786
hi.wikipedia,2022-01-03,1893269
hi.wikipedia,2022-01-04,1991707
hi.wikipedia,2022-01-05,2011023
hi.wikipedia,2022-01-06,2025493
hi.wikipedia,2022-01-07,1978768
hi.wikipedia,2022-01-08,2001535
hi.wikipedia,2022-01-09,2083623
hi.wikipedia,2022-01-10,1997430
hi.wikipedia,2022-01-11,2045121
hi.wikipedia,2022-01-12,2028618
hi.wikipedia,2022-01-13,1848192
hi.wikipedia,2022-01-14,1595204
hi.wikipedia,2022-01-15,1651424
hi.wikipedia,2022-01-16,1635109
hi.wikipedia,2022-01-17,1709618
hi.wikipedia,2022-01-18,1774428
hi.wikipedia,2022-01-19,1835651
hi.wikipedia,2022-01-20,1893936
hi.wikipedia,2022-01-21,1933075
hi.wikipedia,2022-01-22,2150375
hi.wikipedia,2022-01-23,2218168
hi.wikipedia,2022-01-24,2150432
hi.wikipedia,2022-01-25,2123286
hi.wikipedia,2022-01-26,1849780
hi.wikipedia,2022-01-27,1974123
hi.wikipedia,2022-01-28,1951128
hi.wikipedia,2022-01-29,1867330
hi.wikipedia,2022-01-30,1671376
hi.wikipedia,2022-01-31,1867943
hi.wikipedia,2022-02-01,1862582
hi.wikipedia,2022-02-02,1861090
hi.wikipedia,2022-02-03,1928311
hi.wikipedia,2022-02-04,1819260
hi.wikipedia,2022-02-05,1676810
hi.wikipedia,2022-02-06,1829676
hi.wikipedia,2022-02-07,1822612
hi.wikipedia,2022-02-08,1953373
hi.wikipedia,2022-02-09,1963126
hi.wikipedia,2022-02-10,1961916
hi.wikipedia,2022-02-11,1919462
hi.wikipedia,2022-02-12,1887688
hi.wikipedia,2022-02-13,1892761
hi.wikipedia,2022-02-14,1958761
hi.wikipedia,2022-02-15,1894052
hi.wikipedia,2022-02-16,1893611
hi.wikipedia,2022-02-17,1935231
hi.wikipedia,2022-02-18,2018633
hi.wikipedia,2022-02-19,1932477
hi.wikipedia,2022-02-20,1910304
hi.wikipedia,2022-02-21,2042659
hi.wikipedia,2022-02-22,2167211
hi.wikipedia,2022-02-23,2254081
hi.wikipedia,2022-02-24,2378283
hi.wikipedia,2022-02-25,2312608
hi.wikipedia,2022-02-26,2174520
hi.wikipedia,2022-02-27,2097105
hi.wikipedia,2022-02-28,1925359
hi.wikipedia,2022-03-01,1806970
hi.wikipedia,2022-03-02,2006277
hi.wikipedia,2022-03-03,2100213
hi.wikipedia,2022-03-04,2070816
hi.wikipedia,2022-03-05,1949927
hi.wikipedia,2022-03-06,1934593
hi.wikipedia,2022-03-07,2069781
hi.wikipedia,2022-03-08,2145377
hi.wikipedia,2022-03-09,2120125
hi.wikipedia,2022-03-10,2156524
hi.wikipedia,2022-03-11,2064192
hi.wikipedia,2022-03-12,1902497
hi.wikipedia,2022-03-13,1839156
hi.wikipedia,2022-03-14,1949831
hi.wikipedia,2022-03-15,1915217
hi.wikipedia,2022-03-16,1618891
hi.wikipedia,2022-03-17,1354514
hi.wikipedia,2022-03-18,1152109
hi.wikipedia,2022-03-19,1377153
hi.wikipedia,2022-03-20,1585583
hi.wikipedia,2022-03-21,1721183
hi.wikipedia,2022-03-22,1910118
hi.wikipedia,2022-03-23,1994523
hi.wikipedia,2022-03-24,2112655
hi.wikipedia,2022-03-25,1891589
hi.wikipedia,2022-03-26,1802873
hi.wikipedia,2022-03-27,1704538
hi.wikipedia,2022-03-28,1827148
hi.wikipedia,2022-03-29,1801630
hi.wikipedia,2022-03-30,1823351
hi.wikipedia,2022-03-31,1821293
hi.wikipedia,2022-04-01,1595144
hi.wikipedia,2022-04-02,1528796
hi.wikipedia,2022-04-03,1601157
hi.wikipedia,2022-04-04,1681567
hi.wikipedia,2022-04-05,1704063
hi.wikipedia,2022-04-06,1674463
hi.wikipedia,2022-04-07,1724764
hi.wikipedia,2022-04-08,1745417
hi.wikipedia,2022-04-09,1521154
hi.wikipedia,2022-04-10,1404297
hi.wikipedia,2022-04-11,1566506
hi.wikipedia,2022-04-12,1573437
hi.wikipedia,2022-04-13,1554929
hi.wikipedia,2022-04-14,1569010
hi.wikipedia,2022-04-15,1394236
hi.wikipedia,2022-04-16,1501510
hi.wikipedia,2022-04-17,1343163
hi.wikipedia,2022-04-18,1502789
hi.wikipedia,2022-04-19,1517848
hi.wikipedia,2022-04-20,1490968
hi.wikipedia,2022-04-21,1518266
hi.wikipedia,2022-04-22,1547063
hi.wikipedia,2022-04-23,1512429
hi.wikipedia,2022-04-24,1483865
hi.wikipedia,2022-04-25,1634515
hi.wikipedia,2022-04-26,1624443
hi.wikipedia,2022-04-27,1612150
hi.wikipedia,2022-04-28,1555764
hi.wikipedia,2022-04-29,1453488
hi.wikipedia,2022-04-30,1366505
hi.wikipedia,2022-05-01,1348232
hi.wikipedia,2022-05-02,1354697
hi.wikipedia,2022-05-03,1358622
hi.wikipedia,2022-05-04,1445489
hi.wikipedia,2022-05-05,1482636
hi.wikipedia,2022-05-06,1491160
hi.wikipedia,2022-05-07,1440423
hi.wikipedia,2022-05-08,1385241
hi.wikipedia,2022-05-09,1463827
hi.wikipedia,2022-05-10,1451969
hi.wikipedia,2022-05-11,1474680
hi.wikipedia,2022-05-12,1511258
hi.wikipedia,2022-05-13,1445339
hi.wikipedia,2022-05-14,1370085
hi.wikipedia,2022-05-15,1288984
hi.wikipedia,2022-05-16,1417592
hi.wikipedia,2022-05-17,1659486
hi.wikipedia,2022-05-18,1573085
hi.wikipedia,2022-05-19,1523503
hi.wikipedia,2022-05-20,1499523
hi.wikipedia,2022-05-21,1557930
hi.wikipedia,2022-05-22,1453633
hi.wikipedia,2022-05-23,1548828
hi.wikipedia,2022-05-24,1513852
hi.wikipedia,2022-05-25,1566343
hi.wikipedia,2022-05-26,1653372
hi.wikipedia,2022-05-27,1580145
hi.wikipedia,2022-05-28,1546823
