project,iso2,year,month,pageviews_ceil
hr.wikipedia,HR,2022,1,14364000
hr.wikipedia,BA,2022,1,3954000
hr.wikipedia,RS,2022,1,997000
hr.wikipedia,DE,2022,1,862000
hr.wikipedia,US,2022,1,382000
hr.wikipedia,RU,2022,1,310000
hr.wikipedia,SI,2022,1,309000
hr.wikipedia,AT,2022,1,256000
hr.wikipedia,IR,2022,1,232000
hr.wikipedia,NL,2022,1,198000
hr.wikipedia,ME,2022,1,182000
hr.wikipedia,MK,2022,1,130000
hr.wikipedia,ID,2022,1,117000
hr.wikipedia,CA,2022,1,112000
hr.wikipedia,BR,2022,1,102000
hr.wikipedia,CH,2022,1,97000
hr.wikipedia,FR,2022,1,94000
hr.wikipedia,SE,2022,1,91000
hr.wikipedia,TW,2022,1,83000
hr.wikipedia,IT,2022,1,76000
hr.wikipedia,GB,2022,1,65000
hr.wikipedia,SG,2022,1,62000
hr.wikipedia,HK,2022,1,62000
hr.wikipedia,--,2022,1,55000
hr.wikipedia,MY,2022,1,50000
hr.wikipedia,CZ,2022,1,40000
hr.wikipedia,AU,2022,1,38000
hr.wikipedia,PL,2022,1,38000
hr.wikipedia,IE,2022,1,32000
hr.wikipedia,PH,2022,1,31000
hr.wikipedia,TR,2022,1,31000
hr.wikipedia,NO,2022,1,29000
hr.wikipedia,ES,2022,1,28000
hr.wikipedia,HU,2022,1,27000
hr.wikipedia,BE,2022,1,26000
hr.wikipedia,TH,2022,1,25000
hr.wikipedia,XK,2022,1,24000
hr.wikipedia,DK,2022,1,23000
hr.wikipedia,FI,2022,1,21000
hr.wikipedia,BD,2022,1,21000
hr.wikipedia,JP,2022,1,20000
hr.wikipedia,AL,2022,1,17000
hr.wikipedia,VN,2022,1,17000
hr.wikipedia,UA,2022,1,16000
hr.wikipedia,SK,2022,1,15000
hr.wikipedia,EC,2022,1,15000
hr.wikipedia,IN,2022,1,14000
hr.wikipedia,MX,2022,1,14000
hr.wikipedia,LU,2022,1,13000
hr.wikipedia,BG,2022,1,10000
hr.wikipedia,RO,2022,1,9000
hr.wikipedia,GR,2022,1,8000
hr.wikipedia,IL,2022,1,7000
hr.wikipedia,AR,2022,1,7000
hr.wikipedia,AE,2022,1,7000
hr.wikipedia,KR,2022,1,6000
hr.wikipedia,CO,2022,1,6000
hr.wikipedia,IQ,2022,1,6000
hr.wikipedia,PT,2022,1,6000
hr.wikipedia,LT,2022,1,6000
hr.wikipedia,NZ,2022,1,5000
hr.wikipedia,PK,2022,1,5000
hr.wikipedia,MO,2022,1,5000
hr.wikipedia,ZA,2022,1,4000
hr.wikipedia,EG,2022,1,4000
hr.wikipedia,CL,2022,1,3000
hr.wikipedia,NP,2022,1,3000
hr.wikipedia,DZ,2022,1,3000
hr.wikipedia,LV,2022,1,3000
hr.wikipedia,PE,2022,1,3000
hr.wikipedia,QA,2022,1,3000
hr.wikipedia,MT,2022,1,3000
hr.wikipedia,MD,2022,1,3000
hr.wikipedia,BY,2022,1,3000
hr.wikipedia,SA,2022,1,3000
hr.wikipedia,IS,2022,1,3000
hr.wikipedia,UZ,2022,1,3000
hr.wikipedia,GE,2022,1,2000
hr.wikipedia,EE,2022,1,2000
hr.wikipedia,CY,2022,1,2000
hr.wikipedia,DO,2022,1,2000
hr.wikipedia,MA,2022,1,2000
hr.wikipedia,CN,2022,1,2000
hr.wikipedia,AZ,2022,1,2000
hr.wikipedia,KH,2022,1,2000
hr.wikipedia,PY,2022,1,2000
hr.wikipedia,TN,2022,1,2000
hr.wikipedia,MM,2022,1,2000
hr.wikipedia,NG,2022,1,2000
hr.wikipedia,VE,2022,1,2000
hr.wikipedia,KZ,2022,1,2000
hr.wikipedia,GH,2022,1,2000
hr.wikipedia,LA,2022,1,1000
hr.wikipedia,JO,2022,1,1000
hr.wikipedia,KW,2022,1,1000
hr.wikipedia,KE,2022,1,1000
hr.wikipedia,ET,2022,1,1000
hr.wikipedia,SN,2022,1,1000
hr.wikipedia,UY,2022,1,1000
hr.wikipedia,AM,2022,1,1000
hr.wikipedia,TG,2022,1,1000
hr.wikipedia,BH,2022,1,1000
hr.wikipedia,OM,2022,1,1000
hr.wikipedia,JM,2022,1,1000
hr.wikipedia,TZ,2022,1,1000
hr.wikipedia,PA,2022,1,1000
hr.wikipedia,LK,2022,1,1000
hr.wikipedia,LB,2022,1,1000
hr.wikipedia,HN,2022,1,1000
hr.wikipedia,CR,2022,1,1000
hr.wikipedia,MV,2022,1,1000
hr.wikipedia,GT,2022,1,1000
hr.wikipedia,BO,2022,1,1000
hr.wikipedia,BN,2022,1,1000
hr.wikipedia,AO,2022,1,1000
hr.wikipedia,LY,2022,1,1000
hr.wikipedia,UG,2022,1,1000
hr.wikipedia,MN,2022,1,1000
hr.wikipedia,CI,2022,1,1000
hr.wikipedia,SC,2022,1,1000
hr.wikipedia,LI,2022,1,1000
hr.wikipedia,PR,2022,1,1000
hr.wikipedia,MG,2022,1,1000
hr.wikipedia,KG,2022,1,1000
hr.wikipedia,GL,2022,1,1000
hr.wikipedia,SV,2022,1,1000
hr.wikipedia,MU,2022,1,1000
hr.wikipedia,GA,2022,1,1000
hr.wikipedia,BJ,2022,1,1000
hr.wikipedia,CM,2022,1,1000
hr.wikipedia,SO,2022,1,1000
hr.wikipedia,TT,2022,1,1000
hr.wikipedia,CU,2022,1,1000
hr.wikipedia,HT,2022,1,1000
hr.wikipedia,SY,2022,1,1000
hr.wikipedia,BW,2022,1,1000
hr.wikipedia,GU,2022,1,1000
hr.wikipedia,GY,2022,1,1000
hr.wikipedia,FO,2022,1,1000
hr.wikipedia,ML,2022,1,1000
hr.wikipedia,NI,2022,1,1000
hr.wikipedia,RW,2022,1,1000
hr.wikipedia,MC,2022,1,1000
hr.wikipedia,CD,2022,1,1000
hr.wikipedia,AF,2022,1,1000
hr.wikipedia,CG,2022,1,1000
hr.wikipedia,PS,2022,1,1000
hr.wikipedia,RE,2022,1,1000
hr.wikipedia,SD,2022,1,1000
hr.wikipedia,ZM,2022,1,1000
hr.wikipedia,HR,2022,2,12686000
hr.wikipedia,BA,2022,2,4116000
hr.wikipedia,RS,2022,2,941000
hr.wikipedia,DE,2022,2,812000
hr.wikipedia,BR,2022,2,427000
hr.wikipedia,US,2022,2,421000
hr.wikipedia,SI,2022,2,264000
hr.wikipedia,AT,2022,2,230000
hr.wikipedia,ME,2022,2,179000
hr.wikipedia,IN,2022,2,166000
hr.wikipedia,NL,2022,2,133000
hr.wikipedia,RU,2022,2,115000
hr.wikipedia,MK,2022,2,114000
hr.wikipedia,CH,2022,2,88000
hr.wikipedia,SE,2022,2,81000
hr.wikipedia,CA,2022,2,74000
hr.wikipedia,FR,2022,2,73000
hr.wikipedia,IT,2022,2,70000
hr.wikipedia,GB,2022,2,60000
hr.wikipedia,IR,2022,2,50000
hr.wikipedia,SG,2022,2,42000
hr.wikipedia,UZ,2022,2,41000
hr.wikipedia,CZ,2022,2,36000
hr.wikipedia,IE,2022,2,30000
