project,iso2,year,month,pageviews_ceil
ht.wikipedia,US,2022,1,51000
ht.wikipedia,HT,2022,1,20000
ht.wikipedia,NL,2022,1,20000
ht.wikipedia,FR,2022,1,17000
ht.wikipedia,DE,2022,1,12000
ht.wikipedia,CA,2022,1,12000
ht.wikipedia,SG,2022,1,8000
ht.wikipedia,IR,2022,1,6000
ht.wikipedia,RU,2022,1,6000
ht.wikipedia,FI,2022,1,3000
ht.wikipedia,--,2022,1,3000
ht.wikipedia,PL,2022,1,2000
ht.wikipedia,GB,2022,1,2000
ht.wikipedia,TR,2022,1,2000
ht.wikipedia,JP,2022,1,2000
ht.wikipedia,BR,2022,1,2000
ht.wikipedia,DO,2022,1,2000
ht.wikipedia,IT,2022,1,2000
ht.wikipedia,ES,2022,1,1000
ht.wikipedia,HK,2022,1,1000
ht.wikipedia,CN,2022,1,1000
ht.wikipedia,UA,2022,1,1000
ht.wikipedia,MX,2022,1,1000
ht.wikipedia,BE,2022,1,1000
ht.wikipedia,CL,2022,1,1000
ht.wikipedia,IN,2022,1,1000
ht.wikipedia,DK,2022,1,1000
ht.wikipedia,TW,2022,1,1000
ht.wikipedia,CH,2022,1,1000
ht.wikipedia,SE,2022,1,1000
ht.wikipedia,KR,2022,1,1000
ht.wikipedia,CO,2022,1,1000
ht.wikipedia,VN,2022,1,1000
ht.wikipedia,AU,2022,1,1000
ht.wikipedia,ID,2022,1,1000
ht.wikipedia,PT,2022,1,1000
ht.wikipedia,LV,2022,1,1000
ht.wikipedia,CZ,2022,1,1000
ht.wikipedia,TH,2022,1,1000
ht.wikipedia,AT,2022,1,1000
ht.wikipedia,IL,2022,1,1000
ht.wikipedia,IE,2022,1,1000
ht.wikipedia,RO,2022,1,1000
ht.wikipedia,MY,2022,1,1000
ht.wikipedia,SC,2022,1,1000
ht.wikipedia,AR,2022,1,1000
ht.wikipedia,GR,2022,1,1000
ht.wikipedia,BG,2022,1,1000
ht.wikipedia,PE,2022,1,1000
ht.wikipedia,NO,2022,1,1000
ht.wikipedia,NG,2022,1,1000
ht.wikipedia,MA,2022,1,1000
ht.wikipedia,MQ,2022,1,1000
ht.wikipedia,EC,2022,1,1000
ht.wikipedia,IN,2022,2,101000
ht.wikipedia,RU,2022,2,52000
ht.wikipedia,US,2022,2,51000
ht.wikipedia,HT,2022,2,27000
ht.wikipedia,UZ,2022,2,21000
ht.wikipedia,NL,2022,2,20000
ht.wikipedia,FR,2022,2,17000
ht.wikipedia,PK,2022,2,16000
ht.wikipedia,KZ,2022,2,15000
ht.wikipedia,UA,2022,2,11000
ht.wikipedia,DE,2022,2,11000
ht.wikipedia,BY,2022,2,10000
ht.wikipedia,IR,2022,2,9000
ht.wikipedia,SG,2022,2,7000
ht.wikipedia,CA,2022,2,6000
ht.wikipedia,TJ,2022,2,6000
ht.wikipedia,GB,2022,2,5000
ht.wikipedia,GE,2022,2,4000
ht.wikipedia,MN,2022,2,3000
ht.wikipedia,PH,2022,2,3000
ht.wikipedia,KG,2022,2,3000
ht.wikipedia,BR,2022,2,3000
ht.wikipedia,TW,2022,2,3000
ht.wikipedia,VN,2022,2,2000
ht.wikipedia,--,2022,2,2000
ht.wikipedia,PL,2022,2,2000
ht.wikipedia,AF,2022,2,2000
ht.wikipedia,DO,2022,2,2000
ht.wikipedia,TR,2022,2,2000
ht.wikipedia,ID,2022,2,2000
ht.wikipedia,ES,2022,2,2000
ht.wikipedia,IT,2022,2,1000
ht.wikipedia,FI,2022,2,1000
ht.wikipedia,JP,2022,2,1000
ht.wikipedia,CN,2022,2,1000
ht.wikipedia,AU,2022,2,1000
ht.wikipedia,AZ,2022,2,1000
ht.wikipedia,MD,2022,2,1000
ht.wikipedia,LK,2022,2,1000
ht.wikipedia,HK,2022,2,1000
ht.wikipedia,ZA,2022,2,1000
ht.wikipedia,MM,2022,2,1000
ht.wikipedia,DK,2022,2,1000
ht.wikipedia,MX,2022,2,1000
ht.wikipedia,EG,2022,2,1000
ht.wikipedia,IE,2022,2,1000
ht.wikipedia,GR,2022,2,1000
ht.wikipedia,MY,2022,2,1000
ht.wikipedia,CL,2022,2,1000
ht.wikipedia,NO,2022,2,1000
ht.wikipedia,CH,2022,2,1000
ht.wikipedia,AE,2022,2,1000
ht.wikipedia,AM,2022,2,1000
ht.wikipedia,BH,2022,2,1000
ht.wikipedia,KR,2022,2,1000
ht.wikipedia,SC,2022,2,1000
ht.wikipedia,BD,2022,2,1000
ht.wikipedia,SA,2022,2,1000
ht.wikipedia,IL,2022,2,1000
ht.wikipedia,CZ,2022,2,1000
ht.wikipedia,SE,2022,2,1000
ht.wikipedia,KW,2022,2,1000
ht.wikipedia,BE,2022,2,1000
ht.wikipedia,CO,2022,2,1000
ht.wikipedia,ET,2022,2,1000
ht.wikipedia,LV,2022,2,1000
ht.wikipedia,NG,2022,2,1000
ht.wikipedia,NE,2022,2,1000
ht.wikipedia,TM,2022,2,1000
ht.wikipedia,RO,2022,2,1000
ht.wikipedia,MA,2022,2,1000
ht.wikipedia,PT,2022,2,1000
ht.wikipedia,KE,2022,2,1000
ht.wikipedia,BJ,2022,2,1000
ht.wikipedia,AT,2022,2,1000
ht.wikipedia,AR,2022,2,1000
ht.wikipedia,FM,2022,2,1000
ht.wikipedia,CY,2022,2,1000
ht.wikipedia,IN,2022,3,167000
ht.wikipedia,RU,2022,3,67000
ht.wikipedia,UZ,2022,3,42000
ht.wikipedia,US,2022,3,39000
ht.wikipedia,HT,2022,3,32000
ht.wikipedia,PK,2022,3,31000
ht.wikipedia,KZ,2022,3,26000
ht.wikipedia,NL,2022,3,22000
ht.wikipedia,FR,2022,3,16000
ht.wikipedia,DE,2022,3,16000
ht.wikipedia,TJ,2022,3,15000
ht.wikipedia,IR,2022,3,13000
ht.wikipedia,BY,2022,3,12000
ht.wikipedia,CA,2022,3,11000
ht.wikipedia,UA,2022,3,10000
ht.wikipedia,GE,2022,3,6000
ht.wikipedia,SG,2022,3,5000
ht.wikipedia,AT,2022,3,5000
ht.wikipedia,AF,2022,3,5000
ht.wikipedia,KG,2022,3,4000
ht.wikipedia,MN,2022,3,4000
ht.wikipedia,GB,2022,3,4000
ht.wikipedia,PH,2022,3,4000
ht.wikipedia,VN,2022,3,3000
ht.wikipedia,IE,2022,3,3000
ht.wikipedia,ID,2022,3,3000
ht.wikipedia,TR,2022,3,3000
ht.wikipedia,PL,2022,3,2000
ht.wikipedia,DO,2022,3,2000
ht.wikipedia,JP,2022,3,1000
ht.wikipedia,AZ,2022,3,1000
ht.wikipedia,BR,2022,3,1000
ht.wikipedia,IT,2022,3,1000
ht.wikipedia,HK,2022,3,1000
ht.wikipedia,ES,2022,3,1000
ht.wikipedia,CH,2022,3,1000
ht.wikipedia,--,2022,3,1000
ht.wikipedia,TM,2022,3,1000
ht.wikipedia,BD,2022,3,1000
ht.wikipedia,MY,2022,3,1000
ht.wikipedia,MX,2022,3,1000
ht.wikipedia,IQ,2022,3,1000
ht.wikipedia,LV,2022,3,1000
ht.wikipedia,SE,2022,3,1000
ht.wikipedia,GR,2022,3,1000
ht.wikipedia,MD,2022,3,1000
ht.wikipedia,CZ,2022,3,1000
ht.wikipedia,DK,2022,3,1000
ht.wikipedia,ZA,2022,3,1000
ht.wikipedia,SA,2022,3,1000
ht.wikipedia,AE,2022,3,1000
ht.wikipedia,CL,2022,3,1000
ht.wikipedia,MM,2022,3,1000
ht.wikipedia,FI,2022,3,1000
ht.wikipedia,CO,2022,3,1000
ht.wikipedia,TW,2022,3,1000
ht.wikipedia,BH,2022,3,1000
ht.wikipedia,KR,2022,3,1000
ht.wikipedia,NO,2022,3,1000
ht.wikipedia,RO,2022,3,1000
ht.wikipedia,ET,2022,3,1000
ht.wikipedia,AU,2022,3,1000
ht.wikipedia,PT,2022,3,1000
ht.wikipedia,NG,2022,3,1000
ht.wikipedia,LK,2022,3,1000
ht.wikipedia,TH,2022,3,1000
ht.wikipedia,IL,2022,3,1000
ht.wikipedia,CD,2022,3,1000
ht.wikipedia,NP,2022,3,1000
ht.wikipedia,CI,2022,3,1000
ht.wikipedia,OM,2022,3,1000
ht.wikipedia,BE,2022,3,1000
ht.wikipedia,SC,2022,3,1000
ht.wikipedia,CY,2022,3,1000
ht.wikipedia,EG,2022,3,1000
ht.wikipedia,KE,2022,3,1000
ht.wikipedia,PE,2022,3,1000
ht.wikipedia,MQ,2022,3,1000
ht.wikipedia,CN,2022,3,1000
ht.wikipedia,AR,2022,3,1000
ht.wikipedia,NE,2022,3,1000
ht.wikipedia,KW,2022,3,1000
ht.wikipedia,RW,2022,3,1000
ht.wikipedia,GP,2022,3,1000
ht.wikipedia,SL,2022,3,1000
ht.wikipedia,MA,2022,3,1000
ht.wikipedia,HU,2022,3,1000
ht.wikipedia,IN,2022,4,67000
ht.wikipedia,RU,2022,4,52000
ht.wikipedia,US,2022,4,41000
ht.wikipedia,UZ,2022,4,18000
ht.wikipedia,HT,2022,4,18000
ht.wikipedia,KZ,2022,4,14000
ht.wikipedia,FR,2022,4,14000
ht.wikipedia,CA,2022,4,13000
ht.wikipedia,UA,2022,4,12000
ht.wikipedia,NL,2022,4,12000
ht.wikipedia,DE,2022,4,10000
ht.wikipedia,BY,2022,4,10000
ht.wikipedia,TJ,2022,4,8000
ht.wikipedia,PK,2022,4,7000
ht.wikipedia,IR,2022,4,6000
ht.wikipedia,SG,2022,4,4000
ht.wikipedia,GE,2022,4,4000
ht.wikipedia,AF,2022,4,4000
ht.wikipedia,MN,2022,4,4000
ht.wikipedia,GB,2022,4,3000
ht.wikipedia,KG,2022,4,2000
ht.wikipedia,JP,2022,4,2000
ht.wikipedia,VN,2022,4,2000
ht.wikipedia,SE,2022,4,2000
ht.wikipedia,--,2022,4,2000
ht.wikipedia,PL,2022,4,2000
ht.wikipedia,TR,2022,4,2000
ht.wikipedia,AT,2022,4,2000
ht.wikipedia,IT,2022,4,2000
ht.wikipedia,DO,2022,4,2000
ht.wikipedia,DK,2022,4,1000
ht.wikipedia,ID,2022,4,1000
ht.wikipedia,PH,2022,4,1000
ht.wikipedia,KR,2022,4,1000
ht.wikipedia,CH,2022,4,1000
ht.wikipedia,MX,2022,4,1000
ht.wikipedia,BR,2022,4,1000
ht.wikipedia,IQ,2022,4,1000
ht.wikipedia,HK,2022,4,1000
ht.wikipedia,ES,2022,4,1000
ht.wikipedia,CL,2022,4,1000
ht.wikipedia,IE,2022,4,1000
ht.wikipedia,SA,2022,4,1000
ht.wikipedia,IL,2022,4,1000
ht.wikipedia,AE,2022,4,1000
ht.wikipedia,ZA,2022,4,1000
ht.wikipedia,KE,2022,4,1000
ht.wikipedia,TM,2022,4,1000
ht.wikipedia,NO,2022,4,1000
ht.wikipedia,AZ,2022,4,1000
ht.wikipedia,MY,2022,4,1000
ht.wikipedia,EG,2022,4,1000
ht.wikipedia,CO,2022,4,1000
ht.wikipedia,OM,2022,4,1000
ht.wikipedia,AU,2022,4,1000
ht.wikipedia,TW,2022,4,1000
ht.wikipedia,MD,2022,4,1000
ht.wikipedia,NG,2022,4,1000
ht.wikipedia,AM,2022,4,1000
ht.wikipedia,GR,2022,4,1000
ht.wikipedia,MM,2022,4,1000
ht.wikipedia,BE,2022,4,1000
ht.wikipedia,BG,2022,4,1000
ht.wikipedia,KW,2022,4,1000
ht.wikipedia,RO,2022,4,1000
ht.wikipedia,MA,2022,4,1000
ht.wikipedia,PT,2022,4,1000
ht.wikipedia,CZ,2022,4,1000
ht.wikipedia,LT,2022,4,1000
ht.wikipedia,SC,2022,4,1000
ht.wikipedia,JO,2022,4,1000
ht.wikipedia,LV,2022,4,1000
ht.wikipedia,LK,2022,4,1000
ht.wikipedia,VE,2022,4,1000
ht.wikipedia,HR,2022,4,1000
ht.wikipedia,TH,2022,4,1000
ht.wikipedia,HU,2022,4,1000
ht.wikipedia,CY,2022,4,1000
ht.wikipedia,AO,2022,4,1000
ht.wikipedia,FI,2022,4,1000
ht.wikipedia,NZ,2022,4,1000
ht.wikipedia,SY,2022,4,1000
ht.wikipedia,US,2022,5,61000
ht.wikipedia,IN,2022,5,54000
ht.wikipedia,RU,2022,5,44000
ht.wikipedia,HT,2022,5,26000
ht.wikipedia,FR,2022,5,18000
ht.wikipedia,CA,2022,5,15000
ht.wikipedia,UZ,2022,5,15000
ht.wikipedia,NL,2022,5,12000
ht.wikipedia,DE,2022,5,12000
ht.wikipedia,KZ,2022,5,11000
ht.wikipedia,PK,2022,5,10000
ht.wikipedia,BY,2022,5,9000
ht.wikipedia,IR,2022,5,8000
ht.wikipedia,SG,2022,5,7000
ht.wikipedia,UA,2022,5,7000
ht.wikipedia,GE,2022,5,5000
ht.wikipedia,TJ,2022,5,4000
ht.wikipedia,GB,2022,5,3000
ht.wikipedia,KE,2022,5,3000
ht.wikipedia,KG,2022,5,2000
ht.wikipedia,PL,2022,5,2000
ht.wikipedia,HK,2022,5,2000
ht.wikipedia,IT,2022,5,2000
ht.wikipedia,--,2022,5,2000
ht.wikipedia,MN,2022,5,2000
ht.wikipedia,PH,2022,5,2000
ht.wikipedia,DO,2022,5,2000
ht.wikipedia,VN,2022,5,2000
ht.wikipedia,BR,2022,5,2000
ht.wikipedia,TR,2022,5,2000
ht.wikipedia,CL,2022,5,1000
ht.wikipedia,JP,2022,5,1000
ht.wikipedia,AF,2022,5,1000
ht.wikipedia,SE,2022,5,1000
ht.wikipedia,AE,2022,5,1000
ht.wikipedia,ID,2022,5,1000
ht.wikipedia,MX,2022,5,1000
ht.wikipedia,TM,2022,5,1000
ht.wikipedia,PT,2022,5,1000
ht.wikipedia,ES,2022,5,1000
ht.wikipedia,AU,2022,5,1000
ht.wikipedia,AZ,2022,5,1000
ht.wikipedia,SA,2022,5,1000
ht.wikipedia,CZ,2022,5,1000
ht.wikipedia,EG,2022,5,1000
ht.wikipedia,MD,2022,5,1000
ht.wikipedia,DK,2022,5,1000
ht.wikipedia,AM,2022,5,1000
ht.wikipedia,CO,2022,5,1000
ht.wikipedia,CH,2022,5,1000
ht.wikipedia,ZA,2022,5,1000
ht.wikipedia,BA,2022,5,1000
ht.wikipedia,RO,2022,5,1000
ht.wikipedia,KR,2022,5,1000
ht.wikipedia,GR,2022,5,1000
ht.wikipedia,NG,2022,5,1000
ht.wikipedia,IL,2022,5,1000
ht.wikipedia,MY,2022,5,1000
ht.wikipedia,BE,2022,5,1000
ht.wikipedia,OM,2022,5,1000
ht.wikipedia,CY,2022,5,1000
ht.wikipedia,MM,2022,5,1000
ht.wikipedia,LV,2022,5,1000
ht.wikipedia,TH,2022,5,1000
ht.wikipedia,TW,2022,5,1000
ht.wikipedia,IE,2022,5,1000
ht.wikipedia,SC,2022,5,1000
ht.wikipedia,NP,2022,5,1000
ht.wikipedia,MZ,2022,5,1000
ht.wikipedia,BD,2022,5,1000
ht.wikipedia,AR,2022,5,1000
ht.wikipedia,HU,2022,5,1000
ht.wikipedia,ET,2022,5,1000
ht.wikipedia,PE,2022,5,1000
ht.wikipedia,HR,2022,5,1000
ht.wikipedia,JO,2022,5,1000
ht.wikipedia,FI,2022,5,1000
ht.wikipedia,IQ,2022,5,1000
ht.wikipedia,AT,2022,5,1000
ht.wikipedia,BT,2022,5,1000
ht.wikipedia,LT,2022,5,1000
ht.wikipedia,IS,2022,5,1000
ht.wikipedia,US,2022,6,97000
ht.wikipedia,GB,2022,6,67000
ht.wikipedia,RU,2022,6,67000
ht.wikipedia,IN,2022,6,45000
ht.wikipedia,FR,2022,6,24000
ht.wikipedia,HT,2022,6,23000
ht.wikipedia,NL,2022,6,12000
ht.wikipedia,DE,2022,6,12000
ht.wikipedia,UZ,2022,6,12000
ht.wikipedia,CA,2022,6,11000
ht.wikipedia,SG,2022,6,10000
ht.wikipedia,KZ,2022,6,9000
ht.wikipedia,PK,2022,6,8000
ht.wikipedia,BY,2022,6,6000
ht.wikipedia,IR,2022,6,6000
ht.wikipedia,UA,2022,6,4000
ht.wikipedia,TJ,2022,6,3000
ht.wikipedia,GE,2022,6,3000
ht.wikipedia,VN,2022,6,3000
ht.wikipedia,HK,2022,6,2000
ht.wikipedia,ES,2022,6,2000
ht.wikipedia,KG,2022,6,2000
ht.wikipedia,BR,2022,6,2000
ht.wikipedia,IT,2022,6,2000
ht.wikipedia,JP,2022,6,2000
ht.wikipedia,DO,2022,6,2000
ht.wikipedia,PH,2022,6,2000
ht.wikipedia,TR,2022,6,2000
ht.wikipedia,ID,2022,6,2000
ht.wikipedia,PL,2022,6,1000
ht.wikipedia,MN,2022,6,1000
ht.wikipedia,--,2022,6,1000
ht.wikipedia,KE,2022,6,1000
ht.wikipedia,AU,2022,6,1000
ht.wikipedia,CL,2022,6,1000
ht.wikipedia,IL,2022,6,1000
ht.wikipedia,AF,2022,6,1000
ht.wikipedia,NG,2022,6,1000
ht.wikipedia,MX,2022,6,1000
ht.wikipedia,CO,2022,6,1000
ht.wikipedia,TM,2022,6,1000
ht.wikipedia,CH,2022,6,1000
ht.wikipedia,SA,2022,6,1000
ht.wikipedia,KR,2022,6,1000
ht.wikipedia,LV,2022,6,1000
ht.wikipedia,AZ,2022,6,1000
ht.wikipedia,KW,2022,6,1000
ht.wikipedia,CY,2022,6,1000
ht.wikipedia,CZ,2022,6,1000
ht.wikipedia,FI,2022,6,1000
ht.wikipedia,AM,2022,6,1000
ht.wikipedia,MD,2022,6,1000
ht.wikipedia,DK,2022,6,1000
ht.wikipedia,SE,2022,6,1000
ht.wikipedia,RO,2022,6,1000
ht.wikipedia,ZA,2022,6,1000
ht.wikipedia,SC,2022,6,1000
ht.wikipedia,BE,2022,6,1000
ht.wikipedia,MY,2022,6,1000
ht.wikipedia,AE,2022,6,1000
ht.wikipedia,MU,2022,6,1000
ht.wikipedia,LT,2022,6,1000
ht.wikipedia,EG,2022,6,1000
ht.wikipedia,IE,2022,6,1000
