project,date,pageviews
hu.wikipedia,2022-01-01,2451826
hu.wikipedia,2022-01-02,2706977
hu.wikipedia,2022-01-03,2337155
hu.wikipedia,2022-01-04,2294613
hu.wikipedia,2022-01-05,2290301
hu.wikipedia,2022-01-06,2275896
hu.wikipedia,2022-01-07,2071120
hu.wikipedia,2022-01-08,2255009
hu.wikipedia,2022-01-09,2562987
hu.wikipedia,2022-01-10,2282593
hu.wikipedia,2022-01-11,2223360
hu.wikipedia,2022-01-12,2110737
hu.wikipedia,2022-01-13,2085496
hu.wikipedia,2022-01-14,1930956
hu.wikipedia,2022-01-15,2107216
hu.wikipedia,2022-01-16,2476246
hu.wikipedia,2022-01-17,2163814
hu.wikipedia,2022-01-18,2165601
hu.wikipedia,2022-01-19,2034857
hu.wikipedia,2022-01-20,1977316
hu.wikipedia,2022-01-21,1855738
hu.wikipedia,2022-01-22,2001836
hu.wikipedia,2022-01-23,2285038
hu.wikipedia,2022-01-24,2104656
hu.wikipedia,2022-01-25,2025478
hu.wikipedia,2022-01-26,1988376
hu.wikipedia,2022-01-27,1949858
hu.wikipedia,2022-01-28,1845493
hu.wikipedia,2022-01-29,2004208
hu.wikipedia,2022-01-30,2301715
hu.wikipedia,2022-01-31,1997487
hu.wikipedia,2022-02-01,1966142
hu.wikipedia,2022-02-02,1961011
hu.wikipedia,2022-02-03,1915756
hu.wikipedia,2022-02-04,1796473
hu.wikipedia,2022-02-05,1919964
hu.wikipedia,2022-02-06,2237579
hu.wikipedia,2022-02-07,1996967
hu.wikipedia,2022-02-08,1929619
hu.wikipedia,2022-02-09,1871688
hu.wikipedia,2022-02-10,1813242
hu.wikipedia,2022-02-11,1687776
hu.wikipedia,2022-02-12,1805384
hu.wikipedia,2022-02-13,2208694
hu.wikipedia,2022-02-14,1957052
hu.wikipedia,2022-02-15,1908090
hu.wikipedia,2022-02-16,1868607
hu.wikipedia,2022-02-17,1859365
hu.wikipedia,2022-02-18,1752380
hu.wikipedia,2022-02-19,1882097
hu.wikipedia,2022-02-20,2184472
hu.wikipedia,2022-02-21,2042017
hu.wikipedia,2022-02-22,2048986
hu.wikipedia,2022-02-23,2105335
hu.wikipedia,2022-02-24,2330492
hu.wikipedia,2022-02-25,2199737
hu.wikipedia,2022-02-26,2214376
hu.wikipedia,2022-02-27,2533916
hu.wikipedia,2022-02-28,2283260
hu.wikipedia,2022-03-01,2122821
hu.wikipedia,2022-03-02,2080330
hu.wikipedia,2022-03-03,1976546
hu.wikipedia,2022-03-04,1882999
hu.wikipedia,2022-03-05,1970181
hu.wikipedia,2022-03-06,2177377
hu.wikipedia,2022-03-07,2003625
hu.wikipedia,2022-03-08,1878349
hu.wikipedia,2022-03-09,1886823
hu.wikipedia,2022-03-10,1926394
hu.wikipedia,2022-03-11,1750350
hu.wikipedia,2022-03-12,1795864
hu.wikipedia,2022-03-13,1989112
hu.wikipedia,2022-03-14,2070201
hu.wikipedia,2022-03-15,2277767
hu.wikipedia,2022-03-16,1969424
hu.wikipedia,2022-03-17,1886252
hu.wikipedia,2022-03-18,1720141
hu.wikipedia,2022-03-19,1880489
hu.wikipedia,2022-03-20,2207253
hu.wikipedia,2022-03-21,1936622
