project,iso2,year,month,pageviews_ceil
hyw.wikipedia,US,2022,1,31000
hyw.wikipedia,DE,2022,1,25000
hyw.wikipedia,AM,2022,1,22000
hyw.wikipedia,FR,2022,1,19000
hyw.wikipedia,--,2022,1,11000
hyw.wikipedia,IR,2022,1,8000
hyw.wikipedia,NL,2022,1,8000
hyw.wikipedia,RU,2022,1,8000
hyw.wikipedia,CA,2022,1,5000
hyw.wikipedia,SG,2022,1,5000
hyw.wikipedia,GB,2022,1,2000
hyw.wikipedia,NO,2022,1,2000
hyw.wikipedia,LB,2022,1,2000
hyw.wikipedia,GR,2022,1,2000
hyw.wikipedia,DK,2022,1,2000
hyw.wikipedia,PL,2022,1,2000
hyw.wikipedia,FI,2022,1,2000
hyw.wikipedia,TR,2022,1,1000
hyw.wikipedia,JP,2022,1,1000
hyw.wikipedia,BR,2022,1,1000
hyw.wikipedia,LU,2022,1,1000
hyw.wikipedia,HK,2022,1,1000
hyw.wikipedia,IT,2022,1,1000
hyw.wikipedia,CH,2022,1,1000
hyw.wikipedia,RO,2022,1,1000
hyw.wikipedia,SE,2022,1,1000
hyw.wikipedia,BE,2022,1,1000
hyw.wikipedia,KR,2022,1,1000
hyw.wikipedia,ES,2022,1,1000
hyw.wikipedia,GE,2022,1,1000
hyw.wikipedia,CN,2022,1,1000
hyw.wikipedia,PT,2022,1,1000
hyw.wikipedia,IN,2022,1,1000
hyw.wikipedia,UA,2022,1,1000
hyw.wikipedia,VN,2022,1,1000
hyw.wikipedia,TW,2022,1,1000
hyw.wikipedia,SY,2022,1,1000
hyw.wikipedia,AU,2022,1,1000
hyw.wikipedia,AT,2022,1,1000
hyw.wikipedia,AZ,2022,1,1000
hyw.wikipedia,CZ,2022,1,1000
hyw.wikipedia,LV,2022,1,1000
hyw.wikipedia,ID,2022,1,1000
hyw.wikipedia,IL,2022,1,1000
hyw.wikipedia,SC,2022,1,1000
hyw.wikipedia,BG,2022,1,1000
hyw.wikipedia,EG,2022,1,1000
hyw.wikipedia,AM,2022,2,31000
hyw.wikipedia,US,2022,2,29000
hyw.wikipedia,DE,2022,2,28000
hyw.wikipedia,FR,2022,2,19000
hyw.wikipedia,--,2022,2,11000
hyw.wikipedia,NL,2022,2,9000
hyw.wikipedia,RU,2022,2,7000
hyw.wikipedia,AT,2022,2,6000
hyw.wikipedia,SG,2022,2,5000
hyw.wikipedia,LU,2022,2,4000
hyw.wikipedia,IR,2022,2,4000
hyw.wikipedia,CA,2022,2,4000
hyw.wikipedia,GB,2022,2,3000
hyw.wikipedia,BR,2022,2,3000
hyw.wikipedia,LB,2022,2,3000
hyw.wikipedia,GR,2022,2,2000
hyw.wikipedia,CH,2022,2,2000
hyw.wikipedia,NO,2022,2,2000
hyw.wikipedia,TR,2022,2,2000
hyw.wikipedia,PL,2022,2,1000
hyw.wikipedia,UA,2022,2,1000
hyw.wikipedia,GE,2022,2,1000
hyw.wikipedia,IT,2022,2,1000
hyw.wikipedia,SY,2022,2,1000
hyw.wikipedia,RO,2022,2,1000
hyw.wikipedia,JP,2022,2,1000
hyw.wikipedia,SE,2022,2,1000
hyw.wikipedia,ES,2022,2,1000
hyw.wikipedia,FI,2022,2,1000
hyw.wikipedia,DK,2022,2,1000
hyw.wikipedia,HK,2022,2,1000
hyw.wikipedia,ID,2022,2,1000
hyw.wikipedia,VN,2022,2,1000
hyw.wikipedia,CN,2022,2,1000
hyw.wikipedia,AU,2022,2,1000
hyw.wikipedia,AZ,2022,2,1000
hyw.wikipedia,SC,2022,2,1000
hyw.wikipedia,KR,2022,2,1000
hyw.wikipedia,IN,2022,2,1000
hyw.wikipedia,LV,2022,2,1000
hyw.wikipedia,CZ,2022,2,1000
hyw.wikipedia,PT,2022,2,1000
hyw.wikipedia,IL,2022,2,1000
hyw.wikipedia,BE,2022,2,1000
hyw.wikipedia,BG,2022,2,1000
hyw.wikipedia,MA,2022,2,1000
hyw.wikipedia,AM,2022,3,30000
hyw.wikipedia,DE,2022,3,29000
hyw.wikipedia,US,2022,3,29000
hyw.wikipedia,--,2022,3,16000
hyw.wikipedia,FR,2022,3,10000
hyw.wikipedia,AT,2022,3,8000
hyw.wikipedia,NL,2022,3,7000
hyw.wikipedia,CA,2022,3,6000
hyw.wikipedia,RU,2022,3,5000
hyw.wikipedia,IR,2022,3,5000
hyw.wikipedia,LB,2022,3,3000
hyw.wikipedia,SG,2022,3,3000
hyw.wikipedia,CH,2022,3,3000
hyw.wikipedia,GB,2022,3,3000
hyw.wikipedia,GR,2022,3,2000
hyw.wikipedia,TR,2022,3,2000
hyw.wikipedia,LU,2022,3,2000
hyw.wikipedia,VN,2022,3,2000
hyw.wikipedia,IE,2022,3,2000
hyw.wikipedia,SE,2022,3,2000
hyw.wikipedia,PL,2022,3,2000
hyw.wikipedia,NO,2022,3,2000
hyw.wikipedia,BR,2022,3,2000
hyw.wikipedia,ID,2022,3,2000
