project,date,pageviews
ia.wikipedia,2022-01-01,5829
ia.wikipedia,2022-01-02,6119
ia.wikipedia,2022-01-03,5872
ia.wikipedia,2022-01-04,5503
ia.wikipedia,2022-01-05,7438
ia.wikipedia,2022-01-06,7171
ia.wikipedia,2022-01-07,6317
ia.wikipedia,2022-01-08,5809
ia.wikipedia,2022-01-09,6055
ia.wikipedia,2022-01-10,6673
ia.wikipedia,2022-01-11,6035
ia.wikipedia,2022-01-12,5913
ia.wikipedia,2022-01-13,8149
ia.wikipedia,2022-01-14,6462
ia.wikipedia,2022-01-15,5482
ia.wikipedia,2022-01-16,5593
ia.wikipedia,2022-01-17,5620
ia.wikipedia,2022-01-18,6988
ia.wikipedia,2022-01-19,8255
ia.wikipedia,2022-01-20,8692
ia.wikipedia,2022-01-21,7333
ia.wikipedia,2022-01-22,6382
ia.wikipedia,2022-01-23,6044
ia.wikipedia,2022-01-24,6979
ia.wikipedia,2022-01-25,7118
ia.wikipedia,2022-01-26,7162
ia.wikipedia,2022-01-27,6949
ia.wikipedia,2022-01-28,6537
ia.wikipedia,2022-01-29,8343
ia.wikipedia,2022-01-30,7605
ia.wikipedia,2022-01-31,6870
ia.wikipedia,2022-02-01,6796
ia.wikipedia,2022-02-02,8564
ia.wikipedia,2022-02-03,8856
ia.wikipedia,2022-02-04,6739
ia.wikipedia,2022-02-05,6457
ia.wikipedia,2022-02-06,6162
ia.wikipedia,2022-02-07,6770
ia.wikipedia,2022-02-08,7035
ia.wikipedia,2022-02-09,7206
ia.wikipedia,2022-02-10,8273
ia.wikipedia,2022-02-11,8396
ia.wikipedia,2022-02-12,7835
ia.wikipedia,2022-02-13,7965
ia.wikipedia,2022-02-14,8392
ia.wikipedia,2022-02-15,9420
ia.wikipedia,2022-02-16,8173
ia.wikipedia,2022-02-17,10257
ia.wikipedia,2022-02-18,11371
ia.wikipedia,2022-02-19,11483
ia.wikipedia,2022-02-20,13759
ia.wikipedia,2022-02-21,11738
ia.wikipedia,2022-02-22,13986
ia.wikipedia,2022-02-23,51354
ia.wikipedia,2022-02-24,68131
ia.wikipedia,2022-02-25,60082
ia.wikipedia,2022-02-26,47229
ia.wikipedia,2022-02-27,49057
ia.wikipedia,2022-02-28,63613
ia.wikipedia,2022-03-01,37887
ia.wikipedia,2022-03-02,61727
ia.wikipedia,2022-03-03,48677
ia.wikipedia,2022-03-04,45633
ia.wikipedia,2022-03-05,35760
ia.wikipedia,2022-03-06,26845
ia.wikipedia,2022-03-07,36733
ia.wikipedia,2022-03-08,33271
ia.wikipedia,2022-03-09,32963
ia.wikipedia,2022-03-10,34633
ia.wikipedia,2022-03-11,32230
ia.wikipedia,2022-03-12,27412
ia.wikipedia,2022-03-13,25937
ia.wikipedia,2022-03-14,32157
ia.wikipedia,2022-03-15,27336
ia.wikipedia,2022-03-16,27716
ia.wikipedia,2022-03-17,25218
ia.wikipedia,2022-03-18,19404
ia.wikipedia,2022-03-19,17910
ia.wikipedia,2022-03-20,14233
ia.wikipedia,2022-03-21,18470
ia.wikipedia,2022-03-22,18816
ia.wikipedia,2022-03-23,19027
ia.wikipedia,2022-03-24,21114
ia.wikipedia,2022-03-25,18738
ia.wikipedia,2022-03-26,14147
ia.wikipedia,2022-03-27,12713
ia.wikipedia,2022-03-28,15179
ia.wikipedia,2022-03-29,15377
ia.wikipedia,2022-03-30,15610
ia.wikipedia,2022-03-31,22464
ia.wikipedia,2022-04-01,12882
ia.wikipedia,2022-04-02,11821
ia.wikipedia,2022-04-03,12510
ia.wikipedia,2022-04-04,16222
ia.wikipedia,2022-04-05,12357
ia.wikipedia,2022-04-06,13472
ia.wikipedia,2022-04-07,15903
ia.wikipedia,2022-04-08,23121
ia.wikipedia,2022-04-09,11732
ia.wikipedia,2022-04-10,9979
ia.wikipedia,2022-04-11,23918
ia.wikipedia,2022-04-12,21762
ia.wikipedia,2022-04-13,20417
