project,iso2,year,month,pageviews_ceil
id.wikipedia,ID,2022,1,93006000
id.wikipedia,US,2022,1,3260000
id.wikipedia,MY,2022,1,1060000
id.wikipedia,RU,2022,1,737000
id.wikipedia,SG,2022,1,704000
id.wikipedia,DE,2022,1,322000
id.wikipedia,BR,2022,1,210000
id.wikipedia,TW,2022,1,203000
id.wikipedia,CA,2022,1,198000
id.wikipedia,FR,2022,1,192000
id.wikipedia,HK,2022,1,161000
id.wikipedia,JP,2022,1,139000
id.wikipedia,NL,2022,1,132000
id.wikipedia,GB,2022,1,119000
id.wikipedia,IN,2022,1,108000
id.wikipedia,AU,2022,1,103000
id.wikipedia,CY,2022,1,97000
id.wikipedia,IR,2022,1,96000
id.wikipedia,TH,2022,1,80000
id.wikipedia,PH,2022,1,78000
id.wikipedia,VN,2022,1,57000
id.wikipedia,TL,2022,1,56000
id.wikipedia,TR,2022,1,54000
id.wikipedia,KR,2022,1,52000
id.wikipedia,RO,2022,1,43000
id.wikipedia,BD,2022,1,41000
id.wikipedia,EG,2022,1,41000
id.wikipedia,--,2022,1,41000
id.wikipedia,BN,2022,1,40000
id.wikipedia,SE,2022,1,34000
id.wikipedia,EC,2022,1,34000
id.wikipedia,KH,2022,1,33000
id.wikipedia,SA,2022,1,31000
id.wikipedia,ES,2022,1,30000
id.wikipedia,IT,2022,1,29000
id.wikipedia,UA,2022,1,28000
id.wikipedia,MX,2022,1,28000
id.wikipedia,PL,2022,1,28000
id.wikipedia,FI,2022,1,25000
id.wikipedia,IE,2022,1,23000
id.wikipedia,BE,2022,1,19000
id.wikipedia,AE,2022,1,18000
id.wikipedia,NZ,2022,1,16000
id.wikipedia,QA,2022,1,16000
id.wikipedia,PK,2022,1,15000
id.wikipedia,AR,2022,1,14000
id.wikipedia,CZ,2022,1,13000
id.wikipedia,CH,2022,1,12000
id.wikipedia,CO,2022,1,12000
id.wikipedia,ZA,2022,1,11000
id.wikipedia,IQ,2022,1,10000
id.wikipedia,DK,2022,1,10000
id.wikipedia,LU,2022,1,10000
id.wikipedia,IL,2022,1,10000
id.wikipedia,LT,2022,1,9000
id.wikipedia,PT,2022,1,8000
id.wikipedia,UZ,2022,1,8000
id.wikipedia,HU,2022,1,8000
id.wikipedia,AT,2022,1,8000
id.wikipedia,PE,2022,1,8000
id.wikipedia,NO,2022,1,8000
id.wikipedia,NG,2022,1,7000
id.wikipedia,MO,2022,1,7000
id.wikipedia,LV,2022,1,7000
id.wikipedia,NP,2022,1,6000
id.wikipedia,CL,2022,1,6000
id.wikipedia,MA,2022,1,6000
id.wikipedia,DZ,2022,1,6000
id.wikipedia,GR,2022,1,6000
id.wikipedia,BG,2022,1,5000
id.wikipedia,PY,2022,1,5000
id.wikipedia,LB,2022,1,5000
id.wikipedia,RS,2022,1,4000
id.wikipedia,TN,2022,1,4000
id.wikipedia,CN,2022,1,4000
id.wikipedia,MM,2022,1,4000
id.wikipedia,AZ,2022,1,4000
id.wikipedia,JO,2022,1,4000
id.wikipedia,VE,2022,1,3000
id.wikipedia,SI,2022,1,3000
id.wikipedia,SD,2022,1,3000
id.wikipedia,YE,2022,1,3000
id.wikipedia,KW,2022,1,3000
id.wikipedia,KE,2022,1,3000
id.wikipedia,DO,2022,1,3000
id.wikipedia,OM,2022,1,3000
id.wikipedia,GE,2022,1,3000
id.wikipedia,BH,2022,1,3000
id.wikipedia,BA,2022,1,3000
id.wikipedia,BY,2022,1,3000
id.wikipedia,KZ,2022,1,3000
id.wikipedia,SK,2022,1,3000
id.wikipedia,LA,2022,1,3000
id.wikipedia,CD,2022,1,3000
id.wikipedia,LK,2022,1,2000
id.wikipedia,HR,2022,1,2000
id.wikipedia,GH,2022,1,2000
id.wikipedia,ET,2022,1,2000
id.wikipedia,AL,2022,1,2000
id.wikipedia,UY,2022,1,2000
id.wikipedia,SN,2022,1,2000
id.wikipedia,MD,2022,1,2000
id.wikipedia,PA,2022,1,2000
id.wikipedia,HN,2022,1,2000
id.wikipedia,EE,2022,1,2000
id.wikipedia,TG,2022,1,2000
id.wikipedia,CR,2022,1,2000
id.wikipedia,SV,2022,1,2000
id.wikipedia,GT,2022,1,2000
id.wikipedia,JM,2022,1,2000
id.wikipedia,AM,2022,1,2000
id.wikipedia,MK,2022,1,2000
id.wikipedia,BO,2022,1,2000
id.wikipedia,UG,2022,1,2000
id.wikipedia,CI,2022,1,2000
id.wikipedia,KG,2022,1,1000
id.wikipedia,PR,2022,1,1000
id.wikipedia,AO,2022,1,1000
id.wikipedia,LY,2022,1,1000
id.wikipedia,TZ,2022,1,1000
id.wikipedia,MV,2022,1,1000
id.wikipedia,GN,2022,1,1000
id.wikipedia,SY,2022,1,1000
id.wikipedia,MN,2022,1,1000
id.wikipedia,SC,2022,1,1000
id.wikipedia,SR,2022,1,1000
id.wikipedia,MT,2022,1,1000
id.wikipedia,MG,2022,1,1000
id.wikipedia,BJ,2022,1,1000
id.wikipedia,GA,2022,1,1000
id.wikipedia,PG,2022,1,1000
id.wikipedia,CM,2022,1,1000
id.wikipedia,SO,2022,1,1000
id.wikipedia,NI,2022,1,1000
id.wikipedia,LC,2022,1,1000
id.wikipedia,CF,2022,1,1000
id.wikipedia,AF,2022,1,1000
id.wikipedia,MU,2022,1,1000
id.wikipedia,GY,2022,1,1000
id.wikipedia,BW,2022,1,1000
id.wikipedia,NA,2022,1,1000
id.wikipedia,ML,2022,1,1000
id.wikipedia,PS,2022,1,1000
id.wikipedia,XK,2022,1,1000
id.wikipedia,IS,2022,1,1000
id.wikipedia,TT,2022,1,1000
id.wikipedia,MZ,2022,1,1000
id.wikipedia,GU,2022,1,1000
id.wikipedia,CG,2022,1,1000
id.wikipedia,ZW,2022,1,1000
id.wikipedia,TJ,2022,1,1000
id.wikipedia,CU,2022,1,1000
id.wikipedia,BF,2022,1,1000
id.wikipedia,IM,2022,1,1000
id.wikipedia,HT,2022,1,1000
id.wikipedia,TM,2022,1,1000
id.wikipedia,ME,2022,1,1000
id.wikipedia,FJ,2022,1,1000
id.wikipedia,RW,2022,1,1000
id.wikipedia,ZM,2022,1,1000
id.wikipedia,RE,2022,1,1000
id.wikipedia,BS,2022,1,1000
id.wikipedia,BB,2022,1,1000
id.wikipedia,NC,2022,1,1000
id.wikipedia,MP,2022,1,1000
id.wikipedia,SL,2022,1,1000
