project,iso2,year,month,pageviews_ceil
ilo.wikipedia,US,2022,1,53000
ilo.wikipedia,PH,2022,1,25000
ilo.wikipedia,CA,2022,1,17000
ilo.wikipedia,NL,2022,1,17000
ilo.wikipedia,DE,2022,1,16000
ilo.wikipedia,FR,2022,1,13000
ilo.wikipedia,SG,2022,1,13000
ilo.wikipedia,IR,2022,1,8000
ilo.wikipedia,RU,2022,1,5000
ilo.wikipedia,--,2022,1,3000
ilo.wikipedia,PL,2022,1,3000
ilo.wikipedia,FI,2022,1,2000
ilo.wikipedia,JP,2022,1,2000
ilo.wikipedia,GB,2022,1,2000
ilo.wikipedia,KG,2022,1,2000
ilo.wikipedia,BE,2022,1,2000
ilo.wikipedia,ID,2022,1,2000
ilo.wikipedia,HK,2022,1,2000
ilo.wikipedia,MY,2022,1,2000
ilo.wikipedia,IN,2022,1,1000
ilo.wikipedia,CZ,2022,1,1000
ilo.wikipedia,BR,2022,1,1000
ilo.wikipedia,CN,2022,1,1000
ilo.wikipedia,IT,2022,1,1000
ilo.wikipedia,DK,2022,1,1000
ilo.wikipedia,UA,2022,1,1000
ilo.wikipedia,KR,2022,1,1000
ilo.wikipedia,TW,2022,1,1000
ilo.wikipedia,PT,2022,1,1000
ilo.wikipedia,ES,2022,1,1000
ilo.wikipedia,AU,2022,1,1000
ilo.wikipedia,VN,2022,1,1000
ilo.wikipedia,SE,2022,1,1000
ilo.wikipedia,LV,2022,1,1000
ilo.wikipedia,CH,2022,1,1000
ilo.wikipedia,SC,2022,1,1000
ilo.wikipedia,CO,2022,1,1000
ilo.wikipedia,TR,2022,1,1000
ilo.wikipedia,AL,2022,1,1000
ilo.wikipedia,TH,2022,1,1000
ilo.wikipedia,IL,2022,1,1000
ilo.wikipedia,DO,2022,1,1000
ilo.wikipedia,BG,2022,1,1000
ilo.wikipedia,IE,2022,1,1000
ilo.wikipedia,RO,2022,1,1000
ilo.wikipedia,AT,2022,1,1000
ilo.wikipedia,IN,2022,2,150000
ilo.wikipedia,RU,2022,2,78000
ilo.wikipedia,US,2022,2,60000
ilo.wikipedia,UZ,2022,2,36000
ilo.wikipedia,PH,2022,2,29000
ilo.wikipedia,PK,2022,2,25000
ilo.wikipedia,KZ,2022,2,24000
ilo.wikipedia,BY,2022,2,17000
ilo.wikipedia,NL,2022,2,17000
ilo.wikipedia,UA,2022,2,16000
ilo.wikipedia,DE,2022,2,12000
ilo.wikipedia,FR,2022,2,11000
ilo.wikipedia,CA,2022,2,11000
