project,iso2,year,month,pageviews_ceil
io.wikipedia,US,2022,1,71000
io.wikipedia,IR,2022,1,32000
io.wikipedia,NL,2022,1,20000
io.wikipedia,DE,2022,1,20000
io.wikipedia,TR,2022,1,16000
io.wikipedia,FR,2022,1,14000
io.wikipedia,CA,2022,1,13000
io.wikipedia,SG,2022,1,10000
io.wikipedia,TW,2022,1,9000
io.wikipedia,FI,2022,1,5000
io.wikipedia,RU,2022,1,5000
io.wikipedia,GB,2022,1,4000
io.wikipedia,BR,2022,1,4000
io.wikipedia,PL,2022,1,3000
io.wikipedia,IT,2022,1,3000
io.wikipedia,JP,2022,1,3000
io.wikipedia,--,2022,1,3000
io.wikipedia,HK,2022,1,2000
io.wikipedia,ES,2022,1,2000
io.wikipedia,PT,2022,1,2000
io.wikipedia,CN,2022,1,1000
io.wikipedia,IN,2022,1,1000
io.wikipedia,BE,2022,1,1000
io.wikipedia,KR,2022,1,1000
io.wikipedia,ID,2022,1,1000
io.wikipedia,DK,2022,1,1000
io.wikipedia,UA,2022,1,1000
io.wikipedia,PH,2022,1,1000
io.wikipedia,VN,2022,1,1000
io.wikipedia,CH,2022,1,1000
io.wikipedia,RO,2022,1,1000
io.wikipedia,AU,2022,1,1000
io.wikipedia,CZ,2022,1,1000
io.wikipedia,SE,2022,1,1000
io.wikipedia,MX,2022,1,1000
io.wikipedia,AT,2022,1,1000
io.wikipedia,AL,2022,1,1000
io.wikipedia,LV,2022,1,1000
io.wikipedia,IL,2022,1,1000
io.wikipedia,RS,2022,1,1000
io.wikipedia,HR,2022,1,1000
io.wikipedia,TH,2022,1,1000
io.wikipedia,GR,2022,1,1000
io.wikipedia,CO,2022,1,1000
io.wikipedia,BG,2022,1,1000
io.wikipedia,MK,2022,1,1000
io.wikipedia,SC,2022,1,1000
io.wikipedia,MY,2022,1,1000
io.wikipedia,IE,2022,1,1000
io.wikipedia,LT,2022,1,1000
io.wikipedia,HU,2022,1,1000
io.wikipedia,SI,2022,1,1000
io.wikipedia,GH,2022,1,1000
io.wikipedia,AR,2022,1,1000
io.wikipedia,PE,2022,1,1000
io.wikipedia,NO,2022,1,1000
io.wikipedia,EG,2022,1,1000
io.wikipedia,IN,2022,2,164000
io.wikipedia,RU,2022,2,86000
io.wikipedia,US,2022,2,86000
io.wikipedia,UZ,2022,2,40000
io.wikipedia,PK,2022,2,28000
io.wikipedia,KZ,2022,2,26000
io.wikipedia,IR,2022,2,22000
io.wikipedia,NL,2022,2,22000
io.wikipedia,FR,2022,2,20000
io.wikipedia,BY,2022,2,19000
io.wikipedia,UA,2022,2,18000
io.wikipedia,DE,2022,2,17000
io.wikipedia,SG,2022,2,16000
io.wikipedia,TR,2022,2,13000
io.wikipedia,TW,2022,2,12000
io.wikipedia,TJ,2022,2,10000
io.wikipedia,CA,2022,2,9000
io.wikipedia,GB,2022,2,7000
io.wikipedia,GE,2022,2,7000
io.wikipedia,BR,2022,2,6000
io.wikipedia,MN,2022,2,5000
io.wikipedia,PH,2022,2,5000
io.wikipedia,KG,2022,2,5000
io.wikipedia,VN,2022,2,4000
io.wikipedia,IT,2022,2,3000
io.wikipedia,FI,2022,2,3000
io.wikipedia,--,2022,2,3000
io.wikipedia,ES,2022,2,3000
io.wikipedia,PL,2022,2,3000
io.wikipedia,AF,2022,2,3000
io.wikipedia,ID,2022,2,3000
io.wikipedia,AZ,2022,2,2000
io.wikipedia,JP,2022,2,2000
io.wikipedia,DK,2022,2,1000
io.wikipedia,MD,2022,2,1000
io.wikipedia,CN,2022,2,1000
io.wikipedia,AU,2022,2,1000
io.wikipedia,HK,2022,2,1000
io.wikipedia,AM,2022,2,1000
io.wikipedia,PT,2022,2,1000
io.wikipedia,ZA,2022,2,1000
io.wikipedia,MY,2022,2,1000
io.wikipedia,EG,2022,2,1000
io.wikipedia,LK,2022,2,1000
io.wikipedia,AE,2022,2,1000
io.wikipedia,MM,2022,2,1000
io.wikipedia,IE,2022,2,1000
io.wikipedia,KR,2022,2,1000
io.wikipedia,BD,2022,2,1000
io.wikipedia,SA,2022,2,1000
io.wikipedia,GR,2022,2,1000
io.wikipedia,SE,2022,2,1000
io.wikipedia,MX,2022,2,1000
io.wikipedia,RO,2022,2,1000
io.wikipedia,NO,2022,2,1000
io.wikipedia,CH,2022,2,1000
io.wikipedia,IL,2022,2,1000
io.wikipedia,CZ,2022,2,1000
io.wikipedia,BH,2022,2,1000
io.wikipedia,SC,2022,2,1000
io.wikipedia,RS,2022,2,1000
io.wikipedia,ET,2022,2,1000
io.wikipedia,NG,2022,2,1000
io.wikipedia,KE,2022,2,1000
io.wikipedia,AL,2022,2,1000
io.wikipedia,BE,2022,2,1000
io.wikipedia,LT,2022,2,1000
io.wikipedia,CO,2022,2,1000
io.wikipedia,NE,2022,2,1000
io.wikipedia,AT,2022,2,1000
io.wikipedia,DZ,2022,2,1000
io.wikipedia,CY,2022,2,1000
io.wikipedia,AR,2022,2,1000
io.wikipedia,LV,2022,2,1000
io.wikipedia,CL,2022,2,1000
io.wikipedia,TH,2022,2,1000
io.wikipedia,IQ,2022,2,1000
io.wikipedia,GU,2022,2,1000
io.wikipedia,TM,2022,2,1000
io.wikipedia,HR,2022,2,1000
io.wikipedia,BG,2022,2,1000
io.wikipedia,FM,2022,2,1000
io.wikipedia,MA,2022,2,1000
io.wikipedia,SI,2022,2,1000
io.wikipedia,MK,2022,2,1000
io.wikipedia,RW,2022,2,1000
io.wikipedia,HU,2022,2,1000
io.wikipedia,SK,2022,2,1000
io.wikipedia,NP,2022,2,1000
io.wikipedia,PE,2022,2,1000
io.wikipedia,LY,2022,2,1000
io.wikipedia,CR,2022,2,1000
io.wikipedia,BJ,2022,2,1000
io.wikipedia,EE,2022,2,1000
io.wikipedia,DO,2022,2,1000
io.wikipedia,IN,2022,3,315000
io.wikipedia,RU,2022,3,137000
io.wikipedia,UZ,2022,3,90000
io.wikipedia,US,2022,3,54000
io.wikipedia,PK,2022,3,54000
io.wikipedia,KZ,2022,3,50000
io.wikipedia,BY,2022,3,28000
io.wikipedia,NL,2022,3,27000
io.wikipedia,IR,2022,3,26000
io.wikipedia,TJ,2022,3,22000
io.wikipedia,DE,2022,3,20000
io.wikipedia,UA,2022,3,18000
io.wikipedia,CA,2022,3,16000
io.wikipedia,FR,2022,3,15000
io.wikipedia,GE,2022,3,13000
io.wikipedia,KG,2022,3,9000
io.wikipedia,SG,2022,3,9000
io.wikipedia,MN,2022,3,8000
io.wikipedia,AF,2022,3,7000
io.wikipedia,PH,2022,3,6000
io.wikipedia,GB,2022,3,6000
io.wikipedia,AT,2022,3,6000
io.wikipedia,VN,2022,3,5000
io.wikipedia,ID,2022,3,5000
io.wikipedia,TR,2022,3,5000
io.wikipedia,BR,2022,3,5000
io.wikipedia,PL,2022,3,4000
io.wikipedia,IE,2022,3,3000
io.wikipedia,IT,2022,3,3000
io.wikipedia,AZ,2022,3,3000
io.wikipedia,ES,2022,3,2000
io.wikipedia,JP,2022,3,2000
io.wikipedia,SE,2022,3,2000
io.wikipedia,PT,2022,3,2000
io.wikipedia,MY,2022,3,2000
io.wikipedia,MD,2022,3,2000
io.wikipedia,MX,2022,3,2000
io.wikipedia,TM,2022,3,2000
io.wikipedia,--,2022,3,2000
io.wikipedia,MM,2022,3,2000
io.wikipedia,IQ,2022,3,2000
io.wikipedia,LV,2022,3,2000
io.wikipedia,NO,2022,3,2000
io.wikipedia,HK,2022,3,2000
io.wikipedia,GR,2022,3,1000
io.wikipedia,RO,2022,3,1000
io.wikipedia,AE,2022,3,1000
io.wikipedia,ZA,2022,3,1000
io.wikipedia,CZ,2022,3,1000
io.wikipedia,SA,2022,3,1000
io.wikipedia,NP,2022,3,1000
io.wikipedia,KR,2022,3,1000
