project,iso2,year,month,pageviews_ceil
is.wikipedia,IS,2022,1,699000
is.wikipedia,US,2022,1,166000
is.wikipedia,BR,2022,1,101000
is.wikipedia,ID,2022,1,96000
is.wikipedia,DE,2022,1,66000
is.wikipedia,TW,2022,1,63000
is.wikipedia,HK,2022,1,53000
is.wikipedia,CA,2022,1,48000
is.wikipedia,SG,2022,1,44000
is.wikipedia,MY,2022,1,43000
is.wikipedia,FR,2022,1,35000
is.wikipedia,GB,2022,1,27000
is.wikipedia,PH,2022,1,27000
is.wikipedia,RU,2022,1,25000
is.wikipedia,IR,2022,1,23000
is.wikipedia,--,2022,1,23000
is.wikipedia,NL,2022,1,21000
is.wikipedia,TH,2022,1,20000
is.wikipedia,TR,2022,1,19000
is.wikipedia,BD,2022,1,18000
is.wikipedia,JP,2022,1,16000
is.wikipedia,EC,2022,1,14000
is.wikipedia,AU,2022,1,14000
is.wikipedia,SE,2022,1,14000
is.wikipedia,VN,2022,1,13000
is.wikipedia,ES,2022,1,13000
is.wikipedia,DK,2022,1,12000
is.wikipedia,NO,2022,1,12000
is.wikipedia,MX,2022,1,10000
is.wikipedia,FI,2022,1,9000
is.wikipedia,IT,2022,1,9000
is.wikipedia,IN,2022,1,8000
is.wikipedia,PL,2022,1,8000
is.wikipedia,UA,2022,1,6000
is.wikipedia,AR,2022,1,5000
is.wikipedia,IQ,2022,1,5000
is.wikipedia,KR,2022,1,5000
is.wikipedia,CO,2022,1,4000
is.wikipedia,BE,2022,1,4000
is.wikipedia,RO,2022,1,4000
is.wikipedia,MO,2022,1,4000
is.wikipedia,PT,2022,1,4000
is.wikipedia,PK,2022,1,3000
is.wikipedia,HU,2022,1,3000
is.wikipedia,CH,2022,1,3000
is.wikipedia,ZA,2022,1,3000
is.wikipedia,PE,2022,1,3000
is.wikipedia,NZ,2022,1,3000
is.wikipedia,NP,2022,1,3000
is.wikipedia,DZ,2022,1,3000
is.wikipedia,AT,2022,1,2000
is.wikipedia,CZ,2022,1,2000
is.wikipedia,IE,2022,1,2000
is.wikipedia,UZ,2022,1,2000
is.wikipedia,GR,2022,1,2000
is.wikipedia,IL,2022,1,2000
is.wikipedia,PY,2022,1,2000
is.wikipedia,CL,2022,1,2000
is.wikipedia,EG,2022,1,2000
is.wikipedia,BG,2022,1,2000
is.wikipedia,KH,2022,1,2000
is.wikipedia,LU,2022,1,2000
is.wikipedia,QA,2022,1,2000
is.wikipedia,VE,2022,1,2000
is.wikipedia,CN,2022,1,2000
is.wikipedia,MA,2022,1,2000
is.wikipedia,AE,2022,1,2000
is.wikipedia,MM,2022,1,2000
is.wikipedia,TN,2022,1,2000
is.wikipedia,BA,2022,1,1000
is.wikipedia,DO,2022,1,1000
is.wikipedia,FO,2022,1,1000
is.wikipedia,RS,2022,1,1000
is.wikipedia,LA,2022,1,1000
is.wikipedia,KE,2022,1,1000
is.wikipedia,LV,2022,1,1000
is.wikipedia,ET,2022,1,1000
is.wikipedia,LT,2022,1,1000
is.wikipedia,SK,2022,1,1000
is.wikipedia,GE,2022,1,1000
is.wikipedia,BH,2022,1,1000
is.wikipedia,TG,2022,1,1000
is.wikipedia,BY,2022,1,1000
is.wikipedia,EE,2022,1,1000
is.wikipedia,HR,2022,1,1000
is.wikipedia,SN,2022,1,1000
is.wikipedia,PA,2022,1,1000
is.wikipedia,UY,2022,1,1000
is.wikipedia,AZ,2022,1,1000
is.wikipedia,JM,2022,1,1000
is.wikipedia,AL,2022,1,1000
is.wikipedia,MD,2022,1,1000
is.wikipedia,HN,2022,1,1000
is.wikipedia,OM,2022,1,1000
is.wikipedia,GT,2022,1,1000
is.wikipedia,CR,2022,1,1000
is.wikipedia,AO,2022,1,1000
is.wikipedia,KZ,2022,1,1000
is.wikipedia,NG,2022,1,1000
is.wikipedia,BO,2022,1,1000
is.wikipedia,BN,2022,1,1000
is.wikipedia,GH,2022,1,1000
is.wikipedia,MK,2022,1,1000
is.wikipedia,PR,2022,1,1000
is.wikipedia,MG,2022,1,1000
is.wikipedia,KW,2022,1,1000
is.wikipedia,MN,2022,1,1000
is.wikipedia,UG,2022,1,1000
is.wikipedia,SI,2022,1,1000
is.wikipedia,CI,2022,1,1000
is.wikipedia,JO,2022,1,1000
is.wikipedia,SV,2022,1,1000
is.wikipedia,AM,2022,1,1000
is.wikipedia,LB,2022,1,1000
is.wikipedia,SC,2022,1,1000
is.wikipedia,KG,2022,1,1000
is.wikipedia,CY,2022,1,1000
is.wikipedia,MT,2022,1,1000
is.wikipedia,LK,2022,1,1000
is.wikipedia,GA,2022,1,1000
is.wikipedia,GL,2022,1,1000
is.wikipedia,GU,2022,1,1000
is.wikipedia,SA,2022,1,1000
is.wikipedia,ML,2022,1,1000
is.wikipedia,BW,2022,1,1000
is.wikipedia,GY,2022,1,1000
is.wikipedia,IS,2022,2,612000
is.wikipedia,BR,2022,2,449000
is.wikipedia,US,2022,2,152000
is.wikipedia,IN,2022,2,139000
is.wikipedia,RU,2022,2,79000
is.wikipedia,DE,2022,2,57000
is.wikipedia,UZ,2022,2,31000
is.wikipedia,IR,2022,2,29000
is.wikipedia,SG,2022,2,27000
is.wikipedia,CA,2022,2,27000
is.wikipedia,FR,2022,2,26000
is.wikipedia,--,2022,2,23000
is.wikipedia,PK,2022,2,23000
is.wikipedia,GB,2022,2,23000
is.wikipedia,ID,2022,2,22000
is.wikipedia,KZ,2022,2,22000
is.wikipedia,TW,2022,2,21000
is.wikipedia,NL,2022,2,20000
is.wikipedia,HK,2022,2,20000
is.wikipedia,UA,2022,2,17000
is.wikipedia,BY,2022,2,16000
is.wikipedia,TR,2022,2,15000
is.wikipedia,MY,2022,2,15000
is.wikipedia,NO,2022,2,12000
is.wikipedia,SE,2022,2,12000
is.wikipedia,DK,2022,2,11000
is.wikipedia,JP,2022,2,10000
is.wikipedia,PH,2022,2,10000
is.wikipedia,TJ,2022,2,9000
is.wikipedia,ES,2022,2,8000
is.wikipedia,EC,2022,2,8000
is.wikipedia,AT,2022,2,8000
is.wikipedia,IT,2022,2,7000
is.wikipedia,FI,2022,2,7000
is.wikipedia,AU,2022,2,7000
is.wikipedia,GE,2022,2,6000
is.wikipedia,PL,2022,2,6000
is.wikipedia,VN,2022,2,6000
is.wikipedia,TH,2022,2,6000
is.wikipedia,BD,2022,2,5000
is.wikipedia,LU,2022,2,5000
is.wikipedia,MN,2022,2,5000
is.wikipedia,KG,2022,2,4000
is.wikipedia,CH,2022,2,4000
is.wikipedia,MX,2022,2,3000
is.wikipedia,KR,2022,2,3000
is.wikipedia,AR,2022,2,2000
is.wikipedia,IQ,2022,2,2000
is.wikipedia,AF,2022,2,2000
is.wikipedia,BE,2022,2,2000
is.wikipedia,RO,2022,2,2000
is.wikipedia,CO,2022,2,2000
is.wikipedia,CZ,2022,2,2000
is.wikipedia,IE,2022,2,2000
is.wikipedia,EG,2022,2,2000
is.wikipedia,PT,2022,2,2000
is.wikipedia,GR,2022,2,2000
is.wikipedia,HU,2022,2,2000
is.wikipedia,MD,2022,2,2000
is.wikipedia,NZ,2022,2,2000
is.wikipedia,MO,2022,2,1000
is.wikipedia,AZ,2022,2,1000
is.wikipedia,MM,2022,2,1000
is.wikipedia,AE,2022,2,1000
is.wikipedia,CN,2022,2,1000
is.wikipedia,PE,2022,2,1000
is.wikipedia,ZA,2022,2,1000
is.wikipedia,IL,2022,2,1000
is.wikipedia,FO,2022,2,1000
