project,iso2,year,month,pageviews_ceil
iu.wikipedia,TR,2022,1,16000
iu.wikipedia,US,2022,1,10000
iu.wikipedia,FR,2022,1,9000
iu.wikipedia,BR,2022,1,5000
iu.wikipedia,NL,2022,1,5000
iu.wikipedia,CA,2022,1,4000
iu.wikipedia,DE,2022,1,3000
iu.wikipedia,RU,2022,1,2000
iu.wikipedia,SG,2022,1,2000
iu.wikipedia,IR,2022,1,2000
iu.wikipedia,JP,2022,1,2000
iu.wikipedia,PL,2022,1,1000
iu.wikipedia,--,2022,1,1000
iu.wikipedia,GB,2022,1,1000
iu.wikipedia,HK,2022,1,1000
iu.wikipedia,CH,2022,1,1000
iu.wikipedia,SE,2022,1,1000
iu.wikipedia,ES,2022,1,1000
iu.wikipedia,IT,2022,1,1000
iu.wikipedia,KR,2022,1,1000
iu.wikipedia,FI,2022,1,1000
iu.wikipedia,TW,2022,1,1000
iu.wikipedia,UA,2022,1,1000
iu.wikipedia,CZ,2022,1,1000
iu.wikipedia,MD,2022,1,1000
iu.wikipedia,IN,2022,1,1000
iu.wikipedia,CN,2022,1,1000
iu.wikipedia,DK,2022,1,1000
iu.wikipedia,LV,2022,1,1000
iu.wikipedia,ID,2022,1,1000
iu.wikipedia,BE,2022,1,1000
iu.wikipedia,VN,2022,1,1000
iu.wikipedia,AU,2022,1,1000
iu.wikipedia,SC,2022,1,1000
iu.wikipedia,PH,2022,1,1000
iu.wikipedia,TR,2022,2,13000
iu.wikipedia,US,2022,2,10000
iu.wikipedia,NL,2022,2,6000
iu.wikipedia,FR,2022,2,5000
iu.wikipedia,CA,2022,2,4000
iu.wikipedia,RU,2022,2,3000
iu.wikipedia,BR,2022,2,3000
iu.wikipedia,DE,2022,2,2000
iu.wikipedia,SG,2022,2,2000
iu.wikipedia,IR,2022,2,2000
iu.wikipedia,IN,2022,2,2000
iu.wikipedia,GB,2022,2,2000
iu.wikipedia,SE,2022,2,2000
iu.wikipedia,JP,2022,2,2000
iu.wikipedia,LV,2022,2,1000
iu.wikipedia,UA,2022,2,1000
iu.wikipedia,PL,2022,2,1000
iu.wikipedia,ES,2022,2,1000
iu.wikipedia,CZ,2022,2,1000
iu.wikipedia,--,2022,2,1000
iu.wikipedia,IT,2022,2,1000
iu.wikipedia,UZ,2022,2,1000
iu.wikipedia,PK,2022,2,1000
iu.wikipedia,HK,2022,2,1000
iu.wikipedia,VN,2022,2,1000
iu.wikipedia,KZ,2022,2,1000
iu.wikipedia,KR,2022,2,1000
iu.wikipedia,ID,2022,2,1000
iu.wikipedia,CN,2022,2,1000
iu.wikipedia,GR,2022,2,1000
iu.wikipedia,BY,2022,2,1000
iu.wikipedia,FI,2022,2,1000
iu.wikipedia,DK,2022,2,1000
iu.wikipedia,AU,2022,2,1000
iu.wikipedia,SC,2022,2,1000
iu.wikipedia,TW,2022,2,1000
iu.wikipedia,CH,2022,2,1000
iu.wikipedia,MA,2022,2,1000
iu.wikipedia,PH,2022,2,1000
iu.wikipedia,US,2022,3,11000
iu.wikipedia,FR,2022,3,5000
iu.wikipedia,CA,2022,3,5000
iu.wikipedia,RU,2022,3,4000
iu.wikipedia,DE,2022,3,4000
iu.wikipedia,NL,2022,3,4000
iu.wikipedia,IN,2022,3,3000
iu.wikipedia,TR,2022,3,2000
iu.wikipedia,GB,2022,3,2000
iu.wikipedia,SG,2022,3,2000
iu.wikipedia,PL,2022,3,2000
iu.wikipedia,VN,2022,3,2000
iu.wikipedia,IR,2022,3,1000
iu.wikipedia,JP,2022,3,1000
iu.wikipedia,AT,2022,3,1000
iu.wikipedia,UZ,2022,3,1000
iu.wikipedia,IT,2022,3,1000
iu.wikipedia,HK,2022,3,1000
iu.wikipedia,PK,2022,3,1000
iu.wikipedia,GR,2022,3,1000
iu.wikipedia,IE,2022,3,1000
iu.wikipedia,KZ,2022,3,1000
iu.wikipedia,BR,2022,3,1000
iu.wikipedia,RO,2022,3,1000
iu.wikipedia,--,2022,3,1000
iu.wikipedia,UA,2022,3,1000
iu.wikipedia,KR,2022,3,1000
iu.wikipedia,SE,2022,3,1000
iu.wikipedia,AU,2022,3,1000
iu.wikipedia,LV,2022,3,1000
iu.wikipedia,ID,2022,3,1000
iu.wikipedia,CO,2022,3,1000
iu.wikipedia,TJ,2022,3,1000
iu.wikipedia,ES,2022,3,1000
iu.wikipedia,DK,2022,3,1000
iu.wikipedia,BY,2022,3,1000
iu.wikipedia,PH,2022,3,1000
iu.wikipedia,CZ,2022,3,1000
iu.wikipedia,AE,2022,3,1000
iu.wikipedia,CN,2022,3,1000
iu.wikipedia,NO,2022,3,1000
iu.wikipedia,SC,2022,3,1000
iu.wikipedia,IL,2022,3,1000
iu.wikipedia,PT,2022,3,1000
iu.wikipedia,US,2022,4,11000
iu.wikipedia,CA,2022,4,5000
iu.wikipedia,DE,2022,4,4000
iu.wikipedia,NL,2022,4,3000
iu.wikipedia,FR,2022,4,3000
iu.wikipedia,RU,2022,4,3000
iu.wikipedia,SG,2022,4,2000
iu.wikipedia,AE,2022,4,2000
iu.wikipedia,GB,2022,4,2000
iu.wikipedia,--,2022,4,2000
iu.wikipedia,IN,2022,4,1000
iu.wikipedia,HK,2022,4,1000
iu.wikipedia,SE,2022,4,1000
iu.wikipedia,JP,2022,4,1000
iu.wikipedia,PL,2022,4,1000
iu.wikipedia,IR,2022,4,1000
iu.wikipedia,TR,2022,4,1000
iu.wikipedia,IT,2022,4,1000
iu.wikipedia,IE,2022,4,1000
iu.wikipedia,BR,2022,4,1000
iu.wikipedia,UA,2022,4,1000
iu.wikipedia,KR,2022,4,1000
iu.wikipedia,ID,2022,4,1000
iu.wikipedia,VN,2022,4,1000
iu.wikipedia,UZ,2022,4,1000
iu.wikipedia,GE,2022,4,1000
iu.wikipedia,DK,2022,4,1000
iu.wikipedia,EG,2022,4,1000
iu.wikipedia,IL,2022,4,1000
iu.wikipedia,KZ,2022,4,1000
iu.wikipedia,EE,2022,4,1000
iu.wikipedia,LT,2022,4,1000
iu.wikipedia,MA,2022,4,1000
iu.wikipedia,AT,2022,4,1000
iu.wikipedia,CO,2022,4,1000
iu.wikipedia,BY,2022,4,1000
iu.wikipedia,TJ,2022,4,1000
iu.wikipedia,ES,2022,4,1000
iu.wikipedia,CZ,2022,4,1000
iu.wikipedia,NO,2022,4,1000
iu.wikipedia,GR,2022,4,1000
iu.wikipedia,PK,2022,4,1000
iu.wikipedia,FI,2022,4,1000
iu.wikipedia,LV,2022,4,1000
iu.wikipedia,US,2022,5,16000
iu.wikipedia,CA,2022,5,6000
iu.wikipedia,DE,2022,5,4000
iu.wikipedia,FR,2022,5,3000
iu.wikipedia,NL,2022,5,3000
iu.wikipedia,SG,2022,5,3000
iu.wikipedia,RU,2022,5,3000
iu.wikipedia,IR,2022,5,2000
iu.wikipedia,--,2022,5,2000
iu.wikipedia,GB,2022,5,2000
iu.wikipedia,HK,2022,5,2000
iu.wikipedia,UA,2022,5,2000
iu.wikipedia,IT,2022,5,2000
iu.wikipedia,PL,2022,5,1000
iu.wikipedia,IN,2022,5,1000
iu.wikipedia,JP,2022,5,1000
iu.wikipedia,SE,2022,5,1000
iu.wikipedia,VN,2022,5,1000
iu.wikipedia,ES,2022,5,1000
iu.wikipedia,KZ,2022,5,1000
iu.wikipedia,KE,2022,5,1000
iu.wikipedia,BE,2022,5,1000
iu.wikipedia,EG,2022,5,1000
iu.wikipedia,IL,2022,5,1000
iu.wikipedia,KR,2022,5,1000
iu.wikipedia,BR,2022,5,1000
iu.wikipedia,DK,2022,5,1000
iu.wikipedia,TR,2022,5,1000
iu.wikipedia,EE,2022,5,1000
iu.wikipedia,ID,2022,5,1000
iu.wikipedia,UZ,2022,5,1000
iu.wikipedia,CO,2022,5,1000
iu.wikipedia,PK,2022,5,1000
iu.wikipedia,CZ,2022,5,1000
iu.wikipedia,BY,2022,5,1000
iu.wikipedia,AU,2022,5,1000
iu.wikipedia,US,2022,6,18000
iu.wikipedia,GB,2022,6,9000
iu.wikipedia,CA,2022,6,5000
iu.wikipedia,FR,2022,6,4000
iu.wikipedia,SG,2022,6,4000
iu.wikipedia,DE,2022,6,3000
iu.wikipedia,RU,2022,6,3000
iu.wikipedia,NL,2022,6,3000
iu.wikipedia,VN,2022,6,2000
iu.wikipedia,IR,2022,6,2000
iu.wikipedia,IT,2022,6,1000
iu.wikipedia,IN,2022,6,1000
iu.wikipedia,PL,2022,6,1000
iu.wikipedia,IL,2022,6,1000
iu.wikipedia,EE,2022,6,1000
iu.wikipedia,HK,2022,6,1000
iu.wikipedia,JP,2022,6,1000
iu.wikipedia,ES,2022,6,1000
iu.wikipedia,--,2022,6,1000
iu.wikipedia,SE,2022,6,1000
iu.wikipedia,KR,2022,6,1000
iu.wikipedia,LT,2022,6,1000
iu.wikipedia,UA,2022,6,1000
iu.wikipedia,BR,2022,6,1000
iu.wikipedia,ID,2022,6,1000
iu.wikipedia,CO,2022,6,1000
iu.wikipedia,TW,2022,6,1000
iu.wikipedia,AU,2022,6,1000
iu.wikipedia,TR,2022,6,1000
iu.wikipedia,PK,2022,6,1000
iu.wikipedia,UZ,2022,6,1000
iu.wikipedia,MX,2022,6,1000
iu.wikipedia,KZ,2022,6,1000
iu.wikipedia,FI,2022,6,1000
iu.wikipedia,IE,2022,6,1000
iu.wikipedia,SC,2022,6,1000
iu.wikipedia,DK,2022,6,1000
iu.wikipedia,MU,2022,6,1000
iu.wikipedia,BY,2022,6,1000
iu.wikipedia,US,2022,7,15000
iu.wikipedia,CA,2022,7,7000
iu.wikipedia,DE,2022,7,4000
iu.wikipedia,IR,2022,7,3000
iu.wikipedia,VN,2022,7,3000
iu.wikipedia,NL,2022,7,2000
iu.wikipedia,RU,2022,7,2000
iu.wikipedia,SG,2022,7,2000
iu.wikipedia,IT,2022,7,2000
iu.wikipedia,FR,2022,7,1000
iu.wikipedia,JP,2022,7,1000
iu.wikipedia,GB,2022,7,1000
