project,iso2,year,month,pageviews_ceil
jam.wikipedia,US,2022,1,20000
jam.wikipedia,FR,2022,1,16000
jam.wikipedia,DE,2022,1,6000
jam.wikipedia,NL,2022,1,5000
jam.wikipedia,CA,2022,1,4000
jam.wikipedia,SG,2022,1,4000
jam.wikipedia,--,2022,1,3000
jam.wikipedia,RU,2022,1,2000
jam.wikipedia,IR,2022,1,2000
jam.wikipedia,PL,2022,1,2000
jam.wikipedia,GB,2022,1,1000
jam.wikipedia,UZ,2022,1,1000
jam.wikipedia,JP,2022,1,1000
jam.wikipedia,ID,2022,1,1000
jam.wikipedia,HK,2022,1,1000
jam.wikipedia,FI,2022,1,1000
jam.wikipedia,CN,2022,1,1000
jam.wikipedia,UA,2022,1,1000
jam.wikipedia,ES,2022,1,1000
jam.wikipedia,IN,2022,1,1000
jam.wikipedia,CH,2022,1,1000
jam.wikipedia,IT,2022,1,1000
jam.wikipedia,SE,2022,1,1000
jam.wikipedia,KR,2022,1,1000
jam.wikipedia,MY,2022,1,1000
jam.wikipedia,TW,2022,1,1000
jam.wikipedia,BR,2022,1,1000
jam.wikipedia,AU,2022,1,1000
jam.wikipedia,PT,2022,1,1000
jam.wikipedia,DK,2022,1,1000
jam.wikipedia,VN,2022,1,1000
jam.wikipedia,PH,2022,1,1000
jam.wikipedia,TR,2022,1,1000
jam.wikipedia,CZ,2022,1,1000
jam.wikipedia,IN,2022,2,89000
jam.wikipedia,RU,2022,2,41000
jam.wikipedia,UZ,2022,2,19000
jam.wikipedia,US,2022,2,18000
jam.wikipedia,PK,2022,2,14000
jam.wikipedia,KZ,2022,2,14000
jam.wikipedia,FR,2022,2,12000
jam.wikipedia,UA,2022,2,9000
jam.wikipedia,BY,2022,2,9000
jam.wikipedia,TJ,2022,2,6000
jam.wikipedia,DE,2022,2,5000
jam.wikipedia,NL,2022,2,5000
jam.wikipedia,IR,2022,2,4000
jam.wikipedia,GE,2022,2,4000
jam.wikipedia,CA,2022,2,3000
jam.wikipedia,MN,2022,2,3000
jam.wikipedia,PH,2022,2,3000
jam.wikipedia,KG,2022,2,3000
jam.wikipedia,--,2022,2,3000
jam.wikipedia,BR,2022,2,2000
jam.wikipedia,GB,2022,2,2000
jam.wikipedia,SG,2022,2,2000
jam.wikipedia,TW,2022,2,2000
jam.wikipedia,VN,2022,2,2000
jam.wikipedia,AF,2022,2,2000
jam.wikipedia,PL,2022,2,1000
jam.wikipedia,CN,2022,2,1000
jam.wikipedia,AZ,2022,2,1000
jam.wikipedia,LK,2022,2,1000
jam.wikipedia,ZA,2022,2,1000
jam.wikipedia,ID,2022,2,1000
jam.wikipedia,ES,2022,2,1000
jam.wikipedia,MD,2022,2,1000
jam.wikipedia,TR,2022,2,1000
jam.wikipedia,IT,2022,2,1000
jam.wikipedia,MM,2022,2,1000
jam.wikipedia,AU,2022,2,1000
jam.wikipedia,JP,2022,2,1000
jam.wikipedia,EG,2022,2,1000
jam.wikipedia,MY,2022,2,1000
jam.wikipedia,SE,2022,2,1000
jam.wikipedia,KR,2022,2,1000
jam.wikipedia,IE,2022,2,1000
jam.wikipedia,BH,2022,2,1000
jam.wikipedia,AE,2022,2,1000
jam.wikipedia,FI,2022,2,1000
jam.wikipedia,KW,2022,2,1000
jam.wikipedia,HK,2022,2,1000
jam.wikipedia,NO,2022,2,1000
jam.wikipedia,SA,2022,2,1000
jam.wikipedia,BD,2022,2,1000
jam.wikipedia,AM,2022,2,1000
jam.wikipedia,IL,2022,2,1000
jam.wikipedia,GR,2022,2,1000
jam.wikipedia,DK,2022,2,1000
jam.wikipedia,LV,2022,2,1000
jam.wikipedia,SC,2022,2,1000
jam.wikipedia,NE,2022,2,1000
jam.wikipedia,ET,2022,2,1000
jam.wikipedia,CH,2022,2,1000
jam.wikipedia,TM,2022,2,1000
jam.wikipedia,CZ,2022,2,1000
jam.wikipedia,PT,2022,2,1000
jam.wikipedia,MA,2022,2,1000
jam.wikipedia,FM,2022,2,1000
jam.wikipedia,BJ,2022,2,1000
jam.wikipedia,KE,2022,2,1000
jam.wikipedia,IN,2022,3,143000
jam.wikipedia,RU,2022,3,53000
jam.wikipedia,UZ,2022,3,34000
jam.wikipedia,PK,2022,3,26000
jam.wikipedia,KZ,2022,3,21000
jam.wikipedia,US,2022,3,15000
jam.wikipedia,TJ,2022,3,12000
jam.wikipedia,BY,2022,3,9000
jam.wikipedia,UA,2022,3,8000
jam.wikipedia,FR,2022,3,7000
jam.wikipedia,DE,2022,3,7000
jam.wikipedia,GE,2022,3,5000
jam.wikipedia,IR,2022,3,5000
jam.wikipedia,NL,2022,3,5000
jam.wikipedia,CA,2022,3,5000
jam.wikipedia,AF,2022,3,4000
jam.wikipedia,KG,2022,3,4000
jam.wikipedia,PH,2022,3,3000
jam.wikipedia,MN,2022,3,3000
jam.wikipedia,VN,2022,3,2000
jam.wikipedia,AT,2022,3,2000
jam.wikipedia,TR,2022,3,2000
jam.wikipedia,GB,2022,3,2000
jam.wikipedia,SG,2022,3,2000
jam.wikipedia,--,2022,3,2000
jam.wikipedia,ID,2022,3,2000
jam.wikipedia,PL,2022,3,1000
jam.wikipedia,IE,2022,3,1000
jam.wikipedia,AZ,2022,3,1000
jam.wikipedia,TM,2022,3,1000
jam.wikipedia,BD,2022,3,1000
jam.wikipedia,HK,2022,3,1000
jam.wikipedia,IQ,2022,3,1000
jam.wikipedia,IT,2022,3,1000
jam.wikipedia,MY,2022,3,1000
jam.wikipedia,KR,2022,3,1000
jam.wikipedia,JP,2022,3,1000
jam.wikipedia,AE,2022,3,1000
jam.wikipedia,ZA,2022,3,1000
jam.wikipedia,GR,2022,3,1000
jam.wikipedia,MD,2022,3,1000
jam.wikipedia,BH,2022,3,1000
jam.wikipedia,MM,2022,3,1000
jam.wikipedia,ET,2022,3,1000
jam.wikipedia,SA,2022,3,1000
jam.wikipedia,LK,2022,3,1000
jam.wikipedia,PT,2022,3,1000
jam.wikipedia,LV,2022,3,1000
jam.wikipedia,CZ,2022,3,1000
jam.wikipedia,BR,2022,3,1000
