project,iso2,year,month,pageviews_ceil
jv.wikipedia,ID,2022,1,129000
jv.wikipedia,US,2022,1,65000
jv.wikipedia,DE,2022,1,24000
jv.wikipedia,NL,2022,1,20000
jv.wikipedia,CA,2022,1,18000
jv.wikipedia,FR,2022,1,17000
jv.wikipedia,IR,2022,1,17000
jv.wikipedia,TR,2022,1,17000
jv.wikipedia,SG,2022,1,11000
jv.wikipedia,RU,2022,1,6000
jv.wikipedia,GB,2022,1,5000
jv.wikipedia,FI,2022,1,5000
jv.wikipedia,--,2022,1,4000
jv.wikipedia,PL,2022,1,4000
jv.wikipedia,JP,2022,1,3000
jv.wikipedia,IN,2022,1,3000
jv.wikipedia,MY,2022,1,2000
jv.wikipedia,HK,2022,1,2000
jv.wikipedia,KR,2022,1,2000
jv.wikipedia,BR,2022,1,2000
jv.wikipedia,IT,2022,1,2000
jv.wikipedia,SE,2022,1,2000
jv.wikipedia,AU,2022,1,2000
jv.wikipedia,TW,2022,1,2000
jv.wikipedia,CN,2022,1,2000
jv.wikipedia,BE,2022,1,1000
jv.wikipedia,PK,2022,1,1000
jv.wikipedia,ES,2022,1,1000
jv.wikipedia,DK,2022,1,1000
jv.wikipedia,UA,2022,1,1000
jv.wikipedia,VN,2022,1,1000
jv.wikipedia,PT,2022,1,1000
jv.wikipedia,CH,2022,1,1000
jv.wikipedia,CZ,2022,1,1000
jv.wikipedia,TH,2022,1,1000
jv.wikipedia,AE,2022,1,1000
jv.wikipedia,SA,2022,1,1000
jv.wikipedia,AT,2022,1,1000
jv.wikipedia,IL,2022,1,1000
jv.wikipedia,BD,2022,1,1000
jv.wikipedia,NO,2022,1,1000
jv.wikipedia,BG,2022,1,1000
jv.wikipedia,PH,2022,1,1000
jv.wikipedia,NG,2022,1,1000
jv.wikipedia,IE,2022,1,1000
jv.wikipedia,RO,2022,1,1000
jv.wikipedia,EG,2022,1,1000
jv.wikipedia,ZA,2022,1,1000
jv.wikipedia,LV,2022,1,1000
jv.wikipedia,MX,2022,1,1000
jv.wikipedia,LT,2022,1,1000
jv.wikipedia,CY,2022,1,1000
jv.wikipedia,CO,2022,1,1000
jv.wikipedia,HU,2022,1,1000
jv.wikipedia,GR,2022,1,1000
jv.wikipedia,GH,2022,1,1000
jv.wikipedia,PE,2022,1,1000
jv.wikipedia,MA,2022,1,1000
jv.wikipedia,SC,2022,1,1000
jv.wikipedia,KW,2022,1,1000
jv.wikipedia,MD,2022,1,1000
jv.wikipedia,AR,2022,1,1000
jv.wikipedia,RS,2022,1,1000
jv.wikipedia,ID,2022,2,144000
jv.wikipedia,IN,2022,2,127000
jv.wikipedia,US,2022,2,77000
jv.wikipedia,RU,2022,2,70000
jv.wikipedia,UZ,2022,2,28000
jv.wikipedia,NL,2022,2,22000
jv.wikipedia,DE,2022,2,21000
jv.wikipedia,FR,2022,2,20000
jv.wikipedia,PK,2022,2,20000
jv.wikipedia,IR,2022,2,20000
jv.wikipedia,KZ,2022,2,20000
jv.wikipedia,SG,2022,2,15000
jv.wikipedia,UA,2022,2,14000
jv.wikipedia,BY,2022,2,14000
jv.wikipedia,TR,2022,2,14000
jv.wikipedia,CA,2022,2,14000
jv.wikipedia,TJ,2022,2,8000
jv.wikipedia,GB,2022,2,8000
jv.wikipedia,GE,2022,2,5000
jv.wikipedia,MN,2022,2,4000
jv.wikipedia,KG,2022,2,4000
jv.wikipedia,PH,2022,2,4000
jv.wikipedia,TW,2022,2,4000
jv.wikipedia,VN,2022,2,3000
jv.wikipedia,--,2022,2,3000
jv.wikipedia,PL,2022,2,3000
jv.wikipedia,FI,2022,2,2000
jv.wikipedia,IT,2022,2,2000
jv.wikipedia,MY,2022,2,2000
jv.wikipedia,JP,2022,2,2000
