project,date,pageviews
ka.wikipedia,2022-01-01,148827
ka.wikipedia,2022-01-02,179166
ka.wikipedia,2022-01-03,197717
ka.wikipedia,2022-01-04,206837
ka.wikipedia,2022-01-05,214500
ka.wikipedia,2022-01-06,216952
ka.wikipedia,2022-01-07,216005
ka.wikipedia,2022-01-08,212833
ka.wikipedia,2022-01-09,240643
ka.wikipedia,2022-01-10,243498
ka.wikipedia,2022-01-11,235393
ka.wikipedia,2022-01-12,233851
ka.wikipedia,2022-01-13,244049
ka.wikipedia,2022-01-14,255390
ka.wikipedia,2022-01-15,279133
ka.wikipedia,2022-01-16,262948
ka.wikipedia,2022-01-17,334046
ka.wikipedia,2022-01-18,299324
ka.wikipedia,2022-01-19,322829
ka.wikipedia,2022-01-20,340190
ka.wikipedia,2022-01-21,285448
ka.wikipedia,2022-01-22,267628
ka.wikipedia,2022-01-23,327100
ka.wikipedia,2022-01-24,366148
ka.wikipedia,2022-01-25,361449
ka.wikipedia,2022-01-26,364654
ka.wikipedia,2022-01-27,361711
ka.wikipedia,2022-01-28,293360
ka.wikipedia,2022-01-29,269759
ka.wikipedia,2022-01-30,314636
ka.wikipedia,2022-01-31,354653
ka.wikipedia,2022-02-01,346645
ka.wikipedia,2022-02-02,344326
ka.wikipedia,2022-02-03,349704
ka.wikipedia,2022-02-04,321657
ka.wikipedia,2022-02-05,288749
ka.wikipedia,2022-02-06,326487
ka.wikipedia,2022-02-07,360222
ka.wikipedia,2022-02-08,371183
ka.wikipedia,2022-02-09,357373
ka.wikipedia,2022-02-10,380548
ka.wikipedia,2022-02-11,299741
ka.wikipedia,2022-02-12,269160
ka.wikipedia,2022-02-13,361487
ka.wikipedia,2022-02-14,403899
ka.wikipedia,2022-02-15,393225
ka.wikipedia,2022-02-16,377870
ka.wikipedia,2022-02-17,370740
ka.wikipedia,2022-02-18,286808
ka.wikipedia,2022-02-19,280818
ka.wikipedia,2022-02-20,325899
ka.wikipedia,2022-02-21,404030
ka.wikipedia,2022-02-22,400940
ka.wikipedia,2022-02-23,440170
ka.wikipedia,2022-02-24,506045
ka.wikipedia,2022-02-25,457985
ka.wikipedia,2022-02-26,399944
ka.wikipedia,2022-02-27,475292
ka.wikipedia,2022-02-28,510691
ka.wikipedia,2022-03-01,462475
ka.wikipedia,2022-03-02,394745
ka.wikipedia,2022-03-03,405086
ka.wikipedia,2022-03-04,368478
ka.wikipedia,2022-03-05,297073
ka.wikipedia,2022-03-06,309138
ka.wikipedia,2022-03-07,308148
ka.wikipedia,2022-03-08,283016
ka.wikipedia,2022-03-09,297267
ka.wikipedia,2022-03-10,294570
ka.wikipedia,2022-03-11,311840
ka.wikipedia,2022-03-12,284740
ka.wikipedia,2022-03-13,313107
ka.wikipedia,2022-03-14,374853
ka.wikipedia,2022-03-15,426519
ka.wikipedia,2022-03-16,449696
ka.wikipedia,2022-03-17,448509
ka.wikipedia,2022-03-18,335694
ka.wikipedia,2022-03-19,331569
ka.wikipedia,2022-03-20,407948
ka.wikipedia,2022-03-21,450780
ka.wikipedia,2022-03-22,459285
ka.wikipedia,2022-03-23,459990
ka.wikipedia,2022-03-24,468713
ka.wikipedia,2022-03-25,340635
ka.wikipedia,2022-03-26,314834
ka.wikipedia,2022-03-27,394587
ka.wikipedia,2022-03-28,449396
ka.wikipedia,2022-03-29,423197
ka.wikipedia,2022-03-30,421095
ka.wikipedia,2022-03-31,400231
ka.wikipedia,2022-04-01,288105
ka.wikipedia,2022-04-02,241656
ka.wikipedia,2022-04-03,331328
ka.wikipedia,2022-04-04,418716
ka.wikipedia,2022-04-05,430796
ka.wikipedia,2022-04-06,444465
ka.wikipedia,2022-04-07,448376
ka.wikipedia,2022-04-08,329041
ka.wikipedia,2022-04-09,330466
ka.wikipedia,2022-04-10,344322
ka.wikipedia,2022-04-11,402554
ka.wikipedia,2022-04-12,445430
ka.wikipedia,2022-04-13,447256
ka.wikipedia,2022-04-14,407371
ka.wikipedia,2022-04-15,299606
ka.wikipedia,2022-04-16,247750
ka.wikipedia,2022-04-17,326177
ka.wikipedia,2022-04-18,385628
ka.wikipedia,2022-04-19,392825
ka.wikipedia,2022-04-20,352332
ka.wikipedia,2022-04-21,246649
ka.wikipedia,2022-04-22,220492
ka.wikipedia,2022-04-23,197369
ka.wikipedia,2022-04-24,185111
ka.wikipedia,2022-04-25,241302
ka.wikipedia,2022-04-26,327331
ka.wikipedia,2022-04-27,354879
ka.wikipedia,2022-04-28,374165
ka.wikipedia,2022-04-29,298912
ka.wikipedia,2022-04-30,243428
ka.wikipedia,2022-05-01,345958
ka.wikipedia,2022-05-02,401730
ka.wikipedia,2022-05-03,374806
ka.wikipedia,2022-05-04,387089
ka.wikipedia,2022-05-05,405612
ka.wikipedia,2022-05-06,306741
ka.wikipedia,2022-05-07,264341
ka.wikipedia,2022-05-08,283456
ka.wikipedia,2022-05-09,362962
ka.wikipedia,2022-05-10,380853
ka.wikipedia,2022-05-11,291349
ka.wikipedia,2022-05-12,317824
ka.wikipedia,2022-05-13,261437
ka.wikipedia,2022-05-14,233277
ka.wikipedia,2022-05-15,292935
ka.wikipedia,2022-05-16,386085
ka.wikipedia,2022-05-17,364520
ka.wikipedia,2022-05-18,395918
ka.wikipedia,2022-05-19,369999
ka.wikipedia,2022-05-20,263618
ka.wikipedia,2022-05-21,236526
ka.wikipedia,2022-05-22,278947
ka.wikipedia,2022-05-23,363253
ka.wikipedia,2022-05-24,365566
ka.wikipedia,2022-05-25,290897
ka.wikipedia,2022-05-26,310062
ka.wikipedia,2022-05-27,256631
ka.wikipedia,2022-05-28,231077
ka.wikipedia,2022-05-29,299862
ka.wikipedia,2022-05-30,342231
ka.wikipedia,2022-05-31,342100
ka.wikipedia,2022-06-01,318843
ka.wikipedia,2022-06-02,342317
ka.wikipedia,2022-06-03,258562
ka.wikipedia,2022-06-04,226854
ka.wikipedia,2022-06-05,285199
ka.wikipedia,2022-06-06,322054
ka.wikipedia,2022-06-07,324786
ka.wikipedia,2022-06-08,299823
ka.wikipedia,2022-06-09,297859
ka.wikipedia,2022-06-10,239179
ka.wikipedia,2022-06-11,200078
ka.wikipedia,2022-06-12,218394
ka.wikipedia,2022-06-13,241960
ka.wikipedia,2022-06-14,239154
ka.wikipedia,2022-06-15,235394
ka.wikipedia,2022-06-16,221809
ka.wikipedia,2022-06-17,208908
ka.wikipedia,2022-06-18,209938
ka.wikipedia,2022-06-19,192131
ka.wikipedia,2022-06-20,212809
ka.wikipedia,2022-06-21,221829
ka.wikipedia,2022-06-22,228651
ka.wikipedia,2022-06-23,225976
ka.wikipedia,2022-06-24,222757
ka.wikipedia,2022-06-25,203827
ka.wikipedia,2022-06-26,217163
ka.wikipedia,2022-06-27,217591
