project,iso2,year,month,pageviews_ceil
kab.wikipedia,US,2022,1,28000
kab.wikipedia,FR,2022,1,23000
kab.wikipedia,DZ,2022,1,12000
kab.wikipedia,NL,2022,1,10000
kab.wikipedia,DE,2022,1,7000
kab.wikipedia,SG,2022,1,5000
kab.wikipedia,CA,2022,1,5000
kab.wikipedia,IR,2022,1,4000
kab.wikipedia,RU,2022,1,3000
kab.wikipedia,--,2022,1,2000
kab.wikipedia,PL,2022,1,2000
kab.wikipedia,FI,2022,1,1000
kab.wikipedia,GB,2022,1,1000
kab.wikipedia,HK,2022,1,1000
kab.wikipedia,JP,2022,1,1000
kab.wikipedia,UA,2022,1,1000
kab.wikipedia,MA,2022,1,1000
kab.wikipedia,CN,2022,1,1000
kab.wikipedia,IT,2022,1,1000
kab.wikipedia,KR,2022,1,1000
kab.wikipedia,IN,2022,1,1000
kab.wikipedia,DK,2022,1,1000
kab.wikipedia,BR,2022,1,1000
kab.wikipedia,BE,2022,1,1000
kab.wikipedia,ES,2022,1,1000
kab.wikipedia,TW,2022,1,1000
kab.wikipedia,SE,2022,1,1000
kab.wikipedia,TR,2022,1,1000
kab.wikipedia,VN,2022,1,1000
kab.wikipedia,ID,2022,1,1000
kab.wikipedia,TH,2022,1,1000
kab.wikipedia,AU,2022,1,1000
kab.wikipedia,PT,2022,1,1000
kab.wikipedia,CZ,2022,1,1000
kab.wikipedia,CH,2022,1,1000
kab.wikipedia,RO,2022,1,1000
kab.wikipedia,LV,2022,1,1000
kab.wikipedia,SC,2022,1,1000
kab.wikipedia,NO,2022,1,1000
kab.wikipedia,IE,2022,1,1000
kab.wikipedia,IN,2022,2,129000
kab.wikipedia,RU,2022,2,63000
kab.wikipedia,UZ,2022,2,28000
kab.wikipedia,US,2022,2,24000
kab.wikipedia,KZ,2022,2,20000
kab.wikipedia,PK,2022,2,20000
kab.wikipedia,FR,2022,2,19000
kab.wikipedia,DZ,2022,2,17000
kab.wikipedia,BY,2022,2,14000
kab.wikipedia,UA,2022,2,14000
kab.wikipedia,NL,2022,2,11000
kab.wikipedia,TJ,2022,2,8000
kab.wikipedia,GE,2022,2,5000
kab.wikipedia,IR,2022,2,5000
kab.wikipedia,DE,2022,2,5000
kab.wikipedia,MN,2022,2,4000
kab.wikipedia,KG,2022,2,4000
kab.wikipedia,PH,2022,2,4000
kab.wikipedia,CA,2022,2,4000
kab.wikipedia,SG,2022,2,4000
kab.wikipedia,GB,2022,2,3000
kab.wikipedia,VN,2022,2,3000
kab.wikipedia,TW,2022,2,2000
kab.wikipedia,BR,2022,2,2000
kab.wikipedia,AF,2022,2,2000
kab.wikipedia,PL,2022,2,1000
kab.wikipedia,--,2022,2,1000
kab.wikipedia,ID,2022,2,1000
kab.wikipedia,AZ,2022,2,1000
kab.wikipedia,TR,2022,2,1000
kab.wikipedia,MD,2022,2,1000
kab.wikipedia,CN,2022,2,1000
kab.wikipedia,EG,2022,2,1000
kab.wikipedia,MA,2022,2,1000
kab.wikipedia,AU,2022,2,1000
kab.wikipedia,IT,2022,2,1000
kab.wikipedia,AE,2022,2,1000
kab.wikipedia,MM,2022,2,1000
kab.wikipedia,AM,2022,2,1000
kab.wikipedia,ES,2022,2,1000
kab.wikipedia,LK,2022,2,1000
kab.wikipedia,HK,2022,2,1000
kab.wikipedia,JP,2022,2,1000
kab.wikipedia,ZA,2022,2,1000
kab.wikipedia,FI,2022,2,1000
kab.wikipedia,KR,2022,2,1000
kab.wikipedia,IE,2022,2,1000
kab.wikipedia,DK,2022,2,1000
kab.wikipedia,BH,2022,2,1000
kab.wikipedia,BD,2022,2,1000
kab.wikipedia,SC,2022,2,1000
kab.wikipedia,MY,2022,2,1000
kab.wikipedia,SA,2022,2,1000
kab.wikipedia,NO,2022,2,1000
kab.wikipedia,IL,2022,2,1000
kab.wikipedia,KW,2022,2,1000
kab.wikipedia,ET,2022,2,1000
kab.wikipedia,LY,2022,2,1000
kab.wikipedia,CH,2022,2,1000
kab.wikipedia,GR,2022,2,1000
kab.wikipedia,CY,2022,2,1000
kab.wikipedia,RW,2022,2,1000
kab.wikipedia,SE,2022,2,1000
kab.wikipedia,NE,2022,2,1000
kab.wikipedia,RO,2022,2,1000
kab.wikipedia,CZ,2022,2,1000
kab.wikipedia,BE,2022,2,1000
kab.wikipedia,FM,2022,2,1000
kab.wikipedia,TM,2022,2,1000
kab.wikipedia,NG,2022,2,1000
kab.wikipedia,KE,2022,2,1000
kab.wikipedia,PT,2022,2,1000
kab.wikipedia,AT,2022,2,1000
kab.wikipedia,IQ,2022,2,1000
kab.wikipedia,IN,2022,3,230000
kab.wikipedia,RU,2022,3,93000
kab.wikipedia,UZ,2022,3,62000
kab.wikipedia,PK,2022,3,41000
kab.wikipedia,KZ,2022,3,37000
kab.wikipedia,DZ,2022,3,23000
kab.wikipedia,US,2022,3,22000
kab.wikipedia,TJ,2022,3,18000
kab.wikipedia,BY,2022,3,17000
kab.wikipedia,UA,2022,3,13000
kab.wikipedia,FR,2022,3,11000
kab.wikipedia,NL,2022,3,10000
kab.wikipedia,IR,2022,3,9000
kab.wikipedia,GE,2022,3,9000
kab.wikipedia,DE,2022,3,8000
kab.wikipedia,KG,2022,3,7000
kab.wikipedia,CA,2022,3,6000
kab.wikipedia,AF,2022,3,6000
kab.wikipedia,MN,2022,3,6000
kab.wikipedia,PH,2022,3,4000
kab.wikipedia,VN,2022,3,4000
kab.wikipedia,AT,2022,3,3000
kab.wikipedia,TR,2022,3,3000
kab.wikipedia,SG,2022,3,3000
kab.wikipedia,GB,2022,3,3000
kab.wikipedia,IE,2022,3,2000
kab.wikipedia,ID,2022,3,2000
kab.wikipedia,AZ,2022,3,2000
kab.wikipedia,PL,2022,3,2000
kab.wikipedia,SE,2022,3,2000
kab.wikipedia,TM,2022,3,2000
kab.wikipedia,MD,2022,3,1000
kab.wikipedia,JP,2022,3,1000
kab.wikipedia,IQ,2022,3,1000
kab.wikipedia,BD,2022,3,1000
kab.wikipedia,MM,2022,3,1000
kab.wikipedia,HK,2022,3,1000
kab.wikipedia,ZA,2022,3,1000
kab.wikipedia,IT,2022,3,1000
kab.wikipedia,MA,2022,3,1000
kab.wikipedia,KR,2022,3,1000
kab.wikipedia,AE,2022,3,1000
kab.wikipedia,CN,2022,3,1000
kab.wikipedia,SA,2022,3,1000
kab.wikipedia,MY,2022,3,1000
kab.wikipedia,NO,2022,3,1000
kab.wikipedia,BR,2022,3,1000
kab.wikipedia,BH,2022,3,1000
kab.wikipedia,TH,2022,3,1000
kab.wikipedia,ET,2022,3,1000
kab.wikipedia,--,2022,3,1000
kab.wikipedia,TW,2022,3,1000
kab.wikipedia,LK,2022,3,1000
kab.wikipedia,LV,2022,3,1000
kab.wikipedia,NP,2022,3,1000
kab.wikipedia,CZ,2022,3,1000
kab.wikipedia,ES,2022,3,1000
kab.wikipedia,EG,2022,3,1000
kab.wikipedia,RO,2022,3,1000
kab.wikipedia,CI,2022,3,1000
kab.wikipedia,DK,2022,3,1000
kab.wikipedia,CD,2022,3,1000
kab.wikipedia,GR,2022,3,1000
kab.wikipedia,IL,2022,3,1000
kab.wikipedia,MX,2022,3,1000
kab.wikipedia,PT,2022,3,1000
kab.wikipedia,BE,2022,3,1000
kab.wikipedia,AU,2022,3,1000
kab.wikipedia,NG,2022,3,1000
kab.wikipedia,KE,2022,3,1000
kab.wikipedia,ZM,2022,3,1000
kab.wikipedia,BT,2022,3,1000
kab.wikipedia,CH,2022,3,1000
kab.wikipedia,TN,2022,3,1000
kab.wikipedia,KW,2022,3,1000
kab.wikipedia,CO,2022,3,1000
kab.wikipedia,OM,2022,3,1000
kab.wikipedia,MZ,2022,3,1000
kab.wikipedia,NE,2022,3,1000
kab.wikipedia,AM,2022,3,1000
kab.wikipedia,LT,2022,3,1000
kab.wikipedia,FI,2022,3,1000
kab.wikipedia,PE,2022,3,1000
kab.wikipedia,TZ,2022,3,1000
kab.wikipedia,LY,2022,3,1000
kab.wikipedia,SC,2022,3,1000
kab.wikipedia,RS,2022,3,1000
kab.wikipedia,CY,2022,3,1000
kab.wikipedia,IN,2022,4,82000
kab.wikipedia,RU,2022,4,57000
kab.wikipedia,US,2022,4,27000
kab.wikipedia,UZ,2022,4,23000
kab.wikipedia,DZ,2022,4,20000
kab.wikipedia,KZ,2022,4,17000
kab.wikipedia,UA,2022,4,12000
kab.wikipedia,BY,2022,4,12000
kab.wikipedia,PK,2022,4,9000
kab.wikipedia,NL,2022,4,8000
kab.wikipedia,TJ,2022,4,7000
kab.wikipedia,CA,2022,4,7000
kab.wikipedia,FR,2022,4,7000
kab.wikipedia,DE,2022,4,6000
kab.wikipedia,IR,2022,4,5000
kab.wikipedia,MN,2022,4,4000
kab.wikipedia,GE,2022,4,4000
kab.wikipedia,AF,2022,4,4000
kab.wikipedia,KG,2022,4,3000
kab.wikipedia,SG,2022,4,3000
kab.wikipedia,VN,2022,4,2000
kab.wikipedia,GB,2022,4,2000
kab.wikipedia,TR,2022,4,2000
kab.wikipedia,JP,2022,4,2000
kab.wikipedia,SE,2022,4,2000
kab.wikipedia,PH,2022,4,2000
kab.wikipedia,KR,2022,4,1000
kab.wikipedia,--,2022,4,1000
kab.wikipedia,IT,2022,4,1000
kab.wikipedia,ID,2022,4,1000
kab.wikipedia,IQ,2022,4,1000
kab.wikipedia,PL,2022,4,1000
kab.wikipedia,ZA,2022,4,1000
kab.wikipedia,KE,2022,4,1000
kab.wikipedia,CL,2022,4,1000
kab.wikipedia,SA,2022,4,1000
kab.wikipedia,MA,2022,4,1000
kab.wikipedia,AE,2022,4,1000
kab.wikipedia,DK,2022,4,1000
kab.wikipedia,AT,2022,4,1000
kab.wikipedia,HK,2022,4,1000
kab.wikipedia,MY,2022,4,1000
kab.wikipedia,TM,2022,4,1000
kab.wikipedia,AZ,2022,4,1000
kab.wikipedia,EG,2022,4,1000
kab.wikipedia,ES,2022,4,1000
kab.wikipedia,BR,2022,4,1000
kab.wikipedia,IE,2022,4,1000
kab.wikipedia,MD,2022,4,1000
kab.wikipedia,CY,2022,4,1000
kab.wikipedia,NO,2022,4,1000
kab.wikipedia,MM,2022,4,1000
kab.wikipedia,KW,2022,4,1000
kab.wikipedia,TW,2022,4,1000
kab.wikipedia,NG,2022,4,1000
kab.wikipedia,OM,2022,4,1000
kab.wikipedia,AM,2022,4,1000
kab.wikipedia,JO,2022,4,1000
kab.wikipedia,CN,2022,4,1000
kab.wikipedia,BE,2022,4,1000
kab.wikipedia,TH,2022,4,1000
kab.wikipedia,LT,2022,4,1000
kab.wikipedia,LK,2022,4,1000
kab.wikipedia,SY,2022,4,1000
kab.wikipedia,SC,2022,4,1000
kab.wikipedia,CH,2022,4,1000
kab.wikipedia,BG,2022,4,1000
kab.wikipedia,FI,2022,4,1000
kab.wikipedia,IL,2022,4,1000
kab.wikipedia,CZ,2022,4,1000
kab.wikipedia,CO,2022,4,1000
kab.wikipedia,LV,2022,4,1000
kab.wikipedia,AU,2022,4,1000
kab.wikipedia,PT,2022,4,1000
kab.wikipedia,VE,2022,4,1000
kab.wikipedia,AO,2022,4,1000
kab.wikipedia,RW,2022,4,1000
kab.wikipedia,HR,2022,4,1000
kab.wikipedia,RO,2022,4,1000
kab.wikipedia,NZ,2022,4,1000
kab.wikipedia,MX,2022,4,1000
kab.wikipedia,LY,2022,4,1000
kab.wikipedia,IN,2022,5,74000
kab.wikipedia,RU,2022,5,52000
kab.wikipedia,US,2022,5,39000
kab.wikipedia,UZ,2022,5,21000
kab.wikipedia,DZ,2022,5,18000
kab.wikipedia,KZ,2022,5,15000
kab.wikipedia,PK,2022,5,14000
kab.wikipedia,BY,2022,5,12000
kab.wikipedia,CA,2022,5,9000
kab.wikipedia,FR,2022,5,9000
kab.wikipedia,UA,2022,5,7000
kab.wikipedia,NL,2022,5,7000
kab.wikipedia,GE,2022,5,6000
kab.wikipedia,DE,2022,5,6000
kab.wikipedia,TJ,2022,5,5000
kab.wikipedia,IR,2022,5,3000
kab.wikipedia,KG,2022,5,3000
kab.wikipedia,SG,2022,5,3000
kab.wikipedia,KE,2022,5,3000
kab.wikipedia,GB,2022,5,2000
kab.wikipedia,MN,2022,5,2000
kab.wikipedia,PH,2022,5,2000
kab.wikipedia,PL,2022,5,2000
kab.wikipedia,IT,2022,5,2000
kab.wikipedia,AF,2022,5,2000
kab.wikipedia,VN,2022,5,2000
kab.wikipedia,TR,2022,5,2000
kab.wikipedia,HK,2022,5,1000
kab.wikipedia,ID,2022,5,1000
kab.wikipedia,JP,2022,5,1000
kab.wikipedia,--,2022,5,1000
kab.wikipedia,AE,2022,5,1000
kab.wikipedia,TM,2022,5,1000
kab.wikipedia,MA,2022,5,1000
kab.wikipedia,AZ,2022,5,1000
kab.wikipedia,SE,2022,5,1000
kab.wikipedia,SA,2022,5,1000
kab.wikipedia,KR,2022,5,1000
kab.wikipedia,EG,2022,5,1000
kab.wikipedia,BR,2022,5,1000
kab.wikipedia,AM,2022,5,1000
kab.wikipedia,CY,2022,5,1000
kab.wikipedia,ZA,2022,5,1000
kab.wikipedia,ES,2022,5,1000
kab.wikipedia,MD,2022,5,1000
kab.wikipedia,RO,2022,5,1000
kab.wikipedia,MY,2022,5,1000
kab.wikipedia,MM,2022,5,1000
kab.wikipedia,OM,2022,5,1000
kab.wikipedia,IL,2022,5,1000
kab.wikipedia,CZ,2022,5,1000
