project,iso2,year,month,pageviews_ceil
kbp.wikipedia,FR,2022,1,17000
kbp.wikipedia,US,2022,1,17000
kbp.wikipedia,NL,2022,1,8000
kbp.wikipedia,DE,2022,1,5000
kbp.wikipedia,RU,2022,1,3000
kbp.wikipedia,IR,2022,1,3000
kbp.wikipedia,CA,2022,1,3000
kbp.wikipedia,SG,2022,1,3000
kbp.wikipedia,GB,2022,1,2000
kbp.wikipedia,PL,2022,1,1000
kbp.wikipedia,BE,2022,1,1000
kbp.wikipedia,--,2022,1,1000
kbp.wikipedia,FI,2022,1,1000
kbp.wikipedia,HK,2022,1,1000
kbp.wikipedia,CN,2022,1,1000
kbp.wikipedia,JP,2022,1,1000
kbp.wikipedia,IT,2022,1,1000
kbp.wikipedia,LT,2022,1,1000
kbp.wikipedia,IN,2022,1,1000
kbp.wikipedia,BR,2022,1,1000
kbp.wikipedia,CH,2022,1,1000
kbp.wikipedia,UA,2022,1,1000
kbp.wikipedia,TW,2022,1,1000
kbp.wikipedia,DK,2022,1,1000
kbp.wikipedia,KR,2022,1,1000
kbp.wikipedia,VN,2022,1,1000
kbp.wikipedia,ES,2022,1,1000
kbp.wikipedia,AU,2022,1,1000
kbp.wikipedia,PT,2022,1,1000
kbp.wikipedia,AT,2022,1,1000
kbp.wikipedia,TR,2022,1,1000
kbp.wikipedia,ID,2022,1,1000
kbp.wikipedia,CZ,2022,1,1000
kbp.wikipedia,IN,2022,2,47000
kbp.wikipedia,RU,2022,2,22000
kbp.wikipedia,US,2022,2,14000
kbp.wikipedia,FR,2022,2,13000
kbp.wikipedia,UZ,2022,2,10000
kbp.wikipedia,NL,2022,2,9000
kbp.wikipedia,PK,2022,2,8000
kbp.wikipedia,KZ,2022,2,7000
kbp.wikipedia,UA,2022,2,5000
kbp.wikipedia,BY,2022,2,5000
kbp.wikipedia,DE,2022,2,4000
kbp.wikipedia,TJ,2022,2,3000
kbp.wikipedia,IR,2022,2,3000
kbp.wikipedia,GB,2022,2,2000
kbp.wikipedia,CA,2022,2,2000
kbp.wikipedia,SG,2022,2,2000
kbp.wikipedia,BR,2022,2,2000
kbp.wikipedia,GE,2022,2,2000
kbp.wikipedia,MN,2022,2,2000
kbp.wikipedia,KG,2022,2,2000
kbp.wikipedia,PH,2022,2,2000
kbp.wikipedia,PL,2022,2,1000
kbp.wikipedia,VN,2022,2,1000
kbp.wikipedia,--,2022,2,1000
kbp.wikipedia,AF,2022,2,1000
kbp.wikipedia,TW,2022,2,1000
kbp.wikipedia,IT,2022,2,1000
kbp.wikipedia,CN,2022,2,1000
kbp.wikipedia,ID,2022,2,1000
kbp.wikipedia,ES,2022,2,1000
kbp.wikipedia,TR,2022,2,1000
kbp.wikipedia,AZ,2022,2,1000
kbp.wikipedia,LK,2022,2,1000
kbp.wikipedia,IE,2022,2,1000
kbp.wikipedia,JP,2022,2,1000
kbp.wikipedia,FI,2022,2,1000
kbp.wikipedia,MD,2022,2,1000
kbp.wikipedia,AU,2022,2,1000
kbp.wikipedia,ZA,2022,2,1000
kbp.wikipedia,MM,2022,2,1000
kbp.wikipedia,DK,2022,2,1000
kbp.wikipedia,EG,2022,2,1000
kbp.wikipedia,AE,2022,2,1000
kbp.wikipedia,GR,2022,2,1000
kbp.wikipedia,MY,2022,2,1000
kbp.wikipedia,HK,2022,2,1000
kbp.wikipedia,BD,2022,2,1000
kbp.wikipedia,KR,2022,2,1000
kbp.wikipedia,SC,2022,2,1000
kbp.wikipedia,BH,2022,2,1000
kbp.wikipedia,AM,2022,2,1000
kbp.wikipedia,SA,2022,2,1000
kbp.wikipedia,NO,2022,2,1000
kbp.wikipedia,IL,2022,2,1000
kbp.wikipedia,CH,2022,2,1000
kbp.wikipedia,DZ,2022,2,1000
kbp.wikipedia,MA,2022,2,1000
kbp.wikipedia,PT,2022,2,1000
kbp.wikipedia,KW,2022,2,1000
kbp.wikipedia,IN,2022,3,80000
kbp.wikipedia,RU,2022,3,30000
kbp.wikipedia,UZ,2022,3,20000
kbp.wikipedia,PK,2022,3,15000
kbp.wikipedia,US,2022,3,13000
kbp.wikipedia,KZ,2022,3,12000
kbp.wikipedia,TJ,2022,3,8000
kbp.wikipedia,NL,2022,3,7000
kbp.wikipedia,FR,2022,3,7000
kbp.wikipedia,DE,2022,3,6000
kbp.wikipedia,BY,2022,3,5000
kbp.wikipedia,UA,2022,3,5000
kbp.wikipedia,IR,2022,3,4000
kbp.wikipedia,CA,2022,3,4000
kbp.wikipedia,GE,2022,3,3000
kbp.wikipedia,AF,2022,3,3000
kbp.wikipedia,AT,2022,3,3000
kbp.wikipedia,KG,2022,3,2000
kbp.wikipedia,GB,2022,3,2000
kbp.wikipedia,VN,2022,3,2000
