project,iso2,year,month,pageviews_ceil
kk.wikipedia,KZ,2022,1,13041000
kk.wikipedia,US,2022,1,295000
kk.wikipedia,RU,2022,1,112000
kk.wikipedia,FR,2022,1,63000
kk.wikipedia,UZ,2022,1,55000
kk.wikipedia,DE,2022,1,53000
kk.wikipedia,CA,2022,1,49000
kk.wikipedia,SG,2022,1,47000
kk.wikipedia,GB,2022,1,38000
kk.wikipedia,IR,2022,1,33000
kk.wikipedia,TR,2022,1,31000
kk.wikipedia,NL,2022,1,30000
kk.wikipedia,KG,2022,1,19000
kk.wikipedia,PL,2022,1,16000
kk.wikipedia,MN,2022,1,11000
kk.wikipedia,JP,2022,1,9000
kk.wikipedia,UA,2022,1,9000
kk.wikipedia,FI,2022,1,8000
kk.wikipedia,HU,2022,1,6000
kk.wikipedia,CZ,2022,1,6000
kk.wikipedia,KR,2022,1,5000
kk.wikipedia,--,2022,1,5000
kk.wikipedia,HK,2022,1,4000
kk.wikipedia,BR,2022,1,4000
kk.wikipedia,BG,2022,1,3000
kk.wikipedia,IT,2022,1,3000
kk.wikipedia,ID,2022,1,3000
kk.wikipedia,IN,2022,1,3000
kk.wikipedia,ES,2022,1,3000
kk.wikipedia,BE,2022,1,2000
kk.wikipedia,AZ,2022,1,2000
kk.wikipedia,SA,2022,1,2000
kk.wikipedia,BY,2022,1,2000
kk.wikipedia,LU,2022,1,2000
kk.wikipedia,VN,2022,1,2000
kk.wikipedia,TW,2022,1,2000
kk.wikipedia,SE,2022,1,2000
kk.wikipedia,AU,2022,1,2000
kk.wikipedia,IL,2022,1,2000
kk.wikipedia,DK,2022,1,2000
kk.wikipedia,RO,2022,1,2000
kk.wikipedia,LV,2022,1,2000
kk.wikipedia,AE,2022,1,2000
kk.wikipedia,CN,2022,1,2000
kk.wikipedia,CH,2022,1,1000
kk.wikipedia,LT,2022,1,1000
kk.wikipedia,AM,2022,1,1000
kk.wikipedia,PT,2022,1,1000
kk.wikipedia,NO,2022,1,1000
kk.wikipedia,TH,2022,1,1000
kk.wikipedia,LB,2022,1,1000
kk.wikipedia,AT,2022,1,1000
kk.wikipedia,IE,2022,1,1000
kk.wikipedia,RS,2022,1,1000
kk.wikipedia,GE,2022,1,1000
kk.wikipedia,EE,2022,1,1000
kk.wikipedia,SK,2022,1,1000
kk.wikipedia,TM,2022,1,1000
kk.wikipedia,TJ,2022,1,1000
kk.wikipedia,EG,2022,1,1000
kk.wikipedia,PH,2022,1,1000
kk.wikipedia,MX,2022,1,1000
kk.wikipedia,MY,2022,1,1000
kk.wikipedia,GR,2022,1,1000
kk.wikipedia,MD,2022,1,1000
kk.wikipedia,CO,2022,1,1000
kk.wikipedia,GH,2022,1,1000
kk.wikipedia,BD,2022,1,1000
kk.wikipedia,SI,2022,1,1000
kk.wikipedia,AR,2022,1,1000
kk.wikipedia,MA,2022,1,1000
kk.wikipedia,PK,2022,1,1000
kk.wikipedia,HR,2022,1,1000
kk.wikipedia,CL,2022,1,1000
kk.wikipedia,ZA,2022,1,1000
kk.wikipedia,AF,2022,1,1000
kk.wikipedia,IQ,2022,1,1000
kk.wikipedia,SC,2022,1,1000
kk.wikipedia,NG,2022,1,1000
kk.wikipedia,JO,2022,1,1000
kk.wikipedia,CY,2022,1,1000
kk.wikipedia,PE,2022,1,1000
kk.wikipedia,MK,2022,1,1000
kk.wikipedia,NZ,2022,1,1000
kk.wikipedia,DZ,2022,1,1000
kk.wikipedia,KH,2022,1,1000
kk.wikipedia,QA,2022,1,1000
kk.wikipedia,HN,2022,1,1000
kk.wikipedia,KZ,2022,2,20975000
kk.wikipedia,US,2022,2,339000
kk.wikipedia,RU,2022,2,102000
kk.wikipedia,UZ,2022,2,75000
kk.wikipedia,FR,2022,2,62000
kk.wikipedia,DE,2022,2,46000
kk.wikipedia,SG,2022,2,43000
kk.wikipedia,GB,2022,2,41000
kk.wikipedia,CA,2022,2,30000
kk.wikipedia,NL,2022,2,29000
kk.wikipedia,TR,2022,2,26000
kk.wikipedia,IR,2022,2,24000
kk.wikipedia,KG,2022,2,19000
kk.wikipedia,MN,2022,2,12000
kk.wikipedia,PL,2022,2,10000
kk.wikipedia,ID,2022,2,8000
kk.wikipedia,UA,2022,2,7000
kk.wikipedia,FI,2022,2,7000
kk.wikipedia,IN,2022,2,6000
kk.wikipedia,HU,2022,2,6000
kk.wikipedia,--,2022,2,5000
kk.wikipedia,BR,2022,2,5000
kk.wikipedia,IT,2022,2,4000
kk.wikipedia,JP,2022,2,4000
kk.wikipedia,KR,2022,2,4000
kk.wikipedia,HK,2022,2,3000
kk.wikipedia,CZ,2022,2,3000
kk.wikipedia,BG,2022,2,3000
kk.wikipedia,ES,2022,2,3000
kk.wikipedia,SA,2022,2,2000
kk.wikipedia,SE,2022,2,2000
kk.wikipedia,AU,2022,2,2000
kk.wikipedia,BY,2022,2,2000
kk.wikipedia,DK,2022,2,2000
kk.wikipedia,VN,2022,2,2000
kk.wikipedia,LU,2022,2,2000
kk.wikipedia,LV,2022,2,1000
kk.wikipedia,CH,2022,2,1000
kk.wikipedia,PA,2022,2,1000
kk.wikipedia,AE,2022,2,1000
kk.wikipedia,LT,2022,2,1000
kk.wikipedia,PT,2022,2,1000
kk.wikipedia,GR,2022,2,1000
kk.wikipedia,IL,2022,2,1000
kk.wikipedia,PK,2022,2,1000
kk.wikipedia,CN,2022,2,1000
kk.wikipedia,AZ,2022,2,1000
kk.wikipedia,TW,2022,2,1000
kk.wikipedia,RO,2022,2,1000
kk.wikipedia,AT,2022,2,1000
kk.wikipedia,NO,2022,2,1000
kk.wikipedia,IE,2022,2,1000
kk.wikipedia,EG,2022,2,1000
kk.wikipedia,BE,2022,2,1000
kk.wikipedia,TM,2022,2,1000
kk.wikipedia,EE,2022,2,1000
kk.wikipedia,TJ,2022,2,1000
kk.wikipedia,PH,2022,2,1000
kk.wikipedia,TH,2022,2,1000
kk.wikipedia,MY,2022,2,1000
kk.wikipedia,GE,2022,2,1000
kk.wikipedia,SK,2022,2,1000
kk.wikipedia,RS,2022,2,1000
kk.wikipedia,AM,2022,2,1000
kk.wikipedia,SI,2022,2,1000
kk.wikipedia,MD,2022,2,1000
kk.wikipedia,BD,2022,2,1000
kk.wikipedia,MA,2022,2,1000
kk.wikipedia,MX,2022,2,1000
kk.wikipedia,AR,2022,2,1000
kk.wikipedia,KE,2022,2,1000
kk.wikipedia,NZ,2022,2,1000
kk.wikipedia,HR,2022,2,1000
kk.wikipedia,SC,2022,2,1000
kk.wikipedia,CO,2022,2,1000
kk.wikipedia,JO,2022,2,1000
kk.wikipedia,ZA,2022,2,1000
kk.wikipedia,QA,2022,2,1000
kk.wikipedia,DZ,2022,2,1000
kk.wikipedia,NG,2022,2,1000
kk.wikipedia,CY,2022,2,1000
kk.wikipedia,KZ,2022,3,16005000
kk.wikipedia,US,2022,3,229000
kk.wikipedia,RU,2022,3,81000
kk.wikipedia,FR,2022,3,68000
kk.wikipedia,UZ,2022,3,60000
kk.wikipedia,CA,2022,3,56000
