project,iso2,year,month,pageviews_ceil
km.wikipedia,KH,2022,1,1262000
km.wikipedia,BR,2022,1,99000
km.wikipedia,ID,2022,1,92000
km.wikipedia,US,2022,1,82000
km.wikipedia,TW,2022,1,67000
km.wikipedia,HK,2022,1,51000
km.wikipedia,MY,2022,1,42000
km.wikipedia,CA,2022,1,39000
km.wikipedia,TH,2022,1,38000
km.wikipedia,SG,2022,1,35000
km.wikipedia,FR,2022,1,30000
km.wikipedia,PH,2022,1,25000
km.wikipedia,VN,2022,1,25000
km.wikipedia,BD,2022,1,17000
km.wikipedia,GB,2022,1,16000
km.wikipedia,DE,2022,1,15000
km.wikipedia,AU,2022,1,15000
km.wikipedia,EC,2022,1,14000
km.wikipedia,NL,2022,1,13000
km.wikipedia,RU,2022,1,13000
km.wikipedia,JP,2022,1,12000
km.wikipedia,MX,2022,1,9000
km.wikipedia,ES,2022,1,7000
km.wikipedia,IN,2022,1,7000
km.wikipedia,--,2022,1,6000
km.wikipedia,KR,2022,1,6000
km.wikipedia,IT,2022,1,6000
km.wikipedia,UA,2022,1,5000
km.wikipedia,IQ,2022,1,5000
km.wikipedia,AR,2022,1,4000
km.wikipedia,MO,2022,1,4000
km.wikipedia,CO,2022,1,4000
km.wikipedia,NZ,2022,1,3000
km.wikipedia,IR,2022,1,3000
km.wikipedia,PK,2022,1,3000
km.wikipedia,NP,2022,1,3000
km.wikipedia,ZA,2022,1,3000
km.wikipedia,PL,2022,1,3000
km.wikipedia,DZ,2022,1,3000
km.wikipedia,PE,2022,1,2000
km.wikipedia,PT,2022,1,2000
km.wikipedia,BE,2022,1,2000
km.wikipedia,UZ,2022,1,2000
km.wikipedia,TR,2022,1,2000
km.wikipedia,PY,2022,1,2000
km.wikipedia,CL,2022,1,2000
km.wikipedia,EG,2022,1,2000
km.wikipedia,QA,2022,1,2000
km.wikipedia,SE,2022,1,2000
km.wikipedia,VE,2022,1,2000
km.wikipedia,LA,2022,1,1000
km.wikipedia,MA,2022,1,1000
km.wikipedia,FI,2022,1,1000
km.wikipedia,MM,2022,1,1000
km.wikipedia,GR,2022,1,1000
km.wikipedia,TN,2022,1,1000
km.wikipedia,AE,2022,1,1000
km.wikipedia,IE,2022,1,1000
km.wikipedia,BA,2022,1,1000
km.wikipedia,IL,2022,1,1000
km.wikipedia,CH,2022,1,1000
km.wikipedia,DO,2022,1,1000
km.wikipedia,HU,2022,1,1000
km.wikipedia,RO,2022,1,1000
km.wikipedia,BG,2022,1,1000
km.wikipedia,ET,2022,1,1000
km.wikipedia,DK,2022,1,1000
km.wikipedia,TG,2022,1,1000
km.wikipedia,LV,2022,1,1000
km.wikipedia,BH,2022,1,1000
km.wikipedia,GE,2022,1,1000
km.wikipedia,CZ,2022,1,1000
km.wikipedia,SN,2022,1,1000
km.wikipedia,BY,2022,1,1000
km.wikipedia,RS,2022,1,1000
km.wikipedia,AT,2022,1,1000
km.wikipedia,NO,2022,1,1000
km.wikipedia,PA,2022,1,1000
km.wikipedia,KE,2022,1,1000
km.wikipedia,CN,2022,1,1000
km.wikipedia,SK,2022,1,1000
km.wikipedia,JM,2022,1,1000
