project,iso2,year,month,pageviews_ceil
kn.wikipedia,IN,2022,1,5459000
kn.wikipedia,US,2022,1,232000
kn.wikipedia,NL,2022,1,22000
kn.wikipedia,DE,2022,1,20000
kn.wikipedia,SG,2022,1,19000
kn.wikipedia,CA,2022,1,18000
kn.wikipedia,FR,2022,1,16000
kn.wikipedia,IR,2022,1,9000
kn.wikipedia,GB,2022,1,7000
kn.wikipedia,TW,2022,1,7000
kn.wikipedia,RU,2022,1,5000
kn.wikipedia,AU,2022,1,4000
kn.wikipedia,JP,2022,1,3000
kn.wikipedia,FI,2022,1,3000
kn.wikipedia,AE,2022,1,3000
kn.wikipedia,--,2022,1,3000
kn.wikipedia,PL,2022,1,2000
kn.wikipedia,TR,2022,1,2000
kn.wikipedia,KR,2022,1,2000
kn.wikipedia,HK,2022,1,2000
kn.wikipedia,SA,2022,1,1000
kn.wikipedia,IT,2022,1,1000
kn.wikipedia,NZ,2022,1,1000
kn.wikipedia,ID,2022,1,1000
kn.wikipedia,BR,2022,1,1000
kn.wikipedia,BD,2022,1,1000
kn.wikipedia,BE,2022,1,1000
kn.wikipedia,VN,2022,1,1000
kn.wikipedia,ES,2022,1,1000
kn.wikipedia,CN,2022,1,1000
kn.wikipedia,SE,2022,1,1000
kn.wikipedia,PT,2022,1,1000
kn.wikipedia,QA,2022,1,1000
kn.wikipedia,OM,2022,1,1000
kn.wikipedia,UA,2022,1,1000
kn.wikipedia,DK,2022,1,1000
kn.wikipedia,KW,2022,1,1000
kn.wikipedia,CH,2022,1,1000
kn.wikipedia,CZ,2022,1,1000
kn.wikipedia,BH,2022,1,1000
kn.wikipedia,MY,2022,1,1000
kn.wikipedia,AT,2022,1,1000
kn.wikipedia,TH,2022,1,1000
kn.wikipedia,IL,2022,1,1000
kn.wikipedia,BG,2022,1,1000
kn.wikipedia,IE,2022,1,1000
kn.wikipedia,DZ,2022,1,1000
kn.wikipedia,NO,2022,1,1000
kn.wikipedia,RO,2022,1,1000
kn.wikipedia,NG,2022,1,1000
kn.wikipedia,LV,2022,1,1000
kn.wikipedia,PK,2022,1,1000
kn.wikipedia,SC,2022,1,1000
kn.wikipedia,EG,2022,1,1000
kn.wikipedia,GH,2022,1,1000
kn.wikipedia,CO,2022,1,1000
kn.wikipedia,PH,2022,1,1000
kn.wikipedia,IQ,2022,1,1000
kn.wikipedia,IN,2022,2,4405000
kn.wikipedia,US,2022,2,218000
kn.wikipedia,NL,2022,2,21000
kn.wikipedia,FR,2022,2,19000
kn.wikipedia,SG,2022,2,19000
kn.wikipedia,DE,2022,2,14000
kn.wikipedia,TW,2022,2,12000
kn.wikipedia,CA,2022,2,12000
kn.wikipedia,IR,2022,2,8000
kn.wikipedia,GB,2022,2,8000
kn.wikipedia,RU,2022,2,7000
kn.wikipedia,AU,2022,2,4000
kn.wikipedia,--,2022,2,3000
kn.wikipedia,ID,2022,2,3000
kn.wikipedia,NZ,2022,2,2000
kn.wikipedia,PL,2022,2,2000
kn.wikipedia,JP,2022,2,2000
kn.wikipedia,UA,2022,2,2000
kn.wikipedia,AE,2022,2,2000
kn.wikipedia,FI,2022,2,2000
kn.wikipedia,IT,2022,2,2000
kn.wikipedia,BR,2022,2,2000
kn.wikipedia,ES,2022,2,2000
kn.wikipedia,TR,2022,2,1000
kn.wikipedia,HK,2022,2,1000
kn.wikipedia,VN,2022,2,1000
kn.wikipedia,SA,2022,2,1000
kn.wikipedia,CN,2022,2,1000
kn.wikipedia,KR,2022,2,1000
kn.wikipedia,SE,2022,2,1000
kn.wikipedia,GR,2022,2,1000
kn.wikipedia,DK,2022,2,1000
kn.wikipedia,CH,2022,2,1000
kn.wikipedia,RO,2022,2,1000
kn.wikipedia,QA,2022,2,1000
kn.wikipedia,KW,2022,2,1000
kn.wikipedia,OM,2022,2,1000
kn.wikipedia,BD,2022,2,1000
kn.wikipedia,PK,2022,2,1000
kn.wikipedia,LV,2022,2,1000
kn.wikipedia,NO,2022,2,1000
kn.wikipedia,PT,2022,2,1000
kn.wikipedia,MA,2022,2,1000
kn.wikipedia,MY,2022,2,1000
kn.wikipedia,CZ,2022,2,1000
kn.wikipedia,AT,2022,2,1000
kn.wikipedia,BH,2022,2,1000
kn.wikipedia,IL,2022,2,1000
kn.wikipedia,SC,2022,2,1000
kn.wikipedia,KE,2022,2,1000
kn.wikipedia,BY,2022,2,1000
kn.wikipedia,PH,2022,2,1000
kn.wikipedia,BG,2022,2,1000
kn.wikipedia,IE,2022,2,1000
kn.wikipedia,SI,2022,2,1000
kn.wikipedia,MX,2022,2,1000
kn.wikipedia,TH,2022,2,1000
kn.wikipedia,BE,2022,2,1000
kn.wikipedia,IN,2022,3,3462000
kn.wikipedia,US,2022,3,148000
kn.wikipedia,CA,2022,3,21000
kn.wikipedia,NL,2022,3,21000
kn.wikipedia,IR,2022,3,21000
kn.wikipedia,DE,2022,3,20000
kn.wikipedia,SG,2022,3,16000
kn.wikipedia,FR,2022,3,13000
kn.wikipedia,GB,2022,3,6000
kn.wikipedia,AT,2022,3,6000
kn.wikipedia,RU,2022,3,6000
kn.wikipedia,NZ,2022,3,3000
kn.wikipedia,PL,2022,3,3000
kn.wikipedia,IE,2022,3,3000
kn.wikipedia,VN,2022,3,2000
kn.wikipedia,--,2022,3,2000
kn.wikipedia,SE,2022,3,2000
kn.wikipedia,ID,2022,3,2000
kn.wikipedia,JP,2022,3,2000
kn.wikipedia,AE,2022,3,1000
kn.wikipedia,IT,2022,3,1000
kn.wikipedia,HK,2022,3,1000
kn.wikipedia,LV,2022,3,1000
kn.wikipedia,KR,2022,3,1000
kn.wikipedia,MY,2022,3,1000
kn.wikipedia,GR,2022,3,1000
kn.wikipedia,BR,2022,3,1000
kn.wikipedia,ES,2022,3,1000
kn.wikipedia,RO,2022,3,1000
kn.wikipedia,AU,2022,3,1000
kn.wikipedia,BD,2022,3,1000
kn.wikipedia,TR,2022,3,1000
kn.wikipedia,SA,2022,3,1000
kn.wikipedia,PT,2022,3,1000
kn.wikipedia,CZ,2022,3,1000
kn.wikipedia,NO,2022,3,1000
kn.wikipedia,DK,2022,3,1000
kn.wikipedia,CO,2022,3,1000
kn.wikipedia,NG,2022,3,1000
kn.wikipedia,FI,2022,3,1000
kn.wikipedia,CY,2022,3,1000
kn.wikipedia,MX,2022,3,1000
kn.wikipedia,QA,2022,3,1000
