project,iso2,year,month,pageviews_ceil
ko.wikipedia,KR,2022,1,59846000
ko.wikipedia,US,2022,1,2499000
ko.wikipedia,JP,2022,1,718000
ko.wikipedia,CA,2022,1,531000
ko.wikipedia,TW,2022,1,365000
ko.wikipedia,DE,2022,1,294000
ko.wikipedia,ID,2022,1,267000
ko.wikipedia,HK,2022,1,248000
ko.wikipedia,AU,2022,1,204000
ko.wikipedia,FR,2022,1,194000
ko.wikipedia,BR,2022,1,181000
ko.wikipedia,IR,2022,1,173000
ko.wikipedia,VN,2022,1,173000
ko.wikipedia,SG,2022,1,169000
ko.wikipedia,GB,2022,1,149000
ko.wikipedia,MY,2022,1,125000
ko.wikipedia,TH,2022,1,125000
ko.wikipedia,RU,2022,1,122000
ko.wikipedia,PH,2022,1,113000
ko.wikipedia,IN,2022,1,95000
ko.wikipedia,NL,2022,1,82000
ko.wikipedia,NZ,2022,1,62000
ko.wikipedia,PL,2022,1,49000
ko.wikipedia,IT,2022,1,48000
ko.wikipedia,MX,2022,1,46000
ko.wikipedia,TR,2022,1,46000
ko.wikipedia,ES,2022,1,43000
ko.wikipedia,--,2022,1,38000
ko.wikipedia,BD,2022,1,35000
ko.wikipedia,FI,2022,1,30000
ko.wikipedia,UA,2022,1,27000
ko.wikipedia,RO,2022,1,26000
ko.wikipedia,EC,2022,1,22000
ko.wikipedia,CZ,2022,1,21000
ko.wikipedia,AR,2022,1,20000
ko.wikipedia,AE,2022,1,20000
ko.wikipedia,SE,2022,1,20000
ko.wikipedia,BE,2022,1,19000
ko.wikipedia,CH,2022,1,18000
ko.wikipedia,HU,2022,1,17000
ko.wikipedia,KH,2022,1,17000
ko.wikipedia,AT,2022,1,15000
ko.wikipedia,IL,2022,1,13000
ko.wikipedia,CO,2022,1,12000
ko.wikipedia,UZ,2022,1,12000
ko.wikipedia,CL,2022,1,12000
ko.wikipedia,IQ,2022,1,11000
ko.wikipedia,PE,2022,1,11000
ko.wikipedia,SA,2022,1,11000
ko.wikipedia,MN,2022,1,11000
ko.wikipedia,EG,2022,1,11000
ko.wikipedia,ZA,2022,1,10000
ko.wikipedia,NO,2022,1,10000
ko.wikipedia,MO,2022,1,9000
ko.wikipedia,KZ,2022,1,9000
ko.wikipedia,MM,2022,1,9000
ko.wikipedia,DK,2022,1,9000
ko.wikipedia,PK,2022,1,9000
ko.wikipedia,PT,2022,1,9000
ko.wikipedia,IE,2022,1,8000
ko.wikipedia,DZ,2022,1,8000
ko.wikipedia,NP,2022,1,7000
ko.wikipedia,GR,2022,1,7000
ko.wikipedia,CN,2022,1,7000
ko.wikipedia,BG,2022,1,6000
ko.wikipedia,LA,2022,1,6000
ko.wikipedia,PY,2022,1,6000
ko.wikipedia,MA,2022,1,6000
ko.wikipedia,RS,2022,1,5000
ko.wikipedia,LK,2022,1,5000
ko.wikipedia,SK,2022,1,5000
ko.wikipedia,KG,2022,1,5000
ko.wikipedia,GT,2022,1,5000
ko.wikipedia,QA,2022,1,5000
ko.wikipedia,NG,2022,1,5000
ko.wikipedia,FJ,2022,1,4000
ko.wikipedia,GU,2022,1,4000
ko.wikipedia,JO,2022,1,4000
ko.wikipedia,GE,2022,1,4000
ko.wikipedia,BY,2022,1,4000
ko.wikipedia,TN,2022,1,4000
ko.wikipedia,SN,2022,1,3000
ko.wikipedia,DO,2022,1,3000
ko.wikipedia,KE,2022,1,3000
ko.wikipedia,KW,2022,1,3000
ko.wikipedia,HR,2022,1,3000
ko.wikipedia,LT,2022,1,3000
ko.wikipedia,VE,2022,1,3000
ko.wikipedia,OM,2022,1,3000
ko.wikipedia,LV,2022,1,3000
ko.wikipedia,AZ,2022,1,3000
ko.wikipedia,GH,2022,1,3000
ko.wikipedia,ET,2022,1,3000
ko.wikipedia,PA,2022,1,3000
ko.wikipedia,SV,2022,1,3000
ko.wikipedia,LU,2022,1,3000
ko.wikipedia,BA,2022,1,3000
ko.wikipedia,BO,2022,1,2000
ko.wikipedia,AM,2022,1,2000
ko.wikipedia,CR,2022,1,2000
