project,iso2,year,month,pageviews_ceil
ksh.wikipedia,US,2022,1,22000
ksh.wikipedia,DE,2022,1,17000
ksh.wikipedia,FR,2022,1,16000
ksh.wikipedia,NL,2022,1,9000
ksh.wikipedia,CA,2022,1,6000
ksh.wikipedia,SG,2022,1,4000
ksh.wikipedia,IR,2022,1,3000
ksh.wikipedia,RU,2022,1,3000
ksh.wikipedia,PL,2022,1,2000
ksh.wikipedia,GB,2022,1,1000
ksh.wikipedia,JP,2022,1,1000
ksh.wikipedia,HK,2022,1,1000
ksh.wikipedia,IT,2022,1,1000
ksh.wikipedia,AT,2022,1,1000
ksh.wikipedia,CH,2022,1,1000
ksh.wikipedia,--,2022,1,1000
ksh.wikipedia,FI,2022,1,1000
ksh.wikipedia,KR,2022,1,1000
ksh.wikipedia,DK,2022,1,1000
ksh.wikipedia,BR,2022,1,1000
ksh.wikipedia,ID,2022,1,1000
ksh.wikipedia,IN,2022,1,1000
ksh.wikipedia,TW,2022,1,1000
ksh.wikipedia,BE,2022,1,1000
ksh.wikipedia,CN,2022,1,1000
ksh.wikipedia,ES,2022,1,1000
ksh.wikipedia,CZ,2022,1,1000
ksh.wikipedia,LV,2022,1,1000
ksh.wikipedia,SE,2022,1,1000
ksh.wikipedia,ZA,2022,1,1000
ksh.wikipedia,LU,2022,1,1000
ksh.wikipedia,VN,2022,1,1000
ksh.wikipedia,RO,2022,1,1000
ksh.wikipedia,TR,2022,1,1000
ksh.wikipedia,PT,2022,1,1000
ksh.wikipedia,UA,2022,1,1000
ksh.wikipedia,AU,2022,1,1000
ksh.wikipedia,SC,2022,1,1000
ksh.wikipedia,IN,2022,2,88000
ksh.wikipedia,RU,2022,2,42000
ksh.wikipedia,DE,2022,2,19000
ksh.wikipedia,US,2022,2,19000
ksh.wikipedia,UZ,2022,2,19000
ksh.wikipedia,FR,2022,2,14000
ksh.wikipedia,PK,2022,2,14000
ksh.wikipedia,KZ,2022,2,13000
ksh.wikipedia,NL,2022,2,10000
ksh.wikipedia,UA,2022,2,9000
ksh.wikipedia,BY,2022,2,9000
ksh.wikipedia,TJ,2022,2,6000
ksh.wikipedia,IR,2022,2,5000
ksh.wikipedia,CA,2022,2,4000
ksh.wikipedia,GE,2022,2,3000
ksh.wikipedia,MN,2022,2,3000
ksh.wikipedia,PH,2022,2,3000
ksh.wikipedia,KG,2022,2,3000
ksh.wikipedia,SG,2022,2,3000
ksh.wikipedia,GB,2022,2,3000
ksh.wikipedia,BR,2022,2,2000
ksh.wikipedia,VN,2022,2,2000
ksh.wikipedia,AF,2022,2,2000
ksh.wikipedia,PL,2022,2,1000
ksh.wikipedia,TW,2022,2,1000
ksh.wikipedia,ID,2022,2,1000
ksh.wikipedia,CH,2022,2,1000
ksh.wikipedia,JP,2022,2,1000
ksh.wikipedia,AZ,2022,2,1000
ksh.wikipedia,--,2022,2,1000
ksh.wikipedia,ES,2022,2,1000
ksh.wikipedia,MD,2022,2,1000
ksh.wikipedia,IT,2022,2,1000
ksh.wikipedia,AT,2022,2,1000
ksh.wikipedia,HK,2022,2,1000
