project,iso2,year,month,pageviews_ceil
ku.wikipedia,TR,2022,1,54000
ku.wikipedia,US,2022,1,50000
ku.wikipedia,DE,2022,1,36000
ku.wikipedia,IQ,2022,1,27000
ku.wikipedia,NL,2022,1,25000
ku.wikipedia,FR,2022,1,25000
ku.wikipedia,CA,2022,1,21000
ku.wikipedia,IR,2022,1,17000
ku.wikipedia,SG,2022,1,11000
ku.wikipedia,RU,2022,1,7000
ku.wikipedia,GB,2022,1,4000
ku.wikipedia,FI,2022,1,4000
ku.wikipedia,PL,2022,1,3000
ku.wikipedia,JP,2022,1,3000
ku.wikipedia,SE,2022,1,3000
ku.wikipedia,--,2022,1,3000
ku.wikipedia,ES,2022,1,2000
ku.wikipedia,DK,2022,1,2000
ku.wikipedia,AM,2022,1,2000
ku.wikipedia,NO,2022,1,2000
ku.wikipedia,CH,2022,1,2000
ku.wikipedia,BE,2022,1,2000
ku.wikipedia,AT,2022,1,2000
ku.wikipedia,IT,2022,1,2000
ku.wikipedia,BR,2022,1,2000
ku.wikipedia,HK,2022,1,2000
ku.wikipedia,AZ,2022,1,1000
ku.wikipedia,CN,2022,1,1000
ku.wikipedia,IN,2022,1,1000
ku.wikipedia,KR,2022,1,1000
ku.wikipedia,ID,2022,1,1000
ku.wikipedia,TW,2022,1,1000
ku.wikipedia,AU,2022,1,1000
ku.wikipedia,VN,2022,1,1000
ku.wikipedia,CZ,2022,1,1000
ku.wikipedia,UA,2022,1,1000
ku.wikipedia,PT,2022,1,1000
ku.wikipedia,RO,2022,1,1000
ku.wikipedia,IL,2022,1,1000
ku.wikipedia,GR,2022,1,1000
ku.wikipedia,BG,2022,1,1000
ku.wikipedia,LV,2022,1,1000
ku.wikipedia,TH,2022,1,1000
ku.wikipedia,RS,2022,1,1000
ku.wikipedia,GE,2022,1,1000
ku.wikipedia,HU,2022,1,1000
ku.wikipedia,CO,2022,1,1000
ku.wikipedia,KZ,2022,1,1000
ku.wikipedia,MD,2022,1,1000
ku.wikipedia,MA,2022,1,1000
ku.wikipedia,EG,2022,1,1000
ku.wikipedia,MY,2022,1,1000
ku.wikipedia,SC,2022,1,1000
ku.wikipedia,IE,2022,1,1000
ku.wikipedia,HR,2022,1,1000
ku.wikipedia,LT,2022,1,1000
ku.wikipedia,MX,2022,1,1000
ku.wikipedia,CY,2022,1,1000
ku.wikipedia,PH,2022,1,1000
ku.wikipedia,AE,2022,1,1000
ku.wikipedia,GH,2022,1,1000
ku.wikipedia,EE,2022,1,1000
ku.wikipedia,PK,2022,1,1000
ku.wikipedia,SA,2022,1,1000
ku.wikipedia,SK,2022,1,1000
ku.wikipedia,IN,2022,2,117000
ku.wikipedia,RU,2022,2,64000
ku.wikipedia,US,2022,2,58000
ku.wikipedia,TR,2022,2,39000
ku.wikipedia,DE,2022,2,37000
ku.wikipedia,IQ,2022,2,36000
ku.wikipedia,UZ,2022,2,27000
ku.wikipedia,NL,2022,2,24000
ku.wikipedia,FR,2022,2,22000
ku.wikipedia,IR,2022,2,19000
ku.wikipedia,KZ,2022,2,19000
ku.wikipedia,PK,2022,2,18000
ku.wikipedia,UA,2022,2,14000
ku.wikipedia,CA,2022,2,13000
ku.wikipedia,BY,2022,2,13000
ku.wikipedia,SG,2022,2,10000
ku.wikipedia,GB,2022,2,8000
ku.wikipedia,TJ,2022,2,7000
ku.wikipedia,GE,2022,2,5000
ku.wikipedia,ES,2022,2,4000
ku.wikipedia,MN,2022,2,4000
ku.wikipedia,PH,2022,2,4000
ku.wikipedia,KG,2022,2,4000
ku.wikipedia,NO,2022,2,3000
ku.wikipedia,BR,2022,2,3000
ku.wikipedia,--,2022,2,3000
ku.wikipedia,SE,2022,2,3000
ku.wikipedia,PL,2022,2,3000
ku.wikipedia,VN,2022,2,3000
ku.wikipedia,TW,2022,2,2000
ku.wikipedia,IT,2022,2,2000
ku.wikipedia,DK,2022,2,2000
ku.wikipedia,FI,2022,2,2000
ku.wikipedia,CH,2022,2,2000
ku.wikipedia,AZ,2022,2,2000
ku.wikipedia,ID,2022,2,2000
ku.wikipedia,AM,2022,2,2000
ku.wikipedia,AF,2022,2,2000
ku.wikipedia,JP,2022,2,2000
ku.wikipedia,AT,2022,2,2000
ku.wikipedia,AU,2022,2,1000
ku.wikipedia,CN,2022,2,1000
ku.wikipedia,BE,2022,2,1000
ku.wikipedia,MD,2022,2,1000
ku.wikipedia,EG,2022,2,1000
ku.wikipedia,HK,2022,2,1000
ku.wikipedia,ZA,2022,2,1000
ku.wikipedia,GR,2022,2,1000
ku.wikipedia,AE,2022,2,1000
ku.wikipedia,MM,2022,2,1000
ku.wikipedia,LK,2022,2,1000
ku.wikipedia,IL,2022,2,1000
ku.wikipedia,SA,2022,2,1000
ku.wikipedia,MY,2022,2,1000
ku.wikipedia,KR,2022,2,1000
ku.wikipedia,IE,2022,2,1000
ku.wikipedia,CZ,2022,2,1000
ku.wikipedia,BD,2022,2,1000
ku.wikipedia,BH,2022,2,1000
ku.wikipedia,SC,2022,2,1000
ku.wikipedia,RO,2022,2,1000
ku.wikipedia,KW,2022,2,1000
ku.wikipedia,LV,2022,2,1000
ku.wikipedia,MA,2022,2,1000
ku.wikipedia,PT,2022,2,1000
ku.wikipedia,ET,2022,2,1000
ku.wikipedia,CY,2022,2,1000
ku.wikipedia,DZ,2022,2,1000
ku.wikipedia,MX,2022,2,1000
