project,iso2,year,month,pageviews_ceil
ky.wikipedia,KG,2022,1,2271000
ky.wikipedia,US,2022,1,139000
ky.wikipedia,KZ,2022,1,69000
ky.wikipedia,RU,2022,1,56000
ky.wikipedia,DE,2022,1,29000
ky.wikipedia,SG,2022,1,26000
ky.wikipedia,NL,2022,1,24000
ky.wikipedia,FR,2022,1,19000
ky.wikipedia,CA,2022,1,16000
ky.wikipedia,IR,2022,1,12000
ky.wikipedia,GB,2022,1,8000
ky.wikipedia,TR,2022,1,6000
ky.wikipedia,FI,2022,1,5000
ky.wikipedia,UZ,2022,1,4000
ky.wikipedia,JP,2022,1,4000
ky.wikipedia,PL,2022,1,4000
ky.wikipedia,UA,2022,1,3000
ky.wikipedia,--,2022,1,3000
ky.wikipedia,KR,2022,1,3000
ky.wikipedia,HK,2022,1,2000
ky.wikipedia,IT,2022,1,2000
ky.wikipedia,ES,2022,1,2000
ky.wikipedia,BR,2022,1,2000
ky.wikipedia,CZ,2022,1,1000
ky.wikipedia,ID,2022,1,1000
ky.wikipedia,IN,2022,1,1000
ky.wikipedia,VN,2022,1,1000
ky.wikipedia,TJ,2022,1,1000
ky.wikipedia,TW,2022,1,1000
ky.wikipedia,CN,2022,1,1000
ky.wikipedia,DK,2022,1,1000
ky.wikipedia,CH,2022,1,1000
ky.wikipedia,BG,2022,1,1000
ky.wikipedia,BE,2022,1,1000
ky.wikipedia,AU,2022,1,1000
ky.wikipedia,PT,2022,1,1000
ky.wikipedia,AT,2022,1,1000
ky.wikipedia,IL,2022,1,1000
ky.wikipedia,SE,2022,1,1000
ky.wikipedia,AZ,2022,1,1000
ky.wikipedia,LV,2022,1,1000
ky.wikipedia,EG,2022,1,1000
ky.wikipedia,RO,2022,1,1000
ky.wikipedia,BY,2022,1,1000
ky.wikipedia,AE,2022,1,1000
ky.wikipedia,EE,2022,1,1000
ky.wikipedia,NO,2022,1,1000
ky.wikipedia,HU,2022,1,1000
ky.wikipedia,JO,2022,1,1000
ky.wikipedia,GR,2022,1,1000
ky.wikipedia,TH,2022,1,1000
ky.wikipedia,SA,2022,1,1000
ky.wikipedia,AR,2022,1,1000
ky.wikipedia,MD,2022,1,1000
ky.wikipedia,RS,2022,1,1000
ky.wikipedia,SI,2022,1,1000
ky.wikipedia,LT,2022,1,1000
ky.wikipedia,GH,2022,1,1000
ky.wikipedia,MY,2022,1,1000
ky.wikipedia,SC,2022,1,1000
ky.wikipedia,MX,2022,1,1000
ky.wikipedia,MN,2022,1,1000
ky.wikipedia,BD,2022,1,1000
ky.wikipedia,AM,2022,1,1000
ky.wikipedia,CO,2022,1,1000
ky.wikipedia,PH,2022,1,1000
ky.wikipedia,ZA,2022,1,1000
ky.wikipedia,KG,2022,2,2378000
ky.wikipedia,US,2022,2,156000
ky.wikipedia,IN,2022,2,117000
ky.wikipedia,KZ,2022,2,113000
ky.wikipedia,RU,2022,2,102000
ky.wikipedia,UZ,2022,2,27000
ky.wikipedia,FR,2022,2,24000
ky.wikipedia,NL,2022,2,22000
ky.wikipedia,SG,2022,2,21000
ky.wikipedia,PK,2022,2,18000
ky.wikipedia,DE,2022,2,16000
ky.wikipedia,IR,2022,2,15000
ky.wikipedia,UA,2022,2,14000
ky.wikipedia,BY,2022,2,13000
ky.wikipedia,CA,2022,2,10000
ky.wikipedia,GB,2022,2,9000
ky.wikipedia,TJ,2022,2,9000
ky.wikipedia,TR,2022,2,6000
ky.wikipedia,GE,2022,2,5000
ky.wikipedia,MN,2022,2,4000
ky.wikipedia,ID,2022,2,4000
ky.wikipedia,PH,2022,2,4000
ky.wikipedia,--,2022,2,3000
ky.wikipedia,PL,2022,2,3000
ky.wikipedia,VN,2022,2,3000
ky.wikipedia,JP,2022,2,3000
ky.wikipedia,FI,2022,2,3000
ky.wikipedia,IT,2022,2,2000
ky.wikipedia,HK,2022,2,2000
ky.wikipedia,KR,2022,2,2000
ky.wikipedia,ES,2022,2,2000
ky.wikipedia,AF,2022,2,2000
ky.wikipedia,DK,2022,2,2000
ky.wikipedia,BR,2022,2,2000
ky.wikipedia,AU,2022,2,1000
ky.wikipedia,AZ,2022,2,1000
ky.wikipedia,TW,2022,2,1000
ky.wikipedia,MD,2022,2,1000
ky.wikipedia,EG,2022,2,1000
ky.wikipedia,BG,2022,2,1000
ky.wikipedia,AE,2022,2,1000
ky.wikipedia,CZ,2022,2,1000
ky.wikipedia,CN,2022,2,1000
ky.wikipedia,MY,2022,2,1000
ky.wikipedia,ZA,2022,2,1000
ky.wikipedia,AM,2022,2,1000
ky.wikipedia,MM,2022,2,1000
ky.wikipedia,CH,2022,2,1000
ky.wikipedia,SA,2022,2,1000
ky.wikipedia,IE,2022,2,1000
ky.wikipedia,GR,2022,2,1000
ky.wikipedia,SE,2022,2,1000
ky.wikipedia,NO,2022,2,1000
ky.wikipedia,IL,2022,2,1000
ky.wikipedia,LK,2022,2,1000
ky.wikipedia,SC,2022,2,1000
ky.wikipedia,LT,2022,2,1000
ky.wikipedia,BH,2022,2,1000
ky.wikipedia,LV,2022,2,1000
ky.wikipedia,KW,2022,2,1000
ky.wikipedia,AT,2022,2,1000
ky.wikipedia,BD,2022,2,1000
ky.wikipedia,RO,2022,2,1000
ky.wikipedia,HU,2022,2,1000
ky.wikipedia,PT,2022,2,1000
ky.wikipedia,KE,2022,2,1000
ky.wikipedia,NE,2022,2,1000
ky.wikipedia,TM,2022,2,1000
ky.wikipedia,SI,2022,2,1000
ky.wikipedia,BE,2022,2,1000
ky.wikipedia,CY,2022,2,1000
ky.wikipedia,ET,2022,2,1000
ky.wikipedia,MA,2022,2,1000
ky.wikipedia,EE,2022,2,1000
ky.wikipedia,RW,2022,2,1000
ky.wikipedia,FM,2022,2,1000
ky.wikipedia,DZ,2022,2,1000
ky.wikipedia,NG,2022,2,1000
ky.wikipedia,JO,2022,2,1000
ky.wikipedia,MX,2022,2,1000
ky.wikipedia,AR,2022,2,1000
ky.wikipedia,BJ,2022,2,1000
ky.wikipedia,KG,2022,3,2414000
ky.wikipedia,IN,2022,3,197000
ky.wikipedia,RU,2022,3,127000
ky.wikipedia,KZ,2022,3,111000
ky.wikipedia,US,2022,3,99000
ky.wikipedia,UZ,2022,3,54000
ky.wikipedia,PK,2022,3,37000
ky.wikipedia,DE,2022,3,25000
ky.wikipedia,NL,2022,3,23000
ky.wikipedia,IR,2022,3,20000
ky.wikipedia,FR,2022,3,18000
ky.wikipedia,CA,2022,3,18000
ky.wikipedia,TR,2022,3,17000
ky.wikipedia,TJ,2022,3,17000
ky.wikipedia,BY,2022,3,15000
ky.wikipedia,UA,2022,3,13000
ky.wikipedia,SG,2022,3,13000
ky.wikipedia,GE,2022,3,8000
ky.wikipedia,GB,2022,3,6000
ky.wikipedia,AT,2022,3,6000
ky.wikipedia,AF,2022,3,5000
ky.wikipedia,MN,2022,3,5000
ky.wikipedia,PL,2022,3,5000
ky.wikipedia,PH,2022,3,4000
ky.wikipedia,ID,2022,3,4000
ky.wikipedia,IE,2022,3,4000
ky.wikipedia,VN,2022,3,4000
ky.wikipedia,JP,2022,3,3000
ky.wikipedia,KR,2022,3,2000
ky.wikipedia,SE,2022,3,2000
ky.wikipedia,IT,2022,3,2000
ky.wikipedia,AZ,2022,3,2000
ky.wikipedia,HK,2022,3,2000
ky.wikipedia,--,2022,3,2000
ky.wikipedia,TM,2022,3,2000
ky.wikipedia,ES,2022,3,2000
ky.wikipedia,LV,2022,3,2000
ky.wikipedia,GR,2022,3,2000
ky.wikipedia,MY,2022,3,2000
ky.wikipedia,LT,2022,3,2000
ky.wikipedia,TW,2022,3,1000
ky.wikipedia,MD,2022,3,1000
ky.wikipedia,CZ,2022,3,1000
ky.wikipedia,IQ,2022,3,1000
ky.wikipedia,ZA,2022,3,1000
ky.wikipedia,AE,2022,3,1000
ky.wikipedia,FI,2022,3,1000
ky.wikipedia,DK,2022,3,1000
ky.wikipedia,SA,2022,3,1000
ky.wikipedia,BD,2022,3,1000
ky.wikipedia,BR,2022,3,1000
ky.wikipedia,NO,2022,3,1000
ky.wikipedia,RO,2022,3,1000
ky.wikipedia,BG,2022,3,1000
ky.wikipedia,EG,2022,3,1000
ky.wikipedia,PT,2022,3,1000
ky.wikipedia,AU,2022,3,1000
ky.wikipedia,CH,2022,3,1000
ky.wikipedia,BH,2022,3,1000
ky.wikipedia,CY,2022,3,1000
ky.wikipedia,MM,2022,3,1000
ky.wikipedia,HU,2022,3,1000
ky.wikipedia,TH,2022,3,1000
ky.wikipedia,IL,2022,3,1000
ky.wikipedia,MX,2022,3,1000
ky.wikipedia,CI,2022,3,1000
ky.wikipedia,CO,2022,3,1000
ky.wikipedia,KE,2022,3,1000
ky.wikipedia,BE,2022,3,1000
ky.wikipedia,ET,2022,3,1000
ky.wikipedia,CD,2022,3,1000
ky.wikipedia,NG,2022,3,1000
ky.wikipedia,LK,2022,3,1000
ky.wikipedia,NP,2022,3,1000
ky.wikipedia,OM,2022,3,1000
ky.wikipedia,ZM,2022,3,1000
ky.wikipedia,CN,2022,3,1000
ky.wikipedia,RS,2022,3,1000
ky.wikipedia,KW,2022,3,1000
ky.wikipedia,AM,2022,3,1000
ky.wikipedia,EE,2022,3,1000
ky.wikipedia,SC,2022,3,1000
ky.wikipedia,NE,2022,3,1000
ky.wikipedia,SK,2022,3,1000
ky.wikipedia,BT,2022,3,1000
ky.wikipedia,JO,2022,3,1000
ky.wikipedia,AR,2022,3,1000
ky.wikipedia,BJ,2022,3,1000
ky.wikipedia,KG,2022,4,2569000
ky.wikipedia,RU,2022,4,119000
ky.wikipedia,US,2022,4,107000
ky.wikipedia,KZ,2022,4,85000
ky.wikipedia,IN,2022,4,74000
ky.wikipedia,NL,2022,4,27000
ky.wikipedia,UZ,2022,4,25000
ky.wikipedia,DE,2022,4,20000
ky.wikipedia,CA,2022,4,19000
ky.wikipedia,FR,2022,4,16000
ky.wikipedia,UA,2022,4,13000
ky.wikipedia,SG,2022,4,11000
ky.wikipedia,BY,2022,4,11000
ky.wikipedia,TJ,2022,4,8000
ky.wikipedia,PK,2022,4,8000
ky.wikipedia,IR,2022,4,8000
ky.wikipedia,TR,2022,4,7000
ky.wikipedia,ID,2022,4,5000
ky.wikipedia,GB,2022,4,5000
ky.wikipedia,PL,2022,4,4000
ky.wikipedia,JP,2022,4,4000
ky.wikipedia,MN,2022,4,4000
ky.wikipedia,GE,2022,4,4000
ky.wikipedia,AF,2022,4,4000
ky.wikipedia,KR,2022,4,4000
ky.wikipedia,VN,2022,4,3000
ky.wikipedia,SE,2022,4,3000
ky.wikipedia,--,2022,4,2000
ky.wikipedia,IT,2022,4,2000
ky.wikipedia,HK,2022,4,2000
ky.wikipedia,HU,2022,4,2000
ky.wikipedia,DK,2022,4,2000
ky.wikipedia,CZ,2022,4,2000
ky.wikipedia,KE,2022,4,1000
ky.wikipedia,PH,2022,4,1000
ky.wikipedia,ES,2022,4,1000
ky.wikipedia,NO,2022,4,1000
ky.wikipedia,AZ,2022,4,1000
ky.wikipedia,IQ,2022,4,1000
ky.wikipedia,BG,2022,4,1000
ky.wikipedia,ZA,2022,4,1000
ky.wikipedia,AE,2022,4,1000
ky.wikipedia,FI,2022,4,1000
ky.wikipedia,MY,2022,4,1000
ky.wikipedia,SA,2022,4,1000
ky.wikipedia,BR,2022,4,1000
ky.wikipedia,TM,2022,4,1000
ky.wikipedia,EG,2022,4,1000
ky.wikipedia,TW,2022,4,1000
ky.wikipedia,CY,2022,4,1000
ky.wikipedia,AM,2022,4,1000
ky.wikipedia,MD,2022,4,1000
ky.wikipedia,LT,2022,4,1000
ky.wikipedia,CO,2022,4,1000
ky.wikipedia,NG,2022,4,1000
ky.wikipedia,GR,2022,4,1000
ky.wikipedia,CH,2022,4,1000
ky.wikipedia,KW,2022,4,1000
ky.wikipedia,AT,2022,4,1000
ky.wikipedia,LV,2022,4,1000
ky.wikipedia,OM,2022,4,1000
ky.wikipedia,IL,2022,4,1000
ky.wikipedia,RO,2022,4,1000
ky.wikipedia,PT,2022,4,1000
ky.wikipedia,EE,2022,4,1000
ky.wikipedia,MM,2022,4,1000
ky.wikipedia,AU,2022,4,1000
ky.wikipedia,JO,2022,4,1000
ky.wikipedia,IE,2022,4,1000
ky.wikipedia,TH,2022,4,1000
ky.wikipedia,SC,2022,4,1000
ky.wikipedia,LK,2022,4,1000
