project,iso2,year,month,pageviews_ceil
lb.wikipedia,US,2022,1,94000
lb.wikipedia,LU,2022,1,76000
lb.wikipedia,DE,2022,1,51000
lb.wikipedia,FR,2022,1,24000
lb.wikipedia,CA,2022,1,22000
lb.wikipedia,SG,2022,1,18000
lb.wikipedia,IR,2022,1,16000
lb.wikipedia,BE,2022,1,16000
lb.wikipedia,NL,2022,1,11000
lb.wikipedia,RU,2022,1,10000
lb.wikipedia,FI,2022,1,5000
lb.wikipedia,GB,2022,1,5000
lb.wikipedia,PL,2022,1,5000
lb.wikipedia,--,2022,1,4000
lb.wikipedia,JP,2022,1,3000
lb.wikipedia,BR,2022,1,2000
lb.wikipedia,ES,2022,1,2000
lb.wikipedia,IT,2022,1,2000
lb.wikipedia,CH,2022,1,2000
lb.wikipedia,CZ,2022,1,2000
lb.wikipedia,AT,2022,1,2000
lb.wikipedia,ID,2022,1,2000
lb.wikipedia,HK,2022,1,2000
lb.wikipedia,KR,2022,1,2000
lb.wikipedia,DK,2022,1,2000
lb.wikipedia,SE,2022,1,1000
lb.wikipedia,IN,2022,1,1000
lb.wikipedia,UA,2022,1,1000
lb.wikipedia,RS,2022,1,1000
lb.wikipedia,PT,2022,1,1000
lb.wikipedia,CN,2022,1,1000
lb.wikipedia,TW,2022,1,1000
lb.wikipedia,AU,2022,1,1000
lb.wikipedia,RO,2022,1,1000
lb.wikipedia,TR,2022,1,1000
lb.wikipedia,VN,2022,1,1000
lb.wikipedia,HU,2022,1,1000
lb.wikipedia,IL,2022,1,1000
lb.wikipedia,GR,2022,1,1000
lb.wikipedia,LV,2022,1,1000
lb.wikipedia,NO,2022,1,1000
lb.wikipedia,LT,2022,1,1000
lb.wikipedia,TH,2022,1,1000
lb.wikipedia,BG,2022,1,1000
lb.wikipedia,IE,2022,1,1000
lb.wikipedia,SC,2022,1,1000
lb.wikipedia,CO,2022,1,1000
lb.wikipedia,EG,2022,1,1000
lb.wikipedia,MY,2022,1,1000
lb.wikipedia,MX,2022,1,1000
lb.wikipedia,SK,2022,1,1000
lb.wikipedia,ZA,2022,1,1000
lb.wikipedia,EE,2022,1,1000
lb.wikipedia,MA,2022,1,1000
lb.wikipedia,AR,2022,1,1000
lb.wikipedia,NG,2022,1,1000
lb.wikipedia,BY,2022,1,1000
lb.wikipedia,HR,2022,1,1000
lb.wikipedia,PH,2022,1,1000
lb.wikipedia,GH,2022,1,1000
lb.wikipedia,PE,2022,1,1000
lb.wikipedia,SI,2022,1,1000
lb.wikipedia,UZ,2022,1,1000
lb.wikipedia,MD,2022,1,1000
lb.wikipedia,IN,2022,2,151000
lb.wikipedia,US,2022,2,100000
lb.wikipedia,RU,2022,2,81000
lb.wikipedia,LU,2022,2,58000
lb.wikipedia,DE,2022,2,38000
lb.wikipedia,UZ,2022,2,35000
lb.wikipedia,FR,2022,2,25000
lb.wikipedia,PK,2022,2,25000
lb.wikipedia,IR,2022,2,24000
lb.wikipedia,KZ,2022,2,24000
lb.wikipedia,SG,2022,2,21000
lb.wikipedia,BY,2022,2,17000
lb.wikipedia,UA,2022,2,17000
lb.wikipedia,NL,2022,2,15000
lb.wikipedia,CA,2022,2,14000
lb.wikipedia,BE,2022,2,12000
lb.wikipedia,GB,2022,2,9000
lb.wikipedia,TJ,2022,2,9000
lb.wikipedia,GE,2022,2,6000
lb.wikipedia,MN,2022,2,5000
lb.wikipedia,KG,2022,2,5000
lb.wikipedia,PH,2022,2,4000
lb.wikipedia,PL,2022,2,4000
lb.wikipedia,BR,2022,2,4000
lb.wikipedia,ID,2022,2,3000
