project,iso2,year,month,pageviews_ceil
lbe.wikipedia,US,2022,1,11000
lbe.wikipedia,RU,2022,1,8000
lbe.wikipedia,FR,2022,1,8000
lbe.wikipedia,NL,2022,1,6000
lbe.wikipedia,CA,2022,1,3000
lbe.wikipedia,SG,2022,1,3000
lbe.wikipedia,DE,2022,1,3000
lbe.wikipedia,IR,2022,1,1000
lbe.wikipedia,HK,2022,1,1000
lbe.wikipedia,GB,2022,1,1000
lbe.wikipedia,IT,2022,1,1000
lbe.wikipedia,PL,2022,1,1000
lbe.wikipedia,JP,2022,1,1000
lbe.wikipedia,--,2022,1,1000
lbe.wikipedia,FI,2022,1,1000
lbe.wikipedia,KR,2022,1,1000
lbe.wikipedia,UA,2022,1,1000
lbe.wikipedia,CN,2022,1,1000
lbe.wikipedia,ES,2022,1,1000
lbe.wikipedia,LV,2022,1,1000
lbe.wikipedia,DK,2022,1,1000
lbe.wikipedia,BY,2022,1,1000
lbe.wikipedia,TW,2022,1,1000
lbe.wikipedia,CZ,2022,1,1000
lbe.wikipedia,KG,2022,1,1000
lbe.wikipedia,TR,2022,1,1000
lbe.wikipedia,BR,2022,1,1000
lbe.wikipedia,CH,2022,1,1000
lbe.wikipedia,VN,2022,1,1000
lbe.wikipedia,US,2022,2,10000
lbe.wikipedia,NL,2022,2,7000
lbe.wikipedia,FR,2022,2,6000
lbe.wikipedia,RU,2022,2,5000
lbe.wikipedia,IR,2022,2,2000
lbe.wikipedia,DE,2022,2,2000
lbe.wikipedia,SG,2022,2,2000
lbe.wikipedia,BR,2022,2,2000
lbe.wikipedia,CA,2022,2,2000
lbe.wikipedia,GB,2022,2,1000
lbe.wikipedia,PL,2022,2,1000
lbe.wikipedia,UA,2022,2,1000
lbe.wikipedia,--,2022,2,1000
lbe.wikipedia,HK,2022,2,1000
lbe.wikipedia,ES,2022,2,1000
lbe.wikipedia,IT,2022,2,1000
lbe.wikipedia,CN,2022,2,1000
lbe.wikipedia,TR,2022,2,1000
lbe.wikipedia,JP,2022,2,1000
lbe.wikipedia,BY,2022,2,1000
lbe.wikipedia,GR,2022,2,1000
lbe.wikipedia,LV,2022,2,1000
lbe.wikipedia,IN,2022,2,1000
lbe.wikipedia,FI,2022,2,1000
lbe.wikipedia,KZ,2022,2,1000
lbe.wikipedia,DK,2022,2,1000
lbe.wikipedia,KR,2022,2,1000
lbe.wikipedia,VN,2022,2,1000
lbe.wikipedia,SC,2022,2,1000
lbe.wikipedia,ID,2022,2,1000
lbe.wikipedia,US,2022,3,9000
lbe.wikipedia,NL,2022,3,5000
lbe.wikipedia,RU,2022,3,5000
lbe.wikipedia,FR,2022,3,4000
lbe.wikipedia,CA,2022,3,3000
lbe.wikipedia,DE,2022,3,3000
lbe.wikipedia,SG,2022,3,2000
lbe.wikipedia,VN,2022,3,2000
lbe.wikipedia,GB,2022,3,1000
lbe.wikipedia,IR,2022,3,1000
lbe.wikipedia,AT,2022,3,1000
lbe.wikipedia,TR,2022,3,1000
lbe.wikipedia,PL,2022,3,1000
lbe.wikipedia,IT,2022,3,1000
lbe.wikipedia,HK,2022,3,1000
lbe.wikipedia,GR,2022,3,1000
lbe.wikipedia,IN,2022,3,1000
lbe.wikipedia,--,2022,3,1000
lbe.wikipedia,UA,2022,3,1000
lbe.wikipedia,IE,2022,3,1000
lbe.wikipedia,JP,2022,3,1000
lbe.wikipedia,BR,2022,3,1000
lbe.wikipedia,KR,2022,3,1000
lbe.wikipedia,KZ,2022,3,1000
lbe.wikipedia,CO,2022,3,1000
lbe.wikipedia,SC,2022,3,1000
lbe.wikipedia,LV,2022,3,1000
lbe.wikipedia,BY,2022,3,1000
lbe.wikipedia,CZ,2022,3,1000
lbe.wikipedia,UZ,2022,3,1000
lbe.wikipedia,DK,2022,3,1000
lbe.wikipedia,CN,2022,3,1000
lbe.wikipedia,NO,2022,3,1000
lbe.wikipedia,ID,2022,3,1000
lbe.wikipedia,SE,2022,3,1000
lbe.wikipedia,US,2022,4,9000
lbe.wikipedia,RU,2022,4,5000
lbe.wikipedia,NL,2022,4,4000
lbe.wikipedia,TR,2022,4,4000
lbe.wikipedia,CA,2022,4,3000
lbe.wikipedia,DE,2022,4,3000
lbe.wikipedia,FR,2022,4,2000
lbe.wikipedia,SG,2022,4,2000
lbe.wikipedia,--,2022,4,1000
lbe.wikipedia,GB,2022,4,1000
lbe.wikipedia,PL,2022,4,1000
lbe.wikipedia,IR,2022,4,1000
lbe.wikipedia,JP,2022,4,1000
lbe.wikipedia,IT,2022,4,1000
lbe.wikipedia,IN,2022,4,1000
lbe.wikipedia,KR,2022,4,1000
lbe.wikipedia,KZ,2022,4,1000
lbe.wikipedia,HK,2022,4,1000
lbe.wikipedia,UA,2022,4,1000
lbe.wikipedia,SE,2022,4,1000
lbe.wikipedia,VN,2022,4,1000
lbe.wikipedia,AT,2022,4,1000
lbe.wikipedia,EG,2022,4,1000
lbe.wikipedia,DK,2022,4,1000
lbe.wikipedia,CO,2022,4,1000
lbe.wikipedia,TJ,2022,4,1000
lbe.wikipedia,UZ,2022,4,1000
lbe.wikipedia,LV,2022,4,1000
lbe.wikipedia,ID,2022,4,1000
lbe.wikipedia,BR,2022,4,1000
lbe.wikipedia,MA,2022,4,1000
lbe.wikipedia,CZ,2022,4,1000
