project,iso2,year,month,pageviews_ceil
lez.wikipedia,US,2022,1,33000
lez.wikipedia,FR,2022,1,19000
lez.wikipedia,RU,2022,1,14000
lez.wikipedia,NL,2022,1,9000
lez.wikipedia,DE,2022,1,7000
lez.wikipedia,SG,2022,1,7000
lez.wikipedia,CA,2022,1,5000
lez.wikipedia,UA,2022,1,3000
lez.wikipedia,AZ,2022,1,3000
lez.wikipedia,IR,2022,1,3000
lez.wikipedia,KG,2022,1,2000
lez.wikipedia,GB,2022,1,2000
lez.wikipedia,PL,2022,1,2000
lez.wikipedia,JP,2022,1,2000
lez.wikipedia,IT,2022,1,1000
lez.wikipedia,HK,2022,1,1000
lez.wikipedia,FI,2022,1,1000
lez.wikipedia,--,2022,1,1000
lez.wikipedia,BR,2022,1,1000
lez.wikipedia,ES,2022,1,1000
lez.wikipedia,TR,2022,1,1000
lez.wikipedia,AM,2022,1,1000
lez.wikipedia,CN,2022,1,1000
lez.wikipedia,LV,2022,1,1000
lez.wikipedia,DK,2022,1,1000
lez.wikipedia,KR,2022,1,1000
lez.wikipedia,KZ,2022,1,1000
lez.wikipedia,TW,2022,1,1000
lez.wikipedia,UZ,2022,1,1000
lez.wikipedia,BE,2022,1,1000
lez.wikipedia,ID,2022,1,1000
lez.wikipedia,MD,2022,1,1000
lez.wikipedia,IN,2022,1,1000
lez.wikipedia,VN,2022,1,1000
lez.wikipedia,CZ,2022,1,1000
lez.wikipedia,BY,2022,1,1000
lez.wikipedia,PT,2022,1,1000
lez.wikipedia,CH,2022,1,1000
lez.wikipedia,TM,2022,1,1000
lez.wikipedia,AU,2022,1,1000
lez.wikipedia,IL,2022,1,1000
lez.wikipedia,SC,2022,1,1000
lez.wikipedia,LT,2022,1,1000
lez.wikipedia,US,2022,2,33000
lez.wikipedia,FR,2022,2,16000
lez.wikipedia,RU,2022,2,13000
lez.wikipedia,NL,2022,2,10000
lez.wikipedia,DE,2022,2,5000
lez.wikipedia,SG,2022,2,5000
lez.wikipedia,UA,2022,2,3000
lez.wikipedia,CA,2022,2,3000
lez.wikipedia,AZ,2022,2,3000
lez.wikipedia,KG,2022,2,3000
lez.wikipedia,GB,2022,2,3000
lez.wikipedia,IR,2022,2,3000
lez.wikipedia,BR,2022,2,2000
lez.wikipedia,PL,2022,2,1000
lez.wikipedia,--,2022,2,1000
lez.wikipedia,ES,2022,2,1000
lez.wikipedia,KZ,2022,2,1000
lez.wikipedia,IT,2022,2,1000
lez.wikipedia,JP,2022,2,1000
lez.wikipedia,HK,2022,2,1000
lez.wikipedia,LV,2022,2,1000
lez.wikipedia,ID,2022,2,1000
lez.wikipedia,AM,2022,2,1000
lez.wikipedia,TR,2022,2,1000
lez.wikipedia,UZ,2022,2,1000
lez.wikipedia,CN,2022,2,1000
lez.wikipedia,FI,2022,2,1000
lez.wikipedia,VN,2022,2,1000
lez.wikipedia,GR,2022,2,1000
lez.wikipedia,IN,2022,2,1000
lez.wikipedia,DK,2022,2,1000
lez.wikipedia,KR,2022,2,1000
lez.wikipedia,TM,2022,2,1000
lez.wikipedia,AU,2022,2,1000
lez.wikipedia,BY,2022,2,1000
lez.wikipedia,CH,2022,2,1000
lez.wikipedia,SC,2022,2,1000
lez.wikipedia,NZ,2022,2,1000
lez.wikipedia,MD,2022,2,1000
lez.wikipedia,CZ,2022,2,1000
lez.wikipedia,BG,2022,2,1000
lez.wikipedia,RO,2022,2,1000
lez.wikipedia,US,2022,3,27000
lez.wikipedia,RU,2022,3,10000
lez.wikipedia,FR,2022,3,10000
lez.wikipedia,NL,2022,3,8000
lez.wikipedia,DE,2022,3,7000
lez.wikipedia,CA,2022,3,5000
lez.wikipedia,VN,2022,3,5000
lez.wikipedia,SG,2022,3,4000
lez.wikipedia,AZ,2022,3,3000
lez.wikipedia,IR,2022,3,3000
lez.wikipedia,GB,2022,3,3000
lez.wikipedia,AT,2022,3,2000
lez.wikipedia,UA,2022,3,2000
lez.wikipedia,HK,2022,3,2000
lez.wikipedia,PL,2022,3,2000
lez.wikipedia,KG,2022,3,2000
lez.wikipedia,ES,2022,3,1000
lez.wikipedia,IE,2022,3,1000
lez.wikipedia,JP,2022,3,1000
lez.wikipedia,LV,2022,3,1000
lez.wikipedia,IT,2022,3,1000
lez.wikipedia,GR,2022,3,1000
lez.wikipedia,AM,2022,3,1000
lez.wikipedia,KZ,2022,3,1000
lez.wikipedia,--,2022,3,1000
lez.wikipedia,IN,2022,3,1000
lez.wikipedia,TR,2022,3,1000
lez.wikipedia,ID,2022,3,1000
lez.wikipedia,UZ,2022,3,1000
lez.wikipedia,CZ,2022,3,1000
lez.wikipedia,FI,2022,3,1000
lez.wikipedia,CO,2022,3,1000
lez.wikipedia,KR,2022,3,1000
lez.wikipedia,BR,2022,3,1000
lez.wikipedia,SC,2022,3,1000
lez.wikipedia,DK,2022,3,1000
lez.wikipedia,BY,2022,3,1000
lez.wikipedia,MY,2022,3,1000
lez.wikipedia,PT,2022,3,1000
lez.wikipedia,NO,2022,3,1000
lez.wikipedia,MD,2022,3,1000
lez.wikipedia,AU,2022,3,1000
lez.wikipedia,IL,2022,3,1000
lez.wikipedia,BG,2022,3,1000
lez.wikipedia,RO,2022,3,1000
lez.wikipedia,NZ,2022,3,1000
lez.wikipedia,TM,2022,3,1000
lez.wikipedia,NG,2022,3,1000
lez.wikipedia,CN,2022,3,1000
lez.wikipedia,US,2022,4,30000
lez.wikipedia,RU,2022,4,9000
lez.wikipedia,NL,2022,4,6000
lez.wikipedia,CA,2022,4,6000
lez.wikipedia,FR,2022,4,5000
lez.wikipedia,DE,2022,4,5000
lez.wikipedia,SG,2022,4,4000
lez.wikipedia,AZ,2022,4,3000
lez.wikipedia,GB,2022,4,2000
lez.wikipedia,IR,2022,4,2000
lez.wikipedia,HK,2022,4,2000
lez.wikipedia,--,2022,4,2000
lez.wikipedia,UA,2022,4,2000
lez.wikipedia,KG,2022,4,2000
lez.wikipedia,PL,2022,4,2000
lez.wikipedia,JP,2022,4,1000
lez.wikipedia,VN,2022,4,1000
lez.wikipedia,IT,2022,4,1000
lez.wikipedia,ID,2022,4,1000
lez.wikipedia,DK,2022,4,1000
lez.wikipedia,KR,2022,4,1000
lez.wikipedia,KZ,2022,4,1000
lez.wikipedia,AT,2022,4,1000
lez.wikipedia,IN,2022,4,1000
lez.wikipedia,TR,2022,4,1000
lez.wikipedia,KE,2022,4,1000
lez.wikipedia,UZ,2022,4,1000
lez.wikipedia,NO,2022,4,1000
lez.wikipedia,BY,2022,4,1000
lez.wikipedia,AM,2022,4,1000
lez.wikipedia,LV,2022,4,1000
lez.wikipedia,EG,2022,4,1000
lez.wikipedia,CO,2022,4,1000
lez.wikipedia,IE,2022,4,1000
lez.wikipedia,LT,2022,4,1000
lez.wikipedia,BR,2022,4,1000
lez.wikipedia,CZ,2022,4,1000
lez.wikipedia,BG,2022,4,1000
lez.wikipedia,CH,2022,4,1000
lez.wikipedia,IL,2022,4,1000
lez.wikipedia,MA,2022,4,1000
lez.wikipedia,GR,2022,4,1000
lez.wikipedia,HR,2022,4,1000
lez.wikipedia,MD,2022,4,1000
lez.wikipedia,ES,2022,4,1000
lez.wikipedia,RO,2022,4,1000
lez.wikipedia,FI,2022,4,1000
lez.wikipedia,US,2022,5,34000
lez.wikipedia,RU,2022,5,8000
lez.wikipedia,CA,2022,5,7000
lez.wikipedia,NL,2022,5,6000
lez.wikipedia,FR,2022,5,6000
lez.wikipedia,DE,2022,5,4000
lez.wikipedia,SG,2022,5,4000
lez.wikipedia,IR,2022,5,2000
lez.wikipedia,GB,2022,5,2000
lez.wikipedia,KE,2022,5,2000
lez.wikipedia,UA,2022,5,2000
lez.wikipedia,--,2022,5,2000
lez.wikipedia,HK,2022,5,2000
lez.wikipedia,IT,2022,5,2000
lez.wikipedia,PL,2022,5,2000
lez.wikipedia,AZ,2022,5,1000
lez.wikipedia,TR,2022,5,1000
lez.wikipedia,SE,2022,5,1000
lez.wikipedia,AE,2022,5,1000
lez.wikipedia,VN,2022,5,1000
lez.wikipedia,BY,2022,5,1000
lez.wikipedia,JP,2022,5,1000
lez.wikipedia,BR,2022,5,1000
lez.wikipedia,IN,2022,5,1000
lez.wikipedia,IL,2022,5,1000
