project,iso2,year,month,pageviews_ceil
lg.wikipedia,US,2022,1,10000
lg.wikipedia,FR,2022,1,7000
lg.wikipedia,NL,2022,1,6000
lg.wikipedia,UG,2022,1,6000
lg.wikipedia,CA,2022,1,3000
lg.wikipedia,DE,2022,1,3000
lg.wikipedia,RU,2022,1,2000
lg.wikipedia,--,2022,1,2000
lg.wikipedia,SG,2022,1,2000
lg.wikipedia,IT,2022,1,1000
lg.wikipedia,CH,2022,1,1000
lg.wikipedia,SE,2022,1,1000
lg.wikipedia,IR,2022,1,1000
lg.wikipedia,GB,2022,1,1000
lg.wikipedia,PL,2022,1,1000
lg.wikipedia,HK,2022,1,1000
lg.wikipedia,ES,2022,1,1000
lg.wikipedia,JP,2022,1,1000
lg.wikipedia,UA,2022,1,1000
lg.wikipedia,ID,2022,1,1000
lg.wikipedia,KR,2022,1,1000
lg.wikipedia,IL,2022,1,1000
lg.wikipedia,FI,2022,1,1000
lg.wikipedia,CN,2022,1,1000
lg.wikipedia,TW,2022,1,1000
lg.wikipedia,LV,2022,1,1000
lg.wikipedia,CZ,2022,1,1000
lg.wikipedia,IN,2022,1,1000
lg.wikipedia,DK,2022,1,1000
lg.wikipedia,TR,2022,1,1000
lg.wikipedia,BR,2022,1,1000
lg.wikipedia,AE,2022,1,1000
lg.wikipedia,ZA,2022,1,1000
lg.wikipedia,SC,2022,1,1000
lg.wikipedia,IN,2022,2,42000
lg.wikipedia,RU,2022,2,19000
lg.wikipedia,US,2022,2,11000
lg.wikipedia,UZ,2022,2,8000
lg.wikipedia,PK,2022,2,7000
lg.wikipedia,NL,2022,2,7000
lg.wikipedia,KZ,2022,2,6000
lg.wikipedia,UG,2022,2,6000
lg.wikipedia,UA,2022,2,5000
lg.wikipedia,FR,2022,2,4000
lg.wikipedia,BY,2022,2,4000
lg.wikipedia,TJ,2022,2,3000
lg.wikipedia,DE,2022,2,3000
lg.wikipedia,CA,2022,2,2000
lg.wikipedia,BR,2022,2,2000
lg.wikipedia,IR,2022,2,2000
lg.wikipedia,LV,2022,2,2000
lg.wikipedia,GB,2022,2,2000
lg.wikipedia,GE,2022,2,2000
lg.wikipedia,MN,2022,2,2000
lg.wikipedia,--,2022,2,2000
lg.wikipedia,PH,2022,2,1000
lg.wikipedia,KG,2022,2,1000
lg.wikipedia,SG,2022,2,1000
lg.wikipedia,AF,2022,2,1000
lg.wikipedia,SE,2022,2,1000
lg.wikipedia,PL,2022,2,1000
lg.wikipedia,VN,2022,2,1000
lg.wikipedia,CN,2022,2,1000
lg.wikipedia,ES,2022,2,1000
lg.wikipedia,TW,2022,2,1000
lg.wikipedia,AE,2022,2,1000
lg.wikipedia,KR,2022,2,1000
lg.wikipedia,LK,2022,2,1000
lg.wikipedia,TR,2022,2,1000
lg.wikipedia,AZ,2022,2,1000
lg.wikipedia,JP,2022,2,1000
lg.wikipedia,ZA,2022,2,1000
lg.wikipedia,IT,2022,2,1000
lg.wikipedia,ID,2022,2,1000
lg.wikipedia,FI,2022,2,1000
lg.wikipedia,MD,2022,2,1000
lg.wikipedia,BH,2022,2,1000
lg.wikipedia,MM,2022,2,1000
lg.wikipedia,EG,2022,2,1000
lg.wikipedia,SA,2022,2,1000
lg.wikipedia,HK,2022,2,1000
lg.wikipedia,IE,2022,2,1000
lg.wikipedia,SC,2022,2,1000
lg.wikipedia,MY,2022,2,1000
lg.wikipedia,GR,2022,2,1000
lg.wikipedia,AU,2022,2,1000
lg.wikipedia,NO,2022,2,1000
lg.wikipedia,BD,2022,2,1000
lg.wikipedia,IL,2022,2,1000
lg.wikipedia,FM,2022,2,1000
lg.wikipedia,CH,2022,2,1000
lg.wikipedia,KW,2022,2,1000
lg.wikipedia,TM,2022,2,1000
lg.wikipedia,IN,2022,3,69000
lg.wikipedia,RU,2022,3,25000
