project,iso2,year,month,pageviews_ceil
li.wikipedia,US,2022,1,70000
li.wikipedia,NL,2022,1,50000
li.wikipedia,DE,2022,1,20000
li.wikipedia,SG,2022,1,17000
li.wikipedia,FR,2022,1,15000
li.wikipedia,IR,2022,1,11000
li.wikipedia,CA,2022,1,11000
li.wikipedia,BE,2022,1,10000
li.wikipedia,RU,2022,1,4000
li.wikipedia,GB,2022,1,3000
li.wikipedia,PL,2022,1,3000
li.wikipedia,--,2022,1,3000
li.wikipedia,JP,2022,1,3000
li.wikipedia,FI,2022,1,2000
li.wikipedia,ZA,2022,1,2000
li.wikipedia,ID,2022,1,2000
li.wikipedia,IT,2022,1,2000
li.wikipedia,HK,2022,1,2000
li.wikipedia,BR,2022,1,1000
li.wikipedia,CN,2022,1,1000
li.wikipedia,UA,2022,1,1000
li.wikipedia,DK,2022,1,1000
li.wikipedia,PT,2022,1,1000
li.wikipedia,ES,2022,1,1000
li.wikipedia,KR,2022,1,1000
li.wikipedia,IL,2022,1,1000
li.wikipedia,CH,2022,1,1000
li.wikipedia,SE,2022,1,1000
li.wikipedia,TW,2022,1,1000
li.wikipedia,IN,2022,1,1000
li.wikipedia,VN,2022,1,1000
li.wikipedia,AU,2022,1,1000
li.wikipedia,CZ,2022,1,1000
li.wikipedia,AT,2022,1,1000
li.wikipedia,SR,2022,1,1000
li.wikipedia,TR,2022,1,1000
li.wikipedia,TH,2022,1,1000
li.wikipedia,RO,2022,1,1000
li.wikipedia,NO,2022,1,1000
li.wikipedia,LV,2022,1,1000
li.wikipedia,BG,2022,1,1000
li.wikipedia,IE,2022,1,1000
li.wikipedia,MY,2022,1,1000
li.wikipedia,EE,2022,1,1000
li.wikipedia,RS,2022,1,1000
li.wikipedia,SC,2022,1,1000
li.wikipedia,GR,2022,1,1000
li.wikipedia,EG,2022,1,1000
li.wikipedia,MD,2022,1,1000
li.wikipedia,IN,2022,2,143000
li.wikipedia,US,2022,2,78000
li.wikipedia,RU,2022,2,75000
li.wikipedia,NL,2022,2,54000
li.wikipedia,UZ,2022,2,33000
li.wikipedia,PK,2022,2,24000
li.wikipedia,KZ,2022,2,22000
li.wikipedia,BY,2022,2,17000
li.wikipedia,UA,2022,2,16000
li.wikipedia,IR,2022,2,15000
li.wikipedia,DE,2022,2,14000
li.wikipedia,FR,2022,2,13000
li.wikipedia,TJ,2022,2,9000
li.wikipedia,SG,2022,2,8000
li.wikipedia,BE,2022,2,8000
li.wikipedia,CA,2022,2,7000
li.wikipedia,GE,2022,2,6000
li.wikipedia,GB,2022,2,5000
li.wikipedia,MN,2022,2,5000
li.wikipedia,KG,2022,2,4000
li.wikipedia,PH,2022,2,4000
li.wikipedia,ZA,2022,2,4000
li.wikipedia,TW,2022,2,3000
li.wikipedia,VN,2022,2,3000
li.wikipedia,BR,2022,2,3000
li.wikipedia,PL,2022,2,3000
li.wikipedia,--,2022,2,2000
li.wikipedia,AF,2022,2,2000
li.wikipedia,ES,2022,2,2000
li.wikipedia,ID,2022,2,2000
li.wikipedia,IT,2022,2,2000
li.wikipedia,TR,2022,2,2000
li.wikipedia,FI,2022,2,2000
li.wikipedia,MD,2022,2,1000
li.wikipedia,AZ,2022,2,1000
li.wikipedia,CN,2022,2,1000
li.wikipedia,JP,2022,2,1000
li.wikipedia,AU,2022,2,1000
li.wikipedia,AM,2022,2,1000
li.wikipedia,DK,2022,2,1000
li.wikipedia,HK,2022,2,1000
li.wikipedia,MM,2022,2,1000
li.wikipedia,LK,2022,2,1000
li.wikipedia,AE,2022,2,1000
li.wikipedia,EG,2022,2,1000
li.wikipedia,KR,2022,2,1000
li.wikipedia,IE,2022,2,1000
li.wikipedia,SE,2022,2,1000
li.wikipedia,CH,2022,2,1000
li.wikipedia,CZ,2022,2,1000
li.wikipedia,SA,2022,2,1000
li.wikipedia,MY,2022,2,1000
li.wikipedia,NO,2022,2,1000
li.wikipedia,GR,2022,2,1000
li.wikipedia,SR,2022,2,1000
li.wikipedia,BD,2022,2,1000
li.wikipedia,RO,2022,2,1000
li.wikipedia,BH,2022,2,1000
li.wikipedia,SC,2022,2,1000
li.wikipedia,AT,2022,2,1000
li.wikipedia,IL,2022,2,1000
li.wikipedia,ET,2022,2,1000
li.wikipedia,LV,2022,2,1000
li.wikipedia,NE,2022,2,1000
li.wikipedia,CY,2022,2,1000
li.wikipedia,PT,2022,2,1000
li.wikipedia,KW,2022,2,1000
li.wikipedia,NG,2022,2,1000
li.wikipedia,EE,2022,2,1000
li.wikipedia,TM,2022,2,1000
li.wikipedia,DZ,2022,2,1000
li.wikipedia,LT,2022,2,1000
li.wikipedia,FM,2022,2,1000
li.wikipedia,MA,2022,2,1000
li.wikipedia,KE,2022,2,1000
li.wikipedia,RW,2022,2,1000
li.wikipedia,LY,2022,2,1000
li.wikipedia,GU,2022,2,1000
li.wikipedia,BG,2022,2,1000
li.wikipedia,IQ,2022,2,1000
li.wikipedia,BJ,2022,2,1000
li.wikipedia,HU,2022,2,1000
li.wikipedia,AW,2022,2,1000
li.wikipedia,RS,2022,2,1000
li.wikipedia,MX,2022,2,1000
li.wikipedia,CW,2022,2,1000
li.wikipedia,AL,2022,2,1000
li.wikipedia,IN,2022,3,270000
li.wikipedia,RU,2022,3,116000
li.wikipedia,UZ,2022,3,75000
li.wikipedia,US,2022,3,65000
li.wikipedia,NL,2022,3,58000
li.wikipedia,PK,2022,3,47000
li.wikipedia,KZ,2022,3,43000
li.wikipedia,BY,2022,3,22000
li.wikipedia,TJ,2022,3,19000
li.wikipedia,DE,2022,3,19000
li.wikipedia,IR,2022,3,17000
li.wikipedia,UA,2022,3,15000
li.wikipedia,CA,2022,3,12000
li.wikipedia,GE,2022,3,11000
li.wikipedia,FR,2022,3,11000
li.wikipedia,BE,2022,3,9000
li.wikipedia,KG,2022,3,9000
li.wikipedia,MN,2022,3,7000
li.wikipedia,AF,2022,3,6000
li.wikipedia,SG,2022,3,6000
li.wikipedia,AT,2022,3,6000
li.wikipedia,PH,2022,3,5000
li.wikipedia,VN,2022,3,4000
li.wikipedia,GB,2022,3,4000
li.wikipedia,ZA,2022,3,4000
li.wikipedia,TR,2022,3,4000
li.wikipedia,IE,2022,3,4000
li.wikipedia,PL,2022,3,3000
li.wikipedia,ID,2022,3,3000
li.wikipedia,AZ,2022,3,3000
li.wikipedia,MD,2022,3,2000
li.wikipedia,TM,2022,3,2000
li.wikipedia,NO,2022,3,2000
li.wikipedia,IT,2022,3,2000
li.wikipedia,GR,2022,3,2000
li.wikipedia,--,2022,3,2000
li.wikipedia,JP,2022,3,1000
li.wikipedia,MY,2022,3,1000
li.wikipedia,MM,2022,3,1000
li.wikipedia,RO,2022,3,1000
li.wikipedia,IQ,2022,3,1000
li.wikipedia,KR,2022,3,1000
li.wikipedia,SA,2022,3,1000
li.wikipedia,HK,2022,3,1000
li.wikipedia,CZ,2022,3,1000
li.wikipedia,ES,2022,3,1000
li.wikipedia,SE,2022,3,1000
li.wikipedia,LV,2022,3,1000
li.wikipedia,AE,2022,3,1000
li.wikipedia,DK,2022,3,1000
li.wikipedia,BD,2022,3,1000
li.wikipedia,LK,2022,3,1000
li.wikipedia,ET,2022,3,1000
li.wikipedia,TH,2022,3,1000
li.wikipedia,SR,2022,3,1000
li.wikipedia,IL,2022,3,1000
li.wikipedia,BR,2022,3,1000
li.wikipedia,NP,2022,3,1000
li.wikipedia,BH,2022,3,1000
li.wikipedia,PT,2022,3,1000
li.wikipedia,LT,2022,3,1000
li.wikipedia,AU,2022,3,1000
li.wikipedia,EG,2022,3,1000
li.wikipedia,TW,2022,3,1000
li.wikipedia,CN,2022,3,1000
li.wikipedia,CH,2022,3,1000
li.wikipedia,AM,2022,3,1000
li.wikipedia,NG,2022,3,1000
li.wikipedia,MX,2022,3,1000
li.wikipedia,FI,2022,3,1000
li.wikipedia,CO,2022,3,1000
li.wikipedia,MZ,2022,3,1000
li.wikipedia,BT,2022,3,1000
li.wikipedia,CD,2022,3,1000
li.wikipedia,TZ,2022,3,1000
li.wikipedia,CY,2022,3,1000
li.wikipedia,OM,2022,3,1000
li.wikipedia,KW,2022,3,1000
li.wikipedia,SC,2022,3,1000
li.wikipedia,EE,2022,3,1000
li.wikipedia,KE,2022,3,1000
li.wikipedia,RS,2022,3,1000
li.wikipedia,AW,2022,3,1000
li.wikipedia,HU,2022,3,1000
li.wikipedia,CW,2022,3,1000
