project,iso2,year,month,pageviews_ceil
lmo.wikipedia,US,2022,1,54000
lmo.wikipedia,IT,2022,1,50000
lmo.wikipedia,DE,2022,1,35000
lmo.wikipedia,NL,2022,1,25000
lmo.wikipedia,CA,2022,1,14000
lmo.wikipedia,FR,2022,1,13000
lmo.wikipedia,--,2022,1,12000
lmo.wikipedia,SG,2022,1,10000
lmo.wikipedia,IR,2022,1,9000
lmo.wikipedia,RU,2022,1,8000
lmo.wikipedia,GB,2022,1,4000
lmo.wikipedia,CH,2022,1,4000
lmo.wikipedia,FI,2022,1,4000
lmo.wikipedia,PL,2022,1,3000
lmo.wikipedia,IL,2022,1,3000
lmo.wikipedia,ES,2022,1,2000
lmo.wikipedia,DK,2022,1,2000
lmo.wikipedia,JP,2022,1,2000
lmo.wikipedia,NO,2022,1,2000
lmo.wikipedia,IE,2022,1,2000
lmo.wikipedia,ID,2022,1,2000
lmo.wikipedia,BR,2022,1,2000
lmo.wikipedia,RO,2022,1,2000
lmo.wikipedia,HK,2022,1,2000
lmo.wikipedia,SE,2022,1,1000
lmo.wikipedia,CN,2022,1,1000
lmo.wikipedia,BE,2022,1,1000
lmo.wikipedia,LU,2022,1,1000
lmo.wikipedia,HR,2022,1,1000
lmo.wikipedia,IN,2022,1,1000
lmo.wikipedia,PT,2022,1,1000
lmo.wikipedia,UA,2022,1,1000
lmo.wikipedia,AT,2022,1,1000
lmo.wikipedia,CZ,2022,1,1000
lmo.wikipedia,AU,2022,1,1000
lmo.wikipedia,KR,2022,1,1000
lmo.wikipedia,VN,2022,1,1000
lmo.wikipedia,TW,2022,1,1000
lmo.wikipedia,TR,2022,1,1000
lmo.wikipedia,LV,2022,1,1000
lmo.wikipedia,PH,2022,1,1000
lmo.wikipedia,GR,2022,1,1000
lmo.wikipedia,AL,2022,1,1000
lmo.wikipedia,BG,2022,1,1000
lmo.wikipedia,MX,2022,1,1000
lmo.wikipedia,AR,2022,1,1000
lmo.wikipedia,CL,2022,1,1000
lmo.wikipedia,ZA,2022,1,1000
lmo.wikipedia,HU,2022,1,1000
lmo.wikipedia,RS,2022,1,1000
lmo.wikipedia,PE,2022,1,1000
lmo.wikipedia,CO,2022,1,1000
lmo.wikipedia,MY,2022,1,1000
lmo.wikipedia,CR,2022,1,1000
lmo.wikipedia,BD,2022,1,1000
lmo.wikipedia,TH,2022,1,1000
lmo.wikipedia,EG,2022,1,1000
lmo.wikipedia,SC,2022,1,1000
lmo.wikipedia,NG,2022,1,1000
lmo.wikipedia,MD,2022,1,1000
lmo.wikipedia,SI,2022,1,1000
lmo.wikipedia,SA,2022,1,1000
lmo.wikipedia,MA,2022,1,1000
lmo.wikipedia,KZ,2022,1,1000
lmo.wikipedia,GH,2022,1,1000
lmo.wikipedia,SK,2022,1,1000
lmo.wikipedia,IN,2022,2,134000
lmo.wikipedia,RU,2022,2,73000
lmo.wikipedia,US,2022,2,60000
lmo.wikipedia,IT,2022,2,43000
lmo.wikipedia,DE,2022,2,35000
lmo.wikipedia,UZ,2022,2,30000
lmo.wikipedia,NL,2022,2,26000
lmo.wikipedia,PK,2022,2,21000
lmo.wikipedia,KZ,2022,2,21000
lmo.wikipedia,FR,2022,2,16000
lmo.wikipedia,BY,2022,2,15000
lmo.wikipedia,UA,2022,2,15000
lmo.wikipedia,IR,2022,2,13000
lmo.wikipedia,--,2022,2,12000
lmo.wikipedia,CA,2022,2,9000
lmo.wikipedia,SG,2022,2,9000
lmo.wikipedia,TJ,2022,2,8000
lmo.wikipedia,AT,2022,2,8000
lmo.wikipedia,GB,2022,2,7000
lmo.wikipedia,GE,2022,2,6000
lmo.wikipedia,MN,2022,2,4000
lmo.wikipedia,PH,2022,2,4000
lmo.wikipedia,LU,2022,2,4000
lmo.wikipedia,CH,2022,2,4000
lmo.wikipedia,KG,2022,2,4000
lmo.wikipedia,TW,2022,2,3000
lmo.wikipedia,VN,2022,2,3000
lmo.wikipedia,PL,2022,2,3000
lmo.wikipedia,BR,2022,2,3000
lmo.wikipedia,ES,2022,2,2000
lmo.wikipedia,IE,2022,2,2000
lmo.wikipedia,ID,2022,2,2000
lmo.wikipedia,AF,2022,2,2000
lmo.wikipedia,FI,2022,2,2000
lmo.wikipedia,NO,2022,2,2000
lmo.wikipedia,RO,2022,2,2000
lmo.wikipedia,CN,2022,2,2000
lmo.wikipedia,TR,2022,2,2000
lmo.wikipedia,JP,2022,2,2000
lmo.wikipedia,MD,2022,2,2000
lmo.wikipedia,HK,2022,2,1000
lmo.wikipedia,AZ,2022,2,1000
lmo.wikipedia,SE,2022,2,1000
lmo.wikipedia,DK,2022,2,1000
lmo.wikipedia,AU,2022,2,1000
lmo.wikipedia,EG,2022,2,1000
lmo.wikipedia,AM,2022,2,1000
lmo.wikipedia,MM,2022,2,1000
lmo.wikipedia,ZA,2022,2,1000
lmo.wikipedia,AE,2022,2,1000
lmo.wikipedia,CZ,2022,2,1000
lmo.wikipedia,LV,2022,2,1000
lmo.wikipedia,GR,2022,2,1000
lmo.wikipedia,AL,2022,2,1000
lmo.wikipedia,BE,2022,2,1000
lmo.wikipedia,BD,2022,2,1000
lmo.wikipedia,LK,2022,2,1000
lmo.wikipedia,SA,2022,2,1000
lmo.wikipedia,MY,2022,2,1000
lmo.wikipedia,PT,2022,2,1000
lmo.wikipedia,SC,2022,2,1000
lmo.wikipedia,IL,2022,2,1000
lmo.wikipedia,BH,2022,2,1000
lmo.wikipedia,KR,2022,2,1000
lmo.wikipedia,ET,2022,2,1000
lmo.wikipedia,NG,2022,2,1000
lmo.wikipedia,AR,2022,2,1000
lmo.wikipedia,KW,2022,2,1000
lmo.wikipedia,RW,2022,2,1000
lmo.wikipedia,CY,2022,2,1000
lmo.wikipedia,RS,2022,2,1000
lmo.wikipedia,HR,2022,2,1000
lmo.wikipedia,KE,2022,2,1000
lmo.wikipedia,NE,2022,2,1000
lmo.wikipedia,MA,2022,2,1000
lmo.wikipedia,PA,2022,2,1000
lmo.wikipedia,HU,2022,2,1000
lmo.wikipedia,MX,2022,2,1000
lmo.wikipedia,DZ,2022,2,1000
lmo.wikipedia,CO,2022,2,1000
lmo.wikipedia,BG,2022,2,1000
lmo.wikipedia,SI,2022,2,1000
lmo.wikipedia,BJ,2022,2,1000
lmo.wikipedia,LT,2022,2,1000
lmo.wikipedia,SK,2022,2,1000
lmo.wikipedia,PE,2022,2,1000
lmo.wikipedia,IS,2022,2,1000
lmo.wikipedia,FM,2022,2,1000
lmo.wikipedia,GU,2022,2,1000
lmo.wikipedia,IN,2022,3,251000
lmo.wikipedia,RU,2022,3,112000
lmo.wikipedia,UZ,2022,3,70000
lmo.wikipedia,IT,2022,3,51000
lmo.wikipedia,US,2022,3,49000
lmo.wikipedia,PK,2022,3,45000
lmo.wikipedia,DE,2022,3,44000
lmo.wikipedia,KZ,2022,3,42000
lmo.wikipedia,NL,2022,3,29000
lmo.wikipedia,BY,2022,3,21000
lmo.wikipedia,TJ,2022,3,19000
lmo.wikipedia,IR,2022,3,18000
lmo.wikipedia,UA,2022,3,17000
lmo.wikipedia,--,2022,3,16000
lmo.wikipedia,CA,2022,3,16000
lmo.wikipedia,FR,2022,3,14000
lmo.wikipedia,AT,2022,3,11000
lmo.wikipedia,GE,2022,3,11000
lmo.wikipedia,KG,2022,3,8000
lmo.wikipedia,MN,2022,3,7000
lmo.wikipedia,SG,2022,3,6000
lmo.wikipedia,AF,2022,3,6000
lmo.wikipedia,CH,2022,3,6000
lmo.wikipedia,GB,2022,3,5000
lmo.wikipedia,IE,2022,3,5000
lmo.wikipedia,PH,2022,3,5000
lmo.wikipedia,VN,2022,3,4000
lmo.wikipedia,TR,2022,3,4000
lmo.wikipedia,PL,2022,3,3000
lmo.wikipedia,SE,2022,3,3000
lmo.wikipedia,ID,2022,3,3000
lmo.wikipedia,RO,2022,3,3000
lmo.wikipedia,NO,2022,3,3000
lmo.wikipedia,LU,2022,3,2000
lmo.wikipedia,AZ,2022,3,2000
lmo.wikipedia,ES,2022,3,2000
lmo.wikipedia,LV,2022,3,2000
lmo.wikipedia,DK,2022,3,2000
lmo.wikipedia,JP,2022,3,2000
lmo.wikipedia,MD,2022,3,2000
lmo.wikipedia,GR,2022,3,2000
lmo.wikipedia,BR,2022,3,2000
lmo.wikipedia,HK,2022,3,2000
