project,iso2,year,month,pageviews_ceil
ln.wikipedia,US,2022,1,20000
ln.wikipedia,FR,2022,1,19000
ln.wikipedia,NL,2022,1,8000
ln.wikipedia,DE,2022,1,6000
ln.wikipedia,CA,2022,1,5000
ln.wikipedia,SG,2022,1,3000
ln.wikipedia,RU,2022,1,3000
ln.wikipedia,IR,2022,1,3000
ln.wikipedia,CD,2022,1,3000
ln.wikipedia,PL,2022,1,2000
ln.wikipedia,GB,2022,1,1000
ln.wikipedia,BE,2022,1,1000
ln.wikipedia,JP,2022,1,1000
ln.wikipedia,--,2022,1,1000
ln.wikipedia,FI,2022,1,1000
ln.wikipedia,HK,2022,1,1000
ln.wikipedia,CH,2022,1,1000
ln.wikipedia,IT,2022,1,1000
ln.wikipedia,CN,2022,1,1000
ln.wikipedia,SE,2022,1,1000
ln.wikipedia,BR,2022,1,1000
ln.wikipedia,KR,2022,1,1000
ln.wikipedia,DK,2022,1,1000
ln.wikipedia,ES,2022,1,1000
ln.wikipedia,IN,2022,1,1000
ln.wikipedia,UA,2022,1,1000
ln.wikipedia,TW,2022,1,1000
ln.wikipedia,PT,2022,1,1000
ln.wikipedia,VN,2022,1,1000
ln.wikipedia,CZ,2022,1,1000
ln.wikipedia,ID,2022,1,1000
ln.wikipedia,ZA,2022,1,1000
ln.wikipedia,TR,2022,1,1000
ln.wikipedia,LV,2022,1,1000
ln.wikipedia,AU,2022,1,1000
ln.wikipedia,AO,2022,1,1000
ln.wikipedia,CG,2022,1,1000
ln.wikipedia,IL,2022,1,1000
ln.wikipedia,BY,2022,1,1000
ln.wikipedia,KE,2022,1,1000
ln.wikipedia,MA,2022,1,1000
ln.wikipedia,SC,2022,1,1000
ln.wikipedia,IN,2022,2,72000
ln.wikipedia,RU,2022,2,34000
ln.wikipedia,US,2022,2,18000
ln.wikipedia,UZ,2022,2,15000
ln.wikipedia,FR,2022,2,15000
ln.wikipedia,PK,2022,2,12000
ln.wikipedia,KZ,2022,2,11000
ln.wikipedia,NL,2022,2,9000
ln.wikipedia,UA,2022,2,8000
ln.wikipedia,BY,2022,2,7000
ln.wikipedia,TJ,2022,2,5000
ln.wikipedia,DE,2022,2,5000
ln.wikipedia,IR,2022,2,4000
ln.wikipedia,CA,2022,2,3000
ln.wikipedia,GE,2022,2,3000
ln.wikipedia,CD,2022,2,3000
ln.wikipedia,MN,2022,2,2000
ln.wikipedia,GB,2022,2,2000
ln.wikipedia,SG,2022,2,2000
ln.wikipedia,KG,2022,2,2000
ln.wikipedia,PH,2022,2,2000
ln.wikipedia,VN,2022,2,2000
ln.wikipedia,AF,2022,2,1000
ln.wikipedia,PL,2022,2,1000
ln.wikipedia,BR,2022,2,1000
ln.wikipedia,--,2022,2,1000
ln.wikipedia,TW,2022,2,1000
ln.wikipedia,JP,2022,2,1000
ln.wikipedia,ES,2022,2,1000
ln.wikipedia,IT,2022,2,1000
ln.wikipedia,ZA,2022,2,1000
ln.wikipedia,AZ,2022,2,1000
ln.wikipedia,LK,2022,2,1000
ln.wikipedia,ID,2022,2,1000
ln.wikipedia,TR,2022,2,1000
ln.wikipedia,FI,2022,2,1000
ln.wikipedia,MD,2022,2,1000
ln.wikipedia,AU,2022,2,1000
ln.wikipedia,CN,2022,2,1000
ln.wikipedia,BE,2022,2,1000
ln.wikipedia,CH,2022,2,1000
ln.wikipedia,MM,2022,2,1000
ln.wikipedia,EG,2022,2,1000
ln.wikipedia,HK,2022,2,1000
ln.wikipedia,DK,2022,2,1000
ln.wikipedia,IE,2022,2,1000
ln.wikipedia,BD,2022,2,1000
ln.wikipedia,AE,2022,2,1000
ln.wikipedia,SC,2022,2,1000
ln.wikipedia,MY,2022,2,1000
ln.wikipedia,KR,2022,2,1000
ln.wikipedia,BH,2022,2,1000
ln.wikipedia,LV,2022,2,1000
ln.wikipedia,GR,2022,2,1000
ln.wikipedia,SE,2022,2,1000
ln.wikipedia,NO,2022,2,1000
ln.wikipedia,SA,2022,2,1000
ln.wikipedia,IL,2022,2,1000
ln.wikipedia,KW,2022,2,1000
ln.wikipedia,AM,2022,2,1000
ln.wikipedia,KE,2022,2,1000
ln.wikipedia,MA,2022,2,1000
ln.wikipedia,TM,2022,2,1000
ln.wikipedia,NE,2022,2,1000
ln.wikipedia,CZ,2022,2,1000
ln.wikipedia,FM,2022,2,1000
ln.wikipedia,CG,2022,2,1000
ln.wikipedia,AO,2022,2,1000
ln.wikipedia,TZ,2022,2,1000
ln.wikipedia,ET,2022,2,1000
ln.wikipedia,PT,2022,2,1000
ln.wikipedia,IN,2022,3,117000
ln.wikipedia,RU,2022,3,43000
ln.wikipedia,UZ,2022,3,28000
ln.wikipedia,PK,2022,3,22000
ln.wikipedia,US,2022,3,20000
ln.wikipedia,KZ,2022,3,17000
ln.wikipedia,TJ,2022,3,12000
ln.wikipedia,FR,2022,3,9000
ln.wikipedia,NL,2022,3,8000
ln.wikipedia,BY,2022,3,7000
ln.wikipedia,DE,2022,3,7000
ln.wikipedia,UA,2022,3,7000
ln.wikipedia,CA,2022,3,6000
ln.wikipedia,IR,2022,3,5000
ln.wikipedia,GE,2022,3,5000
ln.wikipedia,AF,2022,3,4000
ln.wikipedia,KG,2022,3,3000
ln.wikipedia,CD,2022,3,3000
ln.wikipedia,MN,2022,3,2000
ln.wikipedia,VN,2022,3,2000
ln.wikipedia,AT,2022,3,2000
ln.wikipedia,PH,2022,3,2000
ln.wikipedia,GB,2022,3,2000
ln.wikipedia,SG,2022,3,2000
ln.wikipedia,TR,2022,3,2000
ln.wikipedia,IE,2022,3,2000
ln.wikipedia,PL,2022,3,2000
ln.wikipedia,ID,2022,3,1000
ln.wikipedia,TM,2022,3,1000
ln.wikipedia,AZ,2022,3,1000
ln.wikipedia,BD,2022,3,1000
ln.wikipedia,IT,2022,3,1000
ln.wikipedia,HK,2022,3,1000
ln.wikipedia,JP,2022,3,1000
ln.wikipedia,IQ,2022,3,1000
ln.wikipedia,--,2022,3,1000
ln.wikipedia,ES,2022,3,1000
ln.wikipedia,GR,2022,3,1000
ln.wikipedia,LV,2022,3,1000
ln.wikipedia,MY,2022,3,1000
ln.wikipedia,AE,2022,3,1000
ln.wikipedia,NO,2022,3,1000
ln.wikipedia,ZA,2022,3,1000
ln.wikipedia,FI,2022,3,1000
ln.wikipedia,BE,2022,3,1000
ln.wikipedia,KR,2022,3,1000
ln.wikipedia,SE,2022,3,1000
ln.wikipedia,MD,2022,3,1000
ln.wikipedia,DK,2022,3,1000
ln.wikipedia,CH,2022,3,1000
ln.wikipedia,CI,2022,3,1000
ln.wikipedia,CZ,2022,3,1000
ln.wikipedia,SA,2022,3,1000
ln.wikipedia,BR,2022,3,1000
ln.wikipedia,MM,2022,3,1000
ln.wikipedia,ET,2022,3,1000
ln.wikipedia,LK,2022,3,1000
ln.wikipedia,CO,2022,3,1000
ln.wikipedia,KE,2022,3,1000
ln.wikipedia,BH,2022,3,1000
ln.wikipedia,PT,2022,3,1000
ln.wikipedia,NE,2022,3,1000
ln.wikipedia,MX,2022,3,1000
ln.wikipedia,TH,2022,3,1000
ln.wikipedia,TW,2022,3,1000
ln.wikipedia,AU,2022,3,1000
ln.wikipedia,IL,2022,3,1000
ln.wikipedia,EG,2022,3,1000
ln.wikipedia,SC,2022,3,1000
ln.wikipedia,NP,2022,3,1000
ln.wikipedia,CN,2022,3,1000
ln.wikipedia,RO,2022,3,1000
ln.wikipedia,RW,2022,3,1000
ln.wikipedia,OM,2022,3,1000
ln.wikipedia,NG,2022,3,1000
ln.wikipedia,ZM,2022,3,1000
ln.wikipedia,SL,2022,3,1000
ln.wikipedia,IN,2022,4,37000
ln.wikipedia,RU,2022,4,30000
ln.wikipedia,US,2022,4,18000
ln.wikipedia,UZ,2022,4,11000
ln.wikipedia,UA,2022,4,8000
ln.wikipedia,KZ,2022,4,8000
ln.wikipedia,CA,2022,4,6000
ln.wikipedia,TJ,2022,4,6000
ln.wikipedia,DE,2022,4,5000
ln.wikipedia,BY,2022,4,5000
ln.wikipedia,NL,2022,4,5000
ln.wikipedia,FR,2022,4,4000
ln.wikipedia,PK,2022,4,4000
ln.wikipedia,IR,2022,4,3000
ln.wikipedia,AF,2022,4,3000
ln.wikipedia,CD,2022,4,2000
ln.wikipedia,GE,2022,4,2000
ln.wikipedia,MN,2022,4,2000
ln.wikipedia,SE,2022,4,2000
ln.wikipedia,SG,2022,4,2000
ln.wikipedia,GB,2022,4,2000
ln.wikipedia,VN,2022,4,2000
ln.wikipedia,--,2022,4,2000
ln.wikipedia,PL,2022,4,2000
