project,iso2,year,month,pageviews_ceil
lo.wikipedia,ID,2022,1,67000
lo.wikipedia,BR,2022,1,61000
lo.wikipedia,US,2022,1,60000
lo.wikipedia,LA,2022,1,51000
lo.wikipedia,TW,2022,1,45000
lo.wikipedia,HK,2022,1,37000
lo.wikipedia,MY,2022,1,31000
lo.wikipedia,FR,2022,1,26000
lo.wikipedia,SG,2022,1,24000
lo.wikipedia,CA,2022,1,20000
lo.wikipedia,PH,2022,1,19000
lo.wikipedia,TH,2022,1,18000
lo.wikipedia,DE,2022,1,17000
lo.wikipedia,BD,2022,1,13000
lo.wikipedia,NL,2022,1,12000
lo.wikipedia,GB,2022,1,12000
lo.wikipedia,EC,2022,1,11000
lo.wikipedia,RU,2022,1,11000
lo.wikipedia,VN,2022,1,10000
lo.wikipedia,AU,2022,1,9000
lo.wikipedia,JP,2022,1,7000
lo.wikipedia,MX,2022,1,7000
lo.wikipedia,ES,2022,1,6000
lo.wikipedia,IN,2022,1,5000
lo.wikipedia,IT,2022,1,4000
lo.wikipedia,UA,2022,1,4000
lo.wikipedia,IQ,2022,1,4000
lo.wikipedia,AR,2022,1,4000
lo.wikipedia,IR,2022,1,3000
lo.wikipedia,CO,2022,1,3000
lo.wikipedia,MO,2022,1,3000
lo.wikipedia,PK,2022,1,3000
lo.wikipedia,KR,2022,1,3000
lo.wikipedia,ZA,2022,1,2000
lo.wikipedia,PL,2022,1,2000
lo.wikipedia,NP,2022,1,2000
lo.wikipedia,NZ,2022,1,2000
lo.wikipedia,DZ,2022,1,2000
lo.wikipedia,PT,2022,1,2000
lo.wikipedia,PE,2022,1,2000
lo.wikipedia,PY,2022,1,2000
lo.wikipedia,BE,2022,1,2000
lo.wikipedia,UZ,2022,1,2000
lo.wikipedia,CL,2022,1,1000
lo.wikipedia,TR,2022,1,1000
lo.wikipedia,KH,2022,1,1000
lo.wikipedia,EG,2022,1,1000
lo.wikipedia,MM,2022,1,1000
lo.wikipedia,QA,2022,1,1000
lo.wikipedia,MA,2022,1,1000
lo.wikipedia,TN,2022,1,1000
lo.wikipedia,VE,2022,1,1000
lo.wikipedia,GR,2022,1,1000
lo.wikipedia,--,2022,1,1000
lo.wikipedia,SE,2022,1,1000
lo.wikipedia,FI,2022,1,1000
lo.wikipedia,AE,2022,1,1000
lo.wikipedia,BA,2022,1,1000
lo.wikipedia,HU,2022,1,1000
lo.wikipedia,DO,2022,1,1000
lo.wikipedia,IE,2022,1,1000
lo.wikipedia,CH,2022,1,1000
lo.wikipedia,BG,2022,1,1000
lo.wikipedia,BH,2022,1,1000
