project,iso2,year,month,pageviews_ceil
lv.wikipedia,LV,2022,1,4693000
lv.wikipedia,US,2022,1,230000
lv.wikipedia,ID,2022,1,112000
lv.wikipedia,BR,2022,1,107000
lv.wikipedia,DE,2022,1,88000
lv.wikipedia,GB,2022,1,75000
lv.wikipedia,CA,2022,1,75000
lv.wikipedia,TW,2022,1,73000
lv.wikipedia,FR,2022,1,73000
lv.wikipedia,SG,2022,1,66000
lv.wikipedia,HK,2022,1,61000
lv.wikipedia,NL,2022,1,51000
lv.wikipedia,MY,2022,1,49000
lv.wikipedia,RU,2022,1,40000
lv.wikipedia,PH,2022,1,31000
lv.wikipedia,IR,2022,1,30000
lv.wikipedia,FI,2022,1,24000
lv.wikipedia,TH,2022,1,24000
lv.wikipedia,BD,2022,1,21000
lv.wikipedia,PL,2022,1,20000
lv.wikipedia,LT,2022,1,20000
lv.wikipedia,TR,2022,1,20000
lv.wikipedia,JP,2022,1,17000
lv.wikipedia,AU,2022,1,17000
lv.wikipedia,ES,2022,1,17000
lv.wikipedia,VN,2022,1,16000
lv.wikipedia,NO,2022,1,16000
lv.wikipedia,EC,2022,1,15000
lv.wikipedia,SE,2022,1,15000
lv.wikipedia,--,2022,1,14000
lv.wikipedia,DK,2022,1,14000
lv.wikipedia,IT,2022,1,12000
lv.wikipedia,MX,2022,1,12000
lv.wikipedia,IE,2022,1,11000
lv.wikipedia,EE,2022,1,11000
lv.wikipedia,IN,2022,1,11000
lv.wikipedia,UA,2022,1,10000
lv.wikipedia,BE,2022,1,8000
lv.wikipedia,IL,2022,1,7000
lv.wikipedia,AR,2022,1,6000
lv.wikipedia,IQ,2022,1,6000
lv.wikipedia,CO,2022,1,5000
lv.wikipedia,KR,2022,1,5000
lv.wikipedia,CZ,2022,1,5000
lv.wikipedia,PT,2022,1,5000
lv.wikipedia,MO,2022,1,4000
lv.wikipedia,CH,2022,1,4000
lv.wikipedia,PK,2022,1,4000
lv.wikipedia,AT,2022,1,4000
lv.wikipedia,ZA,2022,1,3000
lv.wikipedia,NP,2022,1,3000
lv.wikipedia,NZ,2022,1,3000
lv.wikipedia,LU,2022,1,3000
lv.wikipedia,HU,2022,1,3000
lv.wikipedia,DZ,2022,1,3000
lv.wikipedia,EG,2022,1,3000
lv.wikipedia,GR,2022,1,3000
lv.wikipedia,PE,2022,1,3000
lv.wikipedia,RO,2022,1,3000
lv.wikipedia,AE,2022,1,2000
lv.wikipedia,BG,2022,1,2000
lv.wikipedia,BY,2022,1,2000
lv.wikipedia,UZ,2022,1,2000
lv.wikipedia,IS,2022,1,2000
lv.wikipedia,GE,2022,1,2000
lv.wikipedia,CL,2022,1,2000
lv.wikipedia,PY,2022,1,2000
lv.wikipedia,KH,2022,1,2000
lv.wikipedia,VE,2022,1,2000
lv.wikipedia,RS,2022,1,2000
lv.wikipedia,SK,2022,1,2000
lv.wikipedia,TN,2022,1,2000
lv.wikipedia,QA,2022,1,2000
lv.wikipedia,MA,2022,1,2000
lv.wikipedia,CN,2022,1,2000
lv.wikipedia,MM,2022,1,2000
lv.wikipedia,BA,2022,1,2000
lv.wikipedia,DO,2022,1,2000
