project,iso2,year,month,pageviews_ceil
mhr.wikipedia,US,2022,1,43000
mhr.wikipedia,FR,2022,1,17000
mhr.wikipedia,NL,2022,1,12000
mhr.wikipedia,RU,2022,1,12000
mhr.wikipedia,DE,2022,1,9000
mhr.wikipedia,SG,2022,1,9000
mhr.wikipedia,CA,2022,1,7000
mhr.wikipedia,IR,2022,1,5000
mhr.wikipedia,GB,2022,1,3000
mhr.wikipedia,FI,2022,1,2000
mhr.wikipedia,PL,2022,1,2000
mhr.wikipedia,JP,2022,1,2000
mhr.wikipedia,KG,2022,1,2000
mhr.wikipedia,HK,2022,1,1000
mhr.wikipedia,IT,2022,1,1000
mhr.wikipedia,UA,2022,1,1000
mhr.wikipedia,KR,2022,1,1000
mhr.wikipedia,ID,2022,1,1000
mhr.wikipedia,KZ,2022,1,1000
mhr.wikipedia,BR,2022,1,1000
mhr.wikipedia,--,2022,1,1000
mhr.wikipedia,TH,2022,1,1000
mhr.wikipedia,ES,2022,1,1000
mhr.wikipedia,DK,2022,1,1000
mhr.wikipedia,CN,2022,1,1000
mhr.wikipedia,TW,2022,1,1000
mhr.wikipedia,IN,2022,1,1000
mhr.wikipedia,VN,2022,1,1000
mhr.wikipedia,BE,2022,1,1000
mhr.wikipedia,PT,2022,1,1000
mhr.wikipedia,LV,2022,1,1000
mhr.wikipedia,RO,2022,1,1000
mhr.wikipedia,TR,2022,1,1000
mhr.wikipedia,AU,2022,1,1000
mhr.wikipedia,CZ,2022,1,1000
mhr.wikipedia,IL,2022,1,1000
mhr.wikipedia,RS,2022,1,1000
mhr.wikipedia,CH,2022,1,1000
mhr.wikipedia,SC,2022,1,1000
mhr.wikipedia,BG,2022,1,1000
mhr.wikipedia,ZA,2022,1,1000
mhr.wikipedia,EG,2022,1,1000
mhr.wikipedia,IN,2022,2,60000
mhr.wikipedia,US,2022,2,42000
mhr.wikipedia,RU,2022,2,37000
mhr.wikipedia,FR,2022,2,18000
mhr.wikipedia,NL,2022,2,14000
mhr.wikipedia,UZ,2022,2,13000
mhr.wikipedia,PK,2022,2,10000
mhr.wikipedia,KZ,2022,2,10000
mhr.wikipedia,UA,2022,2,7000
mhr.wikipedia,SG,2022,2,7000
mhr.wikipedia,DE,2022,2,6000
mhr.wikipedia,BY,2022,2,6000
mhr.wikipedia,IR,2022,2,6000
mhr.wikipedia,CA,2022,2,5000
mhr.wikipedia,TJ,2022,2,4000
mhr.wikipedia,GB,2022,2,4000
mhr.wikipedia,KG,2022,2,3000
mhr.wikipedia,BR,2022,2,3000
mhr.wikipedia,GE,2022,2,2000
mhr.wikipedia,MN,2022,2,2000
mhr.wikipedia,PH,2022,2,2000
mhr.wikipedia,PL,2022,2,2000
mhr.wikipedia,ID,2022,2,2000
mhr.wikipedia,VN,2022,2,2000
mhr.wikipedia,AF,2022,2,1000
mhr.wikipedia,KR,2022,2,1000
mhr.wikipedia,FI,2022,2,1000
mhr.wikipedia,--,2022,2,1000
mhr.wikipedia,ES,2022,2,1000
mhr.wikipedia,IT,2022,2,1000
mhr.wikipedia,JP,2022,2,1000
mhr.wikipedia,TR,2022,2,1000
mhr.wikipedia,HK,2022,2,1000
mhr.wikipedia,DK,2022,2,1000
mhr.wikipedia,AU,2022,2,1000
mhr.wikipedia,AZ,2022,2,1000
mhr.wikipedia,CN,2022,2,1000
mhr.wikipedia,MD,2022,2,1000
mhr.wikipedia,LK,2022,2,1000
mhr.wikipedia,TW,2022,2,1000
mhr.wikipedia,MM,2022,2,1000
mhr.wikipedia,ZA,2022,2,1000
mhr.wikipedia,AE,2022,2,1000
mhr.wikipedia,MY,2022,2,1000
mhr.wikipedia,GR,2022,2,1000
mhr.wikipedia,BD,2022,2,1000
mhr.wikipedia,LV,2022,2,1000
mhr.wikipedia,SC,2022,2,1000
mhr.wikipedia,IE,2022,2,1000
mhr.wikipedia,IL,2022,2,1000
mhr.wikipedia,RO,2022,2,1000
mhr.wikipedia,EG,2022,2,1000
mhr.wikipedia,CH,2022,2,1000
mhr.wikipedia,AM,2022,2,1000
mhr.wikipedia,SA,2022,2,1000
mhr.wikipedia,NE,2022,2,1000
mhr.wikipedia,BH,2022,2,1000
mhr.wikipedia,NO,2022,2,1000
mhr.wikipedia,BG,2022,2,1000
mhr.wikipedia,KW,2022,2,1000
mhr.wikipedia,CZ,2022,2,1000
mhr.wikipedia,TH,2022,2,1000
mhr.wikipedia,MA,2022,2,1000
mhr.wikipedia,ET,2022,2,1000
mhr.wikipedia,BJ,2022,2,1000
mhr.wikipedia,EE,2022,2,1000
mhr.wikipedia,TM,2022,2,1000
mhr.wikipedia,SE,2022,2,1000
mhr.wikipedia,IN,2022,3,103000
mhr.wikipedia,RU,2022,3,47000
mhr.wikipedia,US,2022,3,33000
mhr.wikipedia,UZ,2022,3,26000
mhr.wikipedia,PK,2022,3,20000
mhr.wikipedia,KZ,2022,3,16000
mhr.wikipedia,NL,2022,3,13000
mhr.wikipedia,IR,2022,3,12000
mhr.wikipedia,TJ,2022,3,11000
mhr.wikipedia,FR,2022,3,10000
mhr.wikipedia,DE,2022,3,8000
mhr.wikipedia,CA,2022,3,8000
mhr.wikipedia,BY,2022,3,7000
mhr.wikipedia,UA,2022,3,6000
mhr.wikipedia,SG,2022,3,6000
mhr.wikipedia,GE,2022,3,4000
mhr.wikipedia,AF,2022,3,4000
mhr.wikipedia,AT,2022,3,3000
mhr.wikipedia,KG,2022,3,3000
mhr.wikipedia,GB,2022,3,3000
mhr.wikipedia,VN,2022,3,3000
mhr.wikipedia,MN,2022,3,2000
mhr.wikipedia,PH,2022,3,2000
mhr.wikipedia,IE,2022,3,2000
mhr.wikipedia,PL,2022,3,2000
mhr.wikipedia,TR,2022,3,2000
mhr.wikipedia,ID,2022,3,2000
mhr.wikipedia,KR,2022,3,1000
mhr.wikipedia,JP,2022,3,1000
mhr.wikipedia,LV,2022,3,1000
mhr.wikipedia,BD,2022,3,1000
mhr.wikipedia,TM,2022,3,1000
mhr.wikipedia,AZ,2022,3,1000
mhr.wikipedia,HK,2022,3,1000
mhr.wikipedia,--,2022,3,1000
mhr.wikipedia,GR,2022,3,1000
mhr.wikipedia,IQ,2022,3,1000
mhr.wikipedia,IT,2022,3,1000
mhr.wikipedia,MY,2022,3,1000
mhr.wikipedia,ZA,2022,3,1000
mhr.wikipedia,ES,2022,3,1000
mhr.wikipedia,MD,2022,3,1000
mhr.wikipedia,BR,2022,3,1000
mhr.wikipedia,CZ,2022,3,1000
mhr.wikipedia,AE,2022,3,1000
mhr.wikipedia,DK,2022,3,1000
mhr.wikipedia,NO,2022,3,1000
mhr.wikipedia,CO,2022,3,1000
mhr.wikipedia,NG,2022,3,1000
mhr.wikipedia,TW,2022,3,1000
mhr.wikipedia,RO,2022,3,1000
mhr.wikipedia,AU,2022,3,1000
mhr.wikipedia,MM,2022,3,1000
mhr.wikipedia,IL,2022,3,1000
mhr.wikipedia,SA,2022,3,1000
mhr.wikipedia,FI,2022,3,1000
mhr.wikipedia,ET,2022,3,1000
mhr.wikipedia,LK,2022,3,1000
mhr.wikipedia,PT,2022,3,1000
mhr.wikipedia,KE,2022,3,1000
mhr.wikipedia,CD,2022,3,1000
mhr.wikipedia,SC,2022,3,1000
mhr.wikipedia,BH,2022,3,1000
mhr.wikipedia,MX,2022,3,1000
mhr.wikipedia,CI,2022,3,1000
mhr.wikipedia,NE,2022,3,1000
mhr.wikipedia,TH,2022,3,1000
mhr.wikipedia,NZ,2022,3,1000
mhr.wikipedia,BG,2022,3,1000
mhr.wikipedia,CN,2022,3,1000
mhr.wikipedia,EG,2022,3,1000
mhr.wikipedia,CH,2022,3,1000
mhr.wikipedia,NP,2022,3,1000
mhr.wikipedia,OM,2022,3,1000
mhr.wikipedia,IN,2022,4,47000
mhr.wikipedia,RU,2022,4,42000
mhr.wikipedia,US,2022,4,34000
mhr.wikipedia,UZ,2022,4,14000
mhr.wikipedia,KZ,2022,4,10000
mhr.wikipedia,NL,2022,4,9000
mhr.wikipedia,UA,2022,4,8000
mhr.wikipedia,CA,2022,4,8000
mhr.wikipedia,DE,2022,4,7000
mhr.wikipedia,BY,2022,4,7000
mhr.wikipedia,TJ,2022,4,6000
mhr.wikipedia,FR,2022,4,6000
mhr.wikipedia,PK,2022,4,6000
mhr.wikipedia,SG,2022,4,5000
mhr.wikipedia,IR,2022,4,4000
mhr.wikipedia,AF,2022,4,3000
mhr.wikipedia,GE,2022,4,3000
mhr.wikipedia,MN,2022,4,2000
mhr.wikipedia,KG,2022,4,2000
mhr.wikipedia,GB,2022,4,2000
mhr.wikipedia,VN,2022,4,2000
mhr.wikipedia,JP,2022,4,2000
mhr.wikipedia,--,2022,4,2000
mhr.wikipedia,ID,2022,4,2000
mhr.wikipedia,PL,2022,4,2000
mhr.wikipedia,TR,2022,4,1000
mhr.wikipedia,AT,2022,4,1000
mhr.wikipedia,KR,2022,4,1000
mhr.wikipedia,PH,2022,4,1000
mhr.wikipedia,IT,2022,4,1000
mhr.wikipedia,KE,2022,4,1000
mhr.wikipedia,DK,2022,4,1000
mhr.wikipedia,IQ,2022,4,1000
mhr.wikipedia,IE,2022,4,1000
mhr.wikipedia,SA,2022,4,1000
mhr.wikipedia,HK,2022,4,1000
mhr.wikipedia,ZA,2022,4,1000
mhr.wikipedia,BR,2022,4,1000
mhr.wikipedia,AZ,2022,4,1000
mhr.wikipedia,NO,2022,4,1000
mhr.wikipedia,AE,2022,4,1000
mhr.wikipedia,EG,2022,4,1000
mhr.wikipedia,TM,2022,4,1000
mhr.wikipedia,MY,2022,4,1000
mhr.wikipedia,CO,2022,4,1000
mhr.wikipedia,BG,2022,4,1000
mhr.wikipedia,LV,2022,4,1000
mhr.wikipedia,IL,2022,4,1000
mhr.wikipedia,AM,2022,4,1000
mhr.wikipedia,LT,2022,4,1000
mhr.wikipedia,OM,2022,4,1000
mhr.wikipedia,MM,2022,4,1000
mhr.wikipedia,NG,2022,4,1000
mhr.wikipedia,TW,2022,4,1000
mhr.wikipedia,MD,2022,4,1000
mhr.wikipedia,CY,2022,4,1000
mhr.wikipedia,FI,2022,4,1000
mhr.wikipedia,SC,2022,4,1000
mhr.wikipedia,CH,2022,4,1000
mhr.wikipedia,ES,2022,4,1000
mhr.wikipedia,HR,2022,4,1000
mhr.wikipedia,MA,2022,4,1000
mhr.wikipedia,CZ,2022,4,1000
mhr.wikipedia,MX,2022,4,1000
mhr.wikipedia,SE,2022,4,1000
mhr.wikipedia,GR,2022,4,1000
mhr.wikipedia,SY,2022,4,1000
mhr.wikipedia,IS,2022,4,1000
mhr.wikipedia,TH,2022,4,1000
mhr.wikipedia,AU,2022,4,1000
mhr.wikipedia,RO,2022,4,1000
mhr.wikipedia,BD,2022,4,1000
mhr.wikipedia,JO,2022,4,1000
mhr.wikipedia,US,2022,5,44000
mhr.wikipedia,IN,2022,5,40000
mhr.wikipedia,RU,2022,5,37000
mhr.wikipedia,CA,2022,5,12000
