project,iso2,year,month,pageviews_ceil
min.wikipedia,ID,2022,1,147000
min.wikipedia,MY,2022,1,43000
min.wikipedia,US,2022,1,32000
min.wikipedia,FR,2022,1,21000
min.wikipedia,CA,2022,1,8000
min.wikipedia,DE,2022,1,7000
min.wikipedia,SG,2022,1,7000
min.wikipedia,NL,2022,1,6000
min.wikipedia,IR,2022,1,4000
min.wikipedia,RU,2022,1,3000
min.wikipedia,--,2022,1,3000
min.wikipedia,GB,2022,1,2000
min.wikipedia,JP,2022,1,2000
min.wikipedia,PL,2022,1,2000
min.wikipedia,FI,2022,1,2000
min.wikipedia,HK,2022,1,1000
min.wikipedia,IN,2022,1,1000
min.wikipedia,AU,2022,1,1000
min.wikipedia,BE,2022,1,1000
min.wikipedia,UA,2022,1,1000
min.wikipedia,BN,2022,1,1000
min.wikipedia,IT,2022,1,1000
min.wikipedia,KR,2022,1,1000
min.wikipedia,TW,2022,1,1000
min.wikipedia,CN,2022,1,1000
min.wikipedia,TR,2022,1,1000
min.wikipedia,BR,2022,1,1000
min.wikipedia,NZ,2022,1,1000
min.wikipedia,VN,2022,1,1000
min.wikipedia,DK,2022,1,1000
min.wikipedia,PH,2022,1,1000
min.wikipedia,ES,2022,1,1000
min.wikipedia,SE,2022,1,1000
min.wikipedia,BD,2022,1,1000
min.wikipedia,CH,2022,1,1000
min.wikipedia,CZ,2022,1,1000
min.wikipedia,EG,2022,1,1000
min.wikipedia,LV,2022,1,1000
min.wikipedia,TH,2022,1,1000
min.wikipedia,PT,2022,1,1000
min.wikipedia,IL,2022,1,1000
min.wikipedia,KH,2022,1,1000
min.wikipedia,SC,2022,1,1000
min.wikipedia,NO,2022,1,1000
min.wikipedia,CO,2022,1,1000
min.wikipedia,PK,2022,1,1000
min.wikipedia,RO,2022,1,1000
min.wikipedia,SA,2022,1,1000
min.wikipedia,IE,2022,1,1000
min.wikipedia,ID,2022,2,164000
min.wikipedia,IN,2022,2,101000
min.wikipedia,RU,2022,2,48000
min.wikipedia,MY,2022,2,42000
min.wikipedia,US,2022,2,32000
min.wikipedia,UZ,2022,2,21000
min.wikipedia,FR,2022,2,18000
min.wikipedia,PK,2022,2,16000
min.wikipedia,KZ,2022,2,16000
min.wikipedia,UA,2022,2,11000
min.wikipedia,BY,2022,2,10000
min.wikipedia,DE,2022,2,7000
min.wikipedia,NL,2022,2,7000
min.wikipedia,TJ,2022,2,7000
min.wikipedia,SG,2022,2,7000
min.wikipedia,IR,2022,2,6000
min.wikipedia,CA,2022,2,6000
min.wikipedia,GE,2022,2,4000
min.wikipedia,MN,2022,2,3000
min.wikipedia,PH,2022,2,3000
min.wikipedia,GB,2022,2,3000
min.wikipedia,KG,2022,2,3000
min.wikipedia,TW,2022,2,2000
min.wikipedia,VN,2022,2,2000
min.wikipedia,AF,2022,2,2000
min.wikipedia,AU,2022,2,2000
min.wikipedia,--,2022,2,1000
min.wikipedia,JP,2022,2,1000
min.wikipedia,BR,2022,2,1000
min.wikipedia,TR,2022,2,1000
min.wikipedia,PL,2022,2,1000
min.wikipedia,IT,2022,2,1000
min.wikipedia,CN,2022,2,1000
min.wikipedia,BN,2022,2,1000
min.wikipedia,MD,2022,2,1000
min.wikipedia,ES,2022,2,1000
min.wikipedia,AZ,2022,2,1000
min.wikipedia,LK,2022,2,1000
min.wikipedia,EG,2022,2,1000
min.wikipedia,HK,2022,2,1000
min.wikipedia,ZA,2022,2,1000
min.wikipedia,MM,2022,2,1000
min.wikipedia,AE,2022,2,1000
min.wikipedia,FI,2022,2,1000
min.wikipedia,BD,2022,2,1000
min.wikipedia,NO,2022,2,1000
min.wikipedia,BH,2022,2,1000
min.wikipedia,SA,2022,2,1000
min.wikipedia,AM,2022,2,1000
min.wikipedia,NZ,2022,2,1000
min.wikipedia,CH,2022,2,1000
min.wikipedia,IE,2022,2,1000
min.wikipedia,KW,2022,2,1000
min.wikipedia,DK,2022,2,1000
min.wikipedia,GR,2022,2,1000
min.wikipedia,SC,2022,2,1000
min.wikipedia,IL,2022,2,1000
min.wikipedia,LV,2022,2,1000
min.wikipedia,SE,2022,2,1000
min.wikipedia,KR,2022,2,1000
min.wikipedia,LT,2022,2,1000
min.wikipedia,ET,2022,2,1000
min.wikipedia,TH,2022,2,1000
min.wikipedia,NE,2022,2,1000
min.wikipedia,KE,2022,2,1000
min.wikipedia,MA,2022,2,1000
min.wikipedia,NG,2022,2,1000
min.wikipedia,CZ,2022,2,1000
min.wikipedia,BJ,2022,2,1000
min.wikipedia,TM,2022,2,1000
min.wikipedia,RW,2022,2,1000
min.wikipedia,RO,2022,2,1000
min.wikipedia,PT,2022,2,1000
min.wikipedia,CY,2022,2,1000
min.wikipedia,ID,2022,3,188000
min.wikipedia,IN,2022,3,167000
min.wikipedia,RU,2022,3,64000
min.wikipedia,MY,2022,3,51000
min.wikipedia,UZ,2022,3,42000
min.wikipedia,PK,2022,3,31000
min.wikipedia,US,2022,3,27000
min.wikipedia,KZ,2022,3,26000
min.wikipedia,IR,2022,3,18000
min.wikipedia,TJ,2022,3,15000
min.wikipedia,BY,2022,3,11000
min.wikipedia,CA,2022,3,10000
min.wikipedia,DE,2022,3,10000
min.wikipedia,UA,2022,3,9000
min.wikipedia,FR,2022,3,9000
min.wikipedia,SG,2022,3,8000
min.wikipedia,GE,2022,3,6000
min.wikipedia,NL,2022,3,5000
min.wikipedia,AF,2022,3,5000
min.wikipedia,KG,2022,3,4000
min.wikipedia,MN,2022,3,4000
min.wikipedia,PH,2022,3,4000
min.wikipedia,VN,2022,3,3000
min.wikipedia,GB,2022,3,3000
min.wikipedia,TR,2022,3,3000
min.wikipedia,AT,2022,3,2000
min.wikipedia,IE,2022,3,2000
min.wikipedia,SE,2022,3,2000
min.wikipedia,AU,2022,3,2000
min.wikipedia,BN,2022,3,1000
min.wikipedia,AZ,2022,3,1000
min.wikipedia,JP,2022,3,1000
min.wikipedia,PL,2022,3,1000
min.wikipedia,HK,2022,3,1000
min.wikipedia,BD,2022,3,1000
min.wikipedia,TM,2022,3,1000
min.wikipedia,--,2022,3,1000
min.wikipedia,IT,2022,3,1000
min.wikipedia,KR,2022,3,1000
min.wikipedia,ZA,2022,3,1000
min.wikipedia,GR,2022,3,1000
min.wikipedia,IQ,2022,3,1000
min.wikipedia,SA,2022,3,1000
min.wikipedia,TW,2022,3,1000
min.wikipedia,AE,2022,3,1000
min.wikipedia,MD,2022,3,1000
min.wikipedia,BH,2022,3,1000
min.wikipedia,CN,2022,3,1000
min.wikipedia,BR,2022,3,1000
min.wikipedia,LV,2022,3,1000
min.wikipedia,NO,2022,3,1000
min.wikipedia,LK,2022,3,1000
min.wikipedia,CZ,2022,3,1000
min.wikipedia,TH,2022,3,1000
min.wikipedia,MM,2022,3,1000
min.wikipedia,ET,2022,3,1000
min.wikipedia,ES,2022,3,1000
min.wikipedia,CI,2022,3,1000
min.wikipedia,EG,2022,3,1000
min.wikipedia,CO,2022,3,1000
min.wikipedia,MX,2022,3,1000
min.wikipedia,NP,2022,3,1000
min.wikipedia,DK,2022,3,1000
min.wikipedia,CD,2022,3,1000
min.wikipedia,IL,2022,3,1000
min.wikipedia,OM,2022,3,1000
min.wikipedia,NG,2022,3,1000
min.wikipedia,RO,2022,3,1000
min.wikipedia,PT,2022,3,1000
min.wikipedia,KE,2022,3,1000
min.wikipedia,SL,2022,3,1000
