project,iso2,year,month,pageviews_ceil
mn.wikipedia,MN,2022,1,807000
mn.wikipedia,US,2022,1,110000
mn.wikipedia,RU,2022,1,32000
mn.wikipedia,DE,2022,1,31000
mn.wikipedia,SG,2022,1,27000
mn.wikipedia,NL,2022,1,26000
mn.wikipedia,CA,2022,1,19000
mn.wikipedia,FR,2022,1,19000
mn.wikipedia,KR,2022,1,14000
mn.wikipedia,JP,2022,1,12000
mn.wikipedia,IR,2022,1,12000
mn.wikipedia,GB,2022,1,10000
mn.wikipedia,--,2022,1,8000
mn.wikipedia,PL,2022,1,4000
mn.wikipedia,TR,2022,1,3000
mn.wikipedia,FI,2022,1,3000
mn.wikipedia,CZ,2022,1,3000
mn.wikipedia,HK,2022,1,3000
mn.wikipedia,SE,2022,1,3000
mn.wikipedia,BR,2022,1,3000
mn.wikipedia,AU,2022,1,2000
mn.wikipedia,KZ,2022,1,2000
mn.wikipedia,TW,2022,1,2000
mn.wikipedia,HU,2022,1,2000
mn.wikipedia,BG,2022,1,2000
mn.wikipedia,UA,2022,1,2000
mn.wikipedia,BE,2022,1,2000
mn.wikipedia,IT,2022,1,2000
mn.wikipedia,ID,2022,1,2000
mn.wikipedia,CH,2022,1,2000
mn.wikipedia,VN,2022,1,2000
mn.wikipedia,ES,2022,1,2000
mn.wikipedia,IN,2022,1,2000
mn.wikipedia,MD,2022,1,1000
mn.wikipedia,AT,2022,1,1000
mn.wikipedia,IE,2022,1,1000
mn.wikipedia,DK,2022,1,1000
mn.wikipedia,CN,2022,1,1000
mn.wikipedia,IL,2022,1,1000
mn.wikipedia,TH,2022,1,1000
mn.wikipedia,PT,2022,1,1000
mn.wikipedia,RO,2022,1,1000
mn.wikipedia,NO,2022,1,1000
mn.wikipedia,AE,2022,1,1000
mn.wikipedia,MY,2022,1,1000
mn.wikipedia,LV,2022,1,1000
mn.wikipedia,GR,2022,1,1000
mn.wikipedia,BY,2022,1,1000
mn.wikipedia,PH,2022,1,1000
mn.wikipedia,KG,2022,1,1000
mn.wikipedia,EG,2022,1,1000
mn.wikipedia,AZ,2022,1,1000
mn.wikipedia,RS,2022,1,1000
mn.wikipedia,UZ,2022,1,1000
mn.wikipedia,EE,2022,1,1000
mn.wikipedia,LT,2022,1,1000
mn.wikipedia,MX,2022,1,1000
mn.wikipedia,SC,2022,1,1000
mn.wikipedia,CO,2022,1,1000
mn.wikipedia,AR,2022,1,1000
mn.wikipedia,SK,2022,1,1000
mn.wikipedia,HR,2022,1,1000
mn.wikipedia,GH,2022,1,1000
mn.wikipedia,ZA,2022,1,1000
mn.wikipedia,NZ,2022,1,1000
mn.wikipedia,MA,2022,1,1000
mn.wikipedia,AM,2022,1,1000
mn.wikipedia,MN,2022,2,1319000
mn.wikipedia,US,2022,2,131000
mn.wikipedia,RU,2022,2,33000
mn.wikipedia,DE,2022,2,27000
mn.wikipedia,NL,2022,2,25000
mn.wikipedia,SG,2022,2,24000
mn.wikipedia,FR,2022,2,21000
mn.wikipedia,KR,2022,2,13000
mn.wikipedia,CA,2022,2,13000
